         0, 2147483647,  1015, 3.53018733546059663E+305
         1,       2016,  1015, 5.07819650964778324E-001
         2,       2016,  1015, 4.36417562176693474E-001
         3,       2016,  1015, 5.53193497609550250E-002
         4,       2016,  1015, 4.45105406884912895E-003
         5,       2016,  1015, 5.51213990711841824E-005
         6,       2005,  1015, 4.82989536606311342E-008
         7,       1292,  1015, 4.60281598195584201E-013
         8,         97,  1015, 4.55530875044600883E-016
         9,          0,  1015, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 4.08791725923912164E-015
          2, 5.07448249131788120E-015
          3, 5.43894860636628974E-015
          4, 4.87248876871096799E-015
          5, 2.64998892207064440E-015
          6, 5.42834248813437760E-015
          7, 4.60588239989486394E-015
          8, 6.10512546409972580E-015
          9, 7.78417848024986822E-015
         10, 4.86633194759545964E-015
         11, 3.56854400865728485E-015
         12, 6.16346655078976077E-015
         13, 7.52019159345325532E-015
         14, 7.24836132377957367E-015
         15, 7.32658009935187110E-015
         16, 6.39467881263502442E-015
         17, 3.27309821789641543E-015
         18, 6.68217369578152884E-015
         19, 5.52309893879507132E-015
         20, 7.89706919357820256E-015
         21, 4.97205641801190292E-015
         22, 1.04250811516310519E-014
         23, 5.94054439847500337E-015
         24, 7.06748890916051887E-015
         25, 7.67339011736157958E-015
         26, 1.22970491258852351E-014
         27, 1.01215975844457359E-014
         28, 7.54314603757634974E-015
         29, 1.15750610272942708E-014
         30, 9.88136253329091198E-015
         31, 6.74537633313101402E-015
         32, 1.65328784694029467E-014
         33, 5.82149649037144805E-015
         34, 5.33879534731379288E-015
         35, 4.01295810853557516E-015
         36, 3.71816164704526326E-015
         37, 4.46526904901172162E-015
         38, 4.11336697619272118E-015
         39, 4.27321199571569515E-015
         40, 6.21974789685966122E-015
         41, 8.37799183403600167E-015
         42, 6.15040880419048031E-015
         43, 5.49784302807805288E-015
         44, 4.27158662910699079E-015
         45, 4.24882852916914204E-015
         46, 6.16084986347721756E-015
         47, 6.53269480134983013E-015
         48, 4.45240441702003013E-015
         49, 5.77909642609872806E-015
         50, 4.53619623796682907E-015
         51, 6.77022158907938700E-015
         52, 6.51821572482585779E-015
         53, 8.06133341745505323E-015
         54, 1.09629619090001502E-014
         55, 8.13629592209867770E-015
         56, 1.10680036287804022E-014
         57, 6.98511061551815018E-015
         58, 9.63253678851935375E-015
         59, 5.77556345204222647E-015
         60, 1.38550788133354803E-014
         61, 9.50562220731546968E-015
         62, 9.65487689143351743E-015
         63, 1.11146943828716856E-014
         64, 1.26286937065636105E-014
        -32, 1.65328784694029467E-014
          0, 3.87857551536093544E-015
