         0, 2147483647,  1019, 5.14738314193644386E+306
         1,         28,  1019, 4.17892822371073169E-001
         2,         28,  1019, 5.66720495687056819E-002
         3,         28,  1019, 2.82907069866912943E-003
         4,         26,  1019, 2.84890456854546127E-006
         5,         10,  1019, 1.59674358973189155E-015
         6,          0,  1019, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 3.15476173129261377E-016
          2, 3.02332512411620772E-016
          3, 8.07698991886611612E-016
          4, 2.48553336006913012E-016
          5, 5.80983964755018656E-016
          6, 5.90940638796597696E-016
          7, 7.24815549297403426E-016
          8, 6.95860062025373671E-016
         -3, 8.07698991886611612E-016
          0, 1.03130749743072484E-015
