         0, 2147483647,  1010, 1.17523912608155552E+304
         1,     524784,  1010, 2.63858214558277571E-001
         2,     524734,  1010, 4.81750513564086824E-001
         3,     524721,  1010, 8.00000000000000044E-001
         4,     524692,  1010, 1.83569070430201181E-001
         5,     524401,  1010, 1.43285695678083205E-002
         6,     524043,  1010, 2.99863055641740657E-004
         7,     523829,  1010, 5.91109210483995110E-006
         8,     522922,  1010, 2.40004123581721985E-008
         9,     434348,  1010, 1.22395794957667666E-011
        10,      78500,  1010, 1.80721499219585145E-015
        11,      11168,  1010, 1.79673861194195855E-015
        12,         90,  1010, 1.77486351297684647E-015
        13,          0,  1010, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 3.17975451470222180E-013
          2, 2.85936264836802653E-013
          3, 2.84977944455117994E-013
          4, 2.96947341400016375E-013
          5, 3.11631230563083410E-013
          6, 2.85190759088375358E-013
          7, 3.03681228509211033E-013
          8, 3.23428406715320906E-013
          9, 2.98218460846190484E-013
         10, 3.14848738269593105E-013
         11, 2.94986181662592383E-013
         12, 3.25500270149583265E-013
         13, 3.13702100305503152E-013
         14, 3.04117820282563801E-013
         15, 2.97460380381325450E-013
         16, 2.78611615182446341E-013
         17, 3.07876600110418719E-013
         18, 2.92413045190762131E-013
         19, 3.18288648872782267E-013
         20, 2.96893844619848731E-013
         21, 3.12806962674123509E-013
         22, 3.16373661646333642E-013
         23, 3.17220323877101784E-013
         24, 3.30050731490784340E-013
         25, 3.52960041374561562E-013
         26, 3.22233290703306410E-013
         27, 3.10417797408528309E-013
         28, 2.96296394056905866E-013
         29, 3.24359063990746583E-013
         30, 3.20565820456581723E-013
         31, 3.01790640251001157E-013
         32, 3.15892346016115935E-013
         33, 3.03293778856291450E-013
         34, 3.11294614255798000E-013
         35, 3.02601338199803894E-013
         36, 3.20927290936369309E-013
         37, 3.27209985701597236E-013
         38, 3.11787564598042987E-013
         39, 3.07172919097660731E-013
         40, 3.31646749566126045E-013
         41, 3.40188769626304138E-013
         42, 3.28781495895298818E-013
         43, 3.39964648786442693E-013
         44, 3.39137564596436971E-013
         45, 3.06913372581360170E-013
         46, 3.44374698646054388E-013
         47, 3.32363247315431283E-013
         48, 3.51292834940321535E-013
         49, 3.13009115540446774E-013
         50, 3.07045943905691275E-013
         51, 3.25952440292439300E-013
         52, 3.24749779005038562E-013
         53, 3.60564000305056998E-013
         54, 3.32884585264983394E-013
         55, 3.16213561571971974E-013
         56, 3.71325262079591700E-013
         57, 3.48761670642455172E-013
         58, 3.30785550767899725E-013
         59, 3.46787322145113949E-013
         60, 3.58716975438450487E-013
         61, 3.61200119653938554E-013
         62, 3.15553568577630680E-013
         63, 3.32305547222979423E-013
         64, 3.19663519666666151E-013
         65, 3.60765595039512595E-013
         66, 3.96481998172447416E-013
         67, 3.38936477689014732E-013
         68, 3.52379262948452291E-013
         69, 3.65603985043057402E-013
         70, 3.43748353919626868E-013
         71, 3.16069562262907625E-013
         72, 3.58532330931032482E-013
         73, 3.75855813192347782E-013
         74, 3.41749441662391938E-013
         75, 3.15047069855813988E-013
         76, 3.46545271887093548E-013
         77, 3.14732898393187040E-013
         78, 3.34313758363472934E-013
         79, 3.24731081783929120E-013
         80, 3.03646028141035513E-013
         81, 3.39633309962201683E-013
         82, 3.24592294694259733E-013
         83, 3.29341647859584571E-013
         84, 3.68471029958104971E-013
         85, 3.32743245744811032E-013
         86, 3.51921991454107015E-013
         87, 3.60751215302158281E-013
         88, 3.24009119560427323E-013
         89, 3.45606595421094044E-013
         90, 3.35193698461296157E-013
         91, 3.33361800136734848E-013
         92, 3.12949193959195243E-013
         93, 3.43099958320099149E-013
         94, 3.37171213451662620E-013
         95, 3.66679550840981464E-013
         96, 3.45496888556501001E-013
         97, 3.35248669388725553E-013
         98, 3.34861639218276917E-013
         99, 3.24440666415281622E-013
        100, 3.50880424423295279E-013
        101, 3.32155042811264345E-013
        102, 3.77767076929112711E-013
        103, 3.48638616895832174E-013
        104, 3.20022846178530495E-013
        105, 3.28582439342819811E-013
        106, 3.11743001444801103E-013
        107, 3.58578880907762991E-013
        108, 3.67300394060017726E-013
        109, 3.69876705684816378E-013
        110, 3.45800348929670950E-013
        111, 3.47827631611453834E-013
        112, 3.80535357138839049E-013
        113, 3.47665624939807687E-013
        114, 3.53918697983979929E-013
        115, 3.58760917023265372E-013
        116, 3.50499656880931784E-013
        117, 3.53006141890577977E-013
        118, 3.80093471858205602E-013
        119, 3.38668408104955905E-013
        120, 3.54623903315505328E-013
        121, 3.33284164030825657E-013
        122, 3.12502259072461390E-013
        123, 3.70581118148111208E-013
        124, 3.42477510583670512E-013
        125, 3.72963578880814428E-013
        126, 3.56742613588444070E-013
        127, 3.64519944301602457E-013
        128, 3.64217512833821363E-013
        129, 3.93480411375221867E-013
        130, 3.59946568225140305E-013
        131, 3.38438015104597256E-013
        132, 3.57909353873577873E-013
        133, 3.83833046090409024E-013
        134, 4.03372047443361683E-013
        135, 3.54930142228895043E-013
        136, 3.41415734331405335E-013
        137, 3.45355518139828174E-013
        138, 3.80206997168807834E-013
        139, 3.60855825465628118E-013
        140, 3.67559413478092218E-013
        141, 3.57450142545982011E-013
        142, 3.78038204273931298E-013
        143, 3.56381021516738077E-013
        144, 3.98433085104517323E-013
        145, 3.56503277264243771E-013
        146, 4.00755608561713074E-013
        147, 3.64671255202102234E-013
        148, 3.76615076911461823E-013
        149, 4.00859804733710244E-013
        150, 3.56657565484759691E-013
        151, 3.61579220437596340E-013
        152, 3.65635191418553424E-013
        153, 3.32161321985056902E-013
        154, 3.68033364665527916E-013
        155, 3.49910056429266056E-013
        156, 3.49765868391735396E-013
        157, 3.79415974288043629E-013
        158, 3.81548245745037631E-013
        159, 3.46029246347842360E-013
        160, 3.49027333162031825E-013
        161, 3.82851665879001530E-013
        162, 3.54244846843237440E-013
        163, 4.11385903239139297E-013
        164, 3.71807184744501437E-013
        165, 3.66518411736689029E-013
        166, 3.49580047982828633E-013
        167, 3.85312210560227098E-013
        168, 3.21679620972559111E-013
        169, 3.77444781481793980E-013
        170, 4.04614259048724216E-013
        171, 3.71811846524815596E-013
        172, 3.84626601436349560E-013
        173, 4.13558922750849206E-013
        174, 4.15924826450308952E-013
        175, 4.05473629957185127E-013
        176, 4.05190198857815820E-013
        177, 3.67162458746256430E-013
        178, 4.20352579125676440E-013
        179, 3.84645245190275495E-013
        180, 3.70105758335556230E-013
        181, 3.88464522958875222E-013
        182, 3.80418862020911023E-013
        183, 3.62552948732913531E-013
        184, 3.77468669044328164E-013
        185, 3.98745297569109652E-013
        186, 4.24195275260381855E-013
        187, 4.07074175310266631E-013
        188, 3.99185146276983318E-013
        189, 4.17783656128350785E-013
        190, 4.14118803027519938E-013
        191, 4.54244043928253891E-013
        192, 4.03783126162936736E-013
        193, 3.99267775651337738E-013
        194, 3.95320395258507080E-013
        195, 4.22633036424941998E-013
        196, 3.80727430184940455E-013
        197, 4.06432697680920958E-013
        198, 4.14017135617138562E-013
        199, 4.19577972297407379E-013
        200, 3.72494244540535600E-013
        201, 4.16584700420975221E-013
        202, 3.60569270220898562E-013
        203, 4.27033712049251312E-013
        204, 4.19575733596653312E-013
        205, 3.68510311491721804E-013
        206, 4.12695493905740754E-013
        207, 4.02719960668053491E-013
        208, 4.19844721290591501E-013
        209, 4.01969200441075225E-013
        210, 4.46886127996809587E-013
        211, 4.32932909010440357E-013
        212, 3.90712340413079494E-013
        213, 4.07476584852143711E-013
        214, 4.12108549340340848E-013
        215, 4.41634491091333849E-013
        216, 4.13094863937999059E-013
        217, 4.27960764458438061E-013
        218, 4.26126608706426256E-013
        219, 4.36694135016295695E-013
        220, 4.22892408469087036E-013
        221, 4.15065466857549726E-013
        222, 4.01426273371303192E-013
        223, 3.71366142758628486E-013
        224, 4.04027289031201429E-013
        225, 3.86301659647540339E-013
        226, 3.88071909858557824E-013
        227, 3.88304383208400412E-013
        228, 4.23061045127695527E-013
        229, 3.95197637697782370E-013
        230, 4.25369595421985061E-013
        231, 4.18608797826230121E-013
        232, 4.89942508960856522E-013
        233, 4.70803628980808057E-013
        234, 4.50026032862091945E-013
        235, 4.04096570117949588E-013
        236, 4.49349772677089503E-013
        237, 4.89468048407192260E-013
        238, 4.28032916769848019E-013
        239, 4.23519568537889363E-013
        240, 4.38583173226009698E-013
        241, 4.34423894082311134E-013
        242, 4.40358459452092004E-013
        243, 4.49548233914779687E-013
        244, 4.25195620159796917E-013
        245, 4.53853831079644687E-013
        246, 4.30376243795993022E-013
        247, 4.00412922161075626E-013
        248, 4.25114651737102865E-013
        249, 4.18355457451870154E-013
        250, 4.53569140727210992E-013
        251, 4.61051294888150419E-013
        252, 4.80333821269585600E-013
        253, 4.27964701129990779E-013
        254, 4.75508704452967407E-013
        255, 4.40922179199775751E-013
        256, 4.45069218001803619E-013
        257, 4.60258774847418397E-013
        258, 4.31157901673648611E-013
        259, 4.46058115044789692E-013
        260, 4.39966846018797879E-013
        261, 4.64864867021950315E-013
        262, 5.13542378703484814E-013
        263, 4.70239172174511023E-013
        264, 4.12159446415834452E-013
        265, 4.62825000342114812E-013
        266, 4.33998663539764822E-013
        267, 4.23703457818696361E-013
        268, 4.64851554400269027E-013
        269, 4.33427410054982268E-013
        270, 4.90891881247737286E-013
        271, 4.64748759840588892E-013
        272, 4.60626709690113855E-013
        273, 4.92989796811138149E-013
        274, 4.16343191863842357E-013
        275, 4.56899629904141289E-013
        276, 4.73157137570756798E-013
        277, 4.89020589940878828E-013
        278, 4.54426747523807023E-013
        279, 4.91220303163854138E-013
        280, 4.84086133056400898E-013
        281, 4.74231736953167359E-013
        282, 4.34142731884843316E-013
        283, 4.61869792165151847E-013
        284, 4.59750944403552125E-013
        285, 4.78295779710730052E-013
        286, 4.17279196590776476E-013
        287, 5.04300445364924476E-013
        288, 4.42531277119953204E-013
        289, 5.00851961767843834E-013
        290, 4.34561382601371195E-013
        291, 4.30649209147759830E-013
        292, 4.38140899984304272E-013
        293, 5.01000337417663095E-013
        294, 4.65126047967297450E-013
        295, 4.58112305202294442E-013
        296, 4.34616292759283247E-013
        297, 4.68912422740682127E-013
        298, 4.67052847668051376E-013
        299, 5.02704204508280317E-013
        300, 4.37982108342072623E-013
        301, 4.85793613260070494E-013
        302, 5.03033728791190545E-013
        303, 4.83287928264292559E-013
        304, 4.68129964658160388E-013
        305, 4.70252073825851075E-013
        306, 4.73561560709687670E-013
        307, 4.77695335343805209E-013
        308, 4.85155481398528035E-013
        309, 4.73631483814958155E-013
        310, 5.00282570805513160E-013
        311, 4.70363227643375171E-013
        312, 4.68763686548175853E-013
        313, 5.07972037217652591E-013
        314, 4.52198002278660988E-013
        315, 5.48247492223119584E-013
        316, 4.81557979383523964E-013
        317, 5.07373145769621934E-013
        318, 4.95679478341013154E-013
        319, 4.72491620325306169E-013
        320, 4.58343779716113719E-013
        321, 5.16616104763111191E-013
        322, 5.38647868986926069E-013
        323, 5.13570191815583927E-013
        324, 5.27647105071135476E-013
        325, 4.90587748178122732E-013
        326, 5.02610451128136701E-013
        327, 5.10756867369628970E-013
        328, 5.17722870862525660E-013
        329, 4.95367363030081844E-013
        330, 4.60044026031200316E-013
        331, 5.17475277354789466E-013
        332, 5.08918532341698449E-013
        333, 4.54929167424473347E-013
        334, 5.28588386632690677E-013
        335, 5.28735096068460254E-013
        336, 4.86055304282396087E-013
        337, 5.26352835325507056E-013
        338, 5.21583538252953075E-013
        339, 5.05504004969841781E-013
        340, 5.08245838508411725E-013
        341, 5.18305131077564807E-013
        342, 5.23017136130672360E-013
        343, 4.98954579642297465E-013
        344, 4.65285698079957158E-013
        345, 5.16908022375758033E-013
        346, 4.59945992758191042E-013
        347, 4.62345360980785660E-013
        348, 4.98274542483323196E-013
        349, 5.12562214522287217E-013
        350, 5.51548437397093778E-013
        351, 5.37558525157803928E-013
        352, 4.95462609987633754E-013
        353, 4.98695124191821417E-013
        354, 4.91473384518720672E-013
        355, 5.42415247504696298E-013
        356, 5.10512836551182877E-013
        357, 5.19864206715070862E-013
        358, 6.13277925257285989E-013
        359, 5.23394539883795634E-013
        360, 5.91180243763194652E-013
        361, 5.46071312096938743E-013
        362, 5.74026570511103034E-013
        363, 5.85385361057543264E-013
        364, 5.16745119770857202E-013
        365, 5.01612055525961697E-013
        366, 5.48749590141291622E-013
        367, 5.81382745279144297E-013
        368, 6.03121651388203748E-013
        369, 5.86718345943807588E-013
        370, 5.65556149858773920E-013
        371, 6.06495750970614620E-013
        372, 6.04851686997820142E-013
        373, 5.42447664372443213E-013
        374, 5.06212547968597269E-013
        375, 5.72166989616205032E-013
        376, 6.00187441324355285E-013
        377, 5.55160750798920518E-013
        378, 5.75818406128372798E-013
        379, 6.36662288793215142E-013
        380, 5.79570319477714371E-013
        381, 5.71412676198485162E-013
        382, 6.20121139613744175E-013
        383, 5.55191018654507958E-013
        384, 5.48352790096007776E-013
        385, 6.16802861943980939E-013
        386, 5.62855185134126664E-013
        387, 6.18767917883649990E-013
        388, 5.98612980587298492E-013
        389, 5.93304734274704465E-013
        390, 6.09078074326383737E-013
        391, 6.92269852304417802E-013
        392, 5.50353675386522430E-013
        393, 7.34607173820134214E-013
        394, 5.54560773246051414E-013
        395, 6.27138539839069222E-013
        396, 6.46942275535289828E-013
        397, 6.02037689733770251E-013
        398, 5.98379571290449754E-013
        399, 7.06537378651385084E-013
        400, 6.77439816407285651E-013
        401, 6.24114478300201754E-013
        402, 6.36818448784503549E-013
        403, 6.41697852251470267E-013
        404, 6.91237891579060430E-013
        405, 6.89777895729424840E-013
        406, 6.26238527723323057E-013
        407, 6.73151559867207407E-013
        408, 7.04510816384683563E-013
        409, 6.97949698953917023E-013
        410, 6.55546290314768040E-013
        411, 6.74632717092010245E-013
        412, 6.39569224491203272E-013
        413, 7.57336906206161864E-013
        414, 6.93772268336520945E-013
        415, 6.35252823529052504E-013
        416, 7.33492603696699868E-013
        417, 6.43367536131283068E-013
        418, 6.97847151677069888E-013
        419, 6.69319833976494759E-013
        420, 6.09938045993737414E-013
        421, 6.76169785694512730E-013
        422, 7.11487149282386994E-013
        423, 7.63848824301011127E-013
        424, 6.61720952063690496E-013
        425, 6.62361312993609698E-013
        426, 6.39813594924984445E-013
        427, 6.25238966607752443E-013
        428, 6.40529167372752886E-013
        429, 6.55239997890072327E-013
        430, 6.21673858082764979E-013
        431, 7.08152598688523065E-013
        432, 6.50807424675311575E-013
        433, 6.25916977080032380E-013
        434, 7.45278126734631832E-013
        435, 6.74254410309271826E-013
        436, 6.78069828857896522E-013
        437, 6.53754152399977698E-013
        438, 6.99362976345189710E-013
        439, 7.71550246481412097E-013
