         0, 2147483647,  1010, 1.17523912608155552E+304
         1,     523776,  1010, 2.21327176680977511E-001
         2,     523776,  1010, 4.83599470905742845E-001
         3,     523776,  1010, 8.00000000000000044E-001
         4,     523776,  1010, 2.07386109395752388E-001
         5,     523776,  1010, 7.90857575968955673E-002
         6,     523776,  1010, 3.02585477107478393E-002
         7,     523776,  1010, 1.77061344698914392E-003
         8,     523776,  1010, 1.53262315366072616E-005
         9,     501140,  1010, 1.69948408226603977E-008
        10,     136900,  1010, 4.70690892063865424E-013
        11,      29928,  1010, 1.39558938029604804E-015
        12,        469,  1010, 1.23640184957415513E-015
        13,          9,  1010, 1.09513968820312093E-015
        14,          0,  1010, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 3.18473523291854284E-013
          2, 3.02166273323226375E-013
          3, 3.28764576243171348E-013
          4, 2.94837306164098469E-013
          5, 3.23339282172080153E-013
          6, 3.29199631729357516E-013
          7, 3.35904607767912165E-013
          8, 3.44919703270633052E-013
          9, 3.45336317412827114E-013
         10, 3.28406657948038269E-013
         11, 3.46295604453392019E-013
         12, 3.09886611479962479E-013
         13, 2.96276817319338581E-013
         14, 3.07056026465024545E-013
         15, 3.29019336850547166E-013
         16, 3.16296473604706411E-013
         17, 3.49762536927472035E-013
         18, 3.10094385817863907E-013
         19, 3.23764026951702643E-013
         20, 3.23312868689631166E-013
         21, 3.04696018454599867E-013
         22, 3.15279629029205832E-013
         23, 3.19684756631397083E-013
         24, 3.45461361766045735E-013
         25, 3.29590829792204270E-013
         26, 2.93334125627481857E-013
         27, 3.11965140232680417E-013
         28, 3.37840491010346494E-013
         29, 3.04788196528015026E-013
         30, 3.34465795924110836E-013
         31, 3.10512197542430410E-013
         32, 3.02362805720565927E-013
         33, 3.34239178012735806E-013
         34, 3.25814043828182516E-013
         35, 3.42673366235199351E-013
         36, 3.35959834726245273E-013
         37, 3.32638807279216955E-013
         38, 3.37123337994288923E-013
         39, 3.22029791796499513E-013
         40, 3.43009185772117095E-013
         41, 3.41256311733912253E-013
         42, 3.57940334404285827E-013
         43, 3.33288139636331632E-013
         44, 3.44608095525234146E-013
         45, 3.03087476079010591E-013
         46, 3.30088900490469819E-013
         47, 3.39476776835454396E-013
