         0, 2147483647,  1010, 1.17523912608155552E+304
         1,     524784,  1010, 2.63858214558283288E-001
         2,     524734,  1010, 4.81750513564072447E-001
         3,     524721,  1010, 8.00000000000000044E-001
         4,     524692,  1010, 1.83569070410208257E-001
         5,     524401,  1010, 1.43285770388488169E-002
         6,     524043,  1010, 2.99861495163274432E-004
         7,     523829,  1010, 5.91109299842560128E-006
         8,     522926,  1010, 2.40004147600019922E-008
         9,     434349,  1010, 1.22395809590108451E-011
        10,      78497,  1010, 1.81619646682966037E-015
        11,      11165,  1010, 1.79728337452859376E-015
        12,         89,  1010, 1.78608390618302680E-015
        13,          1,  1010, 0.00000000000000000E+000
        14,          0,  1010, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 2.86454727923582187E-013
          2, 3.23806610495428784E-013
          3, 2.85061412174004815E-013
          4, 3.07571256510912465E-013
          5, 2.98801393387628548E-013
          6, 2.76319700907045856E-013
          7, 3.32555188372758241E-013
          8, 2.99112078819032567E-013
          9, 3.08488599752924454E-013
         10, 3.08515356665329665E-013
         11, 3.46955029803819221E-013
         12, 3.07344345069340520E-013
         13, 3.04740441355496986E-013
         14, 2.90743209272761977E-013
         15, 3.27604500845272018E-013
         16, 3.02478430486776991E-013
         17, 2.75208632737852568E-013
         18, 2.97665056242910457E-013
         19, 3.12977666174714842E-013
         20, 3.04853542873352113E-013
         21, 2.94435497313540102E-013
         22, 3.12913946272595402E-013
         23, 3.12791806664314751E-013
         24, 3.37160620520644526E-013
         25, 2.96456132893764558E-013
         26, 2.91328570439616682E-013
         27, 2.75340257126536105E-013
         28, 2.94501264990747937E-013
         29, 3.32992826981196060E-013
         30, 2.89023491153739320E-013
         31, 3.05257551846781745E-013
         32, 2.96757255863127891E-013
         33, 2.98562991283835880E-013
         34, 3.30538161456622802E-013
         35, 3.29881114144999948E-013
         36, 3.19890152046901440E-013
         37, 3.03570282081133852E-013
         38, 2.87160826025521279E-013
         39, 3.39929741382847336E-013
         40, 3.31459911511967981E-013
         41, 3.41701147603372418E-013
         42, 3.32528742949477160E-013
         43, 3.28962968802714327E-013
         44, 3.40826661629568469E-013
         45, 3.20596614510972581E-013
         46, 3.05678846046648296E-013
         47, 3.04758694636754539E-013
         48, 3.26460947032101001E-013
         49, 3.21628198519830960E-013
         50, 2.80080881592276632E-013
         51, 2.98644330547660252E-013
         52, 3.18984914085020557E-013
         53, 3.24464763249712387E-013
         54, 3.31195140779014037E-013
