         0, 2147483647,  1010, 1.17523912608155552E+304
         1,     523776,  1010, 2.21327176680977372E-001
         2,     523776,  1010, 4.83598945518587064E-001
         3,     523776,  1010, 8.00000000000000044E-001
         4,     523776,  1010, 1.78788730065438273E-001
         5,     523776,  1010, 8.00649537281997309E-002
         6,     523776,  1010, 3.38789324403924175E-002
         7,     523776,  1010, 2.70278630299748170E-003
         8,     523776,  1010, 2.17053749575395518E-005
         9,     500282,  1010, 1.14345695861716524E-008
        10,     138398,  1010, 8.84672437239662395E-014
        11,      32203,  1010, 1.78654574553122582E-015
        12,        631,  1010, 6.62014059826016966E-016
        13,          7,  1010, 0.00000000000000000E+000
        14,          0,  1010, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 3.10536132498581218E-013
          2, 2.99834407934481287E-013
          3, 3.07401703791293384E-013
          4, 3.11914779413364109E-013
          5, 3.08711824703116626E-013
          6, 2.91704285472122865E-013
          7, 3.40155176784502098E-013
          8, 2.97501843096126043E-013
          9, 3.29932516563492826E-013
         10, 3.34866549062175896E-013
         11, 3.07073515392825874E-013
         12, 3.44349439223709112E-013
         13, 3.16249344893894524E-013
         14, 3.16334626446362884E-013
         15, 3.15659727317500808E-013
         16, 3.27167613967912012E-013
         17, 3.13862843359226796E-013
         18, 3.51346999248007144E-013
         19, 3.09679605653954950E-013
         20, 3.07329567370380189E-013
         21, 3.07446192452532062E-013
         22, 3.37579105247517279E-013
         23, 3.22818872342915269E-013
         24, 3.22075362226552765E-013
         25, 3.52984867790264159E-013
         26, 3.15453465550205349E-013
         27, 3.06536342169303120E-013
         28, 3.31000011456971100E-013
         29, 3.55619671408275119E-013
         30, 3.06881489861558443E-013
         31, 3.36504254023290389E-013
         32, 3.23899543062982277E-013
         33, 3.46746256496939233E-013
         34, 2.93369224776358007E-013
         35, 3.12789645156701330E-013
         36, 3.14294843763011975E-013
         37, 3.43790666029629930E-013
         38, 3.13749043689461784E-013
         39, 3.24731845563421407E-013
         40, 3.26230663914807511E-013
         41, 3.29581342313552160E-013
         42, 3.60234694347178514E-013
         43, 3.86575264446784764E-013
         44, 3.46919763967832718E-013
         45, 3.56140858250250933E-013
         46, 3.69070319490176190E-013
