         0, 2147483647,  1014, 1.68352151515392423E+305
         1,       8238,  1013, 3.94646822324503876E-001
         2,       8220,  1013, 6.26891931888084897E-001
         3,       8194,  1013, 1.28239406978341741E-001
         4,       8144,  1013, 1.00931689018781603E-002
         5,       8128,  1013, 3.56878967073689989E-004
         6,       8128,  1013, 1.63247064325092860E-006
         7,       7167,  1013, 8.94947209180494875E-010
         8,       1213,  1013, 2.97168749718953554E-015
         9,         97,  1013, 0.00000000000000000E+000
        10,          1,  1013, 0.00000000000000000E+000
        11,          0,  1013, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 2.09729369507078269E-014
          2, 2.18061102386062410E-014
          3, 2.39021980544790652E-014
          4, 1.91839540184612934E-014
          5, 1.90245668742886648E-014
          6, 2.01257727143253503E-014
          7, 2.27013738480308588E-014
          8, 2.28589680973834741E-014
          9, 2.22523554226549384E-014
         10, 2.10849441365916758E-014
         11, 2.41842519075761844E-014
         12, 2.46166134394443177E-014
         13, 2.23471399636165751E-014
         14, 1.73782026118873097E-014
         15, 1.70552469299277097E-014
         16, 2.26393687504653494E-014
         17, 2.37466656446067842E-014
         18, 2.09900317217103243E-014
         19, 2.87216444040699072E-014
         20, 2.40888805747452218E-014
         21, 2.21778448306187902E-014
         22, 2.77024378513559124E-014
         23, 2.31301490310037734E-014
         24, 2.51879519800322429E-014
         25, 2.33204805640437299E-014
         26, 2.34729489399583946E-014
         27, 3.18872946963838126E-014
         28, 2.74746508897631168E-014
         29, 2.47389298235732187E-014
         30, 3.95250247273001719E-014
         31, 2.76682822212427940E-014
         32, 2.16185215913743028E-014
         33, 2.72704813231423536E-014
         34, 3.09474981020773193E-014
         35, 2.62856250546865797E-014
         36, 2.43213966119521027E-014
         37, 3.13265386798505667E-014
         38, 3.07051418108710901E-014
         39, 3.50806817721108490E-014
         40, 3.61271046802289121E-014
         41, 3.78936088889784522E-014
         42, 3.51280608654549003E-014
         43, 3.85984482710088184E-014
         44, 3.49416054408519022E-014
         45, 3.13393475253566554E-014
         46, 3.47595462990077941E-014
         47, 3.45676385818029042E-014
         48, 3.24016541893151235E-014
         49, 4.22510182146752641E-014
         50, 4.02886889347307915E-014
         51, 2.94328657169653236E-014
         52, 4.20484707610223122E-014
         53, 4.58627618140809473E-014
         54, 3.14678280936276009E-014
         55, 6.58846145041801091E-014
         56, 3.96002343122062043E-014
         57, 5.30034230192291444E-014
         58, 4.52898602506363459E-014
         59, 6.46230328276361987E-014
         60, 4.30178348754852175E-014
         61, 7.93003974469738000E-014
         62, 5.71424821619713362E-014
         63, 5.23563903442891128E-014
         64, 7.54382139810766891E-014
         65, 1.81205864398834516E-014
         66, 2.05937079372064592E-014
         67, 1.71890370444643156E-014
         68, 1.67769320415022174E-014
         69, 2.46021081782698352E-014
         70, 2.17894229376748207E-014
         71, 2.16854469756826679E-014
         72, 2.26687821578213692E-014
         73, 1.81247080633647416E-014
         74, 1.85861523210252964E-014
         75, 2.02074365880919244E-014
         76, 2.30731175903656577E-014
         77, 1.98850363895560544E-014
         78, 2.14089124771450751E-014
         79, 3.18768063306041267E-014
         80, 1.81192278732728967E-014
         81, 2.10538016348465259E-014
         82, 2.28221579052813295E-014
         83, 2.43412348607166096E-014
         84, 2.63766962301594039E-014
         85, 2.73649088461299251E-014
         86, 1.81140617480889281E-014
         87, 2.99190214599630337E-014
         88, 2.51132409210907391E-014
         89, 2.43669615720489439E-014
         90, 2.41276638370143458E-014
         91, 2.82599868256102810E-014
         92, 2.50109183828614013E-014
         93, 2.95179815192275922E-014
         94, 2.85889049499381449E-014
         95, 3.33394536701885491E-014
         96, 2.44835844063569174E-014
         97, 3.30228029982136919E-014
         98, 3.44452778159151732E-014
         99, 3.24923324678442643E-014
        100, 2.66335355537817220E-014
        101, 3.06687035795670543E-014
        102, 3.71338402201309776E-014
        103, 4.09018108539610364E-014
        104, 2.78428458846957639E-014
        105, 3.97092198485125953E-014
        106, 4.74009914384731219E-014
        107, 3.44090887008543098E-014
        108, 3.13763986075963513E-014
        109, 4.18041767745591804E-014
        110, 2.83096266854113388E-014
        111, 2.95635897721378112E-014
        112, 3.96974889394647783E-014
        113, 3.94965535319575325E-014
        114, 4.49928554585529574E-014
        115, 4.39122341083966332E-014
        116, 4.34576665078094948E-014
        117, 3.85815815411043175E-014
        118, 4.17066960886013557E-014
        119, 4.41519926556207595E-014
        120, 4.18046608402305898E-014
        121, 4.32045060549507738E-014
        122, 4.44041356101569302E-014
        123, 4.74987484212581835E-014
        124, 5.73180084459722081E-014
        125, 7.99557569489757394E-014
        126, 6.54099233706404938E-014
        127, 6.54734740497857471E-014
        128, 7.92851192943759650E-014
       -125, 7.99557569489757394E-014
          0, 8.72068051395616293E-015
