         0, 2147483647,  1014, 1.68352151515392423E+305
         1,       8128,  1013, 4.20929203309279076E-001
         2,       8128,  1013, 5.96007239262220212E-001
         3,       8128,  1013, 1.40186527272160411E-001
         4,       8128,  1013, 8.37426937271676664E-002
         5,       8128,  1013, 2.44622048927784115E-003
         6,       8128,  1013, 1.89769584676639696E-005
         7,       8064,  1013, 2.82858129409271605E-008
         8,       5786,  1013, 2.78933486683797683E-012
         9,        617,  1013, 6.53912867566396141E-016
        10,          0,  1013, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 2.31225886549636765E-014
          2, 1.78033600152108773E-014
          3, 2.17135551672994943E-014
          4, 1.86360364087437694E-014
          5, 1.79418389347486136E-014
          6, 2.33787438455787575E-014
          7, 2.07857582904523871E-014
          8, 2.20767982721314261E-014
          9, 2.18499224542189790E-014
         10, 2.12714315375083465E-014
         11, 2.49392485264138322E-014
         12, 2.10974544177822032E-014
         13, 2.14015880385397399E-014
         14, 2.04578925106095382E-014
         15, 2.00756517318137995E-014
         16, 2.58157608013703085E-014
         17, 2.68075199644428928E-014
         18, 2.13433933863637804E-014
         19, 1.93347263390492419E-014
         20, 2.50508425923462389E-014
         21, 2.84551826903762619E-014
         22, 2.84339599937211139E-014
         23, 2.25386782212464373E-014
         24, 3.31380510645719589E-014
         25, 3.38411556357622371E-014
         26, 2.74448558754925474E-014
         27, 2.93283640666662857E-014
         28, 3.00938346516519411E-014
         29, 2.92122822160677669E-014
         30, 2.81036929662790985E-014
         31, 2.82990177861168339E-014
         32, 2.44326611689402935E-014
         33, 2.41150370548835425E-014
         34, 2.86219037269084021E-014
         35, 2.55110255118415863E-014
         36, 2.66278820572141806E-014
         37, 3.65744512216067258E-014
         38, 3.37393503579558533E-014
         39, 3.61786881664251014E-014
         40, 3.15090924629517776E-014
         41, 3.05270736367261959E-014
         42, 2.81224552320074071E-014
         43, 4.15804858148934467E-014
         44, 4.19321965076328445E-014
         45, 3.11474240736802728E-014
         46, 3.86493394756913525E-014
         47, 3.71511834224295304E-014
         48, 2.97602177679478204E-014
         49, 4.31029380159402743E-014
         50, 5.04368508922033214E-014
         51, 3.83064148651719818E-014
         52, 4.45717973609254895E-014
         53, 4.53274439633449411E-014
         54, 3.68612980321494582E-014
         55, 5.47414166751234064E-014
         56, 3.92823409025509070E-014
         57, 5.54165907261318921E-014
         58, 4.85425030879784363E-014
         59, 5.07903783418986007E-014
         60, 5.44242426661920593E-014
         61, 7.75439331478027672E-014
         62, 6.80456193691650657E-014
         63, 7.11321109683532110E-014
         64, 7.97672056065677738E-014
         65, 1.64496298020846303E-014
         66, 1.71374684268079310E-014
         67, 2.17464169791448939E-014
         68, 1.72431604626486414E-014
         69, 2.10235007884000710E-014
         70, 2.11044576451417435E-014
         71, 1.99049317084476632E-014
         72, 2.05535513254103704E-014
         73, 2.11035918998514921E-014
         74, 2.21281360191691155E-014
         75, 2.09317346032261372E-014
         76, 2.19752331993455497E-014
         77, 2.62099300834370096E-014
         78, 1.87955836333883195E-014
         79, 2.73549652340910032E-014
         80, 2.21357092104857761E-014
         81, 2.10787180391499809E-014
         82, 2.20926462971437244E-014
         83, 2.70320590286090200E-014
         84, 2.68023808583681723E-014
         85, 2.53267134782104401E-014
         86, 2.26637568702382536E-014
         87, 2.65136452141457138E-014
         88, 2.47398673018704262E-014
         89, 2.27605051014055604E-014
         90, 2.07092125328241180E-014
         91, 2.43146566489111215E-014
         92, 3.12353761670162999E-014
         93, 2.29315189025389529E-014
         94, 2.67883072581828373E-014
         95, 2.51811332984686640E-014
         96, 3.51421811726486155E-014
         97, 2.67636475577731662E-014
         98, 2.67803442454285132E-014
         99, 2.64181517379525691E-014
        100, 3.61433156855129960E-014
        101, 2.99727312140054976E-014
        102, 3.42470791179374014E-014
        103, 4.13501433045107237E-014
        104, 2.55980738020348028E-014
        105, 3.77785551584852222E-014
        106, 3.80062670213107590E-014
        107, 3.50893857945479823E-014
        108, 4.66661284197194412E-014
        109, 4.16270089013903521E-014
        110, 3.64453139298158497E-014
        111, 3.81011193646614709E-014
        112, 4.33511883372093227E-014
        113, 5.43799438088241302E-014
        114, 4.06143465774977648E-014
        115, 4.65843044083487580E-014
        116, 4.44513953493935290E-014
        117, 4.27070091754344524E-014
        118, 4.08914434009459471E-014
        119, 4.50638289178111234E-014
        120, 4.92050729361237834E-014
        121, 3.95294931852594520E-014
        122, 5.14258877623094853E-014
        123, 5.18329812551228152E-014
        124, 7.95158190978777466E-014
        125, 6.57231081322607021E-014
        126, 8.11499918950652064E-014
        127, 7.15825083486669899E-014
        128, 6.94087888973781464E-014
       -126, 8.11499918950652064E-014
          0, 7.87656731414881179E-015
