         0, 2147483647,  1014, 1.68352151515392423E+305
         1,       8238,  1013, 3.94646822324500213E-001
         2,       8220,  1013, 6.26891931888076015E-001
         3,       8194,  1013, 1.28239406978346904E-001
         4,       8144,  1013, 1.00931689018772062E-002
         5,       8128,  1013, 3.56878967073656270E-004
         6,       8128,  1013, 1.63247064328839371E-006
         7,       7163,  1013, 8.94947193374090594E-010
         8,       1216,  1013, 2.98249804138876143E-015
         9,         95,  1013, 4.67008852136451262E-016
        10,          0,  1013, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 2.14494180800490830E-014
          2, 1.88190867542348713E-014
          3, 1.85953191622900833E-014
          4, 1.79479735618329757E-014
          5, 1.69967484592378833E-014
          6, 2.24382449572359772E-014
          7, 2.06473840281409056E-014
          8, 1.63847256271963425E-014
          9, 2.76934412644713918E-014
         10, 2.24029810749307491E-014
         11, 2.27104226119919589E-014
         12, 2.07296012262503591E-014
         13, 1.76280492442636330E-014
         14, 1.70293237200111889E-014
         15, 2.21943147508797525E-014
         16, 2.40301555230705527E-014
         17, 2.60816458765168143E-014
         18, 2.18750043508584218E-014
         19, 2.40519537777544262E-014
         20, 2.24889659584477811E-014
         21, 2.22351951791649171E-014
         22, 2.26179394245832828E-014
         23, 2.62681238956737746E-014
         24, 2.73297046191041963E-014
         25, 2.25494314871259137E-014
         26, 3.10931272043777191E-014
         27, 2.40928330455701809E-014
         28, 2.48614385278979592E-014
         29, 2.80729482377724176E-014
         30, 4.56768803588394160E-014
         31, 2.19203526289859391E-014
         32, 2.42282898600999644E-014
         33, 2.54558647221023547E-014
         34, 3.33480538277939249E-014
         35, 2.95438039127621849E-014
         36, 3.45639054520691968E-014
         37, 3.13149426642615949E-014
         38, 2.90918555297778924E-014
         39, 3.27931051315515815E-014
         40, 2.63766493524433098E-014
         41, 3.25970963394985655E-014
         42, 3.19567076681219350E-014
         43, 4.80604971097507448E-014
         44, 3.57509773182115828E-014
         45, 3.54752979111927009E-014
         46, 2.40478731521891571E-014
         47, 4.37551576657284733E-014
         48, 3.39339896021957611E-014
         49, 4.39867686805105872E-014
         50, 3.79651622409748883E-014
         51, 4.70456787876709504E-014
         52, 4.32556181837013797E-014
         53, 3.46116386360394626E-014
         54, 3.98385654528334196E-014
         55, 4.80721790734353168E-014
         56, 3.82206772291317037E-014
         57, 6.11128319253934854E-014
         58, 5.79531441547693699E-014
         59, 5.62059170506507560E-014
         60, 4.67797970750732315E-014
         61, 6.53161017242319494E-014
         62, 6.47998760199210059E-014
         63, 6.51595634259862835E-014
         64, 7.81953366085596687E-014
         65, 1.86966247701825034E-014
         66, 2.17738686959449796E-014
         67, 1.79551416405589401E-014
         68, 2.42494510188314559E-014
         69, 1.79206033326893731E-014
         70, 2.68663055740984268E-014
         71, 1.87487597028632352E-014
         72, 1.75584494635035818E-014
         73, 1.58614568422784332E-014
         74, 1.84065224378769374E-014
         75, 1.86481275067266935E-014
         76, 2.42216563850872392E-014
         77, 1.74128532419152430E-014
         78, 2.06222791769252865E-014
         79, 2.58871420713089246E-014
         80, 1.94479038835810061E-014
         81, 2.54626161214542196E-014
         82, 2.07582147694419591E-014
         83, 2.76696170187237618E-014
         84, 2.56668221989726290E-014
         85, 3.20019709355795874E-014
         86, 3.06665364270510208E-014
         87, 2.20410000133017408E-014
         88, 2.82111413611153169E-014
         89, 2.01616985988695557E-014
         90, 2.39628184028224751E-014
         91, 2.04184746591535615E-014
         92, 1.97750511199427444E-014
         93, 2.37556843987244706E-014
         94, 2.59519998882222298E-014
         95, 2.88418672094763130E-014
         96, 2.90343861449410582E-014
         97, 2.59945473106296420E-014
         98, 2.96592748920626626E-014
         99, 3.73905444916094154E-014
        100, 2.78522479352370425E-014
        101, 3.13019954887429109E-014
        102, 3.38803053900598905E-014
        103, 3.45799596401154108E-014
        104, 3.14409427022926195E-014
        105, 3.91094456440685680E-014
        106, 3.57593453132511514E-014
        107, 3.31639249248158075E-014
        108, 3.24556892489681695E-014
        109, 3.17551698409105163E-014
        110, 2.83104706357269032E-014
        111, 3.83444662551003703E-014
        112, 3.70248802558178995E-014
        113, 3.60278356016266412E-014
        114, 3.91318915792583602E-014
        115, 4.20983336389731828E-014
        116, 4.31996110806670502E-014
        117, 4.02233769742431067E-014
        118, 3.22218969562279194E-014
        119, 4.29551171488581059E-014
        120, 5.59402638811204310E-014
        121, 3.42275410131491917E-014
        122, 3.92242432125532465E-014
        123, 4.38529360336258072E-014
        124, 4.56703617446308759E-014
        125, 6.38212871021243692E-014
        126, 5.91933280321672535E-014
        127, 5.86752551286431053E-014
        128, 8.59483516537190257E-014
       -128, 8.59483516537190257E-014
          0, 7.97525252668101359E-015
