         0, 2147483647,  1014, 1.68352151515392423E+305
         1,       8128,  1013, 4.20929203309279298E-001
         2,       8128,  1013, 5.96007239262201560E-001
         3,       8128,  1013, 1.40186527272177064E-001
         4,       8128,  1013, 8.37426937271721766E-002
         5,       8128,  1013, 2.44622048928029882E-003
         6,       8128,  1013, 1.89769584673780790E-005
         7,       8064,  1013, 2.82858129408462722E-008
         8,       5780,  1013, 2.78930712366979413E-012
         9,        613,  1013, 6.47100272256023420E-016
        10,          3,  1013, 6.33090277697051289E-016
        11,          0,  1013, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 2.47555185542662172E-014
          2, 1.85522354187631374E-014
          3, 1.89416359720655784E-014
          4, 1.87435829714112889E-014
          5, 1.75168480486048602E-014
          6, 1.63648797933675078E-014
          7, 1.94249773804665900E-014
          8, 1.97209619340828906E-014
          9, 2.22400269291103274E-014
         10, 2.16440927299369350E-014
         11, 2.07663732216919008E-014
         12, 2.22219601302975625E-014
         13, 2.02204293670259041E-014
         14, 2.16214313115965312E-014
         15, 1.75077811804906128E-014
         16, 2.83493764379451647E-014
         17, 2.09730529012766299E-014
         18, 2.18368128984492835E-014
         19, 2.55717760100546893E-014
         20, 2.42622389839358793E-014
         21, 2.62482749828480560E-014
         22, 2.28572618069305318E-014
         23, 2.50741384670990669E-014
         24, 3.27200336772370039E-014
         25, 3.08493582702404822E-014
         26, 2.40453633380025609E-014
         27, 2.46728810769718021E-014
         28, 2.58236898424375192E-014
         29, 2.27898275189521587E-014
         30, 2.68250174244536770E-014
         31, 2.72079618158904600E-014
         32, 2.48801512360036732E-014
         33, 2.52316290447483087E-014
         34, 2.59588197209658703E-014
         35, 2.58364885211888715E-014
         36, 3.01203511973923810E-014
         37, 3.63702486685936329E-014
         38, 3.42259932809894509E-014
         39, 4.40467895415437121E-014
         40, 3.35631753329883807E-014
         41, 3.32210096449881417E-014
         42, 3.12071610854509218E-014
         43, 4.01620551403694221E-014
         44, 3.22028537575438610E-014
         45, 3.69673848048372287E-014
         46, 3.23747576936910537E-014
         47, 3.40692531209791489E-014
         48, 3.26870949503840979E-014
         49, 4.50997960397336084E-014
         50, 4.03327135058979382E-014
         51, 3.51118053344654226E-014
         52, 3.25657530306226603E-014
         53, 5.17555751306120662E-014
         54, 3.49186539911562512E-014
         55, 4.26057308680680556E-014
         56, 3.93644319895095504E-014
         57, 4.37713890960581741E-014
         58, 5.39997742390490628E-014
         59, 4.79642541394086060E-014
         60, 4.43718174450098715E-014
         61, 7.88962211652893839E-014
         62, 6.89062255429448630E-014
         63, 8.38228840818436889E-014
         64, 8.72562720753222073E-014
         65, 1.59690495788713999E-014
         66, 1.65900827106401554E-014
         67, 2.29004632408039731E-014
         68, 1.97106285066778330E-014
         69, 2.53465978612492852E-014
         70, 2.51460619065124833E-014
         71, 2.22463664365398581E-014
         72, 2.03819977386745755E-014
         73, 2.43462942449637462E-014
         74, 2.21354026694297611E-014
         75, 2.21298613444275378E-014
         76, 2.02636201903562244E-014
         77, 2.18990634299636050E-014
         78, 2.25732645233082944E-014
         79, 2.14892357886790481E-014
         80, 2.93786623941098071E-014
         81, 2.77531233473273355E-014
         82, 2.30672197691605354E-014
         83, 2.41509603784512710E-014
         84, 2.32540025407508669E-014
         85, 2.74323783468311700E-014
         86, 2.54028319415817189E-014
         87, 2.60847307007883446E-014
         88, 3.48286001807182400E-014
         89, 2.63684728910045270E-014
         90, 2.96222035324790650E-014
         91, 2.29580588302509603E-014
         92, 2.03710069821390668E-014
         93, 2.21958858102545751E-014
         94, 2.61634113521036319E-014
         95, 2.77909969067837978E-014
         96, 2.84303045490196373E-014
         97, 2.73532672279084980E-014
         98, 3.33647395090514196E-014
         99, 2.66760641091127617E-014
        100, 3.46539955530880412E-014
        101, 3.84141169134416637E-014
        102, 3.44970371260266400E-014
        103, 3.99213047616714515E-014
        104, 3.31087033007130423E-014
        105, 3.79341737065940112E-014
        106, 3.01719237713183048E-014
        107, 3.26739862397805418E-014
        108, 3.46777156909919356E-014
        109, 4.13356244832887636E-014
        110, 3.38789718120070298E-014
        111, 3.80302748173965832E-014
        112, 3.52271402329754925E-014
        113, 4.73456374143962110E-014
        114, 3.59462317630481183E-014
        115, 4.64252858036106422E-014
        116, 3.65818613497849515E-014
        117, 4.03151949526880602E-014
        118, 3.74779197082450486E-014
        119, 4.25616029270830486E-014
        120, 5.19466047690686957E-014
        121, 4.10315363463495107E-014
        122, 4.81524884909263186E-014
        123, 4.51507699102773168E-014
        124, 5.38882646954052367E-014
        125, 5.76866080379156812E-014
        126, 5.59003821621906235E-014
        127, 7.32084080421217967E-014
        128, 6.97970870886450987E-014
        -64, 8.72562720753222073E-014
          0, 7.96939444831672692E-015
