         0, 2147483647,  1017, 1.16566479147600582E+306
         1,        124,  1017, 1.24323571768055300E+306
         2,        124,  1017, 1.24323571768055300E+306
         3,        120,  1017, 1.24323571768055300E+306
         4,        120,  1017, 1.24323571768055300E+306
         5,        108,  1017, 1.24323571768055300E+306
         6,         19,  1017, 1.24323571768055300E+306
         7,          1,  1017, 1.24323571768055300E+306
         8,          0,  1017, 1.24323571768055300E+306
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.71304335640948570E-015
          2, 1.87641229685564109E-015
          3, 1.77660522403381378E-015
          4, 1.54678220501402837E-015
          5, 1.45390741043062562E-015
          6, 1.71235894689624025E-015
          7, 2.06607397884586350E-015
          8, 3.11238994989781065E-015
          9, 2.17056019341134564E-015
         10, 1.68969419102077623E-015
         11, 1.63540552113628304E-015
         12, 1.19406596316674389E-015
         13, 2.51411004258525233E-015
         14, 3.16807110142520425E-015
         15, 3.00933888573076673E-015
         16, 4.03108883642715272E-015
        -16, 4.03108883642715272E-015
