         0, 2147483647,  1017, 1.16566479147600582E+306
         1,        120,  1017, 1.24323571768055300E+306
         2,        120,  1017, 1.24323571768055300E+306
         3,        120,  1017, 1.24323571768055300E+306
         4,        120,  1017, 1.24323571768055300E+306
         5,        113,  1017, 1.24323571768055300E+306
         6,         43,  1017, 1.24323571768055300E+306
         7,          0,  1017, 1.24323571768055300E+306
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.29930812386157229E-015
          2, 2.03427478921022495E-015
          3, 1.14131282100107522E-015
          4, 2.31397836420348801E-015
          5, 2.03976111209601529E-015
          6, 1.51362162713507653E-015
          7, 2.41740253719724439E-015
          8, 4.48983138899757904E-015
          9, 1.47438369525227203E-015
         10, 1.44352730316455132E-015
         11, 1.43092141106552422E-015
         12, 1.55894771481807629E-015
         13, 1.20162168206048110E-015
         14, 1.90807390193847180E-015
         15, 3.43682336869723042E-015
         16, 3.26977764682970694E-015
         -8, 4.48983138899757904E-015
