         0, 2147483647,  1017, 1.16566479147600582E+306
         1,        120,  1017, 5.51872035393221383E-001
         2,        120,  1017, 1.53070081894995602E-001
         3,        120,  1017, 2.10620331926370842E-002
         4,        120,  1017, 5.26751839622073364E-004
         5,        113,  1017, 5.92347772121569025E-007
         6,         43,  1017, 1.31650340214682312E-012
         7,          0,  1017, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.08221081615815050E-015
          2, 2.30319957841746861E-015
          3, 1.56280308993408033E-015
          4, 3.00069025124606320E-015
          5, 1.66871656972051669E-015
          6, 1.94396315878578052E-015
          7, 1.53050677142338441E-015
          8, 3.53121911698540905E-015
          9, 1.26796667539012108E-015
         10, 1.31183483403726210E-015
         11, 2.12179879041698922E-015
         12, 1.54261688607414040E-015
         13, 2.30946994445946703E-015
         14, 1.62368648431818279E-015
         15, 2.77219920031200998E-015
         16, 3.54411605985311529E-015
        -16, 3.54411605985311529E-015
          0, 1.69166183837524140E-015
