         0, 2147483647,  1009, 5.92706794675678526E+303
         1,    2098158,  1009, 2.28306843616854244E-001
         2,    2098121,  1009, 3.62306397853828566E-001
         3,    2098075,  1009, 8.00000000000000044E-001
         4,    2098075,  1009, 7.25056400366253961E-001
         5,    2097852,  1009, 8.37162545169487377E-002
         6,    2097203,  1009, 4.40209375188416706E-003
         7,    2096584,  1009, 3.16835533427860556E-005
         8,    2096214,  1009, 9.87670400366691678E-008
         9,    2026924,  1009, 1.09214148718746935E-010
        10,     654067,  1009, 2.01336651455380321E-014
        11,     167117,  1009, 2.38895040039430998E-015
        12,      19798,  1009, 2.41239506771504547E-015
        13,        158,  1009, 2.12246392094894747E-015
        14,          6,  1009, 2.22688554126857254E-015
        15,          0,  1009, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 7.97250896512139709E-013
          2, 7.64697327733003061E-013
          3, 7.90127641517427450E-013
          4, 7.99451353507372382E-013
          5, 7.18804798117810364E-013
          6, 7.64421576132013419E-013
          7, 7.78919748379090248E-013
          8, 7.72647132420189657E-013
          9, 7.16733874540364685E-013
         10, 8.02575818793035514E-013
         11, 8.15974495516046132E-013
         12, 8.50889295774944924E-013
         13, 8.29557142398358423E-013
         14, 8.20550672765671931E-013
         15, 7.90626861384997532E-013
         16, 7.45060595122995414E-013
         17, 7.26888754381468400E-013
         18, 7.72070412281551513E-013
         19, 7.99009475620536360E-013
         20, 7.56718143018897516E-013
         21, 8.57680637466207270E-013
         22, 7.80611331974327190E-013
         23, 7.56597107688801181E-013
         24, 7.56587415845583213E-013
         25, 7.96478399535071929E-013
         26, 8.65630484017744505E-013
         27, 8.06614116451356649E-013
         28, 8.42784164837822487E-013
         29, 7.77797618343720848E-013
         30, 8.10721516002945879E-013
         31, 8.09632709947641127E-013
         32, 8.22803890365167355E-013
         33, 8.46983271707431567E-013
         34, 7.99995994018949349E-013
         35, 8.27938218255056991E-013
         36, 7.65416584462605850E-013
         37, 8.47075905719613872E-013
         38, 8.15521251945182315E-013
         39, 8.53301522717916915E-013
         40, 7.88279277310781684E-013
         41, 7.64939724494248741E-013
         42, 8.48222917535394790E-013
         43, 7.90274277361484799E-013
         44, 7.88146836432624213E-013
         45, 7.89633095934433251E-013
         46, 7.85219194753237402E-013
         47, 7.83080083550987735E-013
         48, 7.83717253198131921E-013
         49, 7.82899707340008324E-013
         50, 8.48960283441277991E-013
         51, 8.18948287373299881E-013
         52, 8.38518907800663978E-013
         53, 8.37723216665954827E-013
         54, 7.84736269796404087E-013
         55, 8.13398620832953932E-013
         56, 8.38410355604323395E-013
         57, 8.32028711304484710E-013
         58, 8.27174967298434178E-013
         59, 7.60737871070001127E-013
         60, 7.77998367059052577E-013
         61, 8.30292257104851661E-013
         62, 8.74984699072880642E-013
         63, 8.11317258345862063E-013
         64, 8.35040205243545622E-013
         65, 8.24387829515020012E-013
         66, 8.06620253705882329E-013
         67, 7.65915203740277467E-013
         68, 8.03780838972692605E-013
         69, 8.50585347249154484E-013
         70, 8.30032923155192879E-013
         71, 8.06517225974262549E-013
         72, 7.64623562427896512E-013
         73, 8.69794197532033006E-013
         74, 7.94895313774891105E-013
         75, 8.86364510520496968E-013
         76, 8.43321016268108557E-013
         77, 8.25574321104071866E-013
         78, 7.89933998662569749E-013
         79, 8.39802268810946119E-013
         80, 8.17537200855443762E-013
         81, 8.75940495819765819E-013
