         0, 2147483647,  1009, 5.92706794675678526E+303
         1,    2096128,  1009, 1.91054786842979413E-001
         2,    2096128,  1009, 4.46577048524997688E-001
         3,    2096128,  1009, 7.43860644480666022E-001
         4,    2096128,  1009, 6.82408227397131806E-001
         5,    2096128,  1009, 7.87463879461037519E-002
         6,    2096128,  1009, 1.20802024461637778E-001
         7,    2096128,  1009, 1.49580224930264977E-002
         8,    2096128,  1009, 5.55823205651621919E-004
         9,    2092644,  1009, 4.83645803944456368E-006
        10,    1203607,  1009, 2.27555309775755081E-009
        11,     334252,  1009, 2.57567685359443471E-015
        12,      48888,  1009, 2.53184231370074896E-015
        13,        651,  1009, 2.51853808962574037E-015
        14,         22,  1009, 2.45338777687266647E-015
        15,          2,  1009, 2.47731072126334840E-015
        16,          1,  1009, 0.00000000000000000E+000
        17,          0,  1009, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 8.62527031218694227E-013
          2, 8.17806235968927435E-013
          3, 8.01667054713577921E-013
          4, 8.21634419578623463E-013
          5, 8.00937586724194795E-013
          6, 7.83043252458281747E-013
          7, 7.43947667524308207E-013
          8, 8.51728034807535613E-013
          9, 7.79804540824429555E-013
         10, 8.57425910695531521E-013
         11, 7.91441654469088982E-013
         12, 8.03654132471178265E-013
         13, 7.88902072343943740E-013
         14, 7.82438347087535739E-013
         15, 8.01449353810952057E-013
         16, 7.97645670458848479E-013
         17, 7.67309404592701183E-013
         18, 8.30825743100542223E-013
         19, 7.82027735039366543E-013
         20, 8.35632150397279312E-013
         21, 7.99331801591512580E-013
         22, 7.79282096941766548E-013
         23, 7.88200639891080346E-013
         24, 8.08040275075344234E-013
         25, 7.99375946982747096E-013
         26, 7.66742167056363915E-013
         27, 8.65358044931066939E-013
         28, 8.20515922435013886E-013
         29, 7.59178617288257366E-013
         30, 8.00336310888105081E-013
         31, 8.28877396164470948E-013
         32, 8.66529467565994089E-013
         33, 8.11717396476808673E-013
         34, 8.15260510829854887E-013
         35, 8.40358053234197790E-013
         36, 8.28638747834755465E-013
         37, 8.63669630325187522E-013
         38, 8.20779924705585417E-013
         39, 8.45002403155083856E-013
         40, 7.95614465659853195E-013
         41, 8.60668092228608379E-013
         42, 8.64975841606314126E-013
         43, 8.13506972370327608E-013
         44, 8.67877800713718510E-013
         45, 7.95735090711641811E-013
         46, 8.56815094717242297E-013
         47, 8.61826637481282668E-013
         48, 7.85435197569214952E-013
         49, 8.00910300788823079E-013
         50, 8.76388216948213668E-013
         51, 8.59088659144958427E-013
         52, 7.84866156239602858E-013
         53, 8.82918262321661036E-013
         54, 8.71630381830599820E-013
         55, 8.43771673251789324E-013
         56, 8.72724675952685090E-013
         57, 8.73696830486884982E-013
         58, 8.11790130239811829E-013
         59, 8.09610475424383935E-013
         60, 8.94084678876468987E-013
         61, 8.64502733063674841E-013
         62, 8.66346791033811808E-013
         63, 8.42786115837687771E-013
         64, 8.71485602166428979E-013
         65, 8.33787662061006190E-013
         66, 8.36942938968166671E-013
         67, 8.31535417461151318E-013
         68, 8.91866866325096331E-013
         69, 8.89522388982042596E-013
         70, 8.29571153419660402E-013
         71, 9.12205980656104424E-013
         72, 8.76610694799047512E-013
         73, 8.75767621207596869E-013
         74, 8.90151296199405021E-013
         75, 8.94080211338403740E-013
         76, 8.43970880307891458E-013
         77, 8.42422603043306067E-013
         78, 8.82136615844368238E-013
         79, 8.70371580557545178E-013
         80, 8.39838067231363725E-013
         81, 8.58635596734534844E-013
         82, 9.32028596282871680E-013
         83, 8.66603144963672131E-013
         84, 8.53423751580088905E-013
         85, 8.67121360525336634E-013
         86, 9.16908173325991755E-013
         87, 9.43546739045073509E-013
         88, 8.03012090122747911E-013
         89, 8.83622118121738085E-013
         90, 9.41246046435481432E-013
         91, 8.51650968008797567E-013
         92, 9.06320932383233352E-013
         93, 8.83121736263842663E-013
         94, 8.66458809144991228E-013
         95, 8.73385732019931916E-013
         96, 8.86365959704025506E-013
         97, 9.40093769320522221E-013
         98, 8.31818681262396733E-013
         99, 8.21644562218330188E-013
        100, 8.97455877935302745E-013
        101, 9.05510321489613533E-013
        102, 9.06442666573516605E-013
        103, 9.06107315112745412E-013
        104, 8.63612889261407144E-013
        105, 8.55853495741517529E-013
        106, 8.84890342499408609E-013
        107, 9.12651322682485807E-013
        108, 8.59098129334248163E-013
        109, 8.59477142725461642E-013
        110, 8.43793767116563190E-013
        111, 8.64789982122285062E-013
        112, 8.81725840713777263E-013
        113, 8.15963590931357974E-013
        114, 8.76916076453285270E-013
        115, 8.86164372232538048E-013
        116, 9.45999475392070996E-013
        117, 8.16252275876973494E-013
        118, 9.03743944759889077E-013
        119, 8.33091660008742918E-013
        120, 8.75626515285154061E-013
        121, 9.47441992750372010E-013
        122, 8.73234529666906965E-013
        123, 9.16323487846609751E-013
        124, 8.92244283047222335E-013
        125, 8.51890021605392264E-013
        126, 8.64638541948424261E-013
        127, 8.21483050458523615E-013
        128, 8.99980030779552423E-013
        129, 9.36710490338017739E-013
        130, 9.04789160960152647E-013
        131, 8.24541559132742538E-013
        132, 8.62090929503154739E-013
        133, 8.60274673890960826E-013
        134, 8.72929214351744823E-013
        135, 9.68306910135017297E-013
        136, 8.94387017196647387E-013
        137, 7.98557913624795480E-013
        138, 9.10849545912531072E-013
        139, 9.63287421626690371E-013
        140, 8.75341454116754632E-013
        141, 8.76457347121076808E-013
        142, 9.35118485280803960E-013
        143, 9.11623042125317562E-013
        144, 8.88777223511425974E-013
        145, 9.25866296815259379E-013
        146, 9.55503577899693716E-013
        147, 8.81328941822420613E-013
        148, 9.04766274794431846E-013
        149, 8.45126228067759140E-013
        150, 8.31868786375689665E-013
        151, 8.47167748174328305E-013
        152, 9.03267194513025085E-013
        153, 9.00902356059195600E-013
        154, 9.54600887455321442E-013
        155, 9.14055315137813305E-013
        156, 9.15258882730601638E-013
        157, 8.34227331663339229E-013
        158, 9.16817322635812792E-013
        159, 9.23807342734395843E-013
        160, 9.33739315462662095E-013
        161, 8.82996578154274860E-013
        162, 8.47339339155131278E-013
        163, 9.03522009258565968E-013
        164, 8.56814934485052465E-013
        165, 9.20171029040006952E-013
        166, 9.02636684544048458E-013
        167, 9.02071633984157410E-013
        168, 8.96513757655037994E-013
        169, 8.78543931715803718E-013
        170, 8.67913823299073385E-013
        171, 7.99211934580853660E-013
        172, 8.76001144409981437E-013
        173, 9.32167030769734976E-013
        174, 7.99101530183219812E-013
        175, 8.75785995839009353E-013
        176, 9.68899365027604728E-013
        177, 8.80494177112637565E-013
        178, 9.50229133291285644E-013
        179, 9.22353992539383092E-013
        180, 8.46237164142436894E-013
        181, 8.96386823925628866E-013
        182, 9.45372325267836244E-013
        183, 9.39647767396368672E-013
        184, 9.62532567148807553E-013
        185, 8.70150684105256094E-013
        186, 9.22341058540034672E-013
        187, 9.29747375103173263E-013
        188, 8.43711611347951541E-013
        189, 8.76737409323690444E-013
        190, 9.19799111728888007E-013
        191, 9.30751295034743956E-013
        192, 8.74787867212123448E-013
        193, 8.91482534087439831E-013
        194, 8.71105670685710004E-013
        195, 9.05408586026610655E-013
        196, 8.92732796822521562E-013
        197, 8.97206584784776327E-013
        198, 8.52370594636347827E-013
        199, 9.18170418948903165E-013
        200, 8.72512531926740200E-013
        201, 8.96414094488674160E-013
