         0, 2147483647,  1009, 5.92706794675678526E+303
         1,    2098158,  1009, 2.28306843616869704E-001
         2,    2098117,  1009, 3.62306397854643525E-001
         3,    2098091,  1009, 8.00000000000000044E-001
         4,    2098084,  1009, 7.25057099658345305E-001
         5,    2097829,  1009, 8.30565914093050195E-002
         6,    2097261,  1009, 4.35326450733461347E-003
         7,    2096572,  1009, 2.04033949821065796E-005
         8,    2096216,  1009, 9.75657981801255102E-008
         9,    2029348,  1009, 1.12101923866245727E-010
        10,     664225,  1009, 3.49209054490058496E-014
        11,     167157,  1009, 2.56480026896162883E-015
        12,      21408,  1009, 2.49425566664322332E-015
        13,        322,  1009, 2.40547249627157590E-015
        14,          8,  1009, 1.69853147006796761E-015
        15,          4,  1009, 1.66996935896937346E-015
        16,          0,  1009, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 7.78019689606425802E-013
          2, 7.53056254943583014E-013
          3, 7.41425915450963468E-013
          4, 7.85539273334086104E-013
          5, 7.94484671149827493E-013
          6, 7.94745684449152475E-013
          7, 7.30584379813986898E-013
          8, 7.67526036223369203E-013
          9, 7.67004342555981897E-013
         10, 8.04017762852910229E-013
         11, 8.08694796653294899E-013
         12, 7.65041909557650437E-013
         13, 8.06381083158568470E-013
         14, 7.67416314805377881E-013
         15, 7.95728233620880957E-013
         16, 7.87608547013623518E-013
         17, 8.26599894654168662E-013
         18, 8.20572383731537362E-013
         19, 7.41692664347473330E-013
         20, 7.90859495442304839E-013
         21, 7.87925683702976527E-013
         22, 7.70523285908851259E-013
         23, 7.88996851884187249E-013
         24, 7.95799544683965208E-013
         25, 7.73052293099420463E-013
         26, 8.55198189171232191E-013
         27, 8.23209170770591713E-013
         28, 8.55110504809563785E-013
         29, 7.42077216585320353E-013
         30, 7.65405865695920745E-013
         31, 7.91010073321078237E-013
         32, 8.14450750034349762E-013
         33, 8.04107774449297259E-013
         34, 8.05189467835508638E-013
         35, 8.29348613951396025E-013
         36, 8.51793415667404923E-013
         37, 8.33510776726450230E-013
         38, 8.24251296710861889E-013
         39, 8.15890110612244832E-013
         40, 7.57158130038001182E-013
         41, 8.37151049836894385E-013
         42, 8.53700588489157080E-013
         43, 8.21237633015202204E-013
         44, 7.76689141240722677E-013
         45, 7.96557762176247962E-013
         46, 8.25573282340021353E-013
         47, 7.79269518132349321E-013
         48, 8.34176794798797215E-013
         49, 7.13412062901416217E-013
         50, 7.94484030657185815E-013
         51, 7.12160688013497770E-013
         52, 8.49298601847077774E-013
         53, 8.20624303650255803E-013
         54, 8.41216837388190078E-013
         55, 8.12766782764789177E-013
         56, 8.26003981224874076E-013
         57, 8.32761511068179988E-013
         58, 8.22093357508681017E-013
         59, 7.83545902588096660E-013
         60, 7.66984667736801390E-013
         61, 8.10428991787794034E-013
         62, 8.06798125819701033E-013
         63, 7.72327977357493770E-013
         64, 8.25924439257795673E-013
         65, 7.82534415866588562E-013
         66, 7.97891771321806869E-013
         67, 7.89154177782152128E-013
         68, 8.00979294723303484E-013
         69, 7.65397998943810524E-013
         70, 7.60305190238649471E-013
         71, 8.04911689134268991E-013
         72, 8.29507093620065905E-013
         73, 8.39929556385278142E-013
         74, 8.36219134332641881E-013
         75, 8.96984060095298115E-013
         76, 8.08017408159242957E-013
         77, 8.17308492479507748E-013
         78, 8.38871070739453232E-013
         79, 8.23471716507556583E-013
         80, 8.40467488180182091E-013
         81, 8.83069272430354115E-013
         82, 8.30602477927390602E-013
         83, 8.63160611359320843E-013
         84, 8.67861744835131713E-013
         85, 7.91719742246891493E-013
         86, 7.61493844222112847E-013
         87, 8.07998946165493795E-013
         88, 8.07447461296530572E-013
         89, 8.59185217114761333E-013
         90, 8.56048103496388735E-013
         91, 8.16739433815479451E-013
         92, 8.28688245347850887E-013
         93, 8.08400928269811435E-013
         94, 8.27338156833192354E-013
         95, 8.28931146442191718E-013
         96, 8.45614502616023958E-013
         97, 8.28412571646363797E-013
         98, 8.56696175862749165E-013
         99, 7.86415799137282927E-013
        100, 8.26846454989656879E-013
        101, 7.99461019074801566E-013
        102, 7.67889373335689298E-013
        103, 8.47385254427672012E-013
        104, 8.24804729908774786E-013
        105, 7.65211831726662096E-013
        106, 8.25471740285177110E-013
        107, 8.20763044889271524E-013
        108, 8.29385721665467555E-013
        109, 8.46717114662371391E-013
        110, 8.18284169254083084E-013
        111, 9.14300940442001728E-013
        112, 8.37337466851887467E-013
        113, 7.82849836886533140E-013
        114, 8.46145723045609644E-013
        115, 7.96435545747068090E-013
        116, 7.84986217016585783E-013
        117, 7.91920742746287460E-013
        118, 8.50208967513153625E-013
        119, 7.69678409312237266E-013
        120, 8.57825106330652627E-013
        121, 8.55755436470647815E-013
        122, 8.72993660003461569E-013
        123, 8.77785242062466550E-013
        124, 7.58677352225050052E-013
        125, 8.18361779493292013E-013
        126, 7.89331076721655018E-013
        127, 8.43886569223635107E-013
        128, 8.05316305951332297E-013
        129, 8.14665537018216013E-013
        130, 8.87084767847575758E-013
        131, 8.09181508842313108E-013
        132, 7.94980667912752153E-013
        133, 8.43393789326627615E-013
        134, 7.99849518290055464E-013
        135, 8.41708451071440695E-013
        136, 8.89672394287898683E-013
        137, 8.71032061906542091E-013
        138, 8.40206486030177906E-013
        139, 8.70202611636234176E-013
        140, 8.55213382468449342E-013
        141, 7.91734725628081007E-013
        142, 8.46054214869734446E-013
        143, 8.43097818552564716E-013
        144, 8.23516490272720117E-013
        145, 8.77765989328585547E-013
        146, 8.25396153136495102E-013
        147, 8.12158772681619280E-013
        148, 8.51769655622429336E-013
        149, 8.48930884187384900E-013
        150, 8.13789000084042678E-013
        151, 8.53901942352630359E-013
        152, 7.84612490561538778E-013
        153, 7.92126892386342780E-013
        154, 8.19733995737733354E-013
        155, 8.58120106084459211E-013
        156, 8.58899497475399655E-013
        157, 8.23507261176280927E-013
        158, 8.55265758655486078E-013
        159, 9.17169086017210591E-013
        160, 9.27236553066493051E-013
        161, 8.34120920301513261E-013
        162, 8.02196733820842898E-013
        163, 9.19119668118056263E-013
        164, 8.54465637128945679E-013
        165, 8.04144297327647025E-013
        166, 8.46507570856703211E-013
        167, 8.74662338416981476E-013
        168, 8.81739899659017390E-013
        169, 8.74758779390110650E-013
        170, 8.18678579254243292E-013
        171, 8.18591414930362618E-013
        172, 8.96056500258056238E-013
        173, 9.21633575536797632E-013
        174, 8.13592551903422084E-013
        175, 8.73055148523106826E-013
        176, 8.71149021834369013E-013
        177, 8.32240749589185297E-013
        178, 8.61814623593935417E-013
        179, 8.72781974649007003E-013
        180, 8.49643047571126854E-013
        181, 8.82359463640109017E-013
        182, 9.43670561575799218E-013
        183, 8.44396462522717068E-013
        184, 8.42703059600726081E-013
        185, 9.17206918777585469E-013
        186, 9.29210938082387629E-013
        187, 8.59292413348903137E-013
        188, 9.17522024105891539E-013
        189, 8.31988595602691881E-013
        190, 9.32963572611960206E-013
        191, 8.43961821953533804E-013
        192, 9.22389358289848093E-013
        193, 8.85750270444740595E-013
        194, 9.58958999245347349E-013
        195, 8.33445730774820188E-013
        196, 8.96720244944219471E-013
        197, 8.81496198679252326E-013
        198, 8.69761108605688664E-013
        199, 9.07304372242761330E-013
        200, 8.52385857990295110E-013
        201, 8.71641031984452171E-013
        202, 9.57447005090844114E-013
        203, 8.67222134416578785E-013
        204, 8.95513890375259625E-013
        205, 9.20172908948592907E-013
        206, 9.68448361049100812E-013
        207, 8.74263585817238776E-013
        208, 9.00826148068881942E-013
        209, 9.30584151909406324E-013
        210, 8.92936802872461014E-013
        211, 8.69568593674912857E-013
        212, 9.52453743474856611E-013
        213, 9.36090811472553395E-013
        214, 8.91245671016616230E-013
        215, 8.72729738420028615E-013
        216, 9.59241499759917004E-013
        217, 9.59867735599869132E-013
        218, 9.24378655559559024E-013
        219, 9.03064083013750736E-013
        220, 9.31607264515205379E-013
        221, 9.91229795840569236E-013
        222, 9.46503972640313144E-013
        223, 1.01377469536050704E-012
        224, 8.67387054633864596E-013
        225, 9.05417312753315234E-013
        226, 8.87623607850293956E-013
        227, 9.15855335484953325E-013
        228, 9.49982750160635132E-013
        229, 9.10203998088357317E-013
        230, 8.56047133222574873E-013
        231, 9.05699117467797010E-013
        232, 8.89021348550577673E-013
        233, 9.81511603224045732E-013
        234, 1.03350648830686874E-012
        235, 8.74555161223774714E-013
        236, 9.56965050639297806E-013
        237, 9.69172043896974776E-013
        238, 9.48452230431798354E-013
        239, 9.63915143506432892E-013
        240, 9.70552415883392180E-013
        241, 9.59334727421909723E-013
        242, 9.21453834622923729E-013
        243, 9.24222557651021547E-013
        244, 9.48428690293026712E-013
        245, 9.15363318010256525E-013
        246, 9.87934886944558726E-013
        247, 9.38346113668654050E-013
        248, 9.56216116504224549E-013
        249, 9.30063793032881207E-013
        250, 9.00045430927219802E-013
        251, 8.47707566192303060E-013
        252, 9.06690515101326759E-013
        253, 9.43824686366490931E-013
        254, 9.07501906757814690E-013
        255, 9.26665372540842813E-013
        256, 8.98357062348091735E-013
        257, 9.32319901232368404E-013
        258, 9.92526918898355379E-013
        259, 9.06717565737168605E-013
        260, 8.50340485773240345E-013
        261, 9.73966703350517136E-013
        262, 9.31350207455923697E-013
        263, 9.26211860136356657E-013
        264, 9.77835991919542515E-013
        265, 9.67128386484594417E-013
        266, 1.03011901626890598E-012
        267, 9.78535149662263343E-013
        268, 9.24578753519694269E-013
        269, 9.13170003503882585E-013
        270, 9.27056559169176242E-013
        271, 9.11568455801448832E-013
        272, 9.93247258775039971E-013
        273, 9.31125347805175233E-013
        274, 9.61062331474138561E-013
        275, 9.61340434194724477E-013
        276, 8.72056552376441785E-013
        277, 9.56823053163204397E-013
        278, 9.21688511692051976E-013
        279, 8.85252163183050172E-013
        280, 9.42955138503573923E-013
        281, 9.53307096720924832E-013
        282, 8.96782851986803085E-013
        283, 9.76169924050952042E-013
        284, 9.57652367713915103E-013
        285, 9.36921728881716273E-013
        286, 8.61572361792407150E-013
        287, 9.56863454075734555E-013
        288, 9.10329671563911358E-013
        289, 9.13491972042247201E-013
        290, 9.10379558161033542E-013
        291, 9.82573919727188244E-013
        292, 9.28704741510019522E-013
        293, 8.89211353917873295E-013
        294, 9.58007544553864328E-013
        295, 9.08448825921416457E-013
        296, 9.88968795084688317E-013
        297, 1.00943278093494441E-012
        298, 9.05705157777730209E-013
        299, 9.49018320629977936E-013
        300, 8.89175523408180673E-013
        301, 9.55941997771660256E-013
        302, 9.73470252787739255E-013
        303, 8.77359297721457705E-013
        304, 9.96205154614412184E-013
        305, 9.69324492273258366E-013
        306, 8.87315746017106135E-013
        307, 9.56976578021883507E-013
        308, 9.79256876019687334E-013
        309, 1.00126209092157657E-012
        310, 9.30650197102263925E-013
        311, 9.82572195949491603E-013
        312, 9.29205962929324840E-013
        313, 9.85875371097527459E-013
        314, 9.51445311680854581E-013
        315, 9.28670224286219719E-013
        316, 8.99765776482411658E-013
        317, 9.47622808082359506E-013
        318, 9.90910733078800493E-013
        319, 9.34496933813476291E-013
        320, 9.33776728259267726E-013
        321, 9.04785080191810837E-013
        322, 9.86573414105364160E-013
        323, 9.52887500571037717E-013
        324, 9.92185843758644259E-013
        325, 9.69275131756802517E-013
        326, 1.00134650104745862E-012
        327, 9.16924802600989504E-013
        328, 1.03744608369447921E-012
        329, 9.30261784509938721E-013
        330, 9.84324332863866399E-013
        331, 1.03366575212061578E-012
        332, 1.00485800043124310E-012
        333, 8.93377000306415246E-013
        334, 9.98213882802803866E-013
        335, 9.83126598206411644E-013
        336, 9.65589194503792837E-013
        337, 9.82238615321379450E-013
        338, 1.04271832918021505E-012
