         0, 2147483647,  1009, 5.92706794675678526E+303
         1,    2096128,  1009, 1.91054786842979385E-001
         2,    2096128,  1009, 4.79601269097324867E-001
         3,    2096128,  1009, 7.18209481257443216E-001
         4,    2096128,  1009, 7.37689600744876772E-001
         5,    2096128,  1009, 7.04394754247612415E-002
         6,    2096128,  1009, 1.25487834499975082E-001
         7,    2096128,  1009, 1.83621883082189692E-002
         8,    2096128,  1009, 7.01377267820141380E-004
         9,    2088936,  1009, 2.19779001132490090E-006
        10,    1164053,  1009, 4.20706424808720155E-010
        11,     335537,  1009, 2.66854326203576677E-015
        12,      50187,  1009, 2.54957772839420176E-015
        13,       1083,  1009, 2.51452337079143641E-015
        14,         38,  1009, 2.50574205309969836E-015
        15,          5,  1009, 2.47321255482267091E-015
        16,          0,  1009, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 8.91813340070000001E-013
          2, 7.97603758107330569E-013
          3, 7.88953183756021420E-013
          4, 7.85563641064325517E-013
          5, 8.24160763556353697E-013
          6, 8.72354931692664446E-013
          7, 8.11760592437424115E-013
          8, 8.30866003297525408E-013
          9, 8.12670142764598267E-013
         10, 8.45717669325815876E-013
         11, 8.10122800627551887E-013
         12, 8.52845259850357773E-013
         13, 7.81789981906459635E-013
         14, 8.63031889015052265E-013
         15, 8.67699972858337926E-013
         16, 8.67311070289917857E-013
         17, 8.55010167971427967E-013
         18, 7.84082523245653390E-013
         19, 8.03182962519728753E-013
         20, 8.49638416107112806E-013
         21, 8.38884226576880364E-013
         22, 8.09527148663644439E-013
         23, 7.98067206777725937E-013
         24, 8.35541668816884344E-013
         25, 8.40618691022067250E-013
         26, 8.21097335827052942E-013
         27, 8.52761277265315111E-013
         28, 8.20901394419192208E-013
         29, 8.16473950850779506E-013
         30, 7.71535599476194891E-013
         31, 7.95585028190202879E-013
         32, 7.74616899559757265E-013
         33, 8.18832322288499412E-013
         34, 8.38083728310550314E-013
         35, 8.88478459028107175E-013
         36, 8.32638090192423195E-013
         37, 8.51154403054726484E-013
         38, 8.29672237007470609E-013
         39, 8.35192055420191811E-013
         40, 8.15631543352948673E-013
         41, 8.74856552745812612E-013
         42, 7.89852653704718131E-013
         43, 8.40429008754550945E-013
         44, 8.29179637837816240E-013
         45, 8.32198084778224026E-013
         46, 8.26216944465121510E-013
         47, 8.33030153623260424E-013
         48, 7.86812086877956191E-013
         49, 8.54330116215884961E-013
         50, 8.95309963368279965E-013
         51, 8.32602698938050999E-013
         52, 7.99685621738102614E-013
         53, 8.10376536011276994E-013
         54, 8.45345054697605448E-013
         55, 8.86719127128307021E-013
         56, 8.28330912111790858E-013
         57, 7.97753948673787712E-013
         58, 8.45581198337967567E-013
         59, 8.24390880726138489E-013
         60, 7.67722730924989151E-013
         61, 8.43721390347527816E-013
         62, 8.71529433476264124E-013
         63, 8.86680377094131948E-013
         64, 8.38992705768164052E-013
         65, 8.27649637899774416E-013
         66, 8.61360503152716573E-013
         67, 8.83008449510354823E-013
         68, 8.07532820807333393E-013
         69, 9.08462002596232562E-013
         70, 8.45366797308507901E-013
         71, 8.16610426159773391E-013
         72, 8.36022527509153383E-013
         73, 8.55641673234524281E-013
         74, 8.40710653087775088E-013
         75, 8.20043054815661502E-013
         76, 8.97570726967035896E-013
         77, 8.28633380017887727E-013
         78, 8.16532320660567779E-013
         79, 9.00810563351945339E-013
         80, 8.27293867064039015E-013
         81, 8.01802387377561559E-013
         82, 8.50269501378024522E-013
         83, 8.90827532063302861E-013
         84, 8.76422751109590280E-013
         85, 8.36520589247042501E-013
         86, 8.35775652897208287E-013
         87, 8.65593044885274786E-013
         88, 8.78084876312793306E-013
         89, 8.52507709708031942E-013
         90, 8.75572155986785522E-013
         91, 8.58107352152059453E-013
         92, 8.25902373348721823E-013
         93, 8.47989201843702834E-013
         94, 8.35005613288444069E-013
         95, 8.05554801373000748E-013
         96, 9.48234782070191404E-013
         97, 8.39749414700936461E-013
         98, 8.95757546786645266E-013
         99, 8.02245238140684622E-013
        100, 8.69649581829778177E-013
        101, 8.70238047633037844E-013
        102, 8.11244402206230442E-013
        103, 8.13518286603154030E-013
        104, 8.54497375444028618E-013
        105, 7.95121067752631076E-013
        106, 8.28429285641200388E-013
        107, 8.40080312503974617E-013
        108, 8.31564336884071766E-013
        109, 8.22002899777645318E-013
        110, 8.93401568999805321E-013
        111, 8.00452316582223271E-013
        112, 8.62439783193046636E-013
        113, 8.67454993655441361E-013
        114, 8.81620477738993125E-013
        115, 8.55766629470162253E-013
        116, 8.81801078808862842E-013
        117, 8.71116545164191225E-013
        118, 8.83697685178090226E-013
        119, 8.22074724977197554E-013
        120, 8.35302505725070313E-013
        121, 9.14217557736795879E-013
        122, 8.29876354587000040E-013
        123, 8.36158978084480933E-013
        124, 7.98583762978359565E-013
        125, 8.17762228825149132E-013
        126, 8.68941405839691088E-013
        127, 8.74853839660726569E-013
        128, 8.67137884460095872E-013
        129, 9.13736340875344425E-013
        130, 9.39875578462910754E-013
        131, 9.06191350438923996E-013
        132, 8.65906420209541759E-013
        133, 8.14898515945179424E-013
        134, 8.50306406796472433E-013
        135, 8.94981107942548274E-013
        136, 8.57122860835891457E-013
        137, 8.52935443090546911E-013
