         0, 2147483647,  1013, 8.48040993874676264E+304
         1,      32873,  1012, 3.43591424856046601E-001
         2,      32847,  1012, 5.63765058997493962E-001
         3,      32828,  1012, 4.02164578116846361E-001
         4,      32738,  1012, 3.39946537192378356E-002
         5,      32657,  1012, 9.48395472027787722E-004
         6,      32641,  1012, 1.49069869289207347E-005
         7,      32600,  1012, 3.54145939417609587E-008
         8,      24390,  1012, 3.80020207804216056E-012
         9,       2999,  1012, 9.19452346808151782E-016
        10,        176,  1012, 8.74699429793460732E-016
        11,          1,  1012, 0.00000000000000000E+000
        12,          0,  1012, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 4.75336581563064315E-014
          2, 3.98008185876396564E-014
          3, 5.33033153813667017E-014
          4, 5.04657012531412893E-014
          5, 5.64473671394476137E-014
          6, 3.85210805459028512E-014
          7, 4.33833841062547836E-014
          8, 4.13840636283778921E-014
          9, 4.28332614978593110E-014
         10, 4.68217040902434397E-014
         11, 4.88428192417906201E-014
         12, 4.28169997030871423E-014
         13, 4.95796012258881345E-014
         14, 4.28345224637034515E-014
         15, 5.37790640676843133E-014
         16, 4.21034955445902210E-014
         17, 5.29453880924136050E-014
         18, 4.95643240854993860E-014
         19, 4.59368172204554249E-014
         20, 5.28416272768035128E-014
         21, 5.05074945582090655E-014
         22, 5.22292733485213104E-014
         23, 4.83814644622105676E-014
         24, 4.48080899282839329E-014
         25, 4.54441329230048727E-014
         26, 5.30273165256556273E-014
         27, 6.00446099976565834E-014
         28, 5.56144844129611137E-014
         29, 4.83228033902831549E-014
         30, 6.30390573301606181E-014
         31, 5.88977021303333179E-014
         32, 5.91363358060078364E-014
         33, 5.98136036373767922E-014
         34, 4.73869306460786822E-014
         35, 5.15064183024513292E-014
         36, 4.43098919658759440E-014
         37, 4.92316518522022406E-014
         38, 6.63871429301259433E-014
         39, 4.94265274338292186E-014
         40, 6.00865230193010920E-014
         41, 4.70831807641263814E-014
         42, 5.85656446563641164E-014
         43, 5.62254869572708401E-014
         44, 6.04357772816439567E-014
         45, 6.64053208772026751E-014
         46, 6.19098298312864859E-014
         47, 6.44477283883305996E-014
         48, 6.17653186446765523E-014
         49, 5.29604243652595077E-014
         50, 5.85107834643760725E-014
         51, 6.88281713237346976E-014
         52, 5.33074194309367199E-014
         53, 7.02143612442978928E-014
         54, 7.35417178858799749E-014
         55, 5.77960937786646258E-014
         56, 7.71774747105531502E-014
         57, 5.51806097490267574E-014
         58, 6.24674691733865459E-014
         59, 6.57192449170375686E-014
         60, 6.02979166862448080E-014
         61, 5.53193337692669238E-014
         62, 6.36972547195897148E-014
         63, 6.60144844110840020E-014
         64, 7.15054163811810049E-014
         65, 5.66441889558749853E-014
         66, 6.26671110599945464E-014
         67, 6.58640844581801637E-014
         68, 6.43367851725020554E-014
         69, 6.94343034776681796E-014
         70, 7.53857422880456091E-014
         71, 7.97959716816249565E-014
         72, 5.80231799830628253E-014
         73, 7.27312313231102534E-014
         74, 5.13870482567607294E-014
         75, 6.89633038865711312E-014
         76, 8.59629726217455332E-014
         77, 6.50345890915506297E-014
         78, 7.99137803508477034E-014
         79, 7.63272069926825951E-014
         80, 7.20366372139565282E-014
         81, 6.72585665066174556E-014
         82, 7.12821519167354199E-014
         83, 7.40799547552466652E-014
         84, 6.19282350814139700E-014
         85, 7.84914326871656112E-014
         86, 8.45441756644828578E-014
         87, 7.88454526465899527E-014
         88, 7.43733424627083272E-014
         89, 7.83021627983361790E-014
         90, 7.95089841018309494E-014
         91, 1.03343022744491547E-013
         92, 9.04156586953006833E-014
         93, 7.99759732146906691E-014
         94, 1.10914604938429017E-013
         95, 7.83218024075897301E-014
         96, 8.67576573723780920E-014
         97, 9.26255513646337546E-014
         98, 9.39322946559602091E-014
         99, 9.06649807346346081E-014
        100, 9.18846996238534830E-014
        101, 1.05551125451500546E-013
        102, 8.87308881214258838E-014
        103, 7.89554894795818500E-014
        104, 1.10140679973885020E-013
        105, 1.30447724412339837E-013
        106, 1.10899903349723608E-013
        107, 8.46595590806988294E-014
        108, 9.08546169218629685E-014
        109, 1.23865228181236749E-013
        110, 1.08123698731369746E-013
        111, 1.36800111145557731E-013
        112, 1.42066132425963668E-013
        113, 1.56861641710202487E-013
        114, 1.48877782401295613E-013
        115, 1.52938356520600407E-013
        116, 1.08831256676929422E-013
        117, 1.32462147241176182E-013
        118, 1.16634394727588837E-013
        119, 1.08364113334346088E-013
        120, 1.48362533590685594E-013
        121, 1.27190705198027492E-013
        122, 1.49449137110191203E-013
        123, 1.65684842658884124E-013
        124, 1.49411189517232542E-013
        125, 1.42557213473312672E-013
        126, 1.65219370278348979E-013
        127, 1.64330404286453288E-013
        128, 1.84503010373996302E-013
        129, 4.95136939099699801E-014
        130, 4.63497259645878240E-014
        131, 4.28604742228016865E-014
        132, 4.72746216815540792E-014
        133, 4.66794511684324567E-014
        134, 4.10328084696788426E-014
        135, 4.03626726452300621E-014
        136, 4.90799564019252489E-014
        137, 4.57797333480772690E-014
        138, 4.79535278642005637E-014
        139, 3.98901807050932362E-014
        140, 4.34214614313599803E-014
        141, 4.54554632784826283E-014
        142, 4.65559722088661831E-014
        143, 4.09314806156464066E-014
        144, 5.47768681779171233E-014
        145, 4.27937144624992219E-014
        146, 5.31402639942140944E-014
        147, 4.74922310086425302E-014
        148, 4.81254539690943202E-014
        149, 4.84909379188675983E-014
        150, 4.82691144940133700E-014
        151, 4.56221419292818304E-014
        152, 4.57216575759116380E-014
        153, 5.80466893462495666E-014
        154, 4.78878273551164002E-014
        155, 4.84591032860835122E-014
        156, 5.42524312721443843E-014
        157, 5.78458369605342223E-014
        158, 4.56168762443129610E-014
        159, 5.24108087010485953E-014
        160, 5.31581680070953930E-014
        161, 4.79700512958111832E-014
        162, 4.79799561241489124E-014
        163, 5.64704687302926049E-014
        164, 5.53829208887404125E-014
        165, 5.09733028766718981E-014
        166, 6.27117561086491100E-014
        167, 5.93537495768937728E-014
        168, 5.24800524446770593E-014
        169, 5.55151703713292021E-014
        170, 5.96010670596245402E-014
        171, 5.87055131755256818E-014
        172, 5.68946840173396931E-014
        173, 6.73033322881107150E-014
