         0, 2147483647,  1013, 8.48040993874676264E+304
         1,      32640,  1012, 2.92171441976508295E-001
         2,      32640,  1012, 5.11621419723064408E-001
         3,      32640,  1012, 4.53485907960806345E-001
         4,      32640,  1012, 8.41587354209989702E-002
         5,      32640,  1012, 1.71192244150947560E-002
         6,      32640,  1012, 6.09824078736941684E-004
         7,      32640,  1012, 1.84014915712750777E-006
         8,      30559,  1012, 1.15075988930361018E-010
         9,       6034,  1012, 0.00000000000000000E+000
        10,        795,  1012, 0.00000000000000000E+000
        11,          8,  1012, 0.00000000000000000E+000
        12,          0,  1012, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 5.87094291783457414E-014
          2, 4.67974209299255967E-014
          3, 4.03245833171767366E-014
          4, 5.22515238629219203E-014
          5, 5.28168848331612023E-014
          6, 4.39897527859558439E-014
          7, 4.06716336938195252E-014
          8, 4.36670378534539802E-014
          9, 3.86122334151204260E-014
         10, 6.31586135318726496E-014
         11, 5.26312439075343464E-014
         12, 5.41557703548253540E-014
         13, 4.49387456483976586E-014
         14, 4.20191371447531721E-014
         15, 5.50120285762080858E-014
         16, 4.10391702958719435E-014
         17, 5.19736051918540954E-014
         18, 5.41206714075241613E-014
         19, 5.60701583099755890E-014
         20, 5.20315208470899451E-014
         21, 5.54203950604968186E-014
         22, 5.74002201663994149E-014
         23, 5.09632215091552187E-014
         24, 5.35404825034018047E-014
         25, 5.11870260363914786E-014
         26, 4.97389396460067211E-014
         27, 5.80092328746675492E-014
         28, 5.97428052856048941E-014
         29, 5.10181021384676385E-014
         30, 5.08510702760237456E-014
         31, 7.06250896881127576E-014
         32, 5.93694251547593380E-014
         33, 6.44585542339114380E-014
         34, 5.37785454216361912E-014
         35, 4.81744234760624135E-014
         36, 4.14940325818425501E-014
         37, 4.90155198339200354E-014
         38, 5.89698301671070995E-014
         39, 4.88510257665563742E-014
         40, 5.96497071835236926E-014
         41, 4.57637399238073591E-014
         42, 6.17973084283424386E-014
         43, 6.40103121392611661E-014
         44, 5.39034311228801913E-014
         45, 7.62281665705653428E-014
         46, 5.02332668310169786E-014
         47, 7.43605043114609867E-014
         48, 6.27173858120066086E-014
         49, 6.09803368434712453E-014
         50, 5.44787595083988422E-014
         51, 7.85751751946339936E-014
         52, 6.32700022919551154E-014
         53, 6.21969163865643380E-014
         54, 6.75790102493416300E-014
         55, 5.64110830585144615E-014
         56, 7.85618827097979558E-014
         57, 5.34078146175150270E-014
         58, 6.56523709434584756E-014
         59, 6.70162502250278565E-014
         60, 7.13536517604888971E-014
         61, 6.44753583135236757E-014
         62, 6.89510739968505341E-014
         63, 7.44034095147377506E-014
         64, 7.27557256605806018E-014
         65, 6.45906808250827062E-014
         66, 7.07830424520721251E-014
         67, 6.69488707285667607E-014
         68, 5.23971935303793300E-014
         69, 7.00542977968427180E-014
         70, 7.33918927182368803E-014
         71, 7.70041017758717615E-014
         72, 6.75000246122022944E-014
         73, 6.76361710316960692E-014
         74, 6.12110129449386315E-014
         75, 7.12701507401143566E-014
         76, 6.76398227576986496E-014
         77, 7.25397645893788753E-014
         78, 7.41958812676860694E-014
         79, 7.81614116065747358E-014
         80, 7.93144498168446594E-014
         81, 7.43285588121452690E-014
         82, 8.17711658330512649E-014
         83, 6.94369320417587769E-014
         84, 6.61628026238597222E-014
         85, 8.47702982872322433E-014
         86, 6.62742279019818116E-014
         87, 7.99856409903272566E-014
         88, 7.66775335036424299E-014
         89, 7.90531753608519675E-014
         90, 8.03616053027487913E-014
         91, 9.96509011882682235E-014
         92, 8.04276989052567280E-014
         93, 7.20918974795353336E-014
         94, 1.10580180552037263E-013
         95, 8.92608039767495019E-014
         96, 7.61623665218568750E-014
         97, 8.64947015647741594E-014
         98, 8.85110099902950933E-014
         99, 1.00829690522747732E-013
        100, 9.10916979451671401E-014
        101, 9.77683106335686734E-014
        102, 1.03784127429052771E-013
        103, 9.10345494190582478E-014
        104, 8.68405022945861929E-014
        105, 8.54388715212978225E-014
        106, 1.10136811374283372E-013
        107, 1.15537573161358261E-013
        108, 1.05945630030167313E-013
        109, 1.20394152331432162E-013
        110, 1.25528117045441469E-013
        111, 1.04980325511835746E-013
        112, 1.45395836670991085E-013
        113, 1.39485083487400628E-013
        114, 1.20429979138234540E-013
        115, 1.31154838977680810E-013
        116, 1.30638484607478995E-013
        117, 1.37673024271632092E-013
        118, 1.38675441903156629E-013
        119, 1.69484486415077064E-013
        120, 1.56526224020233880E-013
        121, 1.45124015165260586E-013
        122, 1.51097143175572996E-013
        123, 1.56049431405597627E-013
        124, 1.94829857528540702E-013
        125, 1.51104093660780713E-013
        126, 1.52852320152604788E-013
        127, 1.90649073014578311E-013
        128, 1.62600893870516711E-013
        129, 5.30768108840294756E-014
        130, 4.19923285699500446E-014
        131, 5.82124675833481398E-014
        132, 4.63620290126499698E-014
        133, 3.83021062632832842E-014
        134, 5.00132431384800476E-014
        135, 5.20445572196117494E-014
        136, 4.91313726850096330E-014
        137, 5.24059774697184470E-014
        138, 5.08369790863053358E-014
        139, 3.93841046806085946E-014
        140, 4.93857609094267500E-014
        141, 6.42455446267574344E-014
        142, 4.71866427267054477E-014
        143, 4.19120736503814730E-014
        144, 5.41195037314551266E-014
        145, 4.64086314196595701E-014
        146, 4.27479073339082036E-014
        147, 5.28598238333684329E-014
        148, 5.91495481967290466E-014
        149, 4.10196890324896505E-014
        150, 5.45876013827066925E-014
        151, 5.28512716072758171E-014
        152, 4.92291371790850756E-014
        153, 5.88296975187564313E-014
        154, 4.96632502868560738E-014
        155, 5.43433141180957481E-014
        156, 4.10816832080841961E-014
        157, 6.10569958565825050E-014
        158, 5.87277997937240162E-014
        159, 6.25447701831046666E-014
        160, 5.43559633576556592E-014
        161, 5.11182807717519334E-014
        162, 4.94092270400882275E-014
        163, 5.59924698363286541E-014
        164, 5.58682977808094658E-014
        165, 5.43805605250445487E-014
        166, 5.97000577282491592E-014
        167, 6.76651075936921554E-014
        168, 5.30292436624816519E-014
