         0, 2147483647,  1013, 8.48040993874676264E+304
         1,      32873,  1012, 3.43591424856045713E-001
         2,      32847,  1012, 5.63765058997550694E-001
         3,      32828,  1012, 4.02164578116795179E-001
         4,      32738,  1012, 3.39946537192420267E-002
         5,      32657,  1012, 9.48395472028498417E-004
         6,      32641,  1012, 1.49069869289885719E-005
         7,      32596,  1012, 3.54145939500287348E-008
         8,      24395,  1012, 3.80018837929241999E-012
         9,       2988,  1012, 9.13153902281610115E-016
        10,        179,  1012, 0.00000000000000000E+000
        11,          0,  1012, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 4.18485604063131466E-014
          2, 3.40999343409903268E-014
          3, 4.27378500011737541E-014
          4, 4.46817113408364795E-014
          5, 5.40102194123853244E-014
          6, 4.93235208163977190E-014
          7, 4.08879876663877436E-014
          8, 4.35947881255719672E-014
          9, 4.71977459267029248E-014
         10, 4.44433532509274275E-014
         11, 5.75662726241811206E-014
         12, 4.99461942690124376E-014
         13, 4.17080794805041941E-014
         14, 4.13871599068273113E-014
         15, 5.16868997708945366E-014
         16, 4.95374226369822344E-014
         17, 5.16362654515894065E-014
         18, 4.62745385074266220E-014
         19, 5.02897084109401391E-014
         20, 4.85228235350333420E-014
         21, 5.23358941888607998E-014
         22, 5.23670403850146071E-014
         23, 5.09601162663256162E-014
         24, 5.12577349726281278E-014
         25, 4.38450581417054673E-014
         26, 5.18790579414270538E-014
         27, 5.76273205064446553E-014
         28, 6.56849671470734217E-014
         29, 5.10028059633428802E-014
         30, 5.42633535695588448E-014
         31, 5.10761780854408198E-014
         32, 4.94087434800863393E-014
         33, 5.71316160712400006E-014
         34, 5.71385187952458430E-014
         35, 5.56990898062508881E-014
         36, 5.45547679070126595E-014
         37, 5.60600394249142427E-014
         38, 4.96677083337882352E-014
         39, 4.57014873275597684E-014
         40, 6.18944663997628424E-014
         41, 5.27397026378656400E-014
         42, 5.95635711336853624E-014
         43, 5.99940140124057418E-014
         44, 5.39296884280999918E-014
         45, 6.48343984649684290E-014
         46, 6.54695117217868808E-014
         47, 6.32226812516162208E-014
         48, 6.14247699130438163E-014
         49, 6.79405916378892476E-014
         50, 4.83850181858091151E-014
         51, 6.21012845355921427E-014
         52, 4.91349875513252242E-014
         53, 6.01020314471917651E-014
         54, 6.77219122571002424E-014
         55, 5.57961779914947476E-014
         56, 6.63269446672275792E-014
         57, 5.90123543523034736E-014
         58, 5.69999759352407940E-014
         59, 5.42821432281537601E-014
         60, 6.08752776671432773E-014
         61, 6.03660515152689962E-014
         62, 6.22061763250021115E-014
         63, 6.22783306490454435E-014
         64, 7.33578079566842467E-014
         65, 6.39853015162953458E-014
         66, 6.27268728832311958E-014
         67, 7.21781126284594576E-014
         68, 5.87632591817811884E-014
         69, 6.81785074500582006E-014
         70, 6.30841796482953768E-014
         71, 6.28730103700908519E-014
         72, 5.68118720056315742E-014
         73, 7.80957904827508436E-014
         74, 7.04622055588715605E-014
         75, 7.42144832676165316E-014
         76, 7.22178090609140631E-014
