         0, 2147483647,  1013, 8.48040993874676264E+304
         1,      32640,  1012, 2.92171441976510515E-001
         2,      32640,  1012, 5.11621419723065074E-001
         3,      32640,  1012, 4.53485907960803736E-001
         4,      32640,  1012, 8.41587354335378429E-002
         5,      32640,  1012, 1.71192244185188712E-002
         6,      32640,  1012, 6.09824078746662532E-004
         7,      32640,  1012, 1.84014915415916064E-006
         8,      30550,  1012, 1.15075986476579077E-010
         9,       6034,  1012, 0.00000000000000000E+000
        10,        790,  1012, 0.00000000000000000E+000
        11,          0,  1012, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 4.51853682046102565E-014
          2, 4.05473544126111009E-014
          3, 4.46131122074696104E-014
          4, 4.06147705551629157E-014
          5, 5.01076778061157757E-014
          6, 4.43669108832641475E-014
          7, 4.19796611116086271E-014
          8, 4.39565878208644419E-014
          9, 4.16432227712240393E-014
         10, 4.96467030865936171E-014
         11, 5.30679875309442562E-014
         12, 4.75186657377705019E-014
         13, 4.73285654798928394E-014
         14, 3.71680555003400566E-014
         15, 4.96929277250475209E-014
         16, 4.48949007382234440E-014
         17, 4.62136196616985889E-014
         18, 3.82600395812145003E-014
         19, 5.12870115152483090E-014
         20, 4.86901637551986210E-014
         21, 5.31870931329443977E-014
         22, 5.41882284019037147E-014
         23, 5.48510676565025265E-014
         24, 4.77276829303507603E-014
         25, 4.16296150877038593E-014
         26, 5.21837560384388794E-014
         27, 5.53089379390192362E-014
         28, 5.04028247086710056E-014
         29, 4.81114133438973239E-014
         30, 5.66346458360155998E-014
         31, 5.21967602329048498E-014
         32, 5.12630848602393631E-014
         33, 5.84181147606978300E-014
         34, 5.60098420981755282E-014
         35, 4.60018283925527983E-014
         36, 5.55958770512255997E-014
         37, 4.72048914795456476E-014
         38, 4.59874726588875220E-014
         39, 4.74632205557652886E-014
         40, 6.80651286995194799E-014
         41, 5.09778993758227390E-014
         42, 4.93547872759059337E-014
         43, 5.87025051959485827E-014
         44, 4.86602996667340866E-014
         45, 6.74288499478221033E-014
         46, 6.42381970839868547E-014
         47, 5.40630917431913281E-014
         48, 6.12112232332680245E-014
         49, 6.30082012392229436E-014
         50, 5.76406786196740067E-014
         51, 5.63720065921378988E-014
         52, 5.82825716019385117E-014
         53, 7.15367642013345500E-014
         54, 6.47627217754030415E-014
         55, 6.21159573570877655E-014
         56, 7.22229386976507201E-014
         57, 4.59701974923177549E-014
         58, 5.82853571663909533E-014
         59, 5.84188185488056378E-014
         60, 6.03376277538467677E-014
         61, 5.81608507199789846E-014
         62, 6.75196509530614938E-014
         63, 6.26792039581507608E-014
         64, 7.70464975464929626E-014
         65, 5.92936269787820548E-014
         66, 6.59106798021004187E-014
         67, 6.73743841156196831E-014
         68, 6.00951529931952600E-014
         69, 5.97837581421708006E-014
         70, 5.80113504352461098E-014
         71, 7.54770768716993089E-014
         72, 6.27198965524689939E-014
         73, 6.98402093894468482E-014
         74, 6.52228818944171625E-014
         75, 7.20777888299173427E-014
         76, 7.19483783691950831E-014
         77, 6.95205205771715307E-014
         78, 7.67594575122826076E-014
         79, 6.74267516634454201E-014
         80, 8.46937531705521343E-014
         81, 6.44838779258582855E-014
         82, 7.90573386478514181E-014
         83, 8.10740148462407150E-014
         84, 7.30792047671875080E-014
         85, 8.14898033931564667E-014
         86, 7.15283072010838833E-014
         87, 9.64099323266157685E-014
         88, 7.13937985457466309E-014
         89, 8.73697043294920041E-014
         90, 7.07896127630879748E-014
         91, 8.79556780028648590E-014
         92, 7.20837323961210170E-014
         93, 6.53797158084043242E-014
         94, 1.02298166235821403E-013
         95, 8.18551179160422781E-014
         96, 7.93759657520049822E-014
         97, 8.97578628928571774E-014
         98, 9.22532504028233457E-014
         99, 9.19671423033761970E-014
        100, 9.63210571823353839E-014
        101, 9.08285070138571561E-014
        102, 9.37375851751985595E-014
        103, 9.63910078799922328E-014
        104, 9.95586859976103862E-014
        105, 1.04266278559257052E-013
        106, 1.03777768098463029E-013
        107, 1.25448488058850140E-013
        108, 9.83185793133473289E-014
        109, 1.21547743127153579E-013
