         0, 2147483647,  1016, 5.77189218761696596E+305
         1,        518,  1016, 6.60818065721540184E+305
         2,        502,  1016, 6.60818065721540184E+305
         3,        499,  1016, 6.60818065721540184E+305
         4,        496,  1016, 6.60818065721540184E+305
         5,        496,  1016, 6.60818065721540184E+305
         6,        353,  1016, 6.60818065721540184E+305
         7,         22,  1016, 6.60818065721540184E+305
         8,          0,  1016, 6.60818065721540184E+305
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 3.34651493772311266E-015
          2, 5.47759691482126016E-015
          3, 4.88728465834773316E-015
          4, 4.24782484114128331E-015
          5, 3.66378174068784355E-015
          6, 4.42394538865743651E-015
          7, 4.33886481272783248E-015
          8, 5.54133367326329174E-015
          9, 3.73230891939059578E-015
         10, 3.21428938893862840E-015
         11, 4.10845647074087721E-015
         12, 3.77295309793806840E-015
         13, 5.01250690056162601E-015
         14, 7.79009114745323054E-015
         15, 6.07460729082711278E-015
         16, 1.20626621820993875E-014
         17, 3.51279782199358266E-015
         18, 3.33798359410110049E-015
         19, 2.77913294394618135E-015
         20, 3.32695772823016605E-015
         21, 5.05285698985180260E-015
         22, 4.21571415177312193E-015
         23, 5.71210194800274255E-015
         24, 4.62850676901443163E-015
         25, 4.33508739014870312E-015
         26, 8.34160720179823366E-015
         27, 5.79859588133553752E-015
         28, 5.12357805024697251E-015
         29, 4.26276094828895961E-015
         30, 6.14680165972994778E-015
         31, 4.70371595339259471E-015
         32, 1.16110837944823245E-014
        -16, 1.20626621820993875E-014
