         0, 2147483647,  1016, 5.77189218761696596E+305
         1,        518,  1016, 4.67070957642687135E-001
         2,        502,  1016, 2.95517024127373185E-001
         3,        499,  1016, 8.57564894291352742E-002
         4,        496,  1016, 1.45749684803194108E-003
         5,        496,  1016, 9.52641813843386754E-006
         6,        353,  1016, 6.82161606809761956E-010
         7,         22,  1016, 0.00000000000000000E+000
         8,          0,  1016, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 3.48891934791606774E-015
          2, 5.50819711138700875E-015
          3, 3.46267952494587643E-015
          4, 2.70010024610625770E-015
          5, 4.02228701782682771E-015
          6, 3.61493468151946887E-015
          7, 3.65599119589310124E-015
          8, 6.33916630535497074E-015
          9, 3.48557471687677138E-015
         10, 5.80183743819215335E-015
         11, 5.64570217318581538E-015
         12, 3.89579585560232594E-015
         13, 5.32546765784507316E-015
         14, 5.01428234019624678E-015
         15, 5.86730922580752025E-015
         16, 1.32054693296645887E-014
         17, 2.16119555907759017E-015
         18, 3.73799486293599882E-015
         19, 7.30072755329971312E-015
         20, 3.14403411239162509E-015
         21, 2.81865117340429013E-015
         22, 3.02974922494544526E-015
         23, 4.82447349330794172E-015
         24, 3.97614148175441609E-015
         25, 4.00108970768527202E-015
         26, 6.39920267657363614E-015
         27, 4.89101935787011546E-015
         28, 4.09550916650877173E-015
         29, 4.72324110125103282E-015
         30, 8.24453377018814726E-015
         31, 6.53593462559403636E-015
         32, 1.09932832294306109E-014
        -16, 1.32054693296645887E-014
          0, 2.83257600479992979E-015
