         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8390645,  1007, 2.12744899665471110E-001
         2,    8390632,  1007, 1.17914348707766112E-001
         3,    8390508,  1006, 1.06363995973606656E-001
         4,    8390314,  1006, 1.16956252318400705E-001
         5,    8390092,  1006, 1.16195991811866184E-001
         6,    8389729,  1006, 8.54074876677618777E-002
         7,    8388849,  1006, 2.73353354566933677E-003
         8,    8129686,  1006, 5.60745416023666660E-004
         9,    7296558,  1006, 1.12595800642689095E-005
        10,    6241153,  1006, 3.61228490892320690E-008
        11,    3324892,  1006, 9.90343951401064725E-012
        12,     534153,  1006, 3.60359442428634894E-015
        13,     100226,  1006, 3.58187012213143979E-015
        14,       6803,  1006, 3.57118756769923984E-015
        15,         27,  1006, 3.57015385152701850E-015
        16,          4,  1006, 3.55247170356765816E-015
        17,          1,  1006, 3.48758638013866301E-015
        18,          0,  1006, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.73578721479791362E-012
          2, 1.81394149297426099E-012
          3, 1.73028418802368567E-012
          4, 1.65940140232162716E-012
          5, 1.76509372788882149E-012
          6, 1.78254351264374303E-012
          7, 1.62436793618970218E-012
          8, 1.61011378710572046E-012
          9, 1.74417076808433556E-012
         10, 1.75738109402069097E-012
         11, 1.77144094149663249E-012
         12, 1.67697298322095671E-012
         13, 1.77350121113500190E-012
         14, 1.75048545517749930E-012
         15, 1.72935804979914425E-012
         16, 1.68409383713754337E-012
         17, 1.62940836109275079E-012
         18, 1.69436016304348710E-012
         19, 1.69573295352411007E-012
         20, 1.74632343720697242E-012
         21, 1.71405053721978253E-012
         22, 1.60247383794894433E-012
         23, 1.72677250527619350E-012
         24, 1.74080965961275145E-012
         25, 1.70320612917358780E-012
         26, 1.72579445670039440E-012
         27, 1.76369095442629402E-012
         28, 1.72903651799823952E-012
         29, 1.69731480534549104E-012
         30, 1.64473750806147394E-012
         31, 1.69812397045274554E-012
         32, 1.87100312416944987E-012
         33, 1.79029297844977143E-012
         34, 1.89173860390856226E-012
         35, 1.75492608407806027E-012
         36, 1.76344619461428777E-012
         37, 1.89116914635567671E-012
         38, 1.72500341360074250E-012
         39, 1.77868414668686985E-012
         40, 1.73678801913606815E-012
         41, 1.76803004776223725E-012
         42, 1.77539742200771817E-012
         43, 1.68294510181250157E-012
         44, 1.69279503293618059E-012
         45, 1.72076671995859657E-012
         46, 1.92389975763436387E-012
         47, 1.82145092208484771E-012
         48, 1.86025157391927033E-012
         49, 1.66168101316314543E-012
         50, 1.71369328724818956E-012
         51, 1.76826799948679416E-012
         52, 1.87658668341375634E-012
         53, 1.82324979927199808E-012
         54, 1.83458828444281112E-012
         55, 1.79187719757431207E-012
         56, 1.83707527878220518E-012
         57, 1.70107249272403428E-012
         58, 1.86364030994306730E-012
         59, 1.76424692439597188E-012
         60, 1.78889423076012377E-012
         61, 1.95202993239111370E-012
         62, 1.76563758072463303E-012
         63, 1.86354296245088539E-012
         64, 1.89362765852402163E-012
         65, 1.85239203609598280E-012
