         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8390644,  1007, 2.27458612825173129E-001
         2,    8390619,  1007, 1.65919453688383428E-001
         3,    8390536,  1007, 1.47504551202713802E-001
         4,    8390436,  1007, 1.92142250437234069E-001
         5,    8390306,  1007, 1.71221000777883159E-001
         6,    8390039,  1007, 1.68587288370197069E-001
         7,    8389447,  1007, 5.77883827521394264E-002
         8,    8376041,  1007, 1.60421794670141844E-003
         9,    8191920,  1007, 2.15289114194406770E-004
        10,    7748155,  1007, 2.77430690415241713E-006
        11,    6123902,  1007, 2.79888681508567277E-009
        12,    2265709,  1007, 4.34361030949504800E-013
        13,     348793,  1007, 3.63898084101431308E-015
        14,      46429,  1007, 3.57989262443663676E-015
        15,        640,  1007, 3.56454893929318073E-015
        16,         27,  1007, 3.55350132528130979E-015
        17,          2,  1007, 3.46662827012579374E-015
        18,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 3.18242907016203474E-012
          2, 2.88210177013310982E-012
          3, 2.67186673852989534E-012
          4, 3.47464889514287311E-012
          5, 3.43474528782676521E-012
          6, 3.27526371398650904E-012
          7, 3.23538289543163087E-012
          8, 2.81714760370479757E-012
          9, 3.55540116873869053E-012
         10, 3.93685601910853854E-012
         11, 4.08241893004406909E-012
         12, 3.49678606789327720E-012
         13, 3.81662555730942260E-012
         14, 3.92942414439586428E-012
         15, 3.79843340880761352E-012
         16, 2.73668825327679110E-012
         17, 3.44542076605746199E-012
         18, 3.12189729706547854E-012
         19, 3.03608135438068804E-012
         20, 3.29607782252123635E-012
         21, 3.25643554657095757E-012
         22, 3.23863462530541195E-012
         23, 3.17664831169458098E-012
         24, 3.02157172502334746E-012
         25, 3.35963502072450654E-012
         26, 3.76295705093016810E-012
         27, 3.84537522116612609E-012
         28, 3.83078825146817276E-012
         29, 3.32715072008753674E-012
         30, 3.11147321189757674E-012
         31, 3.17962096816380692E-012
         32, 3.36144402286467219E-012
         33, 3.55939079655958165E-012
         34, 3.27942029472701071E-012
         35, 3.14197492902077976E-012
         36, 3.04266890810423518E-012
         37, 3.30315284478806678E-012
         38, 3.18573621278564302E-012
         39, 3.45559887341829748E-012
         40, 3.38289696766923291E-012
         41, 3.50772563248904844E-012
         42, 3.31805340453333864E-012
         43, 3.37283564419568001E-012
         44, 3.26769029798929595E-012
         45, 3.04140295617329741E-012
         46, 3.44642853486274086E-012
         47, 3.30209749877632079E-012
         48, 2.98019148328978366E-012
         49, 3.24340464523247502E-012
         50, 2.82351826063070336E-012
         51, 3.26026243954774041E-012
         52, 3.53903289993739981E-012
         53, 3.43048758528085665E-012
         54, 3.92239370927079062E-012
         55, 3.41499667315113984E-012
         56, 3.44525092272785867E-012
         57, 3.48219466822504747E-012
         58, 3.15303312474413677E-012
         59, 2.94032360960379612E-012
         60, 3.02084359479127512E-012
         61, 3.56307176358958416E-012
         62, 3.80589013014482685E-012
         63, 3.16763253384701063E-012
         64, 3.00830280447952877E-012
         65, 3.21866839574720107E-012
         66, 2.88366717307015931E-012
         67, 2.81898586458693016E-012
         68, 2.85091863307513439E-012
         69, 3.63094850517314306E-012
         70, 3.09904439012366766E-012
         71, 3.73424644446713523E-012
         72, 3.48046624063747532E-012
         73, 2.70426428761598793E-012
         74, 2.77891301967907473E-012
         75, 2.66839948926057995E-012
         76, 2.75301323949082749E-012
         77, 2.73422454299959172E-012
         78, 2.99901696914923939E-012
         79, 3.13097257948786499E-012
         80, 2.81155260052407865E-012
         81, 3.06218690887648053E-012
         82, 2.98237696098376453E-012
         83, 2.85210790478040323E-012
         84, 2.83057354607410726E-012
         85, 3.14730486296586880E-012
         86, 2.67752480966550896E-012
         87, 3.06881335739003971E-012
         88, 3.06069307375232499E-012
         89, 2.96220683583104270E-012
         90, 3.67078477869601924E-012
         91, 3.45981238199621419E-012
         92, 3.41402895774462020E-012
         93, 3.67751239537137105E-012
         94, 2.56115563777308781E-012
         95, 2.74656978697134228E-012
         96, 2.36720959711002091E-012
         97, 2.43920904548781773E-012
         98, 2.84240368955274622E-012
         99, 3.19126516263985817E-012
        100, 2.62323798913448434E-012
        101, 3.02769545500551577E-012
        102, 3.14868550119228938E-012
        103, 3.06684576298428232E-012
        104, 3.02301875186860773E-012
        105, 3.04028847935823985E-012
        106, 3.27541267250652867E-012
        107, 3.47335677463807436E-012
        108, 3.14406553506007427E-012
        109, 3.60344672071202625E-012
        110, 2.80840196855027239E-012
        111, 2.74336051091246837E-012
        112, 2.95246672408833869E-012
        113, 2.86532085653567543E-012
        114, 3.05130420772647896E-012
        115, 2.56593584606657595E-012
        116, 2.95547242298789600E-012
        117, 2.63113621410840531E-012
        118, 2.81842491016484977E-012
        119, 3.75735480208180992E-012
        120, 3.21381254240109265E-012
        121, 3.45945765853588085E-012
        122, 2.81298026373731007E-012
        123, 2.60685513608057067E-012
        124, 3.05755032056368277E-012
        125, 3.00804060821279087E-012
        126, 2.45813137345488693E-012
        127, 2.87742658432830745E-012
        128, 3.25939136034111382E-012
        129, 3.10501922867387583E-012
        130, 3.70831515153996162E-012
        131, 2.57065671685803821E-012
        132, 2.54413675970254893E-012
        133, 3.32593143263499233E-012
        134, 2.59693452153729686E-012
        135, 2.52160250408490817E-012
        136, 3.89171623646187515E-012
        137, 3.53604333583936248E-012
        138, 2.91084341880610237E-012
        139, 2.90488653479964605E-012
        140, 2.85570003662896272E-012
        141, 2.85503943818771626E-012
        142, 3.02416019292669581E-012
        143, 2.62934221876272926E-012
        144, 2.62137533001165712E-012
        145, 2.56255677163176790E-012
        146, 2.54329435770289110E-012
        147, 2.72028272702465274E-012
        148, 2.95477750896799839E-012
        149, 3.10432884879632226E-012
        150, 3.68945573169957799E-012
        151, 2.96203225116924982E-012
        152, 2.74524795449639333E-012
        153, 2.87780398640902591E-012
        154, 3.51894171302502717E-012
        155, 3.00126930188251908E-012
        156, 2.85482069695894454E-012
        157, 2.58174688179515968E-012
        158, 2.78746433754270320E-012
        159, 2.69533736788400087E-012
        160, 2.80540462871485883E-012
        161, 4.26650201053393628E-012
        162, 2.69522956278941524E-012
        163, 3.89981771717763864E-012
        164, 3.32073787125016353E-012
        165, 3.03683647412793494E-012
        166, 2.90840913672784551E-012
        167, 2.79522910425969206E-012
        168, 3.07196073095404785E-012
        169, 3.06147513206135817E-012
        170, 2.87537083635596819E-012
        171, 2.66991270911289515E-012
        172, 2.60942882732353120E-012
        173, 2.68847118167241245E-012
        174, 2.74863913044631406E-012
        175, 2.64035083411078358E-012
        176, 3.78014281254023468E-012
        177, 3.16925009783142254E-012
        178, 2.65323311403212769E-012
        179, 2.55543220804073981E-012
        180, 3.42213387804913667E-012
        181, 3.01413514005808870E-012
        182, 3.03021956346872355E-012
        183, 2.92992767068511138E-012
        184, 3.46157907367905289E-012
        185, 3.26107828690221084E-012
        186, 3.33871461844143867E-012
        187, 3.45540137508692948E-012
        188, 3.34443442917511402E-012
        189, 3.91481593937875674E-012
        190, 3.16880448537976459E-012
        191, 2.94624427007150465E-012
        192, 3.50993805868258528E-012
        193, 3.26152779179385424E-012
        194, 3.09841768771180137E-012
        195, 2.76038156391391066E-012
        196, 2.70660626271541893E-012
        197, 3.03622798585846889E-012
        198, 2.72103959321297586E-012
        199, 2.65034505089969895E-012
        200, 2.62677260928983485E-012
        201, 2.65936860139952639E-012
        202, 2.54027583786322536E-012
        203, 2.68349891696063951E-012
        204, 2.92086552196574974E-012
        205, 2.76739250144301841E-012
        206, 3.00497873518659521E-012
        207, 3.10233185381209823E-012
        208, 2.70311349698264281E-012
        209, 2.81098017544731398E-012
        210, 2.77636135343135851E-012
        211, 3.54126572957580833E-012
        212, 3.51385633129857933E-012
        213, 3.22158720625949845E-012
        214, 3.93887956625371939E-012
        215, 3.15559202201165317E-012
        216, 2.84340431447940832E-012
        217, 3.50447114761809401E-012
        218, 2.85084984855355396E-012
        219, 2.62711707645726378E-012
        220, 2.75991615975274822E-012
        221, 2.94459024793335974E-012
        222, 2.71877784848780299E-012
        223, 3.34171743527916562E-012
        224, 3.66838942401977114E-012
