         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8390643,  1007, 1.69332743526418555E-001
         2,    8390619,  1007, 1.82976497898729829E-001
         3,    8390550,  1007, 1.18040626036571186E-001
         4,    8390392,  1007, 1.09649984414390680E-001
         5,    8390188,  1007, 1.18970088385514913E-001
         6,    8389918,  1007, 1.34070994347877642E-001
         7,    8389102,  1007, 5.29100931965115814E-003
         8,    8369877,  1007, 1.46364183432004459E-003
         9,    7759069,  1007, 4.06611968854939134E-005
        10,    6805140,  1007, 1.91933772408247855E-007
        11,    5096462,  1007, 3.46829417360518707E-010
        12,     521182,  1007, 3.08529242974584192E-014
        13,      54168,  1007, 3.56606534740424691E-015
        14,       1859,  1007, 3.55870956092590249E-015
        15,         19,  1007, 2.15935086799005905E-015
        16,          2,  1007, 0.00000000000000000E+000
        17,          1,  1007, 0.00000000000000000E+000
        18,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.86185346214970616E-014
          2, 2.14810946658063497E-014
          3, 2.04231172721218009E-014
          4, 2.00779616354143601E-014
          5, 2.27791464178432867E-014
          6, 2.25940856041377627E-014
          7, 2.16234399734961473E-014
          8, 2.27952568217045708E-014
          9, 2.46426600009564311E-014
         10, 2.29850396614004791E-014
         11, 2.23090781843643512E-014
         12, 2.09507711178988012E-014
         13, 2.19647736274799451E-014
         14, 2.29173365693021263E-014
         15, 2.37063258887020220E-014
         16, 2.16192803921856043E-014
         17, 2.40338722890945689E-014
         18, 2.35115650687988201E-014
         19, 2.27831816247345697E-014
         20, 2.26610376983265144E-014
         21, 2.24595486440568897E-014
         22, 1.95272712618142022E-014
         23, 2.49019203528347461E-014
         24, 2.56969605776248645E-014
         25, 2.37845618872225798E-014
         26, 2.50047618036131708E-014
         27, 2.57806033635710726E-014
         28, 1.81565103229346592E-014
         29, 2.16893214608291710E-014
         30, 2.10484427394844151E-014
         31, 2.21438321667114601E-014
         32, 2.36552022214301538E-014
         33, 2.37691757460063737E-014
         34, 1.78875096704414800E-014
         35, 1.61554444940620141E-014
         36, 1.93359253501753033E-014
         37, 1.68321217123056802E-014
         38, 1.74549749235178507E-014
         39, 1.62964659701723167E-014
         40, 1.84469681756299248E-014
         41, 1.72413832981219631E-014
         42, 1.88407016066851307E-014
         43, 1.62416902635568356E-014
         44, 1.69517700150779400E-014
         45, 1.95161541596534564E-014
         46, 1.58108729298260782E-014
         47, 1.55634326433992703E-014
         48, 1.62807019279379043E-014
         49, 1.71802938571577182E-014
         50, 1.65440874010898278E-014
         51, 1.64892251676687078E-014
         52, 1.63238084927815748E-014
         53, 1.61249912211094531E-014
         54, 1.50946043350644724E-014
         55, 1.60239522961303588E-014
         56, 1.58298650208095065E-014
         57, 1.62984752997532480E-014
         58, 1.70979503762015945E-014
         59, 1.70800121535481173E-014
         60, 1.71882619514533589E-014
         61, 1.58876289158428292E-014
         62, 1.60859202127254182E-014
         63, 1.56282345496371771E-014
         64, 1.68382496381303053E-014
         65, 1.57537994356575099E-014
         66, 1.51227319699262777E-014
         67, 1.65836881480428493E-014
         68, 1.55843418608938165E-014
         69, 1.65558173623318663E-014
         70, 1.66121224284058440E-014
         71, 1.55490796831937814E-014
         72, 1.67553438658499794E-014
         73, 1.70606477850399334E-014
         74, 1.54228620879401417E-014
         75, 1.64091928270639810E-014
         76, 1.56050535325500102E-014
         77, 1.59087885643966584E-014
         78, 1.68131151018732297E-014
         79, 1.62779551142318649E-014
         80, 1.78406322359071681E-014
         81, 1.62869005327381113E-014
         82, 1.58594407106725981E-014
         83, 1.65424514691891837E-014
         84, 1.52461004593464537E-014
         85, 1.67006592405923293E-014
         86, 1.85996463517978612E-014
         87, 1.77817139293396698E-014
         88, 1.72564343922831499E-014
         89, 2.00632556276098313E-014
         90, 1.63085804894649444E-014
         91, 2.00517386846031735E-014
         92, 1.78620742620292701E-014
         93, 1.89654824918743819E-014
         94, 1.70033213606156887E-014
         95, 1.75881965038843294E-014
         96, 1.69789387627216072E-014
         97, 1.91783468211253837E-014
         98, 1.65106091709495168E-014
         99, 1.98045934518305008E-014
        100, 1.81910130355207783E-014
        101, 1.80769625063588829E-014
        102, 2.07032567669728142E-014
        103, 1.63420924863120469E-014
        104, 1.82312483371211950E-014
        105, 1.89571154922372686E-014
        106, 1.92973994132218027E-014
        107, 1.80488261617278288E-014
        108, 2.02579362617427005E-014
        109, 1.90803833860145844E-014
