         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8390642,  1007, 1.67328608992849182E-001
         2,    8390614,  1007, 1.77984478254205242E-001
         3,    8390500,  1007, 8.86350597098425480E-002
         4,    8390221,  1007, 9.07041950600109836E-002
         5,    8389871,  1007, 8.42753653993924406E-002
         6,    8389468,  1007, 1.05271978642889775E-002
         7,    8388066,  1007, 2.77482304022926051E-003
         8,    7796863,  1007, 1.50153235329378526E-004
         9,    6384782,  1007, 2.96461643779501726E-006
        10,    4839309,  1007, 5.55075339719278675E-009
        11,    1467705,  1007, 1.18183888006977452E-012
        12,     225752,  1007, 3.21623297334065402E-015
        13,       6615,  1007, 3.41808466935121837E-015
        14,        113,  1007, 3.07700181754165084E-015
        15,          8,  1007, 1.80837390798637961E-015
        16,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 2.20044204015928082E-014
          2, 2.97173773113836295E-014
          3, 3.04356122744226543E-014
          4, 3.13112577022551438E-014
          5, 3.29523230137635394E-014
          6, 3.28274460567634486E-014
          7, 3.32423181852567116E-014
          8, 3.44974705604900837E-014
          9, 3.16206997450125663E-014
         10, 3.07351866000053191E-014
         11, 3.04591949020214089E-014
         12, 3.33284007166551722E-014
         13, 2.89636516024090575E-014
         14, 3.44651598044790554E-014
         15, 2.96206684371990930E-014
         16, 2.97545059508230635E-014
         17, 2.67279711932033789E-014
         18, 2.55671206317571761E-014
         19, 2.66495707702319175E-014
         20, 3.07348594653603899E-014
         21, 2.83868439145653570E-014
         22, 2.80334818377377767E-014
         23, 3.05413467461052870E-014
         24, 2.89704910237656292E-014
         25, 2.46959925033078582E-014
         26, 2.66851512400567727E-014
         27, 2.16624053706838763E-014
         28, 1.86584795706614570E-014
         29, 2.32998507405620453E-014
         30, 2.68109675225505490E-014
         31, 2.58612032762743433E-014
         32, 1.98490409136894577E-014
         33, 1.73675142246810238E-014
         34, 2.65271207078763999E-014
         35, 2.20292764863153486E-014
         36, 2.25764468835882688E-014
         37, 2.38958480659931095E-014
         38, 2.67536779904928693E-014
         39, 2.42111432544645009E-014
         40, 2.53556120848364303E-014
         41, 2.55271160494990162E-014
         42, 2.18034784111508559E-014
         43, 2.60412416855454863E-014
         44, 2.41572991286742751E-014
         45, 2.55439335398376835E-014
         46, 2.11269071469526687E-014
         47, 2.78622334340418465E-014
         48, 2.00632961589814843E-014
         49, 2.19270334035621726E-014
         50, 2.26473588650690236E-014
         51, 2.51678125600260491E-014
         52, 2.57578869596741286E-014
         53, 2.12654898762931946E-014
         54, 2.11202223499092607E-014
         55, 2.42510393015184151E-014
         56, 1.97380619114055860E-014
         57, 2.31961634980070735E-014
         58, 2.61008327834560332E-014
         59, 2.22172852678651975E-014
         60, 2.16389793602229421E-014
         61, 2.05819989401312907E-014
         62, 2.05922857238343112E-014
         63, 2.21439444616980553E-014
         64, 2.03415542250886161E-014
         65, 2.52830023457615778E-014
         66, 2.52141672102066435E-014
         67, 2.17553836696952976E-014
         68, 2.30599485590052446E-014
         69, 2.40597481424814646E-014
         70, 2.45991825211055154E-014
         71, 2.01336556865099388E-014
         72, 2.46968058803823031E-014
         73, 2.10436802243184372E-014
         74, 2.27435545538253996E-014
         75, 2.47370954597303038E-014
         76, 2.23971459003905310E-014
         77, 2.11881991202300618E-014
         78, 2.27782882628000499E-014
         79, 2.38742117548038102E-014
         80, 2.33199222046462520E-014
         81, 2.56204290069025178E-014
         82, 2.25792347297405348E-014
         83, 2.36990364783388191E-014
         84, 2.04535981990165362E-014
         85, 2.07648825817835950E-014
         86, 1.99350680354508595E-014
         87, 1.68527262182925898E-014
         88, 1.99587259650749851E-014
         89, 1.62487902479041720E-014
         90, 1.90544429318367032E-014
         91, 2.11292399791203745E-014
         92, 2.27279558433389045E-014
         93, 2.52089398066175260E-014
         94, 2.50931223525257478E-014
         95, 2.12896614467288583E-014
         96, 2.06217253177494114E-014
         97, 2.11017089774688306E-014
         98, 2.28783232985708443E-014
         99, 2.14834027155378303E-014
