         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8390646,  1007, 2.50263686418258746E-001
         2,    8390630,  1007, 1.06185800229548044E-001
         3,    8390469,  1007, 8.24545719231131319E-002
         4,    8390194,  1007, 9.90128691796458016E-002
         5,    8389867,  1007, 9.14354356952810504E-002
         6,    8389364,  1007, 5.94602382128000886E-002
         7,    8388225,  1007, 2.03624785870176045E-003
         8,    7658316,  1007, 2.34846486246969319E-004
         9,    6234047,  1007, 3.82194012849130079E-006
        10,    4762933,  1007, 6.44714484840225642E-009
        11,    1849388,  1007, 1.70823321474722750E-012
        12,     287794,  1007, 3.60491082559548062E-015
        13,      31430,  1007, 3.57431777574764576E-015
        14,        670,  1007, 3.56485910654545136E-015
        15,          7,  1007, 2.61050966809612557E-015
        16,          1,  1007, 1.22049199606256830E-015
        17,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.41409682557223085E-012
          2, 1.57443986089688583E-012
          3, 1.33148842561501597E-012
          4, 1.58130186811326723E-012
          5, 1.49118134002588595E-012
          6, 1.58571754979533341E-012
          7, 1.47955155777001120E-012
          8, 1.46983225333268110E-012
          9, 1.41554324388487133E-012
         10, 1.45463762566999629E-012
         11, 1.48823512066216080E-012
         12, 1.44879467714807739E-012
         13, 1.60072364724260994E-012
         14, 1.56472033846786030E-012
         15, 1.51864398353796214E-012
         16, 1.45021227148746016E-012
         17, 1.41292287653525595E-012
         18, 1.48084586583415314E-012
         19, 1.55807201554570143E-012
         20, 1.58890816035826631E-012
         21, 1.39529887374268434E-012
         22, 1.85063651453187293E-012
         23, 1.55931555332435176E-012
         24, 1.67277940658943398E-012
         25, 1.65264294196900562E-012
         26, 1.90077172971497268E-012
         27, 1.59138105218412460E-012
         28, 1.48156417256516760E-012
         29, 1.66574680340950522E-012
         30, 1.69244008857826250E-012
         31, 1.60031238082487787E-012
         32, 1.62022443859743529E-012
         33, 1.50929262461625365E-012
         34, 1.64217109411173408E-012
         35, 1.58463876825494947E-012
         36, 1.67812185309077367E-012
         37, 1.68602406351523964E-012
         38, 1.66459645774824580E-012
         39, 1.61349011252564249E-012
         40, 1.79404023064589928E-012
         41, 1.57615746322062958E-012
         42, 1.67044768796905613E-012
         43, 1.71618073130314644E-012
         44, 1.74513710403179959E-012
         45, 1.76475389992360026E-012
         46, 1.94576582447288654E-012
         47, 1.61065053957358702E-012
         48, 1.64616800106416170E-012
         49, 1.67455862166999128E-012
         50, 1.66905699823043978E-012
         51, 1.55784835484364829E-012
         52, 1.65096091655966026E-012
         53, 1.74681499300270266E-012
         54, 1.56709404119028924E-012
         55, 1.60044981584305247E-012
         56, 1.60033189444013257E-012
         57, 1.63823554303919209E-012
         58, 1.58831668646212314E-012
         59, 1.55488942556358396E-012
         60, 1.68053142628284194E-012
         61, 1.70580610861992128E-012
         62, 1.68806458746583700E-012
         63, 1.59050616083001389E-012
         64, 1.69995606587261762E-012
         65, 1.52606697478979702E-012
         66, 1.72427086720633313E-012
         67, 1.63741078803097951E-012
         68, 1.68384611168985486E-012
         69, 1.90462238069653295E-012
         70, 1.80783731855122964E-012
         71, 1.82395751497205714E-012
         72, 1.88813592268071010E-012
         73, 1.80925422172523073E-012
         74, 1.69820520966614178E-012
         75, 1.83852664098753434E-012
         76, 1.77042179424605095E-012
         77, 1.62869762854645464E-012
         78, 1.66616366921662674E-012
         79, 1.77498842391986933E-012
         80, 1.46338488078472520E-012
         81, 1.70748847984116032E-012
         82, 1.59542027217123844E-012
         83, 1.49140559694574998E-012
         84, 1.51114516782017479E-012
         85, 1.89138235062362361E-012
         86, 1.77642418050866160E-012
         87, 1.53313321389867274E-012
         88, 1.77111237193258697E-012
         89, 1.63745691210559379E-012
         90, 1.92523500356728054E-012
         91, 1.89414361069183115E-012
         92, 1.74266483518226005E-012
         93, 1.83405190853781753E-012
         94, 1.73473020365537387E-012
         95, 1.77811188958333845E-012
         96, 1.76031877065248755E-012
         97, 1.65789637402488084E-012
         98, 1.65666830041885275E-012
         99, 1.63757656622517579E-012
        100, 1.68749234647349686E-012
        101, 1.81005165177135628E-012
        102, 1.80192847267952362E-012
        103, 1.53929784022011769E-012
        104, 1.64061604777924449E-012
        105, 1.51772262979383034E-012
        106, 1.60316512638752413E-012
        107, 1.52282018997380426E-012
        108, 1.82072822183375642E-012
        109, 2.02416355341761763E-012
        110, 1.67043140493087511E-012
        111, 1.93976873968337352E-012
        112, 1.82361483008856885E-012
        113, 1.67805799823160667E-012
        114, 1.73920918731652297E-012
        115, 1.76252655189850935E-012
        116, 1.51897107577411418E-012
        117, 1.86781318134885123E-012
        118, 1.89521623419483338E-012
        119, 1.86267974574544353E-012
        120, 1.83028014559823495E-012
        121, 1.88673894405549066E-012
        122, 1.63350065651009381E-012
        123, 1.87931423252200124E-012
        124, 1.64019203092778555E-012
        125, 2.03563311847225297E-012
        126, 1.84926730249777517E-012
        127, 1.82639732091673564E-012
        128, 1.89535209586274267E-012
        129, 2.09767756902755061E-012
        130, 1.77108050289368968E-012
        131, 1.97446061395828832E-012
        132, 1.77638662170366076E-012
        133, 1.91028821516942302E-012
        134, 1.71846158130082782E-012
        135, 1.88545635476046384E-012
        136, 1.84740493777175509E-012
        137, 1.79287640978146070E-012
        138, 1.85741777769469706E-012
        139, 2.20133527187043656E-012
        140, 2.28725489427024993E-012
        141, 2.40241929113360871E-012
        142, 2.02860873519114166E-012
        143, 2.28930731648304644E-012
        144, 2.23161471903255460E-012
        145, 2.11557682754092269E-012
        146, 2.61952756351151431E-012
        147, 2.31878862278127468E-012
        148, 2.67609989061891178E-012
        149, 2.60923629668170700E-012
        150, 2.29843538522732148E-012
        151, 2.02290500404309672E-012
        152, 1.95804859475997937E-012
        153, 2.22091269846061973E-012
        154, 2.06761095320107795E-012
        155, 2.14293087622064529E-012
        156, 2.55973283525562763E-012
        157, 2.34021577239760930E-012
        158, 2.41242847839212994E-012
        159, 2.40481982491987470E-012
        160, 2.26056351417614037E-012
        161, 2.32622646112124163E-012
        162, 2.42129608449319399E-012
        163, 2.34742106561958881E-012
        164, 2.21332797759807804E-012
        165, 2.33634382808752626E-012
        166, 2.30025579629441678E-012
        167, 2.41760723299158925E-012
        168, 2.64224642999356650E-012
        169, 2.31884307064345984E-012
        170, 2.00383767737411291E-012
        171, 1.94849567084970363E-012
        172, 2.18026016926668591E-012
        173, 2.24666776912454993E-012
        174, 2.07396648526903319E-012
        175, 2.40750338251317197E-012
        176, 2.46578060917734389E-012
        177, 2.12943971343511324E-012
        178, 2.14099839317818833E-012
        179, 2.33314229428326836E-012
        180, 2.41533033009340598E-012
        181, 2.22756758745253505E-012
        182, 2.83348653001791134E-012
        183, 2.28417880590782509E-012
        184, 2.47199616384502251E-012
        185, 2.51816305620463249E-012
        186, 2.22708993233423397E-012
        187, 2.51118304264881434E-012
        188, 2.37152917581782598E-012
        189, 2.44193355591548391E-012
        190, 2.34316893220470818E-012
        191, 1.95179269327607423E-012
        192, 2.55188946018326222E-012
        193, 2.61801522759654201E-012
        194, 2.45656119820557673E-012
        195, 2.34971134216703951E-012
        196, 2.35405861469724553E-012
        197, 2.88367347221066332E-012
        198, 3.00089996765963948E-012
        199, 2.45469433599117328E-012
        200, 2.37635037341458343E-012
        201, 2.50650349983638088E-012
        202, 2.03456235969445329E-012
        203, 2.39989531512761881E-012
        204, 2.53293889690617617E-012
        205, 2.37189080586237962E-012
        206, 2.89027380756703586E-012
        207, 2.76787789523651496E-012
        208, 2.91131872201935829E-012
        209, 2.86394612679379600E-012
        210, 3.10523488514248929E-012
        211, 3.31765888249951951E-012
        212, 2.53020987826224878E-012
        213, 2.90752760485218458E-012
        214, 2.48314822953951284E-012
        215, 2.45443542767187656E-012
        216, 2.72447335872890492E-012
        217, 2.72421839200380755E-012
        218, 2.55612946160643777E-012
        219, 2.68026750637574985E-012
        220, 2.97810943618495145E-012
        221, 2.74838122628784988E-012
        222, 2.94097367249462365E-012
        223, 2.43238756908726140E-012
        224, 2.41359847227531075E-012
        225, 2.60044389628785414E-012
        226, 2.40574173465476688E-012
        227, 2.90538948185156902E-012
        228, 2.98112142833225887E-012
        229, 2.78316362058753477E-012
        230, 2.54190599147824814E-012
        231, 3.36327439166662524E-012
        232, 2.96286992068551825E-012
        233, 3.24427443200652796E-012
        234, 2.72821409862959648E-012
        235, 3.07794243792333220E-012
        236, 2.61478487344829467E-012
        237, 2.74273879055861643E-012
        238, 2.53046976502482593E-012
        239, 2.80454515600846531E-012
        240, 2.50478138487889016E-012
        241, 2.38138403019125506E-012
        242, 2.46569349301215849E-012
        243, 3.21211349546320366E-012
        244, 2.82511116880329573E-012
        245, 2.57205235719818655E-012
        246, 3.00870584414657760E-012
        247, 2.74333587380056342E-012
        248, 3.01811950676471837E-012
        249, 3.13570882651229407E-012
        250, 2.76491354416628269E-012
        251, 3.35589205347093722E-012
        252, 2.45699574504836488E-012
        253, 3.28538542927555096E-012
        254, 3.28501362249628224E-012
        255, 3.46804456366451929E-012
        256, 2.44547493563466097E-012
        257, 3.48099871360733380E-012
        258, 3.19020276019621622E-012
        259, 2.44588550434847073E-012
        260, 3.12575022617126090E-012
        261, 3.19569123679833758E-012
        262, 3.22784495100496279E-012
        263, 3.47372680475350381E-012
        264, 3.63167041900347639E-012
        265, 2.92404821212934758E-012
        266, 3.64434480324125770E-012
        267, 3.19265333423823261E-012
        268, 3.13133119703017405E-012
        269, 3.33241112052783608E-012
        270, 3.05007334009681404E-012
        271, 3.14371731964337336E-012
