         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8390642,  1007, 2.14373724088805062E-001
         2,    8390602,  1007, 4.82540426167240466E-001
         3,    8390573,  1007, 7.22949520271856327E-001
         4,    8390558,  1007, 8.00000000000000044E-001
         5,    8390455,  1007, 1.92751905577969757E-001
         6,    8389812,  1007, 9.42007708025151096E-003
         7,    8388572,  1007, 1.50805566598993801E-004
         8,    8387289,  1007, 7.70066363820409856E-007
         9,    8379927,  1007, 2.11908070351688938E-009
        10,    6019075,  1007, 1.30981608374308554E-012
        11,    1243314,  1007, 3.88561156653285629E-015
        12,     259538,  1007, 3.60554799828916496E-015
        13,      22488,  1007, 3.58817687964509190E-015
        14,        165,  1007, 3.56609946589908627E-015
        15,         25,  1007, 3.55776837505819715E-015
        16,          5,  1007, 3.56048162918698450E-015
        17,          1,  1007, 0.00000000000000000E+000
        18,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 2.87964776310022220E-012
          2, 3.20888103261618283E-012
          3, 3.31051984035899693E-012
          4, 3.34173990816542840E-012
          5, 3.29232596193324805E-012
          6, 3.36078146510869640E-012
          7, 3.49532437712395161E-012
          8, 3.29227715699111259E-012
          9, 3.59681134422763467E-012
         10, 3.27458005379266955E-012
         11, 3.35890755250042489E-012
         12, 3.05595192456025497E-012
         13, 3.07387169260869440E-012
         14, 3.05490019778648362E-012
         15, 3.20008982014292090E-012
         16, 3.03385671105974070E-012
         17, 3.35570244008540119E-012
         18, 3.22156860806105195E-012
         19, 3.49954585949494371E-012
         20, 3.25623985151660716E-012
         21, 3.38505509243465066E-012
         22, 3.24156682516668949E-012
         23, 3.42151949520984459E-012
         24, 3.35332578637867691E-012
         25, 3.27961916110528063E-012
         26, 3.37698079802823373E-012
         27, 3.41913804168405078E-012
         28, 3.11916320454633292E-012
         29, 3.31517492298169336E-012
         30, 3.32823576059913768E-012
         31, 3.20042070585133208E-012
         32, 3.78998512353920318E-012
         33, 3.43840717403484630E-012
         34, 3.10711530343497807E-012
         35, 3.32643624549292384E-012
         36, 3.38364671534665579E-012
         37, 3.29079240597967787E-012
         38, 3.18504082788606022E-012
         39, 3.45560471075094985E-012
         40, 3.20137149813674919E-012
         41, 3.37450442183405823E-012
         42, 3.14250119605364961E-012
         43, 3.17679519111805690E-012
         44, 3.18372060225266689E-012
         45, 3.06950421282535482E-012
         46, 3.31662543768700620E-012
         47, 3.45575158006541597E-012
         48, 3.43064047743844714E-012
         49, 3.47242176380676086E-012
         50, 3.54786472481102971E-012
         51, 3.25326956135502500E-012
         52, 3.38252112240624862E-012
         53, 3.34548823236531341E-012
         54, 3.12852723665873411E-012
         55, 3.14431623689060652E-012
         56, 3.52579049820554591E-012
         57, 3.17058359081112287E-012
         58, 3.28450297040394550E-012
         59, 3.44362767051372194E-012
         60, 3.47931557121319546E-012
         61, 3.25404634286575156E-012
         62, 3.32849676857259698E-012
         63, 3.14041040741629677E-012
         64, 3.36417165513321221E-012
         65, 3.39666462809322214E-012
         66, 3.18532440036836045E-012
         67, 3.01170248120393133E-012
         68, 3.12174240690410313E-012
         69, 3.03840829381417577E-012
         70, 3.18791923567473508E-012
         71, 3.10872752798298011E-012
         72, 3.10687178345669945E-012
         73, 3.19148539091221729E-012
         74, 3.36728342310758819E-012
         75, 3.10309597396548390E-012
         76, 3.11231710501635054E-012
         77, 3.08708969082449396E-012
         78, 3.39823028849158469E-012
         79, 3.40460934260556997E-012
         80, 3.36452514145966111E-012
         81, 3.22625668081267624E-012
         82, 3.73734332313060676E-012
         83, 3.46861930873189284E-012
         84, 3.28124525285934413E-012
         85, 3.47608064711539284E-012
         86, 3.39433017259458042E-012
         87, 3.32280311750408376E-012
         88, 3.35183615564944747E-012
         89, 3.28430271468486955E-012
         90, 3.36845870539498709E-012
         91, 3.00757461838390747E-012
         92, 3.23348059031159014E-012
         93, 2.93785020966015867E-012
         94, 3.02795103491846829E-012
         95, 3.22549954044250527E-012
         96, 3.12487567336329698E-012
         97, 3.37887051214336440E-012
         98, 3.46090513920785661E-012
         99, 3.56951370814812235E-012
        100, 3.27244312298938033E-012
        101, 3.78424181353840114E-012
        102, 3.40214682493325220E-012
        103, 3.80994747447638144E-012
        104, 3.42096018959357485E-012
        105, 3.54807868827198046E-012
        106, 3.49704968021448089E-012
        107, 3.42066419032418735E-012
        108, 3.53376053904609628E-012
        109, 3.62827447548126605E-012
        110, 3.46754682974199571E-012
        111, 3.43174209932073980E-012
        112, 3.36604739256276044E-012
        113, 3.27378425400109468E-012
        114, 3.52081763934673341E-012
        115, 3.48247093303129077E-012
        116, 3.71337466229320911E-012
        117, 3.66632186135660570E-012
        118, 3.63730077419027531E-012
        119, 3.87129045835155919E-012
        120, 3.56487143250748190E-012
        121, 3.77690301013927814E-012
        122, 3.46020644401189801E-012
        123, 3.52628148874317718E-012
        124, 3.42175386748839331E-012
        125, 3.57627464452609627E-012
        126, 3.38034376115987922E-012
        127, 3.64656562546573881E-012
        128, 3.78687178339108352E-012
        129, 3.74461388458015862E-012
        130, 3.57813734942437683E-012
        131, 3.68760303408650298E-012
        132, 3.42027163653297625E-012
        133, 3.83762219978775751E-012
        134, 3.52718312392924106E-012
        135, 3.50536404385216088E-012
        136, 3.52274414782725176E-012
        137, 3.40401204436389839E-012
        138, 3.69807894890320064E-012
        139, 3.29785598312902371E-012
        140, 3.30916984340970468E-012
        141, 3.35009040149582744E-012
        142, 3.40966902530171473E-012
        143, 3.92829268880574090E-012
        144, 3.75491522425162247E-012
        145, 3.54640904188767968E-012
        146, 3.58468315677779579E-012
        147, 3.61936337711241246E-012
        148, 3.50944598678152241E-012
        149, 3.38107544175455154E-012
        150, 3.28202963633220686E-012
        151, 3.45041237484003041E-012
        152, 3.51917498216123324E-012
        153, 3.51579241831567312E-012
        154, 3.48703057553340130E-012
        155, 3.51637738716705426E-012
        156, 3.78747520892588828E-012
        157, 3.52807842616405713E-012
        158, 3.51172285854627210E-012
        159, 3.25762560446770388E-012
        160, 3.45448444159790261E-012
        161, 3.42214891834950796E-012
        162, 3.31926772844508139E-012
        163, 3.39195679190701977E-012
        164, 3.57351553618089305E-012
        165, 3.47221389956226074E-012
        166, 3.56403074569023688E-012
        167, 3.68459800965390651E-012
        168, 3.69775353525124901E-012
        169, 3.64410669071185105E-012
        170, 3.86757915690182083E-012
        171, 3.86602874416324429E-012
        172, 3.77838597336056773E-012
        173, 3.61325957143259342E-012
        174, 3.85267611016466867E-012
        175, 3.55452576493390724E-012
        176, 3.76733463820875254E-012
        177, 4.06517485543754457E-012
        178, 3.71496418854555644E-012
        179, 3.90826709410596232E-012
        180, 3.78298805299971708E-012
        181, 3.84463937643248063E-012
        182, 3.89427010295679363E-012
        183, 3.64325205719979684E-012
        184, 3.72150713722329751E-012
        185, 3.77830420755368791E-012
        186, 4.00539484009246293E-012
        187, 3.76682288202564636E-012
        188, 3.52865578442191758E-012
        189, 3.34847842033787535E-012
        190, 3.54240211635781764E-012
        191, 3.49543980643943687E-012
        192, 3.58706647552997717E-012
        193, 3.44995810921445042E-012
        194, 3.58551718422320503E-012
        195, 3.68799468964768338E-012
        196, 3.58217276813167891E-012
        197, 3.52891225924706968E-012
        198, 3.62968707073075888E-012
        199, 3.62503021196054907E-012
        200, 3.66920407647499115E-012
        201, 3.85486572205544146E-012
        202, 3.68028415518026677E-012
        203, 3.77107748531122182E-012
        204, 3.75134797086486132E-012
        205, 3.51225338605948560E-012
        206, 3.72307164811153813E-012
        207, 3.70609609896405029E-012
        208, 3.77909925011791917E-012
        209, 3.88370086786052356E-012
        210, 4.03317822364882286E-012
        211, 4.01215814527234966E-012
        212, 3.70789880576817648E-012
        213, 3.80172935925649985E-012
        214, 4.04009878332442925E-012
        215, 3.61849659041898389E-012
        216, 3.78868238368539575E-012
        217, 3.93202271219519080E-012
        218, 3.86328848989174400E-012
        219, 3.66732451690775463E-012
        220, 3.86469773631726964E-012
        221, 3.91544498400740251E-012
        222, 3.94066131573020476E-012
        223, 4.07863263082998295E-012
        224, 4.30051888226007749E-012
        225, 4.03867449372465443E-012
        226, 3.91702548521255494E-012
        227, 3.90377135808041883E-012
        228, 4.17152144703521223E-012
        229, 4.07137578953585139E-012
        230, 4.09115447442867805E-012
        231, 3.94257159606907733E-012
        232, 4.01830449352952075E-012
        233, 4.26474425796418813E-012
        234, 3.92222964237477662E-012
        235, 3.59502667725117484E-012
        236, 3.56802643137129854E-012
        237, 3.40803742654205067E-012
        238, 3.63695052170289652E-012
        239, 3.76788067093992198E-012
        240, 3.76972963442570543E-012
        241, 3.62811450418251936E-012
        242, 3.77282851854971237E-012
        243, 3.99740938209252251E-012
        244, 4.21494107593411070E-012
        245, 4.06113179462398105E-012
