         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8386560,  1007, 0.00000000000000000E+000
         2,    8386560,  1007, 0.00000000000000000E+000
         3,    8386560,  1007, 0.00000000000000000E+000
         4,    8386560,  1007, 0.00000000000000000E+000
         5,    8386560,  1007, 0.00000000000000000E+000
         6,    8386560,  1007, 0.00000000000000000E+000
         7,    8269320,  1007, 0.00000000000000000E+000
         8,    5594889,  1007, 0.00000000000000000E+000
         9,    3280765,  1007, 0.00000000000000000E+000
        10,    1824917,  1007, 0.00000000000000000E+000
        11,     882935,  1007, 0.00000000000000000E+000
        12,     274654,  1007, 0.00000000000000000E+000
        13,      35692,  1007, 0.00000000000000000E+000
        14,        419,  1007, 0.00000000000000000E+000
        15,         11,  1007, 0.00000000000000000E+000
        16,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.26305023198182480E-014
          2, 1.30491614598445105E-014
          3, 2.15040715591421758E-014
          4, 2.02022990961802956E-014
          5, 2.82563707313680737E-014
          6, 2.39948909270074833E-014
          7, 1.49186140047036539E-014
          8, 2.80830192095306083E-014
          9, 3.81440246076934229E-014
         10, 5.16770480113987263E-014
         11, 2.71154719613797209E-014
         12, 4.40953308594231289E-014
         13, 4.28990525641634177E-014
         14, 4.77967114566869145E-014
         15, 5.60015423824425196E-014
         16, 5.13608929712548096E-014
         17, 4.94881124417900624E-014
         18, 4.94881287652367064E-014
         19, 5.76095459378379498E-014
         20, 5.66728421554923535E-014
         21, 5.58366041070002391E-014
         22, 5.41886061168327415E-014
         23, 5.56469203422538803E-014
         24, 5.76793106149707036E-014
         25, 4.14284024340939092E-014
         26, 4.96466075914622661E-014
         27, 4.58828722704923230E-014
         28, 5.42657085241106610E-014
         29, 5.52873053227746284E-014
         30, 5.72657068289814828E-014
         31, 4.54944319514953861E-014
         32, 5.04644800119959127E-014
         33, 5.54875316419745897E-014
         34, 5.76160146933626754E-014
         35, 5.51189470038210748E-014
         36, 5.69141556225206191E-014
         37, 5.32466997666706595E-014
         38, 5.12305135514505421E-014
         39, 4.39217105493367070E-014
         40, 5.37639570119959019E-014
         41, 4.15266917250655441E-014
         42, 4.45077859831970849E-014
         43, 4.58569025569755346E-014
         44, 4.66922253430879624E-014
         45, 5.43423973166943535E-014
         46, 4.44550700472961666E-014
         47, 5.38113910339150949E-014
         48, 5.29491523316645444E-014
         49, 5.39375492904386882E-014
         50, 3.74876487932765830E-014
         51, 5.39463534403861127E-014
         52, 4.54459601932239370E-014
         53, 5.43534924486518911E-014
         54, 5.41949746930626541E-014
         55, 3.84916362081051458E-014
         56, 4.48738659669114001E-014
         57, 5.14333776192745722E-014
         58, 4.38906681459017832E-014
         59, 3.14023412042961100E-014
         60, 2.71450980254150399E-014
         61, 4.76570164470298390E-014
         62, 3.64741571931369708E-014
         63, 4.33489825704262986E-014
         64, 3.38873437248413023E-014
         65, 4.28352393387819538E-014
         66, 4.72882190623716141E-014
         67, 4.52804969126672944E-014
         68, 4.33972871414553372E-014
         69, 3.67528699437211441E-014
         70, 2.82763067213780291E-014
         71, 2.67048144443258641E-014
         72, 2.86629353132714925E-014
         73, 4.13430851564338031E-014
         74, 4.13163020907762605E-014
         75, 3.32939113630811128E-014
         76, 3.19454846970770693E-014
         77, 3.76969575810032874E-014
         78, 3.17186363853535561E-014
         79, 3.06664343208292017E-014
         80, 2.44630864052285420E-014
         81, 4.29510412128239482E-014
         82, 3.87195007345151286E-014
         83, 2.99147909863505268E-014
         84, 3.68212822970696095E-014
         85, 3.84368315514614839E-014
         86, 3.87312893379098160E-014
         87, 4.29715955644832499E-014
         88, 3.12176363203204870E-014
         89, 2.68589420915524291E-014
         90, 3.06324166561500763E-014
         91, 3.40720800113684619E-014
         92, 3.17403955446112584E-014
