         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8386560,  1007, 1.56188933146821640E-001
         2,    8386560,  1007, 1.69238581807502730E-001
         3,    8386560,  1007, 1.78877443117568369E-001
         4,    8386560,  1007, 2.04384886898147183E-001
         5,    8386560,  1007, 2.30719026894070589E-001
         6,    8386560,  1007, 1.72897629862134500E-001
         7,    8386560,  1007, 2.64515252530757696E-003
         8,    8293302,  1007, 2.54914487589932479E-004
         9,    7828562,  1007, 2.19352169289034742E-006
        10,    7196985,  1007, 4.85186349669450160E-009
        11,    5382735,  1007, 2.89973503350574948E-012
        12,    1140399,  1007, 3.88175904183494920E-015
        13,     266636,  1007, 3.56676448050940257E-015
        14,      27380,  1007, 3.56224143522383200E-015
        15,        144,  1007, 3.55815452913596501E-015
        16,          9,  1007, 3.45089379469124029E-015
        17,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 2.64374450739349942E-012
          2, 2.62432932333234088E-012
          3, 2.50135515420250583E-012
          4, 2.64918679829184670E-012
          5, 2.49899646210120134E-012
          6, 2.61773252164865416E-012
          7, 2.58478640757853737E-012
          8, 2.52576853829854879E-012
          9, 2.40790829318789282E-012
         10, 2.40868577042509132E-012
         11, 2.80046304909422239E-012
         12, 2.64976339256125942E-012
         13, 2.80347762802813811E-012
         14, 2.56276365232262861E-012
         15, 2.57965891835645057E-012
         16, 2.45229200226730386E-012
         17, 2.44959087523429362E-012
         18, 2.60336583080120914E-012
         19, 2.34033727849495213E-012
         20, 2.70858085514471751E-012
         21, 2.62709276303896254E-012
         22, 2.74973904924880591E-012
         23, 2.74870343356843292E-012
         24, 2.55459226391716114E-012
         25, 2.63217285635086344E-012
         26, 2.59929683758475959E-012
         27, 2.53747086465306650E-012
         28, 2.47146395074346080E-012
         29, 2.49891229653725032E-012
         30, 2.43931489679424097E-012
         31, 2.30254153312497599E-012
         32, 2.32881119697440832E-012
         33, 2.37984879633096680E-012
         34, 2.43206660370006310E-012
         35, 2.56591972053333322E-012
         36, 2.50361236797232545E-012
         37, 2.43333888202709879E-012
         38, 2.46679139154832231E-012
         39, 2.43526610554303276E-012
         40, 2.67499161184249382E-012
         41, 2.60187791522228797E-012
         42, 2.51883859160635780E-012
         43, 2.50071257539022410E-012
         44, 2.60797200905659069E-012
         45, 2.62016261401051006E-012
         46, 2.61096273044391469E-012
         47, 2.47407051645647401E-012
         48, 2.78449875396865686E-012
         49, 2.78920102610694301E-012
         50, 2.65061591112850580E-012
         51, 2.65416417350745483E-012
         52, 2.79859324900859693E-012
         53, 2.73456599396469057E-012
         54, 2.68004535345518938E-012
         55, 2.53739020603289445E-012
         56, 2.55118443967873616E-012
         57, 2.77035437872215110E-012
         58, 2.70984793221321671E-012
         59, 2.78575787742772786E-012
         60, 2.68008552897377040E-012
         61, 2.57944663232853907E-012
         62, 2.77187048221749603E-012
         63, 2.86803771838297421E-012
         64, 2.68995762464114843E-012
         65, 2.64548914771088932E-012
         66, 2.60953274165056094E-012
         67, 2.81655006072845033E-012
         68, 2.73124721914352462E-012
         69, 2.78814199196349426E-012
         70, 2.82050838389088209E-012
         71, 2.85364375271071417E-012
         72, 2.63169110277721801E-012
         73, 2.77400393674294470E-012
         74, 2.59025636382193421E-012
         75, 2.50122644822224528E-012
         76, 2.65527464434368415E-012
         77, 2.70770256067101090E-012
         78, 2.71608220262936395E-012
         79, 2.62208752870785888E-012
         80, 2.66161204288764096E-012
         81, 2.53243285855056152E-012
         82, 2.67068790226218408E-012
         83, 2.59182863440168828E-012
         84, 2.59085228673796442E-012
         85, 2.57762595648311153E-012
         86, 2.66961163966244612E-012
         87, 2.71299314464692968E-012
         88, 2.57908346029753987E-012
         89, 2.58677302286885763E-012
         90, 2.59771080101914135E-012
         91, 2.55976806048370505E-012
         92, 2.56658900330670145E-012
         93, 2.39936879007643881E-012
         94, 2.36488434726088067E-012
         95, 2.60059222776519653E-012
         96, 2.66158968060816297E-012
         97, 2.56965478322128792E-012
         98, 2.64590699214416179E-012
         99, 2.53694621819089987E-012
        100, 2.66278279899375669E-012
        101, 2.64660920108363337E-012
        102, 2.53349047230439308E-012
        103, 2.61695001407224667E-012
        104, 2.71554341034237319E-012
        105, 2.58616597753229730E-012
        106, 2.52353218278472710E-012
        107, 2.67730755211329927E-012
        108, 2.55708703051018394E-012
        109, 2.70413693228182489E-012
        110, 2.65589122736736729E-012
        111, 2.43904910754477988E-012
        112, 2.66079595270336944E-012
        113, 2.80896423700008140E-012
        114, 2.58720461689051026E-012
        115, 2.69082433734999487E-012
        116, 2.76387501610978921E-012
        117, 2.65118702747267270E-012
        118, 2.52060264454784245E-012
        119, 2.65929839617177993E-012
        120, 2.73897271778168750E-012
        121, 2.94798754745941577E-012
        122, 2.55859156695309169E-012
        123, 2.65978568825824417E-012
        124, 2.49266703785080054E-012
        125, 2.57358976459476584E-012
        126, 2.35574706571002043E-012
        127, 2.52336445359970868E-012
        128, 2.66616360837771198E-012
        129, 2.59754657240364769E-012
        130, 2.61940601881677380E-012
        131, 2.51125716877417900E-012
        132, 2.55442615440545918E-012
        133, 2.43945228640599041E-012
        134, 2.47208980881671267E-012
        135, 2.45337050945697375E-012
        136, 2.57813447862199025E-012
        137, 2.58802742484404046E-012
        138, 2.70459615879832335E-012
        139, 2.46540817880689909E-012
        140, 2.57916430460267097E-012
        141, 2.32604036126004118E-012
        142, 2.46107374060741330E-012
        143, 2.60683801225338334E-012
        144, 2.60320059387014010E-012
        145, 2.50296147029582397E-012
        146, 2.61287498397271850E-012
        147, 2.65350244252024410E-012
        148, 2.88218271980551305E-012
        149, 2.59420096567929952E-012
        150, 2.64899325641389169E-012
        151, 2.64017927852883867E-012
        152, 2.55837003247065035E-012
        153, 2.73835530050199864E-012
        154, 2.74836247905481879E-012
        155, 2.62586453222143949E-012
        156, 2.56426634558045623E-012
        157, 2.61372642525459348E-012
        158, 2.58448815232713429E-012
        159, 2.66954754016543913E-012
        160, 2.63191939413433991E-012
        161, 2.63206544765901456E-012
        162, 2.69488340996052510E-012
        163, 2.54010653038801316E-012
        164, 2.73852226278297092E-012
        165, 2.65092539796116424E-012
        166, 2.48342730026730708E-012
        167, 2.52110645196596145E-012
        168, 2.41329825561653619E-012
        169, 2.44118394949429635E-012
        170, 2.52304816307315416E-012
        171, 2.45966649475501955E-012
        172, 2.56196992910543692E-012
        173, 2.63398902729150639E-012
        174, 2.53135122432937585E-012
        175, 2.55443889601329918E-012
        176, 2.39788988291958665E-012
        177, 2.64492510827446954E-012
        178, 2.56346642513760171E-012
        179, 2.40047156504188307E-012
        180, 2.45149422731844923E-012
        181, 2.53580733068866804E-012
        182, 2.57450037328026990E-012
        183, 2.46472510884600128E-012
        184, 2.40440265152357626E-012
        185, 2.35917575899793986E-012
        186, 2.35121794771414553E-012
        187, 2.38530191158541959E-012
        188, 2.32296925315311608E-012
        189, 2.70635504400705280E-012
        190, 2.44445265185297107E-012
        191, 2.32727462850795007E-012
        192, 2.38232151750697267E-012
        193, 2.37322809139354852E-012
        194, 2.39643898851568657E-012
        195, 2.43199457436614603E-012
        196, 2.28254240252315316E-012
        197, 2.41747688811739595E-012
        198, 2.36797993864078802E-012
        199, 2.42976266435986296E-012
        200, 2.42569197164735283E-012
        201, 2.46052322722945243E-012
        202, 2.46078117006083773E-012
        203, 2.54127099203465329E-012
        204, 2.45607324447217604E-012
        205, 2.46770697121149468E-012
        206, 2.35044012778040435E-012
        207, 2.51784929759984035E-012
        208, 2.50351751947606566E-012
        209, 2.43565803976605707E-012
        210, 2.54833069799404694E-012
        211, 2.38305005537623823E-012
        212, 2.43210017544808774E-012
        213, 2.27090200003235566E-012
        214, 2.42075796196524744E-012
        215, 2.35053131609415796E-012
        216, 2.40222805992371008E-012
        217, 2.52403105921376118E-012
        218, 2.32912620754191457E-012
        219, 2.54125306510745106E-012
        220, 2.44967839747982786E-012
        221, 2.44016589826644890E-012
        222, 2.32608193829277671E-012
        223, 2.43992141953760779E-012
        224, 2.50707576256383976E-012
        225, 2.38271207357374679E-012
        226, 2.24794951176349305E-012
        227, 2.44168815515573437E-012
        228, 2.47385799716930371E-012
        229, 2.50983368733159981E-012
        230, 2.47315408470129716E-012
        231, 2.45626420859401870E-012
        232, 2.45864796960887487E-012
        233, 2.73250635901441030E-012
        234, 2.41970828079295768E-012
        235, 2.59761254353497942E-012
        236, 2.45597743733611114E-012
        237, 2.47582624394214058E-012
        238, 2.42740131351344315E-012
        239, 2.45343986375854280E-012
        240, 2.45584565226821143E-012
        241, 2.45340467774560945E-012
        242, 2.49198542783376483E-012
        243, 2.50618956506183086E-012
        244, 2.40213896118446971E-012
        245, 2.59038430170035151E-012
        246, 2.43380487815993897E-012
        247, 2.46854555045224754E-012
        248, 2.34650854963911038E-012
        249, 2.50948528305246002E-012
        250, 2.33654478216047684E-012
        251, 2.41258341403815018E-012
        252, 2.52273501401994050E-012
        253, 2.49356160660120325E-012
        254, 2.46913015479924344E-012
        255, 2.50341114017790351E-012
        256, 2.54750036939906154E-012
        257, 2.46884845954530908E-012
        258, 2.42311919918953084E-012
        259, 2.35512492772683298E-012
        260, 2.34257115050071654E-012
        261, 2.31446400562026908E-012
        262, 2.39728299315222304E-012
        263, 2.30322338630453205E-012
        264, 2.51610773572703183E-012
        265, 2.35783209289503135E-012
        266, 2.38367688622865896E-012
        267, 2.42222984797941605E-012
        268, 2.55569368781482270E-012
        269, 2.38070208819930986E-012
        270, 2.55672385335486830E-012
        271, 2.40604646444958333E-012
        272, 2.37197062833849166E-012
        273, 2.30297382141461675E-012
        274, 2.37413013200203559E-012
        275, 2.43775082548612962E-012
        276, 2.36484665292871339E-012
        277, 2.33855980721020338E-012
        278, 2.29535031705190997E-012
        279, 2.31796611293373854E-012
        280, 2.42793039641248130E-012
        281, 2.27283679774806864E-012
        282, 2.42450016565568728E-012
        283, 2.48573792372709978E-012
        284, 2.39198513756200564E-012
        285, 2.27333520614045627E-012
        286, 2.43750882432466066E-012
        287, 2.33943957670566312E-012
        288, 2.36331606801654447E-012
        289, 2.38094462937568810E-012
        290, 2.25982351026608119E-012
        291, 2.35206681192543085E-012
        292, 2.35677045161480370E-012
        293, 2.33137255711373454E-012
        294, 2.47527904263415232E-012
        295, 2.29904475739752487E-012
        296, 2.43029186420448805E-012
        297, 2.55287983393877323E-012
        298, 2.46287748374073459E-012
        299, 2.43982842891661055E-012
        300, 2.39081715075307734E-012
        301, 2.24229643046786318E-012
        302, 2.50051026248445438E-012
        303, 2.34999817232842638E-012
        304, 2.33135791311049350E-012
        305, 2.28252242039682152E-012
        306, 2.26053891346327137E-012
        307, 2.25983864992920479E-012
        308, 2.32158979064639500E-012
        309, 2.21200074830086025E-012
        310, 2.38257252116563846E-012
        311, 2.17530150091122698E-012
        312, 2.24326720261093461E-012
        313, 2.38088405405438313E-012
        314, 2.48129182127955049E-012
        315, 2.42030299768651417E-012
        316, 2.31274762196867917E-012
        317, 2.41159135630705648E-012
        318, 2.27327544527752327E-012
        319, 2.36591916052218208E-012
        320, 2.43093889549823018E-012
        321, 2.35895304402417493E-012
        322, 2.33676624170072546E-012
        323, 2.26587118142034185E-012
        324, 2.34751327868062034E-012
        325, 2.29149757176187618E-012
        326, 2.23864275301360861E-012
        327, 2.29428725070810693E-012
        328, 2.33344797822281558E-012
        329, 2.14567233612242341E-012
        330, 2.38529089902025742E-012
        331, 2.39779954893567047E-012
        332, 2.34662021224502932E-012
        333, 2.24808757736589264E-012
        334, 2.26374397661124451E-012
        335, 2.53666723756921009E-012
        336, 2.39213925649297231E-012
        337, 2.21570725721841715E-012
        338, 2.36080717208111660E-012
        339, 2.20661454715063726E-012
        340, 2.36096554565495074E-012
        341, 2.30988298201505659E-012
        342, 2.36318066825848449E-012
        343, 2.46152055753469178E-012
        344, 2.46667017938948454E-012
        345, 2.41115933065785522E-012
        346, 2.41856774723096421E-012
        347, 2.50731636018905668E-012
        348, 2.36529307659496262E-012
        349, 2.42209771721080070E-012
        350, 2.31781616785431438E-012
        351, 2.45971324232777227E-012
        352, 2.42764902650221038E-012
        353, 2.49788755455708842E-012
        354, 2.57869626299317592E-012
        355, 2.36765505167352855E-012
        356, 2.40087080672161241E-012
        357, 2.48977039318047911E-012
        358, 2.36819502474139166E-012
        359, 2.46981889148763279E-012
        360, 2.43189298939053316E-012
        361, 2.51695521476726316E-012
        362, 2.42917028117444727E-012
        363, 2.34593703044195046E-012
        364, 2.37988672758157293E-012
        365, 2.53388931228888742E-012
        366, 2.39646335292820764E-012
        367, 2.45679511129563290E-012
        368, 2.51701065256150852E-012
        369, 2.51134250766216100E-012
        370, 2.39351632025498382E-012
        371, 2.49483877446788618E-012
        372, 2.62787399820458800E-012
        373, 2.62328999931479135E-012
        374, 2.49286145778806619E-012
        375, 2.44485249965000996E-012
        376, 2.52498991738573712E-012
        377, 2.47087798878197174E-012
        378, 2.45086477551155330E-012
        379, 2.35662396829120332E-012
        380, 2.44414482203928197E-012
        381, 2.55973458426323122E-012
        382, 2.54859277093808894E-012
        383, 2.46898794739670872E-012
        384, 2.57739399323495392E-012
        385, 2.41995828047499007E-012
        386, 2.59547027312018097E-012
        387, 2.62195468567341075E-012
        388, 2.43769432467534530E-012
        389, 2.55975493035416066E-012
        390, 2.44374419476029978E-012
        391, 2.41059925007229128E-012
        392, 2.37687768557616747E-012
        393, 2.48853080501612396E-012
        394, 2.61369550482523722E-012
        395, 2.50494590012696475E-012
        396, 2.47289259297908308E-012
        397, 2.55545567539427841E-012
        398, 2.53475001997497582E-012
        399, 2.48018838750665060E-012
        400, 2.42802927698973459E-012
        401, 2.41630216199930627E-012
        402, 2.56976791705847833E-012
        403, 2.57184628162103884E-012
        404, 2.66289873337351457E-012
        405, 2.41110205265552166E-012
        406, 2.49176035095549224E-012
        407, 2.56951623627466237E-012
        408, 2.49665574926464649E-012
        409, 2.53656792940922726E-012
        410, 2.51771182544844299E-012
        411, 2.57742181899763818E-012
        412, 2.46233628608107270E-012
        413, 2.53917632436567807E-012
        414, 2.61316338065351864E-012
        415, 2.61396423759297131E-012
        416, 2.62139883690289985E-012
        417, 2.52322398762065013E-012
        418, 2.57395175435253810E-012
        419, 2.53353543006333440E-012
        420, 2.58769262613993622E-012
        421, 2.78037188075579581E-012
        422, 2.77106208176680845E-012
        423, 2.78022903921711468E-012
        424, 2.53132251656974194E-012
        425, 2.89507153994093868E-012
        426, 2.71754846221588344E-012
        427, 2.94360345684648312E-012
        428, 2.70414542975672203E-012
        429, 2.67447928279784023E-012
        430, 2.83385241661643954E-012
        431, 2.74292653453984040E-012
        432, 2.73073191115469000E-012
        433, 2.55388129685812162E-012
        434, 2.67884644740290896E-012
        435, 2.69232263014254257E-012
        436, 2.75337123194162570E-012
        437, 2.80602189330544563E-012
        438, 2.68600601846785680E-012
        439, 2.94878197724348811E-012
        440, 2.80822795957782947E-012
        441, 2.52312285305265218E-012
        442, 2.67998785670584634E-012
        443, 2.68811901907591451E-012
        444, 2.76466601206788486E-012
        445, 2.58774046978164862E-012
        446, 2.66937357098459834E-012
        447, 2.60268588281695709E-012
        448, 2.67854265648101052E-012
        449, 3.05558870730873562E-012
        450, 2.65901314228828421E-012
        451, 2.80270664503432125E-012
        452, 2.74760372251800848E-012
        453, 2.74996910202615885E-012
        454, 2.69924602745975884E-012
        455, 2.85301034156010817E-012
        456, 2.92515619856718046E-012
        457, 2.80953425481693289E-012
        458, 2.77991472885916704E-012
        459, 2.75150923481030614E-012
        460, 2.71602343046174427E-012
        461, 2.90468429007503804E-012
        462, 2.83191315953613311E-012
        463, 2.70202157737313264E-012
        464, 2.73197926633673572E-012
        465, 3.01347888471928612E-012
        466, 2.68288040372929553E-012
        467, 2.89469288336189783E-012
        468, 2.82258735410370489E-012
        469, 2.99159232447172998E-012
        470, 3.21616706010029567E-012
        471, 3.05229799202441610E-012
        472, 3.11676151510517889E-012
        473, 3.05529415247731907E-012
        474, 2.84201924680510416E-012
        475, 2.99595215614380241E-012
        476, 3.10427266199627566E-012
        477, 3.08666619861670243E-012
        478, 3.15668074378754873E-012
        479, 3.07162905021969700E-012
        480, 2.73185345291346046E-012
        481, 2.81546338126059617E-012
        482, 2.88974034698895873E-012
        483, 2.67336839076848325E-012
        484, 2.94676889423033258E-012
        485, 2.99197710448319763E-012
        486, 2.94904132544912684E-012
        487, 2.99106794404994013E-012
        488, 3.12700741908898405E-012
        489, 2.96546789873011608E-012
        490, 3.01024324078646830E-012
        491, 3.04698868752422348E-012
        492, 3.11341897433574942E-012
        493, 3.15369778249959638E-012
        494, 3.13386470377602217E-012
        495, 2.94404078899524214E-012
        496, 2.83631717146161150E-012
        497, 2.69923323070341017E-012
        498, 3.18750379242864023E-012
        499, 3.17713193965465698E-012
        500, 2.94702614103899007E-012
        501, 2.95915863868492866E-012
        502, 2.89962103257012463E-012
        503, 3.12710757927567014E-012
        504, 3.22360382095833727E-012
        505, 2.79662213456704643E-012
        506, 3.00255303344537804E-012
        507, 3.02019988401245541E-012
        508, 3.08835903327801747E-012
        509, 3.08701493713394694E-012
        510, 3.06557440366030324E-012
        511, 2.89639450045412065E-012
        512, 2.82793615109516730E-012
        513, 2.62910389874294760E-012
        514, 2.82043744961336272E-012
        515, 2.93019729089783604E-012
        516, 2.82229631782176269E-012
        517, 3.02089091544041159E-012
        518, 2.77371756299707761E-012
        519, 2.77826850771105439E-012
        520, 3.03548554441564621E-012
        521, 2.84613727498256041E-012
        522, 2.95577561842834453E-012
        523, 2.99731316619922005E-012
        524, 3.01289574006926234E-012
        525, 2.81942342300025540E-012
        526, 2.73861507304434620E-012
        527, 2.89305665108061684E-012
        528, 2.97929226091894404E-012
        529, 3.20214185555321826E-012
        530, 2.88692111534630245E-012
        531, 3.06046712276287725E-012
        532, 2.94216295839105962E-012
        533, 3.01658511288600676E-012
        534, 3.07717802065502713E-012
        535, 3.00309085166572240E-012
        536, 2.96845126955168833E-012
        537, 3.01620491136817057E-012
        538, 2.91940935200438667E-012
        539, 3.14382562444234602E-012
        540, 3.07023446165587156E-012
        541, 3.26598006236087353E-012
        542, 3.13752887882108735E-012
        543, 2.90759175109054629E-012
        544, 2.97878019002352011E-012
        545, 2.95474102187574345E-012
        546, 3.10893825341693213E-012
        547, 2.99431452649321790E-012
        548, 2.95093680262944411E-012
        549, 2.92956515626287607E-012
        550, 2.99567752525894247E-012
        551, 3.01993811347735052E-012
        552, 3.03129876050669577E-012
        553, 3.19527586375587800E-012
        554, 3.12443598076609032E-012
        555, 2.94227907502615003E-012
        556, 3.02147435585534633E-012
        557, 2.82717030561588521E-012
        558, 2.98174396248717066E-012
        559, 2.90603641150699467E-012
        560, 2.99580784949693313E-012
        561, 2.81788591292670149E-012
        562, 2.77417479596280247E-012
        563, 3.17988757647370295E-012
        564, 3.06996372566054381E-012
        565, 3.23559560257506086E-012
        566, 2.87309495415526937E-012
        567, 3.01664846193151366E-012
        568, 3.12765051262103555E-012
        569, 2.84346384108286000E-012
        570, 3.00956051510519226E-012
        571, 3.30704880582216228E-012
        572, 3.00048647725599482E-012
