         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8386560,  1007, 1.46339642518850677E-001
         2,    8386560,  1007, 1.97559214359367963E-001
         3,    8386560,  1007, 1.70658736214651940E-001
         4,    8386560,  1007, 1.92582850563627950E-001
         5,    8386560,  1007, 2.27120049049673450E-001
         6,    8386560,  1007, 2.47147064020292795E-001
         7,    8386560,  1007, 1.21452421837254416E-002
         8,    8378868,  1007, 1.07696941244974568E-003
         9,    7906742,  1007, 2.97502009809516974E-005
        10,    7203572,  1007, 9.21725180926999469E-008
        11,    5527340,  1007, 1.32237516799825360E-011
        12,     798000,  1007, 3.69458989194995290E-015
        13,     167420,  1007, 3.57796900381321894E-015
        14,       9903,  1007, 3.56792635668167262E-015
        15,         81,  1007, 3.55285067099812600E-015
        16,          7,  1007, 3.48747048548364486E-015
        17,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.79900366329045407E-014
          2, 1.68898278047279753E-014
          3, 1.82071921393693116E-014
          4, 1.48363514576323510E-014
          5, 1.68651562961015500E-014
          6, 1.52721054550950873E-014
          7, 1.55279269135214250E-014
          8, 1.61715882979176913E-014
          9, 1.63503951659632892E-014
         10, 1.78496189201157355E-014
         11, 1.53975514958907936E-014
         12, 1.53094650660920430E-014
         13, 1.87748410815251784E-014
         14, 2.03987625335302509E-014
         15, 2.14982539511248023E-014
         16, 2.03956466663157796E-014
         17, 1.86766135323183720E-014
         18, 1.77416890916950056E-014
         19, 2.18592241150309828E-014
         20, 1.61476425723483626E-014
         21, 1.74407156241906373E-014
         22, 1.73642348927027456E-014
         23, 1.73646693935763466E-014
         24, 1.71082191374270713E-014
         25, 1.64318804848223176E-014
         26, 1.98505226607487955E-014
         27, 1.66344492927624296E-014
         28, 1.73316645216139026E-014
         29, 1.83921253239392371E-014
         30, 1.65067901262332611E-014
         31, 1.86446610059862080E-014
         32, 1.97818009081261946E-014
         33, 1.99381496435229866E-014
         34, 1.69673603915897752E-014
         35, 2.09853287388750678E-014
         36, 2.10331071049324274E-014
         37, 1.97633581071529778E-014
         38, 2.13729233151377600E-014
         39, 2.03180249858045532E-014
         40, 2.08838500007111608E-014
         41, 2.01057854585968504E-014
         42, 2.08112303891139951E-014
         43, 2.02359177083465748E-014
         44, 2.11072422062476038E-014
         45, 2.06680023235677798E-014
         46, 2.10665951793717761E-014
         47, 2.01153723005369150E-014
         48, 2.03625801882538142E-014
         49, 1.94204703586876081E-014
         50, 2.07340126360711609E-014
         51, 2.05997165341736335E-014
         52, 2.12535588334061491E-014
         53, 2.16401330109126075E-014
