         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8386560,  1007, 1.51688585765849426E-001
         2,    8386560,  1007, 1.77767524993858006E-001
         3,    8386560,  1007, 1.16699536474353729E-001
         4,    8386560,  1007, 1.05633303362112324E-001
         5,    8386560,  1007, 2.87930173411473471E-002
         6,    8386560,  1007, 1.74475305135077668E-002
         7,    8301826,  1007, 4.87767393810409691E-003
         8,    6486431,  1007, 3.43836834734455798E-004
         9,    4748621,  1007, 6.90177516226438951E-006
        10,    3303227,  1007, 3.37864079831702494E-008
        11,     919966,  1007, 2.22563685815279486E-011
        12,     237420,  1007, 3.57030580056534604E-015
        13,      21968,  1007, 3.54394975304937928E-015
        14,        231,  1007, 3.21029214115300971E-015
        15,          9,  1007, 3.18647138993552328E-015
        16,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.23832405962076856E-014
          2, 1.29541912289761206E-014
          3, 1.47291036987791506E-014
          4, 1.80424095396144140E-014
          5, 2.02482120627131188E-014
          6, 1.45375241547119163E-014
          7, 1.63159270377706710E-014
          8, 2.62478507244693457E-014
          9, 3.74913360217062389E-014
         10, 4.07977719605565358E-014
         11, 3.85932580160164479E-014
         12, 3.90138404140789383E-014
         13, 4.14861205933773861E-014
         14, 3.18046614661862955E-014
         15, 4.10342504896371173E-014
         16, 3.93729953346385675E-014
         17, 4.02986689590315588E-014
         18, 2.80215313988873674E-014
         19, 3.88866951934906549E-014
         20, 3.89907505903952369E-014
         21, 3.34072921138734741E-014
         22, 3.79590269197265256E-014
         23, 3.84292056022922132E-014
         24, 3.89329417195012301E-014
         25, 4.23785294716508520E-014
         26, 2.81338545665953499E-014
         27, 3.04666449306967518E-014
         28, 3.04643486720029036E-014
         29, 3.11527387384498387E-014
         30, 3.34886595394183912E-014
         31, 4.00388072930768581E-014
         32, 3.62283848251270890E-014
         33, 3.80810013794198779E-014
         34, 3.70178500437898694E-014
         35, 3.83060250446290917E-014
         36, 2.71712678587342141E-014
         37, 3.56168966653308230E-014
         38, 3.91816641014210195E-014
         39, 3.12371853303118287E-014
         40, 4.17788144663690059E-014
         41, 4.00288059541301377E-014
         42, 2.81175844639753514E-014
         43, 2.66736448286998752E-014
         44, 2.82550372559652997E-014
         45, 3.04290060082968589E-014
         46, 3.05967149063026374E-014
         47, 3.97035344792436576E-014
         48, 3.62928380625005055E-014
         49, 2.98315580736466984E-014
         50, 4.15859263127949397E-014
         51, 2.69129246005866753E-014
         52, 3.21093783310463875E-014
         53, 2.61727782349510681E-014
         54, 3.48164089321420523E-014
         55, 2.62821775028778706E-014
         56, 3.03342540055314732E-014
         57, 2.82694798120903864E-014
         58, 3.31944743525396264E-014
         59, 2.86826873922012828E-014
         60, 4.01147705221006277E-014
         61, 3.32497861376946086E-014
         62, 3.67776854839090794E-014
         63, 3.35817755031736249E-014
         64, 3.24698267842266748E-014
         65, 3.90668365678368781E-014
         66, 2.68675104690464203E-014
         67, 3.22375931814620601E-014
         68, 2.95499242380711140E-014
         69, 3.16351775615457653E-014
         70, 3.14626461730164283E-014
         71, 3.95263705537665474E-014
         72, 3.23518737135176390E-014
         73, 2.51783477590317780E-014
         74, 3.18754984748047657E-014
         75, 2.46614331775819014E-014
         76, 2.36788003209252310E-014
         77, 3.36252594814020450E-014
         78, 2.73634430845272836E-014
         79, 2.79308197690908881E-014
         80, 2.93903292911489639E-014
         81, 2.45719788712308013E-014
         82, 2.24171486262120048E-014
         83, 3.22096640374726093E-014
         84, 3.90203246656978434E-014
         85, 2.28258792057624516E-014
         86, 2.64497737440083379E-014
         87, 2.53228966131682046E-014
         88, 3.32688836669527507E-014
         89, 2.16277910375533181E-014
         90, 2.78370869156787890E-014
         91, 2.89815425219906809E-014
         92, 2.93053181284820918E-014
         93, 3.35332210151527030E-014
         94, 3.05068806554346575E-014
         95, 3.29424037790235313E-014
         96, 2.72610709810345170E-014
         97, 2.71704212704960586E-014
         98, 3.14146665400609359E-014
         99, 2.16587261878651814E-014
        100, 2.13183472050187286E-014
        101, 2.19706172341540920E-014
        102, 2.58137773105712355E-014
        103, 3.08190912688079769E-014
        104, 3.33535873225043705E-014
        105, 2.87981465405862027E-014
        106, 3.43639350705409611E-014
        107, 2.57832254240417083E-014
        108, 2.35905377102949012E-014
        109, 3.27266907497279447E-014
        110, 2.40185604884845322E-014
        111, 2.17378462123410444E-014
        112, 2.53747691114939429E-014
        113, 2.00466081233574730E-014
        114, 1.96547019394875742E-014
        115, 2.33447806012909067E-014
        116, 2.38441448724394980E-014
        117, 2.39076855064125740E-014
