         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8386560,  1007, 2.50263686418258746E-001
         2,    8386560,  1007, 9.04019447232177059E-002
         3,    8386560,  1007, 1.04942802070666391E-001
         4,    8386560,  1007, 1.27548612347311713E-001
         5,    8386560,  1007, 1.04089737024342169E-001
         6,    8386560,  1007, 7.02466327012327314E-003
         7,    8357981,  1007, 7.48368895387358023E-004
         8,    6976717,  1007, 1.36887468428368501E-005
         9,    5292664,  1007, 5.71254032192272904E-008
        10,    3571290,  1007, 1.25184184163785263E-010
        11,    1073753,  1007, 3.83003000975515694E-014
        12,     297112,  1007, 3.92301163661429214E-015
        13,      44147,  1007, 3.57974078319576065E-015
        14,        632,  1007, 3.54989346343083649E-015
        15,         20,  1007, 2.86586842232771559E-015
        16,          1,  1007, 0.00000000000000000E+000
        17,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.04850272644089408E-012
          2, 1.11269525460596882E-012
          3, 1.09582734475015210E-012
          4, 1.08620737927482656E-012
          5, 1.07638844662114242E-012
          6, 1.00249116637303186E-012
          7, 1.16162944284954792E-012
          8, 1.16913313664772476E-012
          9, 1.14145381719256767E-012
         10, 1.19673169224654174E-012
         11, 1.14554820962720141E-012
         12, 1.07192999632520051E-012
         13, 1.06582903871521734E-012
         14, 1.17285347003960020E-012
         15, 1.15481096127035498E-012
         16, 1.19047447956848927E-012
         17, 1.13272996872821133E-012
         18, 1.15634991308130881E-012
         19, 1.13738047419950466E-012
         20, 1.09153500772859116E-012
         21, 1.04668854782257005E-012
         22, 1.07781927538712147E-012
         23, 1.10271412529009645E-012
         24, 1.05406613171412987E-012
         25, 1.20156324309094207E-012
         26, 1.13118740541116239E-012
         27, 1.05244869795970579E-012
         28, 1.17264323758286043E-012
         29, 1.05565470784194033E-012
         30, 1.10721660735393964E-012
         31, 1.21799724542119250E-012
         32, 1.04534508142646147E-012
         33, 1.13370135677368235E-012
         34, 1.11939458145554848E-012
         35, 1.16716533378720275E-012
         36, 1.13773395145239597E-012
         37, 1.18161301767625875E-012
         38, 1.13529383704006768E-012
         39, 1.14428383643078872E-012
         40, 1.16889270343002520E-012
         41, 1.11687144849345399E-012
         42, 1.14564276300562600E-012
         43, 1.18933653364667209E-012
         44, 1.19099562670205212E-012
         45, 1.16335023827283531E-012
         46, 1.21838436992788439E-012
         47, 1.12709714690841093E-012
         48, 1.20143341984052073E-012
         49, 1.14439618367512379E-012
         50, 1.23223843931075785E-012
         51, 1.08636511085642196E-012
         52, 1.18460096080528239E-012
         53, 1.27717864474031133E-012
         54, 1.12831323251501312E-012
         55, 1.17842025899847085E-012
         56, 1.23513705448780100E-012
         57, 1.22810687794200469E-012
         58, 1.23300357552016407E-012
         59, 1.17129369360879027E-012
         60, 1.20133627856404124E-012
         61, 1.21065886824527560E-012
         62, 1.20303434318442359E-012
         63, 1.16781766885090920E-012
         64, 1.22180970400976877E-012
         65, 1.22680029488161070E-012
         66, 1.14423469446193992E-012
         67, 1.08787308402523543E-012
         68, 1.15843193007072706E-012
         69, 1.14887584484505129E-012
         70, 1.11727979026119789E-012
         71, 1.17772079918161486E-012
         72, 1.18934053785419160E-012
         73, 1.16614579980234062E-012
         74, 1.13204317981078178E-012
         75, 1.23014437869551496E-012
         76, 1.19425058285807386E-012
         77, 1.30587972508144773E-012
         78, 1.12104167215817072E-012
         79, 1.11831307476034246E-012
         80, 1.09804013835793201E-012
         81, 1.14303310924785623E-012
         82, 1.15444298868350803E-012
         83, 1.22614261964190523E-012
         84, 1.14849062512247266E-012
         85, 1.30050819203015928E-012
         86, 1.22502779873046055E-012
         87, 1.20792178146512187E-012
         88, 1.24973326306187640E-012
         89, 1.28121323089792297E-012
         90, 1.09349392841222692E-012
         91, 1.25385572582071970E-012
         92, 1.22240529917514639E-012
         93, 1.29798981745587906E-012
         94, 1.25296194156201141E-012
         95, 1.14629307285285513E-012
         96, 1.16775411024065259E-012
         97, 1.21462641399263873E-012
         98, 1.27601690852936795E-012
         99, 1.22518495248654033E-012
        100, 1.26343153234418494E-012
        101, 1.22373533084257046E-012
        102, 1.22175170111937458E-012
        103, 1.38013507787333605E-012
        104, 1.21698674652056430E-012
        105, 1.24894628262936317E-012
        106, 1.20517734953754384E-012
        107, 1.19492131842581798E-012
        108, 1.22658444687716534E-012
        109, 1.10484820980593602E-012
        110, 1.25756283173244094E-012
        111, 1.25029338444229319E-012
        112, 1.24413355662226612E-012
        113, 1.28268125785695976E-012
        114, 1.26207403801156294E-012
        115, 1.28558877159715372E-012
        116, 1.18458059102630359E-012
        117, 1.19469514020040237E-012
        118, 1.22645119817672225E-012
        119, 1.17551517436754981E-012
        120, 1.23644187055386079E-012
        121, 1.26680631613390846E-012
        122, 1.26253705721922920E-012
        123, 1.20558002607452883E-012
        124, 1.26711245986945564E-012
        125, 1.17968919818756118E-012
        126, 1.20788129973231018E-012
        127, 1.21040841313861674E-012
        128, 1.14846749475390830E-012
        129, 1.18761609951625597E-012
        130, 1.12603346323367990E-012
        131, 1.09016277969355473E-012
        132, 1.24539936312428060E-012
        133, 1.22299559339998145E-012
        134, 1.18690901229959356E-012
        135, 1.27351082071645748E-012
        136, 1.25344701520293702E-012
        137, 1.23459345201674193E-012
        138, 1.23341869731668371E-012
        139, 1.22624305326324143E-012
        140, 1.22941258731507463E-012
        141, 1.32578513861487040E-012
        142, 1.11338034313128551E-012
        143, 1.36498363814566030E-012
        144, 1.19955981977205060E-012
        145, 1.27996440943917976E-012
        146, 1.19759198588059996E-012
        147, 1.25242057792671057E-012
        148, 1.17773805064141462E-012
        149, 1.33532522551690124E-012
        150, 1.28309592927290942E-012
        151, 1.25100770156239476E-012
        152, 1.25157255625141682E-012
        153, 1.34110660780798053E-012
        154, 1.30340642555442079E-012
        155, 1.28459983891207032E-012
        156, 1.16378434538245366E-012
        157, 1.22234665179622232E-012
        158, 1.20272533345405970E-012
        159, 1.17780142330220140E-012
        160, 1.19829329636553825E-012
        161, 1.21197068029601430E-012
        162, 1.38850634425575008E-012
        163, 1.15202553661750950E-012
        164, 1.26757908698823815E-012
        165, 1.22062902160862276E-012
        166, 1.25082309613494900E-012
        167, 1.38689555141288783E-012
        168, 1.23635647941597820E-012
        169, 1.20526438781771810E-012
        170, 1.32540474844819514E-012
        171, 1.17346121648738620E-012
        172, 1.25666764942839476E-012
        173, 1.42140262273251950E-012
        174, 1.30772669708470961E-012
        175, 1.31747096287092486E-012
        176, 1.30944894512425763E-012
        177, 1.20850717552818678E-012
        178, 1.20931719075606252E-012
        179, 1.19883983990795273E-012
        180, 1.15158678392701567E-012
        181, 1.27332974249946775E-012
        182, 1.21195576272051290E-012
        183, 1.28370554867138380E-012
        184, 1.27921023811282784E-012
        185, 1.19625486326103631E-012
        186, 1.24517785541987369E-012
        187, 1.36583046214132301E-012
        188, 1.22403727960112182E-012
        189, 1.44930482321804622E-012
        190, 1.19861240267009242E-012
        191, 1.21068264615570573E-012
        192, 1.31328975234399984E-012
        193, 1.29321827492372150E-012
        194, 1.28997385977624249E-012
        195, 1.42820638354657444E-012
        196, 1.20742419913205804E-012
        197, 1.57418296314198884E-012
        198, 1.35962656360205334E-012
        199, 1.54352704061907725E-012
        200, 1.45578391348594448E-012
        201, 1.45819558512191295E-012
        202, 1.45039994385606241E-012
        203, 1.30778087897853681E-012
        204, 1.35155038481796304E-012
        205, 1.29398400712462636E-012
        206, 1.43205523243682155E-012
        207, 1.28892555074914139E-012
        208, 1.32943078090484008E-012
        209, 1.23649287562640166E-012
        210, 1.26552556634470542E-012
        211, 1.49432647926453928E-012
        212, 1.27115078900027353E-012
        213, 1.31080033645498010E-012
        214, 1.33839681139450947E-012
        215, 1.31390158332171584E-012
        216, 1.50639661692929085E-012
        217, 1.60301406249961587E-012
        218, 1.44338672625992805E-012
        219, 1.35436351164264194E-012
        220, 1.32890523498928906E-012
        221, 1.39640001937865726E-012
        222, 1.45634476932337102E-012
        223, 1.36350413154939087E-012
        224, 1.35953182869960730E-012
        225, 1.37717504660275990E-012
        226, 1.25423117677624644E-012
        227, 1.32222053658218626E-012
        228, 1.36373475715250757E-012
        229, 1.39183172267723738E-012
        230, 1.47824652324083877E-012
        231, 1.44932690595104537E-012
        232, 1.32442736378653720E-012
        233, 1.30184003815956431E-012
        234, 1.36693347367936122E-012
        235, 1.30351252970050009E-012
        236, 1.38240383032924179E-012
        237, 1.31553356191895690E-012
        238, 1.32560516584297883E-012
        239, 1.40399146367351685E-012
        240, 1.29836856155268638E-012
