         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8386560,  1008, 1.55358604152739666E-001
         2,    8386560,  1008, 4.45425204015992449E-001
         3,    8386560,  1008, 8.00000000000000044E-001
         4,    8386560,  1008, 7.79265503579206098E-001
         5,    8386560,  1008, 4.55729658437030449E-001
         6,    8386560,  1008, 7.47104165480952515E-002
         7,    8386560,  1008, 3.33167010319189646E-002
         8,    8386560,  1008, 4.34494635177483206E-003
         9,    8386554,  1008, 6.38006946174301496E-005
        10,    7865477,  1008, 8.84447904784091202E-008
        11,    2125129,  1008, 1.24750595337427777E-011
        12,     617163,  1008, 3.58191320967309690E-015
        13,      77175,  1008, 3.58794721948790381E-015
        14,        701,  1008, 3.53428257229119744E-015
        15,         24,  1008, 0.00000000000000000E+000
        16,          2,  1008, 0.00000000000000000E+000
        17,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 3.25164907684970232E-012
          2, 3.45942888730229908E-012
          3, 3.25792390556298566E-012
          4, 3.17088879984636831E-012
          5, 3.31110909390806066E-012
          6, 3.03318109500524762E-012
          7, 3.24643036845608223E-012
          8, 3.08676942144683867E-012
          9, 3.14341451132842509E-012
         10, 3.11237063073088616E-012
         11, 3.09598423523639433E-012
         12, 3.04531244199916972E-012
         13, 3.16542116778328489E-012
         14, 3.28103260787020842E-012
         15, 2.94598379522211280E-012
         16, 3.21245354055524948E-012
         17, 3.11949394386194093E-012
         18, 3.07412766829945719E-012
         19, 3.24130404763615353E-012
         20, 3.00450602071099281E-012
         21, 3.30221013039425641E-012
         22, 3.20136812165516175E-012
         23, 3.03128865371844800E-012
         24, 3.08462305100302433E-012
         25, 3.27853186631661259E-012
         26, 3.17030887974879362E-012
         27, 3.19298155024073226E-012
         28, 3.14706018616508299E-012
         29, 3.15610931243626910E-012
         30, 3.26738087362155668E-012
         31, 3.06438320140512353E-012
         32, 3.00876157681314183E-012
         33, 2.89160291329538544E-012
         34, 3.13404585000486937E-012
         35, 2.94148129223457669E-012
         36, 3.18079090326023740E-012
         37, 3.08145410324953855E-012
         38, 3.22704838317092678E-012
         39, 3.16290363903547205E-012
         40, 3.16744763967867261E-012
         41, 3.09468510267074447E-012
         42, 3.07910867569503511E-012
         43, 3.17963752146712105E-012
         44, 3.01349168697055279E-012
         45, 3.19706011812228500E-012
         46, 3.31367417368180928E-012
         47, 3.26143779926074108E-012
         48, 3.10026025596716755E-012
         49, 3.15189005141440195E-012
         50, 3.19566810243100260E-012
         51, 3.13886670994286368E-012
         52, 3.16148915115265519E-012
         53, 3.20752072282214701E-012
         54, 3.08140620927070156E-012
         55, 3.29681611516312319E-012
         56, 3.08320428219031561E-012
         57, 2.92033594853544738E-012
         58, 3.15306776179325609E-012
         59, 3.35768667934168171E-012
         60, 3.18301258996345258E-012
         61, 3.11006373630656570E-012
         62, 3.29777796904121155E-012
         63, 3.21619543309331904E-012
         64, 3.26458104450909190E-012
         65, 3.23732385046366178E-012
         66, 3.01771152862610186E-012
         67, 3.07992278714703870E-012
         68, 3.02604756477983762E-012
         69, 2.98938198541077630E-012
         70, 2.99330609502158851E-012
         71, 2.97665753585080921E-012
         72, 3.08980524968128810E-012
         73, 3.03420616362142998E-012
         74, 2.92844972002534302E-012
         75, 3.27199606903795755E-012
         76, 2.92910386506558904E-012
         77, 3.21923949519029495E-012
         78, 3.36626471010326127E-012
         79, 3.02642001144697682E-012
         80, 3.00434940527671586E-012
         81, 2.92099552555165396E-012
         82, 3.00087516678057209E-012
         83, 3.04261838739471672E-012
         84, 3.21268057800769366E-012
         85, 2.98836732679486903E-012
         86, 3.32225219673667713E-012
         87, 3.07702710258949558E-012
         88, 2.99173151923386480E-012
         89, 3.18450799365649747E-012
         90, 3.07374362276371828E-012
         91, 3.15371545203837964E-012
         92, 3.12200127025316322E-012
         93, 3.24164928631055590E-012
         94, 2.87768893837612384E-012
         95, 3.23742045665644801E-012
         96, 3.22275390674211371E-012
         97, 3.02290677920324502E-012
         98, 2.64302670130324528E-012
         99, 2.98071878456457103E-012
        100, 2.94496627946820954E-012
        101, 3.16683356411495805E-012
        102, 3.11633644120562817E-012
        103, 2.96924514902613308E-012
        104, 3.00238263050631180E-012
        105, 2.94324100059922617E-012
        106, 3.25271476022271614E-012
        107, 2.90011393924342501E-012
        108, 3.20377786976740478E-012
        109, 3.28008392263044717E-012
        110, 3.10751199362691457E-012
        111, 3.39260132493403423E-012
        112, 3.11384774994098181E-012
        113, 3.06621858141666399E-012
        114, 3.08879347776090936E-012
        115, 3.06999571671791551E-012
        116, 2.97344250245091407E-012
        117, 3.01998223327297045E-012
        118, 3.03070190269396760E-012
        119, 2.89281068875328653E-012
        120, 3.09266913918940199E-012
        121, 2.93594899705222562E-012
        122, 2.99979545196671925E-012
        123, 2.97944419581397585E-012
        124, 3.07586848351002508E-012
        125, 2.82285604480519639E-012
        126, 3.06062457988346850E-012
        127, 2.79627292032392804E-012
        128, 2.88841175049885454E-012
        129, 2.93161407884078840E-012
        130, 2.92768372182066551E-012
        131, 2.85250873831910874E-012
        132, 2.88989200614325378E-012
        133, 3.00414885274296607E-012
        134, 2.95461274662299561E-012
        135, 2.90347449702512744E-012
        136, 3.01847533664719942E-012
        137, 2.92330795915534449E-012
        138, 3.04086796258343032E-012
        139, 2.75640281940729361E-012
        140, 2.84178819442160938E-012
        141, 2.90959422967945598E-012
        142, 2.85181094843513572E-012
        143, 3.04488082831618598E-012
        144, 2.86972456164988070E-012
        145, 3.07603675130617799E-012
        146, 2.77303446205109144E-012
        147, 3.04186674831975423E-012
        148, 2.89289536196901313E-012
        149, 2.73455369618524215E-012
        150, 2.91885223937054648E-012
        151, 2.91977490095382991E-012
        152, 2.87513294544471695E-012
        153, 2.79234833111618814E-012
        154, 2.88986067463261867E-012
        155, 2.76450378632735713E-012
        156, 2.81525989509196968E-012
        157, 2.91547835496519431E-012
        158, 2.78188936918844875E-012
        159, 2.68402184339935071E-012
        160, 2.65112981342137512E-012
        161, 2.63842371319120200E-012
        162, 2.74097007426932429E-012
        163, 2.58370450169900410E-012
        164, 2.73732488542770970E-012
        165, 2.85424136385618134E-012
        166, 2.83282560938571189E-012
        167, 2.80737497214819106E-012
        168, 2.88885541529364303E-012
        169, 2.72337340160681922E-012
        170, 2.91577696460087698E-012
        171, 3.18633872369279372E-012
        172, 2.68547664581495246E-012
        173, 2.74871296414746630E-012
        174, 2.62939722895315077E-012
        175, 2.60536665250935974E-012
        176, 2.63040577569138959E-012
        177, 2.72809257777761697E-012
        178, 2.73879792721020440E-012
        179, 2.75317517122816246E-012
        180, 2.60825951939209447E-012
        181, 2.80250290694346784E-012
        182, 2.80177885154478599E-012
        183, 2.77540814235916701E-012
        184, 2.73289875983171799E-012
        185, 2.83724437830980998E-012
        186, 2.81355339627721368E-012
        187, 2.70678851850954548E-012
        188, 3.05121139197549531E-012
        189, 3.05122070599247885E-012
        190, 2.78046325592777974E-012
        191, 2.79525755789616368E-012
        192, 2.77596881350509478E-012
        193, 2.85174472688222851E-012
        194, 2.97037020722099888E-012
        195, 2.92224151507051580E-012
        196, 3.02693872749390198E-012
        197, 2.87680580436228614E-012
        198, 2.84838997807866661E-012
        199, 2.84375190055988713E-012
        200, 3.17170835655588122E-012
        201, 2.86280130811967297E-012
        202, 2.91144175185858251E-012
        203, 2.88498576594562426E-012
        204, 2.78152066334551917E-012
        205, 2.86928631828227044E-012
        206, 2.74769247369287832E-012
        207, 2.72024887211535221E-012
        208, 2.79509609551471516E-012
        209, 2.67299669375261960E-012
        210, 2.79815437202172030E-012
        211, 2.89660563128562230E-012
        212, 2.88766824187882370E-012
        213, 2.59623575403122455E-012
        214, 2.62329247097110741E-012
        215, 2.41962600239293857E-012
        216, 2.81288143442933679E-012
        217, 2.69454769280642335E-012
        218, 2.74800792556980318E-012
        219, 2.67525628092521542E-012
        220, 2.68294456399240072E-012
        221, 2.74987632045675844E-012
        222, 2.73466617858610615E-012
        223, 2.65487185470835833E-012
        224, 2.82134353468370951E-012
        225, 2.59826635018684539E-012
        226, 2.81821134271051764E-012
        227, 2.79438046197936889E-012
        228, 2.75805393319790492E-012
        229, 2.60010574678394792E-012
        230, 2.81398866849873344E-012
        231, 2.87510072593941560E-012
        232, 2.76033829372556662E-012
        233, 2.78059324776755083E-012
        234, 2.65436674794574852E-012
        235, 2.59122375889248369E-012
        236, 2.49373908817869656E-012
        237, 2.63572963995458972E-012
        238, 2.93798045491491235E-012
        239, 2.57354555508838249E-012
        240, 2.61214148830207950E-012
        241, 2.83156247225209017E-012
        242, 2.65279455000244625E-012
        243, 2.83486084827728610E-012
        244, 2.63946381973361320E-012
        245, 2.70724421391929703E-012
        246, 2.76007129505897789E-012
        247, 2.88610917277556556E-012
        248, 2.72947952483567694E-012
        249, 2.69378697336190677E-012
        250, 2.74200415651027311E-012
        251, 2.81622424589972257E-012
        252, 2.68603211616668044E-012
        253, 2.61859062056783543E-012
        254, 2.81618455640254397E-012
        255, 2.63423074334464676E-012
        256, 2.75244774686576537E-012
        257, 2.80413258120651583E-012
        258, 2.81872446889099985E-012
        259, 2.61898738177024635E-012
        260, 2.63123225598418076E-012
        261, 2.72179102695468801E-012
        262, 2.94407152200593300E-012
        263, 2.62721426183995279E-012
        264, 2.81156723787761716E-012
        265, 2.71834794223108985E-012
        266, 3.11106556530892588E-012
        267, 2.67226611646828232E-012
        268, 2.75034677484331556E-012
        269, 2.98898340515720010E-012
        270, 2.78726664974096017E-012
        271, 2.51964928286280980E-012
        272, 2.65330307480512926E-012
        273, 2.93668713062251105E-012
        274, 2.98173284629346879E-012
        275, 2.73591965781830367E-012
        276, 3.14966063447027218E-012
        277, 2.81303261132711249E-012
        278, 2.96868709911461250E-012
        279, 2.69267419862038520E-012
        280, 2.93289975418273087E-012
        281, 2.78320685554059268E-012
        282, 2.98790107535727017E-012
        283, 2.96290529501284131E-012
        284, 2.79452642900484478E-012
        285, 2.94862770581373272E-012
        286, 2.92268664133186412E-012
        287, 2.65964338774074601E-012
        288, 2.95327446178190923E-012
        289, 2.57516251408335288E-012
        290, 2.72929027799929201E-012
        291, 2.80300860739820706E-012
        292, 2.71879927384952957E-012
        293, 2.59227389350673443E-012
        294, 2.73109533362084976E-012
        295, 2.62316447270323535E-012
        296, 2.96326129841485737E-012
        297, 2.93025490360098374E-012
        298, 2.73105158486292142E-012
        299, 2.83019491352288283E-012
        300, 2.61758660558243073E-012
        301, 2.74931647727108963E-012
        302, 2.61119376466005540E-012
        303, 2.65655636744685678E-012
        304, 2.58953676711000967E-012
        305, 2.63147688738003643E-012
        306, 2.61311975047187456E-012
        307, 2.91087750402628748E-012
        308, 2.91425398275438880E-012
        309, 2.64393992369839061E-012
        310, 2.83494524739117154E-012
        311, 2.93438869173630618E-012
        312, 2.70960345585373309E-012
        313, 2.93030911384422277E-012
        314, 2.57770817270166381E-012
        315, 2.63565875658659989E-012
        316, 2.80746182887801787E-012
        317, 2.74064717668864764E-012
        318, 2.52874835273200021E-012
        319, 2.83452339039880787E-012
        320, 2.70040256219939088E-012
        321, 2.80654447973062980E-012
        322, 2.67922381310179060E-012
        323, 2.60408008944632811E-012
        324, 2.59377258441835402E-012
        325, 2.66451607317328208E-012
        326, 2.46984070499950013E-012
        327, 2.72386711288250735E-012
        328, 2.75527149645848345E-012
        329, 2.76503338641452529E-012
        330, 2.64052053000802047E-012
        331, 2.85207135921160119E-012
        332, 2.73022430936298792E-012
        333, 2.81982340202250500E-012
        334, 2.86505837728759402E-012
        335, 2.75378727814761586E-012
        336, 2.78924157076845381E-012
        337, 2.63614382941296808E-012
        338, 2.72860737608587137E-012
        339, 2.66605612330144220E-012
        340, 2.91493201534482108E-012
        341, 2.79226241176698210E-012
        342, 2.62238090828527174E-012
        343, 2.72656353268997995E-012
        344, 2.75222560531253332E-012
        345, 2.88677400506171054E-012
        346, 2.52134029757220108E-012
        347, 2.57500370896722061E-012
