         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8390652,  1007, 0.00000000000000000E+000
         2,    8390643,  1007, 0.00000000000000000E+000
         3,    8390523,  1007, 0.00000000000000000E+000
         4,    8390138,  1007, 0.00000000000000000E+000
         5,    8389527,  1007, 0.00000000000000000E+000
         6,    8388839,  1007, 0.00000000000000000E+000
         7,    8378563,  1007, 0.00000000000000000E+000
         8,    6899880,  1007, 0.00000000000000000E+000
         9,    4786898,  1007, 0.00000000000000000E+000
        10,    2849220,  1007, 0.00000000000000000E+000
        11,    1330407,  1007, 0.00000000000000000E+000
        12,     296045,  1007, 0.00000000000000000E+000
        13,      18085,  1007, 0.00000000000000000E+000
        14,        103,  1007, 0.00000000000000000E+000
        15,          7,  1007, 0.00000000000000000E+000
        16,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.43430640474327666E-014
          2, 1.69407460663660189E-014
          3, 1.27569237672778958E-014
          4, 2.07866576391428187E-014
          5, 1.96267011407694342E-014
          6, 1.71340999346982983E-014
          7, 1.79086737316995283E-014
          8, 1.89168682912328480E-014
          9, 3.00468834256396785E-014
         10, 3.01717671149992495E-014
         11, 4.59897271266339227E-014
         12, 2.54474596544118304E-014
         13, 4.12364471637870548E-014
         14, 3.11357487367903511E-014
         15, 4.00238472118395253E-014
         16, 4.67968431267328209E-014
         17, 3.27922413898042744E-014
         18, 2.64750888611532439E-014
         19, 3.75533034899290199E-014
         20, 4.20513604191083909E-014
         21, 2.20686573635720880E-014
         22, 4.09748959603764350E-014
         23, 4.00882526862397589E-014
         24, 2.41979998792464777E-014
         25, 2.73576004382564306E-014
         26, 4.69512454179372718E-014
         27, 3.25879192109270478E-014
         28, 3.21254617550429693E-014
         29, 4.49375847418873575E-014
         30, 3.97605504020000096E-014
         31, 2.58586583905660486E-014
         32, 2.14949896024994169E-014
         33, 4.62275032156284678E-014
         34, 3.33734848345824737E-014
         35, 3.15528566578387818E-014
         36, 4.24179876803684612E-014
         37, 2.62980889484874988E-014
         38, 2.99447601090540101E-014
         39, 3.49132943445633866E-014
         40, 3.12319470565304725E-014
         41, 2.39297837248945662E-014
         42, 3.02149095938565637E-014
         43, 3.45909468626783570E-014
         44, 3.61392493184477180E-014
         45, 2.44403561639549290E-014
         46, 3.66666392535421629E-014
         47, 3.28959274813275568E-014
         48, 4.00513890426098165E-014
         49, 4.06618145365174997E-014
         50, 2.80582853552844911E-014
         51, 2.99807914101945804E-014
         52, 3.60698635198755151E-014
         53, 4.27610948589160743E-014
         54, 3.02543343656489378E-014
         55, 3.64044757334160535E-014
         56, 2.13886725879947424E-014
         57, 1.99118508985553260E-014
         58, 3.99710356959350679E-014
         59, 3.42473432687776248E-014
         60, 3.48251009504558370E-014
         61, 3.02494644797169495E-014
         62, 2.14964231407169012E-014
         63, 2.59306017977392116E-014
         64, 3.88007212891603464E-014
         65, 3.38938749034537034E-014
         66, 4.15094322356379898E-014
         67, 3.24718840694398546E-014
         68, 3.61771510793112033E-014
         69, 2.20969892915391681E-014
         70, 4.15556244696607730E-014
         71, 2.37230012384550014E-014
         72, 2.41715072307152329E-014
         73, 3.14641942607859688E-014
         74, 3.92198179178404179E-014
         75, 2.33082282166969866E-014
         76, 2.55333447230284907E-014
         77, 1.66023995848252920E-014
         78, 2.20757399909998789E-014
         79, 1.73870164445733135E-014
         80, 2.69705670121367699E-014
         81, 3.24428324537134063E-014
         82, 1.90906303864951500E-014
         83, 3.70481896749683058E-014
         84, 2.98702222924848227E-014
         85, 2.61894338623786564E-014
         86, 2.33510889721828104E-014
         87, 2.33605395729314229E-014
         88, 2.17818275832753998E-014
         89, 2.72224562688095908E-014
         90, 2.28802842132891022E-014
         91, 1.87804019014445780E-014
         92, 2.26168372675738920E-014
         93, 1.70866129894779118E-014
         94, 3.02894287468856906E-014
         95, 1.56867007189291100E-014
         96, 3.54639427642483296E-014
         97, 2.67877946701056566E-014
         98, 3.18189728237292570E-014
         99, 1.99704699024406628E-014
        100, 2.49961371079183291E-014
        101, 2.97827694845371054E-014
        102, 3.65659245342250467E-014
        103, 2.24803451318675511E-014
        104, 1.91692700135005221E-014
        105, 3.79272936575415311E-014
        106, 1.47791819066194992E-014
        107, 1.61392413673338999E-014
        108, 3.00776414624828560E-014
        109, 2.41378696723025702E-014
        110, 2.95235363039451573E-014
        111, 2.66373154932749398E-014
        112, 2.04424632672621469E-014
        113, 1.72999419739885806E-014
        114, 3.30053887062810146E-014
        115, 2.72557926268804091E-014
        116, 2.81170810191477174E-014
        117, 2.16883581068465419E-014
        118, 3.12996058354154920E-014
        119, 2.26813753540088344E-014
        120, 3.48243935839619036E-014
        121, 1.94330569637029265E-014
        122, 1.70564270840500354E-014
        123, 3.10238094994990311E-014
        124, 2.47798812147332227E-014
        125, 2.77488385389683744E-014
        126, 1.59910538105973297E-014
        127, 1.90868359000508617E-014
        128, 1.62573433409014978E-014
        129, 2.08123698202671030E-014
        130, 1.77498600525960135E-014
        131, 2.10795032540991544E-014
        132, 2.15312345408521553E-014
        133, 1.58223971720580985E-014
        134, 2.64425941295057980E-014
        135, 2.04738468165104755E-014
        136, 2.72985602605913064E-014
        137, 1.36998134852550551E-014
        138, 1.96205158608073277E-014
        139, 2.38273330108334221E-014
        140, 1.62622923851148721E-014
        141, 1.59973881257655238E-014
        142, 1.65841870031010571E-014
        143, 1.98288521451496753E-014
        144, 2.54397878226454990E-014
        145, 1.71079359877265407E-014
        146, 2.03647455164648227E-014
        147, 3.00289650681390371E-014
        148, 2.49006221165319733E-014
        149, 2.93569753425643400E-014
        150, 1.84004703934901207E-014
        151, 2.77209381250910865E-014
        152, 1.76900456025648515E-014
        153, 1.78469475544697110E-014
        154, 1.67338907863954169E-014
        155, 1.86295245918889627E-014
        156, 1.93731339444525654E-014
        157, 1.50514331651523160E-014
        158, 2.78606273739674211E-014
        159, 1.63559307079570788E-014
        160, 1.58683358974498456E-014
        161, 1.77226792461647646E-014
        162, 1.64208065023776813E-014
        163, 2.25971172918863837E-014
        164, 1.79884742378947174E-014
        165, 1.93120720784937974E-014
        166, 2.08303962230892638E-014
        167, 1.92941096209676964E-014
        168, 2.35356885208106807E-014
        169, 1.58586930387602104E-014
        170, 2.91218546630689691E-014
        171, 1.54203134833948117E-014
