         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8390642,  1007, 2.14373724088776918E-001
         2,    8390605,  1007, 4.82540426158569735E-001
         3,    8390572,  1007, 7.22946127385281634E-001
         4,    8390572,  1007, 8.00000000000000044E-001
         5,    8390471,  1007, 1.92130891726263187E-001
         6,    8389824,  1007, 9.50904375909421111E-003
         7,    8388629,  1007, 1.24502324667864176E-004
         8,    8387306,  1007, 7.79649191964056108E-007
         9,    8380274,  1007, 2.90117770903509592E-009
        10,    6036431,  1007, 1.37645462558936952E-012
        11,    1257401,  1007, 3.93462367228098278E-015
        12,     260381,  1007, 3.60091404804110497E-015
        13,      21170,  1007, 3.58880555344502188E-015
        14,        200,  1007, 3.57047590627350109E-015
        15,         38,  1007, 3.58393098761101803E-015
        16,          8,  1007, 3.55195871947022593E-015
        17,          1,  1007, 0.00000000000000000E+000
        18,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 3.07090469414733372E-012
          2, 3.39417170207655699E-012
          3, 3.51952634972537842E-012
          4, 3.23185917684215410E-012
          5, 3.36142422323363138E-012
          6, 3.52033229030141589E-012
          7, 3.29483679499245405E-012
          8, 3.46832190999443216E-012
          9, 3.75609630912263853E-012
         10, 3.57542516040771437E-012
         11, 3.47648004516217943E-012
         12, 3.41025935996956735E-012
         13, 3.21435257684008973E-012
         14, 3.41095552459251952E-012
         15, 3.21151104462490456E-012
         16, 3.29834467591188032E-012
         17, 3.29289084155835912E-012
         18, 3.39138873496876415E-012
         19, 3.14306788310304092E-012
         20, 2.98711600347663205E-012
         21, 3.28125882014997170E-012
         22, 3.30369932173832200E-012
         23, 3.49696988085950322E-012
         24, 3.13292475644469851E-012
         25, 3.50708078973698929E-012
         26, 3.47094355392813470E-012
         27, 3.33726724399204141E-012
         28, 3.04641558285424484E-012
         29, 3.10375744660528130E-012
         30, 3.21330404720894435E-012
         31, 3.19184442903260079E-012
         32, 3.29948670687237791E-012
         33, 3.09768200000852195E-012
         34, 2.98594801426961224E-012
         35, 3.23459213709460544E-012
         36, 3.07512349303486008E-012
         37, 3.35265232208196366E-012
         38, 3.40737094297776045E-012
         39, 3.39797901979978960E-012
         40, 3.36504998622347299E-012
         41, 3.36365352068251719E-012
         42, 3.14686963628491822E-012
         43, 3.35579000503809436E-012
         44, 3.17522565534549427E-012
         45, 3.16438302723196192E-012
         46, 3.08456664971933873E-012
         47, 3.15072632738439511E-012
         48, 3.11942997314685467E-012
         49, 3.33859991830415539E-012
         50, 3.49330726071234781E-012
         51, 3.34876156911632172E-012
         52, 3.18317261321228364E-012
         53, 3.45555565330412427E-012
         54, 3.16404409044445466E-012
         55, 3.46240956993824045E-012
         56, 3.63755070008861938E-012
         57, 3.26113713447298823E-012
         58, 3.06793534072208223E-012
         59, 3.54043179170852160E-012
         60, 3.39238001214176146E-012
         61, 3.48023111475380124E-012
         62, 3.58262694848729094E-012
         63, 3.23381986984272232E-012
         64, 3.16824360808284574E-012
         65, 3.51825562748339966E-012
         66, 3.39588960522288357E-012
         67, 3.59121793048580056E-012
         68, 3.59553708676580590E-012
         69, 3.32269472912645203E-012
         70, 3.65829075937230670E-012
         71, 3.36048793547217639E-012
         72, 3.31890870040718460E-012
         73, 3.39757062215408792E-012
         74, 3.50099147981470215E-012
         75, 3.17365096399277471E-012
         76, 3.21867951749726091E-012
         77, 3.14810646475689402E-012
         78, 3.22788230805006143E-012
         79, 3.30759635147917753E-012
         80, 3.19801020972086433E-012
         81, 3.14825767572468416E-012
         82, 3.05534448722553956E-012
         83, 3.22794366592539992E-012
         84, 3.15762010603843997E-012
         85, 3.17959394163746780E-012
         86, 3.48025150497283445E-012
         87, 3.35847056572721350E-012
         88, 3.53843243733596024E-012
         89, 3.37347755405758029E-012
         90, 3.10159031156548068E-012
         91, 3.30399099517458546E-012
         92, 3.47997786367168100E-012
         93, 3.28958606002256223E-012
         94, 3.38756310372099437E-012
         95, 3.39969069008393615E-012
         96, 3.46813653365959936E-012
         97, 3.48741215310046682E-012
         98, 3.37654363022704935E-012
         99, 3.37559198133625851E-012
        100, 3.70083821952191561E-012
        101, 3.46040408726021498E-012
        102, 3.33728853978440444E-012
        103, 3.41412586777636919E-012
        104, 3.90794913779007062E-012
        105, 3.51422329145983580E-012
        106, 3.52911616528868234E-012
        107, 3.48415589550849129E-012
        108, 3.37715694340069529E-012
        109, 3.33970306815425018E-012
        110, 3.10831079159900039E-012
        111, 3.61519835653594988E-012
        112, 3.30569292915085966E-012
        113, 3.30495875027812915E-012
        114, 3.68367083400589324E-012
        115, 3.70691168924710539E-012
        116, 3.53671597815679465E-012
        117, 3.79533303748161652E-012
        118, 3.66274596610104437E-012
        119, 3.74143579784288730E-012
        120, 3.31888834337678631E-012
        121, 3.57536898325014126E-012
        122, 3.44513348707715953E-012
        123, 3.62105079636606578E-012
        124, 3.73802035182524840E-012
        125, 3.72685843099845575E-012
        126, 3.66789750641540515E-012
        127, 3.66061315616865367E-012
        128, 3.90694595959866574E-012
        129, 3.31704685262195422E-012
        130, 3.43926441403386847E-012
        131, 3.82056146947886473E-012
        132, 3.79605596322764103E-012
        133, 3.90362071957560026E-012
        134, 3.64105245354489859E-012
        135, 3.81596461001529006E-012
        136, 3.48899453295183530E-012
        137, 3.43976775554802589E-012
        138, 3.38329263917535510E-012
        139, 3.43375227868513010E-012
        140, 3.74703346426009375E-012
        141, 3.42990112040970053E-012
        142, 3.31274322706336541E-012
        143, 3.43417064191270046E-012
        144, 3.52855761522002744E-012
        145, 3.42221011281483540E-012
        146, 3.83972316670100429E-012
        147, 3.58194862452529255E-012
        148, 3.79890510094375291E-012
        149, 3.70905094670113422E-012
        150, 3.50127120322406565E-012
        151, 3.51475571218405761E-012
        152, 3.64258098531338822E-012
        153, 3.45213700751279214E-012
        154, 3.90425709770864115E-012
        155, 3.67948334470798955E-012
        156, 3.79022262353783698E-012
        157, 3.84648086856804801E-012
        158, 3.53973026487802153E-012
        159, 3.82711496628337738E-012
        160, 3.79814031792454584E-012
        161, 3.63631449207929656E-012
        162, 3.27224668241423835E-012
        163, 3.28914107245849774E-012
        164, 3.39539310513844385E-012
        165, 3.31299286323513015E-012
        166, 3.26943519102308128E-012
        167, 3.23326033740039551E-012
        168, 3.29143419411699439E-012
        169, 3.34887190990555118E-012
        170, 3.45931914362951149E-012
        171, 3.53302097976000961E-012
        172, 3.42876864588570680E-012
        173, 3.54800658788506307E-012
        174, 3.39311881730848219E-012
        175, 3.31851425690061430E-012
        176, 3.50419611499467225E-012
        177, 3.61727265264401448E-012
        178, 3.48445892280005506E-012
        179, 3.53799719741351212E-012
        180, 4.04363261470040231E-012
        181, 3.70728345340570201E-012
        182, 3.67888479439752966E-012
        183, 3.93247107034913694E-012
        184, 3.56182053738842813E-012
        185, 3.55003924413476485E-012
        186, 3.52922582982501551E-012
        187, 3.75913720607585937E-012
        188, 3.57648049623871041E-012
        189, 3.68257188256990662E-012
        190, 3.85694536638133074E-012
        191, 3.49020699669728492E-012
        192, 3.50748755839451101E-012
        193, 3.70093661050901327E-012
        194, 3.61547324164723438E-012
        195, 3.58636934687849888E-012
        196, 3.71536433370623802E-012
        197, 3.79395186668858440E-012
        198, 4.11160934333794482E-012
        199, 3.93113375298085336E-012
        200, 3.84166048406020001E-012
        201, 3.97788146357549479E-012
        202, 3.74340882963633827E-012
        203, 3.68757549858646966E-012
        204, 3.78741702625998745E-012
        205, 3.76953925311479149E-012
        206, 3.77664238991231768E-012
        207, 3.72280092096716976E-012
        208, 3.79860710686517706E-012
        209, 3.87757692228980489E-012
        210, 3.51883791615966593E-012
        211, 3.80001175129069365E-012
        212, 4.01245571244102420E-012
        213, 3.66647341665839666E-012
        214, 3.51172247592945992E-012
        215, 3.54117830701267193E-012
        216, 3.89650450894645106E-012
        217, 3.62662489158498475E-012
        218, 3.62068934194039400E-012
        219, 3.82609179850807125E-012
        220, 4.02196108493285727E-012
        221, 3.92752610322533523E-012
        222, 4.08692731422904204E-012
        223, 3.64765647307741356E-012
        224, 3.70889822109923016E-012
        225, 3.68240756328091067E-012
        226, 3.64532762479175730E-012
        227, 3.77900379600972326E-012
        228, 3.43431448224290239E-012
        229, 3.56217942531634826E-012
        230, 3.53996243410316018E-012
        231, 3.72848534876288934E-012
        232, 3.59981803623371531E-012
        233, 3.68888674559028015E-012
        234, 3.31373016774881839E-012
        235, 3.53053455648539661E-012
        236, 3.74404941552765881E-012
        237, 3.85084871129883354E-012
        238, 3.78048725012002581E-012
        239, 3.63353499909717338E-012
        240, 3.75925923106652064E-012
        241, 3.76061600742470320E-012
        242, 3.83055935959331946E-012
        243, 4.17856148969790206E-012
        244, 3.72312667518483832E-012
        245, 4.23013266783680431E-012
        246, 4.23364491822712283E-012
        247, 4.18193854533247569E-012
        248, 4.44001620848620355E-012
        249, 4.41175892637277889E-012
        250, 4.19104643095666204E-012
        251, 3.86304591973489913E-012
        252, 4.06765550265195627E-012
        253, 4.39718388619690768E-012
        254, 3.87753454697862319E-012
        255, 3.77694304301431190E-012
        256, 4.11910827501348613E-012
        257, 4.17340972626196654E-012
        258, 3.56865640831995446E-012
        259, 4.07752716874526277E-012
        260, 3.86923700367214965E-012
        261, 3.83508746191211260E-012
        262, 3.84372962069096497E-012
        263, 3.97281974176959278E-012
        264, 3.65473100120746225E-012
        265, 3.75523359274251845E-012
        266, 4.31061546022378098E-012
        267, 3.83965073105134733E-012
        268, 3.90187230845023715E-012
        269, 4.05147714815757998E-012
        270, 4.14801597040848524E-012
        271, 3.71329416556315462E-012
        272, 3.89518250294645551E-012
        273, 3.74653353512429307E-012
        274, 3.79825226515241480E-012
        275, 3.96824890149393337E-012
        276, 3.86043764166184405E-012
        277, 4.08177393902498312E-012
        278, 4.16074012218436764E-012
        279, 3.83239385427854668E-012
        280, 3.54761620092145821E-012
        281, 3.57829353864536860E-012
        282, 3.76279406015492629E-012
        283, 3.59914469463269707E-012
        284, 3.94328058516707327E-012
        285, 3.98998620207666669E-012
        286, 3.68532423149236242E-012
        287, 3.80178051464480165E-012
        288, 4.04023974451699859E-012
        289, 3.60846856909830691E-012
        290, 4.05091849966956418E-012
        291, 4.09698929807357097E-012
        292, 3.96231468602679354E-012
        293, 4.07463353715884373E-012
        294, 4.02274205970950970E-012
        295, 3.92182151001968481E-012
        296, 4.15604709963584281E-012
        297, 3.92738460479019606E-012
        298, 3.96868390040097725E-012
        299, 4.02842634702174261E-012
        300, 4.24834414420986781E-012
        301, 4.12047278327918461E-012
        302, 4.09574060146612838E-012
        303, 3.99340576761112883E-012
        304, 4.19821812547875056E-012
        305, 3.84135206605140743E-012
        306, 4.02839809858226231E-012
        307, 3.76308198838425617E-012
        308, 4.05387775403318080E-012
        309, 4.19610454798131506E-012
        310, 4.27323399740554179E-012
        311, 4.29583693216187741E-012
        312, 4.11963658806747342E-012
        313, 4.18543711194902696E-012
        314, 4.12293599852852921E-012
        315, 4.44702475074100891E-012
        316, 3.88479176855248323E-012
        317, 4.03348718823542415E-012
        318, 4.35464243580644130E-012
        319, 3.86334758188620459E-012
        320, 4.18188656767645841E-012
        321, 4.01979188296013801E-012
        322, 4.06661803851140518E-012
        323, 4.31711118547402006E-012
        324, 4.27071451682535112E-012
        325, 4.18768437412540744E-012
        326, 4.53258598180008326E-012
        327, 4.27930101573670880E-012
        328, 4.49805987376929848E-012
        329, 4.33022010482969086E-012
        330, 4.16331754549910660E-012
        331, 4.13650477975806963E-012
        332, 4.09977804042680634E-012
        333, 4.25765830818368603E-012
        334, 4.32852935186815224E-012
        335, 4.29834733468318529E-012
        336, 4.50585483277251921E-012
        337, 4.07213830226429816E-012
        338, 4.17845882730596475E-012
        339, 4.22562711513552101E-012
        340, 4.08393288400463644E-012
        341, 4.12264331816412872E-012
        342, 4.20166095870933603E-012
        343, 4.48819645970083068E-012
        344, 4.53489211489359885E-012
        345, 4.37445067976573384E-012
        346, 4.26674105957270299E-012
        347, 4.29631248562342862E-012
        348, 4.18541319309191488E-012
        349, 4.43127261197749353E-012
        350, 4.45371173754798193E-012
        351, 4.26131234851082356E-012
        352, 4.59247377622546997E-012
        353, 4.13253705851141263E-012
        354, 4.14387691257701963E-012
        355, 4.16885195132718612E-012
        356, 4.29934673454912807E-012
        357, 3.91140854527038862E-012
        358, 4.32216163091832619E-012
        359, 4.10563040150810977E-012
        360, 4.07735521734294535E-012
        361, 4.32379253801291817E-012
        362, 4.10536595021236448E-012
        363, 4.07317933473035035E-012
        364, 4.53948224368783205E-012
        365, 4.28587875951451211E-012
        366, 4.44804358281062844E-012
        367, 4.34907759504514179E-012
        368, 3.98646611330721665E-012
        369, 4.75930137731443975E-012
        370, 4.60293834638848141E-012
        371, 4.68613933546831121E-012
        372, 4.59790281551099280E-012
        373, 4.75178757952817580E-012
        374, 4.33250111553840019E-012
        375, 4.39596275960695132E-012
        376, 4.26993115996021264E-012
        377, 4.28753530157143580E-012
        378, 4.34637663407703533E-012
        379, 4.47591473758117635E-012
        380, 4.40752376245414069E-012
        381, 4.62492475401407039E-012
        382, 4.63245015442171517E-012
        383, 4.37637061475876470E-012
        384, 4.50427824500506105E-012
        385, 4.51853580818973011E-012
        386, 4.32922819199142219E-012
        387, 4.35512596192532388E-012
        388, 4.29636915610213815E-012
        389, 4.15419209056909623E-012
        390, 4.35689021579224361E-012
        391, 4.33185907310387096E-012
        392, 4.39315565300248523E-012
        393, 4.84878019126699219E-012
        394, 4.58382745607398684E-012
        395, 4.40032010182586835E-012
        396, 4.19991053631267869E-012
        397, 4.40970411146415584E-012
        398, 4.48612958157476972E-012
        399, 4.48505709997784325E-012
        400, 4.41677485638584356E-012
        401, 4.61400731025083383E-012
        402, 4.22134716293614992E-012
        403, 4.59983430403201784E-012
        404, 4.45755802982225609E-012
        405, 4.45156390094923287E-012
        406, 4.63788987720628504E-012
        407, 4.67833098400691006E-012
        408, 4.33952411495469161E-012
        409, 4.70864842360037166E-012
        410, 4.59287170590498609E-012
        411, 4.56205554255875905E-012
        412, 4.37940487916042695E-012
        413, 3.91435684827377069E-012
        414, 4.59949202424403829E-012
        415, 4.68628899142249454E-012
        416, 4.90499440452812783E-012
        417, 4.71972754270926191E-012
        418, 4.82159882171193576E-012
        419, 4.66670135243262496E-012
        420, 4.54638577781802821E-012
        421, 4.14789639116334227E-012
        422, 4.38179675866932812E-012
        423, 4.46151704205656122E-012
        424, 4.51097805387497758E-012
        425, 4.60284803069324181E-012
        426, 4.42353851739844999E-012
        427, 4.61662147492478535E-012
        428, 4.37432970623759879E-012
        429, 4.17122194269234920E-012
        430, 4.44297293142747858E-012
        431, 4.43736331966077400E-012
        432, 4.23005534414051668E-012
        433, 4.20506873871696247E-012
        434, 4.46407423756311372E-012
        435, 4.27733854791329514E-012
        436, 4.45015013473569695E-012
        437, 4.38444034546001643E-012
        438, 4.33047416072129895E-012
        439, 4.35045333612790307E-012
        440, 4.24942786358595120E-012
        441, 4.25701927088307358E-012
        442, 4.11315468123294604E-012
        443, 4.17460091750095438E-012
        444, 4.25379959324643227E-012
        445, 4.32555061121885418E-012
        446, 4.21135545370683113E-012
        447, 4.96713527752283854E-012
        448, 4.66525157968987884E-012
        449, 4.26230100232416860E-012
        450, 4.22215470150858440E-012
        451, 4.51329344696879141E-012
        452, 4.47151985155111413E-012
        453, 4.51841119753546203E-012
        454, 4.71511168141134430E-012
        455, 4.34445094392882578E-012
        456, 4.27288495487397748E-012
        457, 4.51719743578713747E-012
        458, 4.45417973201548332E-012
        459, 4.37071411171135358E-012
        460, 4.45626471368382241E-012
        461, 4.52061714077828130E-012
        462, 4.34602521786901839E-012
        463, 4.64794904634064673E-012
        464, 4.55254157589492784E-012
        465, 4.87368461930344959E-012
        466, 4.84810231815644685E-012
        467, 4.66297467466855396E-012
        468, 4.48399637929982559E-012
        469, 4.77921507000511459E-012
        470, 4.75193754222225521E-012
        471, 4.79995569882992558E-012
        472, 4.58558341667393710E-012
        473, 4.39109455243340201E-012
        474, 4.57673915547142499E-012
        475, 4.63550939069347611E-012
        476, 4.71692495474048696E-012
        477, 4.92243229113988446E-012
        478, 4.75862376405376500E-012
        479, 4.80067518856306577E-012
        480, 4.70146969956099650E-012
        481, 4.90041928208486760E-012
        482, 4.90618159210026936E-012
        483, 5.08517338401469041E-012
        484, 4.94472352950208717E-012
        485, 4.77565257387930722E-012
        486, 4.94793385414258523E-012
        487, 4.46662926614040885E-012
        488, 4.29511088769804955E-012
        489, 4.62188897405845846E-012
        490, 4.84390577582599123E-012
        491, 4.73010018350363633E-012
        492, 4.74341062608284711E-012
        493, 4.72101142722659806E-012
        494, 5.00938541576840154E-012
        495, 4.87928769339230293E-012
        496, 4.86024067978951861E-012
        497, 4.82758496545136099E-012
        498, 5.17337201125269176E-012
        499, 4.98074567187959451E-012
        500, 4.57532655954795727E-012
        501, 4.87527673901885096E-012
        502, 4.93562591678221236E-012
        503, 4.78628042230046328E-012
        504, 4.67693785224614679E-012
        505, 4.63041541247738799E-012
        506, 4.62052718218498197E-012
        507, 4.96024255442093316E-012
        508, 4.64597359659276824E-012
        509, 5.16717287637184323E-012
        510, 4.86264791202378842E-012
        511, 4.84187595815906000E-012
        512, 4.48320908211956424E-012
        513, 4.63771777293539403E-012
        514, 4.84906813627385276E-012
        515, 4.83113489466295015E-012
        516, 4.78795973905214543E-012
        517, 4.92370372974500106E-012
        518, 4.85287170902988229E-012
        519, 4.70096443150955995E-012
        520, 4.47996854628860206E-012
        521, 4.91961202856527510E-012
        522, 4.77317302264651169E-012
        523, 4.85816643167703951E-012
        524, 4.96078191774936257E-012
        525, 4.69279098626395104E-012
        526, 4.61784257481497278E-012
        527, 4.52484797457099345E-012
        528, 4.60660587631089259E-012
        529, 4.61174404146692053E-012
        530, 4.51645992054766913E-012
        531, 4.57669390531852152E-012
        532, 4.49730380712158402E-012
        533, 4.88279755936297565E-012
        534, 4.82782322296856212E-012
        535, 4.96007150055245885E-012
        536, 4.42855731603034135E-012
        537, 4.99094345491860384E-012
        538, 5.35368157134659967E-012
        539, 5.02198067756134251E-012
        540, 4.40657482457258212E-012
        541, 4.90536990130146860E-012
        542, 5.18962191612954953E-012
        543, 4.85499379658455537E-012
        544, 5.04467158238413213E-012
        545, 4.80466406841599187E-012
        546, 4.51435917779978028E-012
        547, 4.86575021559362203E-012
        548, 4.72528928923689869E-012
        549, 4.79458224743728383E-012
        550, 4.95519464236081324E-012
        551, 4.83959804959571728E-012
        552, 5.24913227636354057E-012
        553, 4.97286859368115760E-012
        554, 4.92263780051138751E-012
        555, 4.92812820361303494E-012
        556, 5.28105134952150386E-012
        557, 5.00313805537463361E-012
        558, 4.95868757807422802E-012
        559, 5.07354002897153466E-012
        560, 4.90469858759574281E-012
        561, 5.14089776561970073E-012
        562, 4.94174733640103048E-012
        563, 4.98535679551161969E-012
        564, 5.23813760863093778E-012
        565, 4.91344559284630873E-012
        566, 4.93031403404140451E-012
        567, 4.56394886452957114E-012
        568, 5.16876157868300066E-012
        569, 4.89927089151742973E-012
        570, 5.23106275590526552E-012
        571, 5.25680038863582298E-012
        572, 5.36947859345430520E-012
        573, 5.00990978539081130E-012
        574, 5.31958773512000494E-012
        575, 5.03954345125914269E-012
        576, 4.94110308412654520E-012
        577, 5.09127329804858426E-012
        578, 5.11876095360193176E-012
        579, 4.97199841160708247E-012
        580, 4.92664658500929240E-012
        581, 5.19111501565634729E-012
        582, 5.17121408546904872E-012
        583, 4.91159591475585144E-012
        584, 4.90246673571817132E-012
        585, 4.99711254442212096E-012
        586, 4.84710906203017292E-012
        587, 5.03843429031078721E-012
        588, 4.76422577474341949E-012
        589, 4.91038033819174929E-012
        590, 4.71750188595004723E-012
        591, 4.65565645433037285E-012
        592, 5.14926342562043087E-012
        593, 4.94975034833722822E-012
        594, 5.28527908586035046E-012
        595, 5.03898065571661934E-012
        596, 4.96324759112433315E-012
        597, 4.81656834895943567E-012
        598, 5.37201547917991507E-012
        599, 4.87383672174213935E-012
        600, 5.14712826741874056E-012
        601, 4.86277604599453838E-012
        602, 4.91644194273792323E-012
        603, 5.10230836876783403E-012
        604, 5.30304873315233202E-012
        605, 5.16132286831801089E-012
        606, 5.15830518710150019E-012
        607, 4.89274670575626531E-012
        608, 4.94207595849831625E-012
        609, 4.73128237201535763E-012
        610, 4.76307222723625319E-012
        611, 5.47447698514343977E-012
        612, 5.31066286286340042E-012
        613, 4.80919726595101103E-012
        614, 5.01987757348169911E-012
        615, 5.17656721450646595E-012
        616, 4.79628208444937590E-012
        617, 4.73374596548946930E-012
        618, 5.28149900095707169E-012
        619, 5.22288549024063394E-012
        620, 4.78478007606832414E-012
        621, 4.67569467225384813E-012
        622, 4.59098050713063229E-012
        623, 4.89600634552554638E-012
        624, 5.12156344510209821E-012
        625, 4.88859841347039381E-012
        626, 4.91244741010475662E-012
        627, 5.17566539129746428E-012
        628, 5.45635523897056200E-012
        629, 5.72032462250721675E-012
        630, 4.73855251077445083E-012
        631, 5.10893867437931433E-012
        632, 4.93597828326468820E-012
        633, 4.99819747776604876E-012
        634, 4.78059412566486569E-012
        635, 4.61574530741959170E-012
        636, 5.08804796552725723E-012
        637, 4.90298062912058137E-012
        638, 5.27060918226215325E-012
        639, 5.27632794545492771E-012
        640, 5.27428298984059653E-012
        641, 5.45836909558765481E-012
        642, 5.48023320338230497E-012
        643, 5.25317022205362310E-012
        644, 5.32699886821102859E-012
        645, 5.12337747847837332E-012
        646, 4.99114817811695301E-012
        647, 5.14523183900311453E-012
        648, 5.19493590651417468E-012
        649, 5.20056986310616692E-012
        650, 5.04873414065600625E-012
        651, 5.12073946649074492E-012
        652, 5.14798251276251946E-012
        653, 5.05235057206937775E-012
        654, 5.50003514717583543E-012
        655, 5.51440315898932574E-012
        656, 5.71001498905965376E-012
        657, 5.30899126923624579E-012
        658, 5.07035135493763340E-012
        659, 5.14877124888840860E-012
        660, 5.40155585644842569E-012
        661, 5.48790157855480199E-012
        662, 5.11951557508029776E-012
        663, 5.21751732573414282E-012
        664, 5.70537844234587159E-012
        665, 5.18892320958660233E-012
        666, 5.24208411489639249E-012
        667, 5.13424386981762295E-012
        668, 5.32879833561531090E-012
        669, 5.13664967318646239E-012
        670, 5.24121808592708079E-012
        671, 5.02930576233653619E-012
        672, 5.33788204425121414E-012
        673, 5.06409714099218465E-012
        674, 5.39273687455525563E-012
        675, 5.14842698530970327E-012
        676, 5.23482373959703113E-012
        677, 5.55289555452009994E-012
        678, 5.07947339476571893E-012
        679, 5.19460343553481240E-012
        680, 5.05166124373136906E-012
        681, 5.48665788224708763E-012
        682, 5.30674235624425862E-012
        683, 5.33207102992079983E-012
        684, 5.75535672221578392E-012
        685, 5.31193995671400860E-012
        686, 5.33818457813049814E-012
        687, 5.47416973452042206E-012
        688, 5.14501146703499200E-012
        689, 5.11521834486680221E-012
        690, 5.45241169749939096E-012
        691, 5.12227133008565030E-012
        692, 5.03166509498821940E-012
        693, 5.10973028929325451E-012
        694, 4.92085209462995798E-012
        695, 5.08660594768278918E-012
        696, 5.22217980245192949E-012
        697, 5.16933752706057441E-012
        698, 5.17672511967185655E-012
        699, 4.84322133879822685E-012
        700, 5.37179466242846416E-012
        701, 5.13107725766264093E-012
        702, 5.21270841265815447E-012
        703, 5.72902088552823070E-012
        704, 5.43536158582283485E-012
        705, 5.26434201888426571E-012
        706, 5.50291041188773434E-012
        707, 5.40840716099997657E-012
        708, 5.25385855992813671E-012
        709, 5.32928645434909127E-012
        710, 5.42023925688219592E-012
        711, 5.66815580361031698E-012
        712, 5.63237302271623338E-012
        713, 5.52871383610202394E-012
        714, 5.25474487002918924E-012
        715, 5.26969184231922229E-012
        716, 5.73419186077340677E-012
        717, 5.79969495878119139E-012
        718, 4.99896601995219633E-012
        719, 5.53646575719203705E-012
        720, 5.08474223141776164E-012
        721, 5.79493876983286650E-012
        722, 5.31231302426764601E-012
        723, 5.38792230097941945E-012
        724, 5.57265066517286418E-012
        725, 5.54362212059126282E-012
        726, 5.29209182928623684E-012
        727, 5.70305688977778354E-012
        728, 5.75869584602136356E-012
        729, 5.06779861017129137E-012
        730, 5.51321454893854137E-012
        731, 5.09045944692770882E-012
        732, 5.31374379142179869E-012
        733, 5.47096051285746545E-012
        734, 5.36468945423529229E-012
        735, 5.38733772432510690E-012
        736, 5.02602068505502942E-012
        737, 5.59690491148054041E-012
        738, 5.58816179683359272E-012
        739, 5.89412009530512114E-012
        740, 5.51377960663473706E-012
        741, 5.71308499870252135E-012
        742, 5.70875397130893124E-012
        743, 5.46398060308093219E-012
        744, 5.76680140679116416E-012
        745, 5.43066021699873680E-012
        746, 5.09639670459093448E-012
        747, 5.64908898306062579E-012
        748, 5.26046368698915346E-012
        749, 5.44360145980035348E-012
        750, 5.55819448183864011E-012
        751, 5.43574848650713979E-012
        752, 5.43967878581550505E-012
        753, 5.24143046445152675E-012
        754, 5.51552783489089260E-012
        755, 5.19688602818647926E-012
        756, 5.76245565012711397E-012
        757, 5.85940760751088660E-012
        758, 5.49652701466528752E-012
        759, 5.49013265118896799E-012
        760, 5.56037020818386909E-012
        761, 5.39394756107929938E-012
        762, 5.69325615480163413E-012
        763, 5.28583321619738601E-012
        764, 5.45380482248017562E-012
        765, 5.37859153552528813E-012
        766, 5.37241085945352230E-012
        767, 5.12315479730228976E-012
        768, 5.18735662343728810E-012
        769, 5.43448776715833035E-012
        770, 5.58971150679843032E-012
        771, 5.41878123392331018E-012
        772, 5.58148632688171410E-012
        773, 5.20331111808190949E-012
        774, 5.64449604288180162E-012
        775, 5.69515182635402102E-012
        776, 5.57107665189465175E-012
        777, 5.82872760167999552E-012
        778, 5.43960817381205498E-012
        779, 5.45546179435825148E-012
        780, 5.69822390352731155E-012
        781, 5.52242837567927866E-012
        782, 5.39331095972767097E-012
        783, 5.73329822407691894E-012
        784, 5.45616445019000818E-012
        785, 5.63673893461522242E-012
        786, 5.66979993628298578E-012
        787, 5.69894283625711869E-012
        788, 5.47508611449853059E-012
        789, 5.90086308255860369E-012
        790, 5.42124286512728281E-012
        791, 5.42800677052764745E-012
        792, 5.29820752129059789E-012
        793, 5.56747134925861906E-012
        794, 5.74309636439100390E-012
        795, 5.59623294998545927E-012
        796, 5.66054389662628678E-012
        797, 5.83867650537706770E-012
        798, 5.67988640023520029E-012
        799, 5.39656548513992579E-012
        800, 5.36495457811896719E-012
        801, 5.19428757804497895E-012
        802, 5.35976736310615858E-012
