         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8390642,  1007, 1.90059354665543356E-001
         2,    8390621,  1007, 1.80927320420736087E-001
         3,    8390560,  1007, 1.43156958306616094E-001
         4,    8390499,  1007, 1.46680730167649015E-001
         5,    8390358,  1007, 1.57455408502897104E-001
         6,    8390121,  1007, 1.70113323553254925E-001
         7,    8389537,  1007, 1.20997291673276788E-001
         8,    8388221,  1007, 4.29828062994688179E-003
         9,    8294017,  1007, 1.37282044578025425E-004
        10,    7865294,  1007, 1.55303552874075013E-006
        11,    6851912,  1007, 4.06472490242187183E-009
        12,    2394053,  1007, 9.29703779919821811E-013
        13,     252391,  1007, 3.62177368429146703E-015
        14,      27283,  1007, 3.57706097046985937E-015
        15,        229,  1007, 3.56207220440116732E-015
        16,         27,  1007, 3.56274208053485125E-015
        17,          4,  1007, 3.55748963763637809E-015
        18,          4,  1007, 2.67583383654434593E-015
        19,          2,  1007, 3.32559972031806624E-015
        20,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 8.93274888798007280E-015
          2, 9.54497589217373452E-015
          3, 8.96319435183038253E-015
          4, 8.81764600132885192E-015
          5, 9.42977088145459248E-015
          6, 1.10016957005094176E-014
          7, 1.18218178368752853E-014
          8, 1.03226515336373599E-014
          9, 9.87270839917601875E-015
         10, 1.04010790883170078E-014
         11, 9.86082237496943118E-015
         12, 9.21494608379576389E-015
         13, 1.07363458353197468E-014
         14, 1.20477223978642345E-014
         15, 1.18296342126074580E-014
         16, 1.07874156654657794E-014
         17, 1.04571505901601567E-014
         18, 1.11259244980244264E-014
         19, 1.07846352239251424E-014
         20, 1.10450045389196733E-014
         21, 1.10584906423511694E-014
         22, 1.47812926072877703E-014
         23, 1.15010542990813898E-014
         24, 1.29379995030463711E-014
         25, 1.16166140877889610E-014
         26, 1.35373417836469518E-014
         27, 1.24480327280977053E-014
         28, 1.48047786243294597E-014
         29, 1.27442527777286382E-014
         30, 1.29793428534569150E-014
         31, 1.29129328881148773E-014
         32, 1.22617629856336968E-014
         33, 1.33998117270981397E-014
         34, 1.37356856171257290E-014
         35, 1.35985423454740358E-014
         36, 1.44535522503600964E-014
         37, 1.95133391655380704E-014
         38, 1.34190561877125517E-014
         39, 1.41477152208395164E-014
         40, 1.37020962124386095E-014
         41, 1.33781263212890084E-014
         42, 1.86171480990918061E-014
         43, 1.33876849564717460E-014
         44, 1.54545935707586107E-014
         45, 1.50868251619819838E-014
         46, 1.50147448861842828E-014
         47, 1.66541821969420517E-014
         48, 1.51556863144349135E-014
         49, 1.83709548211274400E-014
         50, 1.55289021774496190E-014
         51, 1.71127021680757759E-014
         52, 1.63342781511151207E-014
         53, 1.33549336995685148E-014
         54, 1.47061793898842295E-014
         55, 1.89949699851997146E-014
         56, 1.59889044280526810E-014
         57, 1.44875947817931478E-014
         58, 1.42785215475384760E-014
         59, 1.73107526522829724E-014
         60, 1.45663050317966267E-014
         61, 1.54868192237708975E-014
         62, 1.57448562511247002E-014
         63, 1.47278536119606481E-014
         64, 1.45012707385878377E-014
         65, 1.64310504772298102E-014
         66, 1.66042867986069265E-014
         67, 1.84206626923904514E-014
         68, 1.44790515121313797E-014
         69, 1.49515093196844004E-014
         70, 1.51206692165945748E-014
         71, 1.51782397967381701E-014
         72, 1.50841734234772611E-014
         73, 1.62859188935526891E-014
         74, 1.52211054012851808E-014
         75, 1.58214050044396352E-014
         76, 1.70478186190315396E-014
         77, 1.58823896990002511E-014
         78, 1.87795817044575243E-014
         79, 1.85266557554436944E-014
         80, 1.80555030319807898E-014
         81, 1.58719491153415985E-014
         82, 1.86973071175119870E-014
         83, 1.85332419412131271E-014
         84, 1.71007037815288003E-014
         85, 1.77462971167803882E-014
         86, 1.79654894785123685E-014
         87, 1.89918908774376505E-014
         88, 1.85748142366271536E-014
         89, 1.91924691585184674E-014
         90, 2.03226283595125397E-014
         91, 2.07772271878067678E-014
         92, 2.00075384864847013E-014
         93, 2.22525169016564796E-014
         94, 1.96289976984538213E-014
         95, 1.87749718783280152E-014
         96, 2.00244789301974070E-014
         97, 1.96870910342897601E-014
         98, 1.96333709229873464E-014
         99, 1.91087932941589832E-014
