         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8390643,  1007, 1.69332743526802915E-001
         2,    8390617,  1007, 1.84066781298610399E-001
         3,    8390552,  1007, 1.18014727904138486E-001
         4,    8390389,  1007, 1.06383492339846730E-001
         5,    8390195,  1007, 1.06941140526903469E-001
         6,    8389936,  1007, 1.34165261447584311E-001
         7,    8389096,  1007, 4.53370459061030757E-003
         8,    8373078,  1007, 1.38124810862561139E-003
         9,    7773919,  1007, 3.04207759685527629E-005
        10,    6811483,  1007, 1.26890327429881226E-007
        11,    5111160,  1007, 4.88281166819619465E-011
        12,     500175,  1007, 3.58672838665408207E-015
        13,      52041,  1007, 3.57541683716550424E-015
        14,       1060,  1007, 3.56065927539256075E-015
        15,         16,  1007, 3.45749997357951738E-015
        16,          3,  1007, 2.13619840074972845E-015
        17,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.03301764954688760E-014
          2, 9.10924853194876227E-015
          3, 1.09274716141950721E-014
          4, 1.43094832024961509E-014
          5, 1.77732042171785003E-014
          6, 9.08594386957001753E-015
          7, 1.49133259935598473E-014
          8, 1.12962298148397328E-014
          9, 1.42807284148478657E-014
         10, 1.20102837953711584E-014
         11, 9.66669801259641521E-015
         12, 1.26984761686375697E-014
         13, 1.18368897852780015E-014
         14, 1.83651813846567166E-014
         15, 1.52944532548037165E-014
         16, 2.05039239618619781E-014
         17, 1.71671632905274692E-014
         18, 1.71258674024955658E-014
         19, 2.29461738465551694E-014
         20, 2.36924668891334209E-014
         21, 2.15389248097685530E-014
         22, 1.34822238928092868E-014
         23, 2.13741898849734757E-014
         24, 1.82220525195035729E-014
         25, 2.02476293170253757E-014
         26, 2.18188897442053574E-014
         27, 2.01397203812101565E-014
         28, 1.42220133282587918E-014
         29, 1.28186175541487336E-014
         30, 2.04417312854402813E-014
         31, 2.23871615519721093E-014
         32, 2.14901011946454733E-014
         33, 2.02085588556444471E-014
         34, 1.42240137057692095E-014
         35, 1.03192765657688954E-014
         36, 1.59778238187507810E-014
         37, 1.31900172114685516E-014
         38, 1.23960821607645700E-014
         39, 1.13734468132303468E-014
         40, 1.16005141865023577E-014
         41, 1.04076129982435607E-014
         42, 1.57981909918493158E-014
         43, 1.07840933038645356E-014
         44, 1.25444336006443033E-014
         45, 1.68106794178199834E-014
         46, 1.05421434509588327E-014
         47, 1.40166437469159876E-014
         48, 1.46085787763184751E-014
         49, 1.30379219168929269E-014
         50, 1.40432210208058783E-014
         51, 1.38788795800506177E-014
         52, 1.34240703681727650E-014
         53, 1.31735018457368186E-014
         54, 1.04355643058255369E-014
         55, 1.09685062397126419E-014
         56, 1.34171600160402035E-014
         57, 1.29192294768576183E-014
         58, 1.25111478948321534E-014
         59, 1.06714718538178220E-014
         60, 1.68895645973489515E-014
         61, 1.42979230052266591E-014
         62, 1.48945543558863844E-014
         63, 1.04649177925771802E-014
         64, 1.23113462377857817E-014
         65, 1.31756467238206869E-014
         66, 1.20079681320463341E-014
         67, 1.29881165691923515E-014
         68, 1.07992958948173094E-014
         69, 1.65124057810766780E-014
         70, 1.19005138456059744E-014
         71, 1.20097427346416478E-014
         72, 1.11218992627412961E-014
         73, 1.11366445717160425E-014
         74, 1.40366309961572661E-014
         75, 1.14831506104264704E-014
         76, 1.11453370117447098E-014
         77, 1.20483653865532748E-014
         78, 1.11923862222464790E-014
         79, 1.35351607558988623E-014
         80, 1.41021344550279914E-014
         81, 1.19738390431443537E-014
         82, 1.17715526520021286E-014
         83, 1.27083806979883667E-014
         84, 1.10504642974401867E-014
         85, 1.22470203414903838E-014
         86, 1.23726007524444060E-014
         87, 1.27648403590058792E-014
         88, 1.48316189798301965E-014
         89, 1.43859176204619148E-014
         90, 1.22508052843813288E-014
         91, 1.24757411355427711E-014
         92, 1.24734210294184790E-014
         93, 1.46131113328079286E-014
         94, 1.21514701511409920E-014
         95, 1.31305627233314050E-014
         96, 1.16286141162094179E-014
         97, 1.29660598968644104E-014
         98, 1.49499889215220164E-014
         99, 1.68583829622410097E-014
        100, 1.24116443275251697E-014
        101, 1.32988593799270014E-014
        102, 1.52927928992049410E-014
        103, 1.34787662105530950E-014
        104, 1.19992796491366245E-014
        105, 1.49839012938263818E-014
        106, 1.35768451420812271E-014
        107, 1.37201205901494963E-014
        108, 1.40197022089735198E-014
        109, 1.33238674892349467E-014
        110, 1.22109973336593075E-014
        111, 1.29804574693521558E-014
        112, 1.82351593960426134E-014
        113, 1.36795223249979756E-014
        114, 1.31333187245539414E-014
        115, 1.22849729476210195E-014
        116, 1.25246532789870504E-014
        117, 1.49985221818846110E-014
        118, 1.83212509382612684E-014
        119, 1.98942266006937563E-014
        120, 1.30496197058514650E-014
        121, 1.66695071411479538E-014
        122, 1.33368917227236079E-014
        123, 1.40375115464237379E-014
        124, 1.35913401713895632E-014
        125, 1.35114153646026450E-014
        126, 1.31701607929434610E-014
        127, 1.30682056656620328E-014
        128, 1.77304643760734596E-014
        129, 1.39704488665332962E-014
        130, 1.34482247990814564E-014
        131, 1.66293100639330258E-014
        132, 1.62122146732259535E-014
        133, 1.38522927948725299E-014
        134, 1.63056047537387081E-014
        135, 1.34659682284050385E-014
        136, 1.53866579168001721E-014
        137, 1.83744182222452256E-014
        138, 1.64328796186075167E-014
        139, 1.59782695558074197E-014
        140, 1.86956669096288450E-014
        141, 1.51250528911003097E-014
        142, 1.48130159967052863E-014
        143, 1.63507754177207697E-014
        144, 1.59085929278179992E-014
        145, 1.70080957884231006E-014
        146, 1.81708628717919487E-014
        147, 2.05248827477154496E-014
        148, 1.86193191931572248E-014
        149, 1.54560979502832247E-014
        150, 1.88839251602847039E-014
        151, 1.99953504073904001E-014
        152, 2.11509020495305112E-014
        153, 1.95358147282062839E-014
        154, 1.82758421001419441E-014
        155, 1.93358871141175542E-014
        156, 1.51955779702179625E-014
        157, 2.18324859327178552E-014
        158, 2.18046072696394350E-014
        159, 2.23251740497312642E-014
        160, 2.11258469195547137E-014
        161, 2.10750340126972003E-014
        162, 1.96519835036890351E-014
        163, 2.01636505365901630E-014
        164, 1.83988865633422815E-014
        165, 2.21078369379769738E-014
        166, 2.02471257060256183E-014
        167, 1.78882621150311045E-014
        168, 1.80705819975246254E-014
        169, 1.80567501760097954E-014
        170, 1.77114862932550989E-014
        171, 1.94274534824514104E-014
        172, 2.21901643849602659E-014
        173, 1.94784905479621591E-014
        174, 2.01984466359586850E-014
        175, 1.95728653265790815E-014
        176, 1.88636444105078779E-014
        177, 1.83448928478657700E-014
        178, 1.95530170832965319E-014
        179, 2.19670703065325577E-014
        180, 2.23480070904250238E-014
        181, 2.12690149545861623E-014
        182, 1.74333127027134018E-014
        183, 2.08434560186678115E-014
        184, 1.76772770963806254E-014
        185, 1.92922958990919949E-014
        186, 2.09500402235943318E-014
        187, 1.58768386599412098E-014
        188, 2.04737918041907405E-014
        189, 1.78713296770911615E-014
        190, 2.37041729288479198E-014
        191, 2.18645796312509710E-014
        192, 2.04165962208131266E-014
        193, 1.69572393920571926E-014
        194, 2.19325308276428439E-014
        195, 1.76339654703335561E-014
        196, 1.64499012586457190E-014
        197, 1.69341226877943049E-014
        198, 1.59016342468065440E-014
        199, 1.83226042897490957E-014
        200, 1.72756648773198209E-014
        201, 1.96169834320755164E-014
        202, 2.43544410863293596E-014
        203, 2.39876591024287757E-014
        204, 1.63706784418350024E-014
        205, 1.96181336834697361E-014
        206, 1.76480230956795778E-014
        207, 1.85112575402021967E-014
        208, 1.84920470518935385E-014
        209, 2.06417318376092228E-014
        210, 1.84804800714333643E-014
        211, 2.31646230194818982E-014
        212, 1.86202656348587883E-014
        213, 1.67661453539333194E-014
        214, 1.93521306139590095E-014
        215, 1.82784756222480567E-014
        216, 1.84239961589247340E-014
        217, 1.82704747810370653E-014
        218, 1.63373968842740150E-014
        219, 1.80153353767253554E-014
        220, 2.11683000525215793E-014
        221, 2.05155882155034262E-014
        222, 1.91598011201075202E-014
        223, 2.21902356115914021E-014
        224, 1.94192180366384108E-014
        225, 1.78665526516030232E-014
        226, 1.85900861110154705E-014
        227, 2.08407279432169189E-014
        228, 1.84632791827945846E-014
        229, 1.75535434218205121E-014
        230, 2.02591458058518075E-014
        231, 2.26210700738790568E-014
        232, 1.92575449506113767E-014
        233, 2.00932379377894132E-014
        234, 2.31427865294059859E-014
        235, 2.00776014667078681E-014
        236, 1.95092153003458110E-014
        237, 1.90441591940454088E-014
        238, 1.97447024927144360E-014
        239, 1.78257182188591612E-014
        240, 2.01937744732045620E-014
        241, 2.12167412004299985E-014
        242, 1.90351305285904456E-014
        243, 1.87761180535766005E-014
        244, 1.96482935114010862E-014
        245, 2.01342025039818567E-014
        246, 2.06899437777989475E-014
        247, 2.14727466856394908E-014
        248, 1.93178993151358295E-014
        249, 2.04608569209863151E-014
        250, 2.09927995373795444E-014
        251, 2.23117508477221045E-014
        252, 1.91230854989904234E-014
        253, 2.06552706137225415E-014
        254, 2.28308032369237576E-014
        255, 2.03824703476126032E-014
        256, 2.13708838984015816E-014
        257, 2.18918332318362647E-014
        258, 2.16908135354708802E-014
        259, 2.11623332950291140E-014
        260, 2.04162324528315637E-014
        261, 2.46331926298462314E-014
        262, 2.08015477794637822E-014
        263, 2.13343039303326931E-014
        264, 2.29404971671743113E-014
        265, 2.12988676935236509E-014
        266, 2.40595251315901913E-014
        267, 2.00073500375448333E-014
        268, 2.15813528069340785E-014
        269, 2.20924596970153851E-014
        270, 2.15666823382562364E-014
        271, 2.25425880638362516E-014
        272, 2.12143714702347040E-014
        273, 2.30472110553513759E-014
        274, 2.43598586548251451E-014
        275, 2.27599298326660160E-014
        276, 2.23176596323012681E-014
        277, 2.36945507917895253E-014
        278, 2.35387728050700847E-014
        279, 2.21913689111851808E-014
        280, 2.29307105252250089E-014
        281, 2.36459522104596570E-014
        282, 2.43223827852115253E-014
        283, 2.44785664745659659E-014
        284, 2.50788363165897734E-014
        285, 2.36008682848689441E-014
        286, 2.40097684296309921E-014
        287, 2.39490297531959700E-014
        288, 2.43127512981632410E-014
        289, 2.25814375680513889E-014
        290, 2.71791445724827552E-014
        291, 2.44497048654940364E-014
        292, 2.76526299544023131E-014
        293, 2.54723596636215836E-014
        294, 2.41527680794805005E-014
        295, 2.53564363989907311E-014
        296, 2.35257778624313496E-014
        297, 2.54605861486343742E-014
        298, 2.40244493901009239E-014
        299, 2.60487269085544192E-014
        300, 2.87210781381340612E-014
        301, 2.88391984150775671E-014
        302, 2.68207248204096413E-014
        303, 2.68334510832069227E-014
        304, 2.57930001337797616E-014
        305, 2.96500491623277921E-014
        306, 2.69245463159025388E-014
        307, 2.52847234873874258E-014
        308, 2.90742221878618096E-014
        309, 2.71377330400620924E-014
        310, 2.73818825939250968E-014
        311, 2.87536010907817082E-014
        312, 2.84534387848638234E-014
        313, 2.78991069620539189E-014
        314, 2.90614318792646482E-014
        315, 3.05321950226978186E-014
        316, 2.58773576438230110E-014
        317, 2.86615309081906859E-014
        318, 2.95660202734416667E-014
        319, 3.04560739175235167E-014
        320, 2.96786717502738740E-014
        321, 3.03139373016020757E-014
        322, 2.80195166895486647E-014
        323, 3.18257424765231096E-014
        324, 2.92206104183216650E-014
        325, 2.89008876215320970E-014
        326, 3.12730803224698317E-014
        327, 2.86971987991033614E-014
        328, 3.11364991077588599E-014
        329, 3.20221464678994075E-014
