         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8390642,  1007, 1.67328608992371203E-001
         2,    8390607,  1007, 1.79099330372648108E-001
         3,    8390504,  1007, 9.47393236166322456E-002
         4,    8390225,  1007, 1.01087344393535103E-001
         5,    8389878,  1007, 7.69914682299687181E-002
         6,    8389429,  1007, 1.02300511529831890E-002
         7,    8388016,  1007, 2.62984688934653297E-003
         8,    7802193,  1007, 1.31763811592572599E-004
         9,    6381282,  1007, 2.60935708946578050E-006
        10,    4842632,  1007, 3.81267879703702596E-009
        11,    1483479,  1007, 7.96241036693527722E-013
        12,     217880,  1007, 3.55706981874545327E-015
        13,       5419,  1007, 3.56600980394408579E-015
        14,        108,  1007, 3.27494906401513937E-015
        15,         10,  1007, 1.78124330461697088E-015
        16,          3,  1007, 0.00000000000000000E+000
        17,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.16316893494169659E-014
          2, 1.69190042171435645E-014
          3, 1.31992735511527338E-014
          4, 1.43929942703836684E-014
          5, 1.02798754719095105E-014
          6, 2.83097014336332912E-014
          7, 1.96266299290229705E-014
          8, 1.38395920163148806E-014
          9, 1.43061072473003284E-014
         10, 3.20245725263842663E-014
         11, 3.36439175390839501E-014
         12, 2.65951222913997178E-014
         13, 2.87908287979375061E-014
         14, 1.91802901823734378E-014
         15, 3.02900514937313986E-014
         16, 2.63205142039216648E-014
         17, 2.37709188200533786E-014
         18, 1.54806384472132267E-014
         19, 3.46189589978260127E-014
         20, 2.06936199297859485E-014
         21, 2.57948006130641330E-014
         22, 2.51550946038111005E-014
         23, 2.39372261159746993E-014
         24, 2.52740408534813211E-014
         25, 2.93129855751586398E-014
         26, 1.99746191276864340E-014
         27, 1.73325544738121888E-014
         28, 1.46247277253763199E-014
         29, 2.01170579539330411E-014
         30, 2.89225430423934176E-014
         31, 2.65903274490478255E-014
         32, 1.71109048550963905E-014
         33, 1.25727764093617348E-014
         34, 2.54024007989119346E-014
         35, 2.00457909696352774E-014
         36, 1.52242120842456898E-014
         37, 2.61630797940762762E-014
         38, 2.78778235861135087E-014
         39, 2.14242067291904616E-014
         40, 2.22736385702508474E-014
         41, 2.63927616676329675E-014
         42, 1.27967676365049639E-014
         43, 2.31786301859910413E-014
         44, 1.98526916587073126E-014
         45, 2.90634990321463651E-014
         46, 2.01678904213205929E-014
         47, 3.14918817885393173E-014
         48, 1.63065634515111678E-014
         49, 2.27456800240135342E-014
         50, 1.68724719689259752E-014
         51, 2.33913019103486412E-014
         52, 2.63953823539467119E-014
         53, 2.22961529103540348E-014
         54, 2.03641729812664917E-014
         55, 2.61521439947498907E-014
         56, 1.46798307744325692E-014
         57, 1.76441016263052684E-014
         58, 2.85609670768230201E-014
         59, 2.03853664331401224E-014
         60, 4.25412824062033281E-014
         61, 2.02676224019690100E-014
         62, 1.72632087992195453E-014
         63, 3.55282415771788746E-014
         64, 1.40042374533634373E-014
         65, 2.14659531642597308E-014
         66, 2.24000024267707181E-014
         67, 1.94120580289758437E-014
         68, 2.16875556020226190E-014
         69, 2.16384078088468314E-014
         70, 2.31734536985421066E-014
         71, 1.95157625377227835E-014
         72, 1.94153720946550518E-014
         73, 1.87364165911635894E-014
         74, 2.03009020716578695E-014
         75, 1.87501298794326174E-014
         76, 2.00544514394520734E-014
         77, 1.72793926907582378E-014
         78, 1.97308160284490629E-014
         79, 2.14270217380277212E-014
         80, 1.46331279162615392E-014
         81, 2.23949776917306328E-014
         82, 2.20857286053394740E-014
         83, 2.31236837821427099E-014
         84, 2.21302918508990291E-014
         85, 1.33629383195642305E-014
         86, 2.12176178325850765E-014
         87, 1.31880888911710517E-014
         88, 1.45055117224116801E-014
         89, 1.36586068886555904E-014
         90, 1.72484034890716284E-014
         91, 1.79137772685446363E-014
         92, 2.24222636307204368E-014
         93, 2.01485135239650806E-014
         94, 2.25084961568479575E-014
         95, 1.61672311959922415E-014
         96, 1.76544897392666074E-014
         97, 1.82899882699515584E-014
         98, 2.01892945116098122E-014
         99, 1.74053075844110933E-014
        100, 1.84284330520151355E-014
        101, 2.06895748709705235E-014
        102, 2.14201196117472519E-014
        103, 1.89148399296649451E-014
        104, 1.90921902607878802E-014
        105, 1.26610804566555652E-014
        106, 2.28111376862179592E-014
        107, 1.72075916963188702E-014
        108, 1.51429222523090384E-014
        109, 1.26183171449988025E-014
        110, 2.07195995263293862E-014
        111, 2.40356677862819376E-014
        112, 1.54890858864324217E-014
        113, 1.62639164430220094E-014
        114, 1.56340271353816165E-014
        115, 1.58267370838383394E-014
        116, 2.02018537544381701E-014
        117, 1.67414849732701589E-014
        118, 1.21696935112994512E-014
        119, 1.30320010227780622E-014
        120, 1.27018932499246768E-014
        121, 1.79071901376605799E-014
        122, 1.92459022115772306E-014
        123, 1.63458257691637096E-014
        124, 1.36133957045777163E-014
