         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8390647,  1007, 2.50263686418258746E-001
         2,    8390630,  1007, 1.06185800230216801E-001
         3,    8390470,  1007, 8.24545878991091025E-002
         4,    8390195,  1007, 9.89814868872348208E-002
         5,    8389878,  1007, 1.09631708363607472E-001
         6,    8389405,  1007, 5.65502668071245149E-002
         7,    8388254,  1007, 2.12786991362312519E-003
         8,    7666970,  1007, 2.12726565849336540E-004
         9,    6234177,  1007, 3.40183755499622493E-006
        10,    4770468,  1007, 7.30489862899444468E-009
        11,    1855484,  1007, 9.28736855584178719E-013
        12,     288359,  1007, 3.59394376418596999E-015
        13,      33131,  1007, 3.59191425746357676E-015
        14,        851,  1007, 3.58215685073916700E-015
        15,         11,  1007, 3.55653571002217723E-015
        16,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.41387660540131823E-012
          2, 1.44136600789344315E-012
          3, 1.48010816118961080E-012
          4, 1.40296568864537248E-012
          5, 1.52871627933823500E-012
          6, 1.39635135550939020E-012
          7, 1.51003972793079556E-012
          8, 1.52098555650960751E-012
          9, 1.49334114638500770E-012
         10, 1.64853997543477242E-012
         11, 1.76572365394213314E-012
         12, 1.49786848605219714E-012
         13, 1.62775983479858183E-012
         14, 1.53315447371432257E-012
         15, 1.55150444074884449E-012
         16, 1.64068089406463776E-012
         17, 1.44607399641767929E-012
         18, 1.60016148127489717E-012
         19, 1.60711790709244541E-012
         20, 1.80834402462610674E-012
         21, 1.66337494640481683E-012
         22, 1.75832279912364326E-012
         23, 1.56543093901351905E-012
         24, 1.72531084347449163E-012
         25, 1.56925873893560346E-012
         26, 1.56178776497787837E-012
         27, 1.52705644450290372E-012
         28, 1.45824130341825542E-012
         29, 1.53507189667561678E-012
         30, 1.80987603014239798E-012
         31, 1.84212149416079745E-012
         32, 1.58405556866986535E-012
         33, 1.85368918590368873E-012
         34, 1.66764171943950223E-012
         35, 1.75809169485746358E-012
         36, 1.76523506847705366E-012
         37, 1.72068297164975231E-012
         38, 1.69474300433963852E-012
         39, 1.68240097719565737E-012
         40, 1.69261246226151713E-012
         41, 1.85398561712602469E-012
         42, 1.55520858049289950E-012
         43, 1.81557231422422470E-012
         44, 1.60293127313826953E-012
         45, 1.70509560522376165E-012
         46, 1.62670625896217387E-012
         47, 1.75019073698022872E-012
         48, 1.69137912444346548E-012
         49, 1.63354658307303931E-012
         50, 1.75051188299698229E-012
         51, 1.84854314569794341E-012
         52, 1.86767552184420521E-012
         53, 1.66339575621361247E-012
         54, 1.60894386265438290E-012
         55, 1.91583349175384650E-012
         56, 1.61154298623402787E-012
         57, 1.78082546295591263E-012
         58, 1.70332176272418358E-012
         59, 1.74839892683385971E-012
         60, 1.49439295887357290E-012
         61, 1.64403407886137436E-012
         62, 1.68861844516138322E-012
         63, 1.62113210962288729E-012
         64, 1.60694058761584179E-012
         65, 1.79707607023070197E-012
         66, 1.62666588292222358E-012
         67, 1.57256885988355359E-012
         68, 1.51894348004798255E-012
         69, 1.60945267185042773E-012
         70, 1.59577747928596127E-012
         71, 1.70375145494813638E-012
         72, 1.73400401182801206E-012
         73, 1.65332744156595311E-012
         74, 1.70333581275315715E-012
         75, 1.75993171384473328E-012
         76, 1.65986049266660124E-012
         77, 1.74917218346602833E-012
         78, 1.73645472044805683E-012
         79, 1.71201428505676428E-012
         80, 1.61614317101810786E-012
         81, 1.80511785417157872E-012
