         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8390644,  1007, 2.88481671889796919E+303
         2,    8390600,  1007, 2.88481671889796919E+303
         3,    8390576,  1007, 2.88481671889796919E+303
         4,    8390563,  1007, 2.88481671889796919E+303
         5,    8390471,  1007, 2.88481671889796919E+303
         6,    8389771,  1007, 2.88481671889796919E+303
         7,    8388554,  1007, 2.88481671889796919E+303
         8,    8387306,  1007, 2.88481671889796919E+303
         9,    8380031,  1007, 2.88481671889796919E+303
        10,    6031728,  1007, 2.88481671889796919E+303
        11,    1245224,  1007, 2.88481671889796919E+303
        12,     262934,  1007, 2.88481671889796919E+303
        13,      22097,  1007, 2.88481671889796919E+303
        14,        287,  1007, 2.88481671889796919E+303
        15,         54,  1007, 2.88481671889796919E+303
        16,         19,  1007, 2.88481671889796919E+303
        17,          3,  1007, 2.88481671889796919E+303
        18,          2,  1007, 2.88481671889796919E+303
        19,          0,  1007, 2.88481671889796919E+303
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 3.00669047819728112E-012
          2, 3.16722932738404443E-012
          3, 3.02356990176840689E-012
          4, 3.15636748149667771E-012
          5, 3.35687838629623452E-012
          6, 3.20289753765190498E-012
          7, 3.04561402677879484E-012
          8, 3.12033283397702597E-012
          9, 3.33234713303712552E-012
         10, 3.25523439841353844E-012
         11, 3.22719491780166037E-012
         12, 3.47896774906833652E-012
         13, 3.32329072895673292E-012
         14, 3.11648211076407189E-012
         15, 3.28753652341838822E-012
         16, 2.85021459002361501E-012
         17, 3.03843426429231020E-012
         18, 3.13248878050981393E-012
         19, 2.94947254200717731E-012
         20, 3.02272452852727913E-012
         21, 3.87123621985828147E-012
         22, 3.16565696702390118E-012
         23, 3.03091988558792810E-012
         24, 3.09128535264980927E-012
         25, 3.13115802433680575E-012
         26, 3.01189332376560571E-012
         27, 3.26724539334022269E-012
         28, 3.20442270918788011E-012
         29, 2.96868262628064293E-012
         30, 3.08749782934800570E-012
         31, 2.95456827224308196E-012
         32, 3.22093161919827415E-012
         33, 3.34132505185246516E-012
         34, 2.98000559676288222E-012
         35, 3.30854309994936763E-012
         36, 3.26107079404825456E-012
         37, 3.34243116749534835E-012
         38, 3.53725117546011474E-012
         39, 3.50731534305061797E-012
         40, 3.31727182130729278E-012
         41, 3.24823666264287767E-012
         42, 3.11451537437857258E-012
         43, 3.58975150123803470E-012
         44, 3.20221135610742052E-012
         45, 3.09207727251398897E-012
         46, 3.16242539473465820E-012
         47, 3.41531382814094989E-012
         48, 3.34422069102543777E-012
         49, 3.28030716051109648E-012
         50, 3.32162121942720509E-012
         51, 3.21762171955910276E-012
         52, 3.12816254393782445E-012
         53, 3.10819491777818003E-012
         54, 3.32015141356142313E-012
         55, 3.01562119971905860E-012
         56, 3.49478636735409235E-012
         57, 3.29621799218792163E-012
         58, 3.35905791456296788E-012
         59, 3.11830482469690142E-012
         60, 3.16827293077496858E-012
         61, 3.30214348896985622E-012
         62, 2.98201383844117798E-012
         63, 3.15231300541214464E-012
         64, 3.10931527434229329E-012
         65, 3.12235383841228501E-012
         66, 3.38721329211135818E-012
         67, 3.35286291524695047E-012
         68, 3.21257798309700613E-012
         69, 3.27916251649312491E-012
         70, 3.26278053308285984E-012
         71, 3.58989762769123386E-012
         72, 3.47010317825385806E-012
         73, 3.07581987398024548E-012
         74, 3.24948827294710487E-012
         75, 3.47244660500632433E-012
         76, 2.99222086296290453E-012
         77, 3.03548282646383819E-012
         78, 3.26281587079578877E-012
         79, 3.25498396808509784E-012
         80, 2.92381035861211748E-012
         81, 2.97469779385306434E-012
         82, 2.95540488644430842E-012
         83, 2.88339191075524242E-012
         84, 3.09693401394237772E-012
         85, 3.19339547609372050E-012
         86, 3.10384440323221263E-012
         87, 3.01957012527294042E-012
         88, 3.11674538661397989E-012
         89, 3.14320855236001118E-012
         90, 3.17676883813310471E-012
         91, 3.21873948436272546E-012
         92, 3.00709803707117679E-012
         93, 3.28039957134429083E-012
         94, 3.10143952784712122E-012
         95, 2.96634307515275398E-012
         96, 3.08236540412234474E-012
         97, 3.56776778195632499E-012
         98, 3.70371420481871580E-012
         99, 3.39226541551770939E-012
        100, 3.41579655455294474E-012
        101, 3.47649996868226061E-012
        102, 3.13928364243198202E-012
        103, 3.21268346224871883E-012
        104, 3.34126804015679107E-012
        105, 2.97255484108097095E-012
        106, 3.59032818531241815E-012
        107, 3.25881271612339144E-012
        108, 3.34792153909755053E-012
        109, 3.18389840100897787E-012
        110, 3.44014663231401429E-012
        111, 3.42953129983825648E-012
        112, 3.17653813624971474E-012
        113, 3.46779527690624370E-012
        114, 3.17230623550490508E-012
        115, 3.31464436036519567E-012
        116, 3.50706398691351812E-012
        117, 3.75313785235908868E-012
        118, 3.25814688108723628E-012
        119, 3.70593955463878728E-012
        120, 3.34437348378305282E-012
        121, 3.43737724968918049E-012
        122, 3.59767999879432900E-012
        123, 3.43849448691106718E-012
        124, 3.44678928081229694E-012
        125, 3.41371168044612743E-012
        126, 3.68204644214837175E-012
        127, 3.54863766326746041E-012
        128, 3.48202931680330239E-012
        129, 3.52124329106803219E-012
        130, 3.20747040767045116E-012
        131, 3.54884974613896246E-012
        132, 3.33455827982500237E-012
        133, 3.51830938288880396E-012
        134, 3.48841492131516775E-012
        135, 3.61600987764708336E-012
        136, 3.57099998674664932E-012
        137, 3.27780369383144694E-012
        138, 3.65969419559151965E-012
        139, 3.66463911689682192E-012
        140, 3.55563851542823384E-012
        141, 3.60504879729294278E-012
        142, 3.56007176037394146E-012
        143, 3.65893297690791606E-012
        144, 3.47951503150612616E-012
        145, 3.47535543082843458E-012
        146, 3.50830884268148213E-012
        147, 3.76118320763140815E-012
        148, 3.76006228302518648E-012
        149, 3.64581170725018391E-012
        150, 3.62003629548461074E-012
        151, 3.35830945814757489E-012
        152, 3.74389004016371639E-012
        153, 4.06515138562230475E-012
        154, 3.79505461051448815E-012
        155, 3.67898986516584497E-012
        156, 3.65808457697503459E-012
        157, 3.59604125317402692E-012
        158, 3.49995719380351406E-012
        159, 3.58171615047552264E-012
        160, 3.42311867874633179E-012
        161, 3.50331682263237588E-012
        162, 3.51781941836432696E-012
        163, 3.52356213369576971E-012
        164, 3.63803974394467277E-012
        165, 3.37232934611382557E-012
        166, 3.47892465523453921E-012
        167, 3.73119566374360104E-012
        168, 3.47137269346823082E-012
        169, 3.43149872146028831E-012
        170, 3.49501326099116110E-012
        171, 3.41120612848184568E-012
        172, 3.91221387691017023E-012
        173, 3.74333215931435904E-012
        174, 3.58501502154764091E-012
        175, 3.60357514129215853E-012
        176, 3.67277813610673074E-012
        177, 3.80600437628651126E-012
        178, 3.82529149130324741E-012
        179, 3.74179808770659258E-012
        180, 3.74680526884997512E-012
        181, 3.75406964173043568E-012
        182, 3.67913492337969567E-012
        183, 3.98083120549486993E-012
        184, 3.85892764496645638E-012
        185, 3.68292177696159060E-012
        186, 3.90628398908536603E-012
        187, 3.59936612153640012E-012
        188, 3.70322251148825985E-012
        189, 3.33373109175070143E-012
        190, 3.66240864413085828E-012
        191, 3.57530732930248515E-012
        192, 3.80558868818597284E-012
        193, 3.36089109672866391E-012
        194, 3.68490830681377360E-012
        195, 3.48858872329023691E-012
        196, 3.54843058198420376E-012
        197, 3.34469342673688331E-012
        198, 3.31731087405890093E-012
        199, 3.58549956216741217E-012
        200, 3.57645769741596226E-012
        201, 3.55924829022584368E-012
        202, 3.55085250459750679E-012
        203, 3.47605787143108524E-012
        204, 3.99525990126926142E-012
        205, 3.94046610538993052E-012
        206, 3.85301016338177983E-012
        207, 3.69977134429594553E-012
        208, 4.27898048245737884E-012
        209, 3.78915668446526466E-012
        210, 3.90531889384192543E-012
        211, 3.87890495672997377E-012
        212, 3.90851194057396894E-012
        213, 4.05501076328798661E-012
        214, 3.89253902750648260E-012
        215, 3.61416147464143746E-012
        216, 3.68902408932960952E-012
        217, 3.84492614100839655E-012
        218, 3.80753377002066331E-012
        219, 3.66033197388446813E-012
        220, 3.92466015612195851E-012
        221, 4.11028878498828299E-012
        222, 3.72581906255552393E-012
        223, 3.84541003383118124E-012
        224, 3.85986628753626111E-012
        225, 3.76859965171741488E-012
        226, 3.75598157970645454E-012
        227, 3.79918382929571105E-012
        228, 3.75427712744679903E-012
        229, 3.94913055211326599E-012
        230, 3.97384014774925654E-012
        231, 3.85989007984627801E-012
        232, 4.23206569882109203E-012
        233, 4.14523408382539678E-012
        234, 4.11906368269833825E-012
        235, 3.92560343371452599E-012
        236, 4.29880546270529159E-012
        237, 3.70006669803065070E-012
        238, 4.08290656119129693E-012
        239, 4.21671448767031830E-012
        240, 3.82063655412295917E-012
        241, 4.45568427281825449E-012
        242, 3.74923563726525054E-012
        243, 3.54583539156447667E-012
        244, 4.45104810763061899E-012
        245, 3.84803806614469462E-012
        246, 4.04099765367342398E-012
        247, 3.99665169435534789E-012
        248, 3.77736615050579862E-012
        249, 4.10174892849947296E-012
        250, 3.87681866316774768E-012
        251, 4.09194924848208129E-012
        252, 3.93660382196145279E-012
        253, 3.51335542048309269E-012
        254, 4.04789645858764343E-012
        255, 4.04005525607203656E-012
        256, 3.73891191950867605E-012
        257, 3.93878593978834882E-012
        258, 4.17107176651549712E-012
        259, 4.05675901782396667E-012
        260, 3.99756278325228193E-012
        261, 3.95185995673896054E-012
        262, 4.16014157649934502E-012
        263, 4.01166770688826647E-012
        264, 3.97316212957278531E-012
        265, 3.95060960184552359E-012
        266, 3.91411920994551868E-012
        267, 3.99650541451832481E-012
        268, 3.86424463566902032E-012
        269, 3.99054934099654235E-012
        270, 4.10347165800074678E-012
        271, 3.88430150495759348E-012
        272, 3.89383119873568802E-012
        273, 4.09180153929365278E-012
        274, 4.36117004206938418E-012
        275, 3.90305221553272007E-012
        276, 4.31224822829372224E-012
        277, 4.14591796303032799E-012
        278, 3.89869044238640515E-012
        279, 3.99676338907613809E-012
        280, 4.17592699307257547E-012
        281, 3.98531886093728939E-012
        282, 3.96649840634774524E-012
        283, 4.10566970844029615E-012
        284, 4.06131837313887530E-012
        285, 3.92585314440971882E-012
        286, 4.11148824789979376E-012
        287, 4.02639840263194227E-012
        288, 3.82901854351981311E-012
        289, 3.87814142590640606E-012
        290, 3.93155588938089634E-012
        291, 3.99672864492057719E-012
        292, 3.93219518321964143E-012
        293, 3.68136389234087804E-012
        294, 3.94603359131925682E-012
        295, 4.08454629902514128E-012
        296, 4.17127712292320791E-012
        297, 3.96129962031947108E-012
        298, 3.84658530893004457E-012
        299, 3.81773231121361889E-012
        300, 4.15393686460735467E-012
        301, 4.14676154223787252E-012
        302, 4.06106963171414301E-012
        303, 3.98489879937167416E-012
        304, 3.78752399833252777E-012
        305, 4.17527056030517738E-012
        306, 4.45932212270946544E-012
        307, 4.13907584262972077E-012
        308, 4.28868472525140854E-012
        309, 4.76267798428195895E-012
        310, 4.43339745001576754E-012
        311, 4.23138541374460227E-012
        312, 4.32250786286564201E-012
        313, 4.11289696221187118E-012
        314, 4.24534060616166203E-012
        315, 3.93081410512037263E-012
        316, 4.28802842605682558E-012
        317, 4.10823690921860249E-012
        318, 4.26390962633016695E-012
        319, 4.10261783768789047E-012
        320, 4.13289543792719121E-012
        321, 4.45141386249609242E-012
        322, 4.28699662931743718E-012
        323, 4.03759164615993650E-012
        324, 4.34859797928672773E-012
        325, 4.41778229705532052E-012
        326, 4.05623503907340582E-012
        327, 4.44167101533988247E-012
        328, 4.26112846415325047E-012
        329, 4.24616335308391276E-012
        330, 4.49353723112770174E-012
        331, 4.53961996670306986E-012
        332, 4.29902953513644757E-012
        333, 4.59231224337283405E-012
        334, 4.01336807329272506E-012
        335, 4.11039535104250412E-012
        336, 4.48152447342213827E-012
        337, 4.21346324318695512E-012
        338, 4.09565264900743510E-012
        339, 4.13971628351021501E-012
        340, 4.08107676903317947E-012
        341, 4.07688378155161745E-012
        342, 3.81631815769960654E-012
        343, 4.07754417298027657E-012
        344, 4.14731038330445294E-012
