         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8386560,  1007, 1.51688585765851675E-001
         2,    8386560,  1007, 1.71986392723749548E-001
         3,    8386560,  1007, 1.19399177322247127E-001
         4,    8386560,  1007, 8.81970102815093915E-002
         5,    8386560,  1007, 3.17872137111138292E-002
         6,    8386560,  1007, 2.13126524441369959E-002
         7,    8299774,  1007, 4.20769886567032812E-003
         8,    6462499,  1007, 2.46178878800069445E-004
         9,    4707470,  1007, 4.90197938572885820E-006
        10,    3363116,  1007, 1.94912813801402597E-008
        11,     932166,  1007, 1.55658684721063588E-011
        12,     236781,  1007, 3.57973527960812637E-015
        13,      21891,  1007, 3.53250461848485189E-015
        14,        235,  1007, 3.29885644143973187E-015
        15,         12,  1007, 0.00000000000000000E+000
        16,          2,  1007, 1.89276842340053016E-015
        17,          1,  1007, 0.00000000000000000E+000
        18,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 6.49027029454101982E-015
          2, 7.19673984075560125E-015
          3, 7.36233507588850482E-015
          4, 8.69830239086276743E-015
          5, 9.04215352258835890E-015
          6, 8.74853493718599361E-015
          7, 9.39363902729510749E-015
          8, 1.13690090903295465E-014
          9, 1.92383019242123767E-014
         10, 2.08326834366007961E-014
         11, 2.06830152322942235E-014
         12, 1.82879421926295731E-014
         13, 2.90479718730925499E-014
         14, 1.42376206122795101E-014
         15, 2.46205036931945705E-014
         16, 2.44092662416867201E-014
         17, 3.02898400980527915E-014
         18, 1.43444175325495039E-014
         19, 1.72073903445339683E-014
         20, 2.39860383383790240E-014
         21, 1.68685170063750346E-014
         22, 1.69633919869824502E-014
         23, 2.38985995536774352E-014
         24, 2.02850853723710265E-014
         25, 2.00159771338833504E-014
         26, 1.11955343817686198E-014
         27, 3.49969843893135058E-014
         28, 2.83634012352242786E-014
         29, 3.47958210757933539E-014
         30, 4.10551159354424504E-014
         31, 1.99748930525778650E-014
         32, 2.30306658723488041E-014
         33, 3.29847586461913750E-014
         34, 2.29521874699003937E-014
         35, 3.28744011569823034E-014
         36, 2.10554885251694043E-014
         37, 3.80445950977359099E-014
         38, 3.54989017783506551E-014
         39, 3.09860200875180773E-014
         40, 2.00892272968135886E-014
         41, 3.59922439845608559E-014
         42, 1.84983149642740016E-014
         43, 1.76857927712654403E-014
         44, 2.53335924055690845E-014
         45, 3.49507939878103771E-014
         46, 3.32215807772377361E-014
         47, 2.77736202342723959E-014
         48, 2.43746678190759158E-014
         49, 2.88268852794629697E-014
         50, 2.39446018038786317E-014
         51, 2.17096317471159543E-014
         52, 2.35986105226610734E-014
         53, 2.78870911567934838E-014
         54, 4.11440852749901763E-014
         55, 1.69555899884795825E-014
         56, 1.94851893503024184E-014
         57, 2.73617973877550907E-014
         58, 3.04694586059541562E-014
         59, 2.75221551052594800E-014
         60, 4.72254003416527418E-014
         61, 3.07660044486847253E-014
         62, 3.24920561245291325E-014
         63, 3.18682343072059667E-014
         64, 4.27855013694942712E-014
         65, 3.30538543210883840E-014
         66, 3.30712554523861253E-014
         67, 2.47657739641969942E-014
         68, 1.79087243985401108E-014
         69, 3.86943089533853927E-014
         70, 2.72371703905213510E-014
         71, 3.34723150143314140E-014
         72, 3.18745223981050621E-014
         73, 1.92535769722398456E-014
         74, 3.01113821291469757E-014
         75, 2.99026560594334864E-014
         76, 2.15467923825086569E-014
         77, 2.17836428250756354E-014
         78, 2.10532990243636868E-014
         79, 2.11739987211562957E-014
         80, 3.00254513194985536E-014
         81, 1.82643793597830062E-014
         82, 1.42729351552276160E-014
         83, 3.19308747015023127E-014
         84, 3.19030889546074298E-014
         85, 1.73712067541232354E-014
         86, 3.05545337746291139E-014
         87, 1.90540125728355669E-014
         88, 3.03965652005626678E-014
         89, 1.65899485243171849E-014
         90, 2.38240203490803713E-014
         91, 2.96907877939197767E-014
         92, 2.99791456995258011E-014
         93, 3.20700607639767529E-014
         94, 3.21544222405040754E-014
         95, 3.43254060916472766E-014
         96, 1.88111955964723782E-014
         97, 1.93868877155180159E-014
         98, 3.04734541898236736E-014
         99, 1.62094626090506170E-014
        100, 1.66315362597324519E-014
        101, 1.55925578184726894E-014
        102, 1.93143667774086689E-014
        103, 3.45378936308094527E-014
        104, 3.75656420796012277E-014
        105, 2.17429677159329073E-014
        106, 3.74859670126250942E-014
        107, 2.28464144228207556E-014
        108, 2.44631683782309682E-014
        109, 3.69253888888079133E-014
        110, 1.67327930708078398E-014
        111, 1.64817582357808959E-014
        112, 1.73997877942790236E-014
        113, 1.38734044424720449E-014
        114, 2.13578329049041452E-014
        115, 1.91376077310878339E-014
        116, 1.86449617252216909E-014
        117, 2.01731787415668414E-014
        118, 1.30129220027515899E-014
        119, 1.70472118967524971E-014
        120, 1.48336443530959605E-014
        121, 1.66671516496517053E-014
        122, 3.26513812604840062E-014
        123, 2.72413487190673765E-014
        124, 2.68091564056385429E-014
        125, 1.58868545339969489E-014
        126, 1.47259288693932303E-014
        127, 1.42030370312525260E-014
        128, 2.10619610747700804E-014
        129, 2.45888864882092472E-014
        130, 2.61991890712640839E-014
        131, 1.78622676982536429E-014
        132, 1.63761314352534218E-014
        133, 1.38975404042019865E-014
        134, 1.46930499374515770E-014
        135, 1.60182453494515077E-014
        136, 2.68070913497362267E-014
        137, 1.38235600709288373E-014
        138, 1.63631411036334413E-014
        139, 2.98962452947063661E-014
        140, 1.65125197461167214E-014
        141, 2.14437506094484629E-014
        142, 2.55652005146467123E-014
        143, 2.50408041302725469E-014
        144, 1.44606202016021239E-014
        145, 3.00207579878823994E-014
        146, 1.40284037914492178E-014
        147, 1.36548445077018186E-014
        148, 1.68270130900973982E-014
        149, 2.61391405126278011E-014
        150, 1.52159952648572079E-014
        151, 1.84952953404284413E-014
        152, 1.84168059634136689E-014
        153, 1.41128927342671324E-014
        154, 2.25778195171749075E-014
        155, 1.29857825587567541E-014
        156, 1.54611163138160457E-014
        157, 2.55492347591173036E-014
        158, 1.45187891473641092E-014
        159, 1.44395148404827562E-014
        160, 1.67938124054865041E-014
        161, 1.27006977432607071E-014
        162, 1.44815618419500593E-014
        163, 2.12764189534916732E-014
        164, 1.89061044202038157E-014
        165, 2.15801371904784664E-014
        166, 1.38003149443865844E-014
        167, 7.15127810212111703E-014
        168, 2.54620892677502701E-014
        169, 1.49805895283185075E-014
        170, 2.01932741081269816E-014
        171, 1.66236499247875671E-014
        172, 1.70485680947275058E-014
        173, 1.28265751839602257E-014
        174, 1.58182879803963597E-014
        175, 1.34936930826535660E-014
        176, 1.58478731546904276E-014
        177, 2.59941428258112830E-014
        178, 1.15635431335649046E-014
        179, 1.29988423149768714E-014
        180, 1.16320011401351456E-014
        181, 1.33008992722235084E-014
        182, 2.53985365045354226E-014
        183, 1.31828935490318611E-014
        184, 1.48306400569805401E-014
        185, 1.25874977306574090E-014
        186, 2.11462579649724665E-014
        187, 2.41140505218400091E-014
        188, 2.35354359459369905E-014
        189, 1.27829563197651226E-014
        190, 1.20801613027258710E-014
        191, 1.17515141172160822E-014
        192, 1.27067469578161796E-014
        193, 1.35814180778817200E-014
        194, 1.42751699875176634E-014
        195, 1.36457361320928415E-014
        196, 1.63485000272920374E-014
        197, 1.23256474908130260E-014
        198, 1.30538945195205094E-014
        199, 1.39998237808098340E-014
        200, 1.61234922187042116E-014
        201, 1.38210193026266678E-014
        202, 1.48424029784275882E-014
        203, 1.26916801516259223E-014
        204, 1.43292837679027582E-014
        205, 1.21994421167647604E-014
        206, 1.32447101557504014E-014
        207, 1.40628296262491974E-014
        208, 1.38752701884722158E-014
        209, 1.39988068610544709E-014
        210, 1.76263838199072339E-014
        211, 1.40216691315009127E-014
        212, 1.40208407366655827E-014
        213, 1.43619459239348521E-014
        214, 1.46397740562731916E-014
        215, 1.53990580445607159E-014
        216, 1.41586641474451829E-014
        217, 1.42823908019097427E-014
        218, 1.72335972486132712E-014
        219, 1.38077007286635219E-014
        220, 1.27672645105438225E-014
        221, 1.29241225236452957E-014
        222, 1.60483560992405268E-014
        223, 1.27769342200146586E-014
        224, 1.67251354957130998E-014
        225, 1.42093261485304326E-014
        226, 1.31892656580809127E-014
        227, 1.49994532115696926E-014
        228, 1.45226467262725494E-014
        229, 1.26477484736596156E-014
        230, 1.21936601313798804E-014
        231, 1.34852494815561887E-014
        232, 1.20220244953389716E-014
        233, 1.50516482419814887E-014
        234, 1.27117132374553566E-014
