         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8386560,  1008, 1.55358604152738861E-001
         2,    8386560,  1008, 4.76861114012008647E-001
         3,    8386560,  1008, 8.00000000000000044E-001
         4,    8386560,  1008, 7.91829556124763356E-001
         5,    8386560,  1008, 4.06087138532695069E-001
         6,    8386560,  1008, 8.63868973537243318E-002
         7,    8386560,  1008, 3.62754450807852291E-002
         8,    8386560,  1008, 2.81484092009429013E-003
         9,    8386558,  1008, 4.47656072868411715E-005
        10,    7875232,  1008, 1.12227652329385887E-007
        11,    2194459,  1008, 2.19512973705367847E-011
        12,     663223,  1008, 3.69393506427441316E-015
        13,      88037,  1008, 3.56786405856147784E-015
        14,       1297,  1008, 3.55755505288089190E-015
        15,         31,  1008, 2.90646824990208421E-015
        16,          7,  1008, 2.75955697351250649E-015
        17,          1,  1008, 0.00000000000000000E+000
        18,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 3.11005997944707137E-012
          2, 3.19331865842712463E-012
          3, 3.12200486884611775E-012
          4, 3.18511334591717449E-012
          5, 3.00719841030438300E-012
          6, 3.34446138884076250E-012
          7, 3.35503905162528032E-012
          8, 3.29340402404490122E-012
          9, 3.34792538938335537E-012
         10, 3.30199027510555389E-012
         11, 3.15372685196097213E-012
         12, 3.31070138916784695E-012
         13, 3.15484460123128757E-012
         14, 3.26016433851713952E-012
         15, 3.36282987014400234E-012
         16, 3.28736878557203189E-012
         17, 3.28308694799114599E-012
         18, 3.35927702508276865E-012
         19, 3.23608660235853412E-012
         20, 3.42236646183087032E-012
         21, 3.40796945780693320E-012
         22, 3.40087969616446344E-012
         23, 3.50687633609999884E-012
         24, 3.43646135643851585E-012
         25, 3.52109487365230940E-012
         26, 3.38278757147812565E-012
         27, 3.08430058341077209E-012
         28, 3.27522078390826536E-012
         29, 3.22895669262033212E-012
         30, 3.12045041698013009E-012
         31, 3.47030540386987095E-012
         32, 3.57851640435103780E-012
         33, 3.24562900091605285E-012
         34, 3.67767725298275812E-012
         35, 3.64827938963301843E-012
         36, 3.27173125121731274E-012
         37, 3.48754992339741105E-012
         38, 3.41422394164255789E-012
         39, 3.35239378498795606E-012
         40, 3.30320756240908266E-012
         41, 3.46211931435316104E-012
         42, 3.17942820069861914E-012
         43, 3.30826184394482480E-012
         44, 3.33542639706590393E-012
         45, 3.30402332458427004E-012
         46, 2.92450774124208667E-012
         47, 3.00588010052846599E-012
         48, 3.54180894604864791E-012
         49, 3.25146637894502710E-012
         50, 3.32179845419218705E-012
         51, 3.24258922067739017E-012
         52, 3.25703376822493121E-012
         53, 3.25241658110825630E-012
         54, 3.38095711101355655E-012
         55, 3.36700422224940929E-012
         56, 3.26595573514063604E-012
         57, 2.91606683876556160E-012
         58, 3.02409904406710064E-012
         59, 3.13100972168016821E-012
         60, 3.05251814882364067E-012
         61, 3.26884539726727669E-012
         62, 3.35689550083686867E-012
         63, 3.23194482859705873E-012
         64, 3.31769083347583564E-012
         65, 3.21682575414220275E-012
         66, 3.15955000840290678E-012
         67, 3.15783373376999485E-012
         68, 2.91753971288941703E-012
         69, 3.11520012251886445E-012
         70, 3.02048689380764800E-012
         71, 2.94498511447748629E-012
         72, 2.97684350344239983E-012
         73, 2.90585903732795708E-012
         74, 3.41220433582426902E-012
         75, 3.30621483718474429E-012
         76, 2.99320720840624229E-012
         77, 3.30455573507509476E-012
         78, 3.09761058652113242E-012
         79, 3.27709465415713024E-012
         80, 3.20272454520497668E-012
         81, 3.03525907838203538E-012
         82, 3.01669119876671695E-012
         83, 3.22049240700189356E-012
         84, 3.22956803608776684E-012
         85, 3.17313553657553458E-012
         86, 3.18731329777504527E-012
         87, 3.20284821038530712E-012
         88, 3.18197921633466804E-012
         89, 3.22570554759395642E-012
         90, 3.24699095499410923E-012
         91, 3.27815812877839702E-012
         92, 3.13754423078611424E-012
         93, 3.09672960908503700E-012
         94, 3.10184818879360458E-012
         95, 3.06490740752832083E-012
         96, 2.96132470898994312E-012
         97, 2.82759415091585943E-012
         98, 3.14270885393240834E-012
         99, 2.95011236588474066E-012
        100, 3.03405459357923528E-012
        101, 3.06591820318991914E-012
        102, 2.97198770017631107E-012
        103, 3.25871562478509740E-012
        104, 3.15051399769619048E-012
        105, 3.47041710920962014E-012
        106, 3.43864223648603617E-012
        107, 3.32467145317750228E-012
        108, 2.95709026327632438E-012
        109, 3.14667312045488866E-012
        110, 3.04509121830974362E-012
        111, 3.16526911220271520E-012
        112, 2.95450170788586029E-012
        113, 3.05101056564829774E-012
        114, 2.96100900758211556E-012
        115, 2.89047250494173382E-012
        116, 2.79483656832849541E-012
        117, 3.12878058510483094E-012
        118, 3.11990752577926388E-012
        119, 3.08755730171675064E-012
        120, 3.18712202048097399E-012
        121, 3.05991027103382546E-012
        122, 3.11312068284791398E-012
        123, 2.94412757007505076E-012
        124, 3.04525167461930015E-012
        125, 3.03495344461075522E-012
        126, 3.05334979366128023E-012
        127, 2.90378868522799147E-012
        128, 3.42733374156848606E-012
        129, 2.91636887547900440E-012
        130, 2.86750760273482268E-012
        131, 2.83698098032349052E-012
        132, 3.25498458922142521E-012
        133, 2.96914574959604192E-012
        134, 3.14861899896961305E-012
        135, 2.99660728874652336E-012
        136, 3.07634057250361589E-012
        137, 2.97614616379475597E-012
        138, 3.19086951436769611E-012
        139, 3.01309522314447538E-012
        140, 2.96638463552819688E-012
        141, 3.03054399822627477E-012
        142, 3.03141894774285092E-012
        143, 2.99345701744087818E-012
        144, 3.04009937811739208E-012
        145, 2.88836723943850116E-012
        146, 2.93829042933825034E-012
        147, 3.03580014146314159E-012
        148, 2.87530453533347814E-012
        149, 2.80390029108784579E-012
        150, 2.89897870261453120E-012
        151, 2.94702154826199800E-012
        152, 2.90772743043748902E-012
        153, 2.89989768679470824E-012
        154, 3.05031186508471729E-012
        155, 2.96295837628536961E-012
        156, 2.93897267046067340E-012
        157, 2.92617771037540664E-012
        158, 2.81032062385871213E-012
        159, 2.88853455034553634E-012
        160, 2.94735441178498645E-012
        161, 2.93494876550247521E-012
        162, 3.25958217367931989E-012
        163, 3.01270748550006161E-012
        164, 3.15868007692412032E-012
        165, 2.99294938995529070E-012
        166, 2.92134926616403393E-012
        167, 2.90917754078718397E-012
        168, 2.80296450292211303E-012
        169, 3.19184605136808132E-012
        170, 3.06770844661457874E-012
        171, 2.76403091198544560E-012
        172, 2.76805976134332856E-012
        173, 2.88303025200305645E-012
        174, 2.89132888962801838E-012
        175, 2.97088475798654824E-012
        176, 3.00420953960028459E-012
        177, 2.91528773324787331E-012
        178, 3.21329545402669568E-012
        179, 3.11516541378240795E-012
        180, 3.19800179791409620E-012
        181, 3.02509486500232431E-012
        182, 2.91704849992004734E-012
        183, 2.88796257646815513E-012
        184, 3.10398331918354479E-012
        185, 3.10155840918409450E-012
        186, 2.94381534250008588E-012
        187, 3.21626466235906318E-012
        188, 3.10507832590156444E-012
        189, 3.12373611450582408E-012
        190, 2.98400246978188259E-012
        191, 3.20985407477101075E-012
        192, 2.91036576396918972E-012
        193, 2.91789418064074835E-012
        194, 2.86033668503013968E-012
        195, 2.95309567862250697E-012
        196, 2.73120233596077203E-012
        197, 3.01914468175662841E-012
        198, 3.15967414997449309E-012
        199, 3.06579081015504118E-012
        200, 2.98352714618580182E-012
        201, 3.18190615921467198E-012
        202, 3.09224912801711844E-012
        203, 2.83797365713007227E-012
        204, 2.98972928209118635E-012
        205, 2.75936980236716399E-012
        206, 2.80422961840483470E-012
        207, 2.76442837320719309E-012
        208, 3.00314519239151421E-012
        209, 2.91044664180355785E-012
        210, 2.94093290921550301E-012
        211, 3.11696149348699648E-012
        212, 3.05459555198096205E-012
        213, 3.10630303024099448E-012
        214, 3.09156083776236598E-012
        215, 3.27967975572564431E-012
        216, 3.10336345944724491E-012
        217, 3.01982451315705255E-012
        218, 2.84600182127923178E-012
        219, 2.92076780139621809E-012
        220, 3.12425299929297732E-012
        221, 3.18921214965829113E-012
        222, 3.17664797675697791E-012
        223, 3.03773965771982234E-012
        224, 3.23353465283895991E-012
        225, 3.03458232838861839E-012
        226, 2.97374274658545839E-012
        227, 2.85237628223040823E-012
        228, 3.04616143915884412E-012
        229, 2.90647791985902884E-012
        230, 2.94889653977181369E-012
        231, 2.73684159959468190E-012
        232, 2.85399537435377152E-012
        233, 2.74755876801922708E-012
        234, 2.80301314218717005E-012
        235, 2.83986077602419421E-012
        236, 3.03260798145722266E-012
        237, 3.12879434874777227E-012
        238, 3.23435665514156127E-012
        239, 3.30475163073642299E-012
        240, 3.01364006561010106E-012
        241, 2.94244169002254453E-012
        242, 2.92667781675933246E-012
        243, 3.02225612036226475E-012
        244, 3.01048117658023262E-012
        245, 2.95048155528441048E-012
        246, 2.80406504128024463E-012
        247, 2.92692661428408358E-012
        248, 2.73946716174270183E-012
        249, 2.71683597749296854E-012
        250, 2.72494451522325960E-012
        251, 3.13569758135697173E-012
        252, 2.87788547923860976E-012
        253, 2.98767412657411005E-012
        254, 2.86102972295578449E-012
        255, 2.98745703547521431E-012
        256, 3.22962374310581984E-012
        257, 3.16057438423460663E-012
        258, 3.03711839447410289E-012
        259, 3.03902891923890717E-012
        260, 2.95187169500163089E-012
        261, 3.07276098166624097E-012
        262, 3.04655959085941035E-012
        263, 3.21680155390307623E-012
        264, 2.87570953969510249E-012
        265, 3.05778430904207726E-012
        266, 2.89060825540532333E-012
