         0, 2147483647,  1011, 2.35510597946278526E+304
         1,     131315,  1011, 3.37387401983664237E-001
         2,     131273,  1011, 5.10326531773316661E-001
         3,     131265,  1011, 6.74119442399145230E-001
         4,     131180,  1011, 7.48905661276986490E-002
         5,     130965,  1011, 7.22324882204949947E-003
         6,     130850,  1011, 6.54820672765476624E-005
         7,     130816,  1011, 4.80996835097350859E-007
         8,     125561,  1011, 6.78028622422995482E-010
         9,      39834,  1011, 4.20693304567686821E-014
        10,       7268,  1011, 1.27553377292128343E-015
        11,        272,  1011, 1.23316246681749160E-015
        12,          2,  1011, 1.19710481973129247E-015
        13,          0,  1011, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.31284165509285897E-013
          2, 1.24382659217224301E-013
          3, 1.32416472602211906E-013
          4, 1.36615733761712712E-013
          5, 1.46923833771278197E-013
          6, 1.22955714857025545E-013
          7, 1.47139440691591874E-013
          8, 1.29371549245178046E-013
          9, 1.36890425708828685E-013
         10, 1.35336624559763919E-013
         11, 1.26089285252575230E-013
         12, 1.43093899977020423E-013
         13, 1.31424390081012596E-013
         14, 1.30560313237912007E-013
         15, 1.17969474574696663E-013
         16, 1.17314694696641861E-013
         17, 1.11036095361568314E-013
         18, 1.25814835821729889E-013
         19, 1.53705556468876633E-013
         20, 1.72622688901354537E-013
         21, 1.36597352266115868E-013
         22, 1.31031705045869561E-013
         23, 1.16363196603683193E-013
         24, 1.27843272111945376E-013
         25, 1.31694029567831034E-013
         26, 1.27317574202999182E-013
         27, 1.18067626731170744E-013
         28, 1.43060788848814216E-013
         29, 1.54341125638047128E-013
         30, 1.45135568169485380E-013
         31, 1.27881747498753762E-013
         32, 1.48754384218582745E-013
         33, 1.12605371268283446E-013
         34, 1.33248675250152064E-013
         35, 1.39091884179811370E-013
         36, 1.31471402458488817E-013
         37, 1.25813246748054436E-013
         38, 1.19553310990139437E-013
         39, 1.33287360395310293E-013
         40, 1.35510747018380831E-013
         41, 1.37021744506356279E-013
         42, 1.42033943252603389E-013
         43, 1.29306118238599461E-013
         44, 1.27215375283254801E-013
         45, 1.26807993028517580E-013
         46, 1.50339623261508064E-013
         47, 1.49963484904246646E-013
         48, 1.50168296523863730E-013
         49, 1.32454313225221789E-013
         50, 1.36392216897722314E-013
         51, 1.56698901452881530E-013
         52, 1.37252238703274959E-013
         53, 1.28624826773043715E-013
         54, 1.51045971651727241E-013
         55, 1.52237136522025209E-013
         56, 1.37062184712506500E-013
         57, 1.41150041159975863E-013
         58, 1.35388807973066299E-013
         59, 1.53198965926617852E-013
         60, 1.43092734225547196E-013
         61, 1.42914291786499331E-013
         62, 1.33875330455554830E-013
         63, 1.31074070235855933E-013
         64, 1.37095247097855628E-013
         65, 1.52617490992250446E-013
         66, 1.42688232123443742E-013
         67, 1.55076990474829218E-013
         68, 1.27935593205696541E-013
         69, 1.23730472240057350E-013
         70, 1.43576301418783847E-013
         71, 1.54362737611459105E-013
         72, 1.27534152849332531E-013
         73, 1.27894162485616481E-013
