         0, 2147483647,  1011, 2.35510597946278526E+304
         1,     130816,  1011, 2.48797768044494855E-001
         2,     130816,  1011, 4.25614362041282168E-001
         3,     130816,  1011, 7.22691784506735324E-001
         4,     130816,  1011, 1.03600303229928858E-001
         5,     130816,  1011, 8.88481797325228195E-002
         6,     130816,  1011, 1.73986604721992968E-002
         7,     130816,  1011, 6.40000821211170624E-004
         8,     130803,  1011, 2.18845691857589652E-006
         9,      75942,  1011, 2.03547122818182843E-010
        10,      14401,  1011, 1.29355949867973217E-015
        11,        625,  1011, 1.27031659743610495E-015
        12,          8,  1011, 1.27040560384400172E-015
        13,          0,  1011, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.25776416344706855E-013
          2, 1.33601865409280568E-013
          3, 1.12841663781074254E-013
          4, 1.25651096784155638E-013
          5, 1.19302576179061805E-013
          6, 1.34960055888528479E-013
          7, 1.31040499264570424E-013
          8, 1.28025083896503355E-013
          9, 1.30523832059258398E-013
         10, 1.18023280372665895E-013
         11, 1.29008457099872811E-013
         12, 1.15398968707767445E-013
         13, 1.30709379873192885E-013
         14, 1.40232958505882902E-013
         15, 1.14197832551847754E-013
         16, 1.41423275887631051E-013
         17, 1.16711704109200600E-013
         18, 1.26655506918883813E-013
         19, 1.19817131789617612E-013
         20, 1.44922434393905595E-013
         21, 1.06298329545865673E-013
         22, 1.39602867441032595E-013
         23, 1.09911434591769627E-013
         24, 1.23805801010529031E-013
         25, 1.36615517488556195E-013
         26, 1.24303618101834045E-013
         27, 1.20606047571833445E-013
         28, 1.21579108015500253E-013
         29, 1.26860715632334751E-013
         30, 1.53581815524923668E-013
         31, 1.27699311205836913E-013
         32, 1.38231478576088591E-013
         33, 1.22643037533043055E-013
         34, 1.46628671987346988E-013
         35, 1.32005595548070973E-013
         36, 1.39949794509660108E-013
         37, 1.18658427179838484E-013
         38, 1.26685109178313114E-013
         39, 1.31301445787149309E-013
         40, 1.34502979844803192E-013
         41, 1.54678635242751588E-013
         42, 1.22628113824512277E-013
         43, 1.36972804557720339E-013
         44, 1.36801814947025393E-013
         45, 1.23308839009777099E-013
         46, 1.46915814485994538E-013
         47, 1.38067935593482739E-013
         48, 1.25166523360710435E-013
         49, 1.39808996748617025E-013
         50, 1.47669741433759428E-013
         51, 1.46304956000279556E-013
         52, 1.43640837539780158E-013
         53, 1.36907034091194603E-013
         54, 1.40452641629523745E-013
         55, 1.51397447538342413E-013
         56, 1.16994334162781515E-013
         57, 1.36026550504529287E-013
         58, 1.33611018679732669E-013
         59, 1.56489129048347047E-013
         60, 1.57564498409471036E-013
         61, 1.54779690704539970E-013
         62, 1.54508044013007257E-013
         63, 1.59158971734993787E-013
         64, 1.77357330530471903E-013
         65, 1.79222558897529132E-013
         66, 1.38173115423723326E-013
         67, 1.76200451859793760E-013
         68, 1.72065957383860355E-013
         69, 1.54108006635511071E-013
         70, 1.46060300735770422E-013
         71, 1.55009900307644222E-013
         72, 1.54053897523114501E-013
         73, 1.41560765487434237E-013
         74, 1.56336608757889416E-013
         75, 1.45356199897718947E-013
         76, 1.74830864073650194E-013
         77, 1.52849404375402907E-013
         78, 1.57775450662132139E-013
         79, 1.52389005257130806E-013
         80, 1.46242813121381973E-013
         81, 1.54767766624178269E-013
         82, 1.59047055418440143E-013
         83, 1.69977998291038599E-013
