         0, 2147483647,  1011, 2.35510597946278526E+304
         1,     131315,  1011, 3.37387401983672119E-001
         2,     131273,  1011, 5.10326531773332870E-001
         3,     131265,  1011, 6.74119442399155666E-001
         4,     131180,  1011, 7.48905661293141484E-002
         5,     130965,  1011, 7.22324882288537338E-003
         6,     130850,  1011, 6.54820672178722129E-005
         7,     130816,  1011, 4.80996835158692244E-007
         8,     125555,  1011, 6.78028619535867861E-010
         9,      39817,  1011, 4.20522071610311248E-014
        10,       7250,  1011, 1.25843314059673684E-015
        11,        261,  1011, 1.25836315409417984E-015
        12,          1,  1011, 0.00000000000000000E+000
        13,          0,  1011, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.20919505171794882E-013
          2, 1.23700445618246682E-013
          3, 1.44690549588469014E-013
          4, 1.36659106204409075E-013
          5, 1.37011819584497181E-013
          6, 1.37595442604416279E-013
          7, 1.55097135082997414E-013
          8, 1.14713038449874696E-013
          9, 1.31159841130881632E-013
         10, 1.46940440967364502E-013
         11, 1.23493874121043230E-013
         12, 1.30397319260047873E-013
         13, 1.49390858178297930E-013
         14, 1.33468328035540099E-013
         15, 1.18958858207023048E-013
         16, 1.16457148921503334E-013
         17, 1.22788763611031338E-013
         18, 1.33347068911379390E-013
         19, 1.49488130929362862E-013
         20, 1.46885683990649297E-013
         21, 1.44469289760300187E-013
         22, 1.34876958192617095E-013
         23, 1.31224351373221000E-013
         24, 1.19857526247090759E-013
         25, 1.24208275441114733E-013
         26, 1.35629047142727960E-013
         27, 1.15761300755308464E-013
         28, 1.42069280080048781E-013
         29, 1.53050958379775493E-013
         30, 1.60044267491824647E-013
         31, 1.29959098232808940E-013
         32, 1.38358307767303405E-013
         33, 1.13562436471262098E-013
         34, 1.40808792384349364E-013
         35, 1.22305120261157218E-013
         36, 1.36731761346379780E-013
         37, 1.32005215024924465E-013
         38, 1.18560898313663267E-013
         39, 1.38712621705210673E-013
         40, 1.31941543533018796E-013
         41, 1.60526289881859911E-013
         42, 1.26438173633981467E-013
         43, 1.33736997383078376E-013
         44, 1.34971845262372531E-013
         45, 1.33541685819632183E-013
         46, 1.56312769106537084E-013
         47, 1.50095085402034119E-013
         48, 1.52653736075737533E-013
         49, 1.37448681371831129E-013
         50, 1.40202090214130033E-013
         51, 1.47257813237562273E-013
         52, 1.38311727856909477E-013
         53, 1.38036641061642629E-013
         54, 1.41768321437359081E-013
         55, 1.59897993731992573E-013
         56, 1.32367181314897993E-013
         57, 1.48269536594277436E-013
         58, 1.39318021792240009E-013
         59, 1.52097231071425565E-013
         60, 1.54604234996855329E-013
         61, 1.29923258702944307E-013
         62, 1.34842793779800268E-013
         63, 1.33911162570267283E-013
         64, 1.50425739514228876E-013
         65, 1.55488605413416600E-013
         66, 1.22356870469340347E-013
         67, 1.54326921684824518E-013
         68, 1.38019133625151795E-013
         69, 1.22336872762760888E-013
         70, 1.34382763809309460E-013
         71, 1.61515150283701700E-013
         72, 1.40943155814446627E-013
         73, 1.32992945563529379E-013
         74, 1.66740010997202241E-013
         75, 1.48819944050577244E-013
         76, 1.50290445256442725E-013
         77, 1.54607105274140291E-013
         78, 1.37384580983399608E-013
         79, 1.40115006999045122E-013
         80, 1.49155501851003443E-013
         81, 1.44220731685532437E-013
         82, 1.45389446522230322E-013
         83, 1.75275709512401605E-013
         84, 1.76741826920422582E-013
         85, 1.50938455448987005E-013
         86, 1.36419471229759375E-013
         87, 1.44555338943262023E-013
         88, 1.75172027874734657E-013
         89, 1.43320232528804285E-013
         90, 1.56587160487680550E-013
         91, 1.66965808157126216E-013
         92, 1.37844555983753589E-013
         93, 1.60671426728136911E-013
         94, 1.57199837296081080E-013
         95, 1.55119902742065605E-013
         96, 1.53209300117811956E-013
         97, 1.84179179882223294E-013
         98, 1.59517553116688952E-013
         99, 1.93547444897043522E-013
        100, 1.56175072076796935E-013
        101, 1.49767370971632438E-013
        102, 1.52299177799488472E-013
        103, 1.42654669803938008E-013
        104, 1.79356815694950818E-013
        105, 1.40365044858586259E-013
        106, 1.64832748912318496E-013
        107, 1.57164596158732662E-013
        108, 1.71921815998408914E-013
        109, 1.47954164966619614E-013
        110, 1.60612906126696593E-013
        111, 1.70285248928593740E-013
        112, 1.51876826372828370E-013
        113, 1.58221698393102860E-013
        114, 1.90138735258639867E-013
        115, 1.58900133629270108E-013
        116, 1.70290797017904291E-013
        117, 1.64458966669212728E-013
        118, 1.87502556765541347E-013
        119, 1.87972387096944252E-013
        120, 1.52326988237484927E-013
        121, 1.59293340961664585E-013
        122, 1.72210886842294238E-013
        123, 1.79908941449316260E-013
        124, 2.01679356369238370E-013
        125, 1.91999054971040464E-013
        126, 1.73485596440522357E-013
        127, 1.60078975035740624E-013
        128, 1.68176864522228222E-013
        129, 1.91135936306111536E-013
        130, 1.55426360393651764E-013
        131, 1.98361979081456165E-013
        132, 1.92877820428297900E-013
        133, 1.60084007170126401E-013
        134, 2.00043561376592561E-013
        135, 1.82085789053761645E-013
        136, 1.94630011408729312E-013
        137, 1.92151105779593812E-013
        138, 1.62999485412189514E-013
        139, 2.12750019105249903E-013
        140, 1.94176893466219682E-013
        141, 1.88104390311891349E-013
        142, 1.99275184783180520E-013
        143, 1.76334721664893364E-013
        144, 2.00940628797568807E-013
        145, 1.72899724943158261E-013
        146, 2.20672330305589725E-013
        147, 2.05333145351328206E-013
        148, 1.85545603872408866E-013
        149, 1.70811377685525357E-013
        150, 1.94075080539972280E-013
        151, 2.28091769225472293E-013
        152, 1.65813611706066800E-013
        153, 1.81521040636642035E-013
        154, 1.71261261733085878E-013
        155, 1.72264544537378996E-013
        156, 1.83671762877521891E-013
        157, 2.08052496169642366E-013
        158, 1.94182432716710832E-013
        159, 1.99927419776064146E-013
        160, 1.88858239155807385E-013
        161, 1.98906588172247883E-013
        162, 1.85392387186128448E-013
        163, 2.02830163552243308E-013
        164, 1.92097091865442522E-013
        165, 1.98714743985004597E-013
        166, 2.02922631689383950E-013
        167, 2.15645801615042296E-013
        168, 2.02361313750484115E-013
        169, 2.06083729908866940E-013
        170, 2.44560782426514693E-013
        171, 2.22759973516258673E-013
        172, 2.15929084641746912E-013
        173, 2.18876967365360077E-013
        174, 2.43081560017739179E-013
        175, 2.13609107106849355E-013
        176, 2.17322833909574815E-013
        177, 2.80908388558499106E-013
        178, 2.62232540548445946E-013
        179, 2.24423155802248327E-013
        180, 2.12699011163213908E-013
        181, 2.74133886271288315E-013
        182, 2.57490921295888777E-013
        183, 2.24414288370794474E-013
        184, 2.09600478202519363E-013
        185, 2.27033482920031772E-013
        186, 2.19213362811921841E-013
        187, 2.11374480403503881E-013
        188, 2.18862700499799734E-013
        189, 2.74740481212997828E-013
        190, 2.34430616692383627E-013
        191, 3.17452984166802953E-013
        192, 2.61757651684080702E-013
        193, 2.92694629534681093E-013
        194, 2.26898303969423171E-013
        195, 2.33139212141496372E-013
        196, 2.63561131803425569E-013
        197, 2.12133889886869818E-013
        198, 2.70293211861942884E-013
        199, 2.39828847323167243E-013
        200, 2.38508478376231262E-013
        201, 2.71849024296250235E-013
        202, 2.22817357207568155E-013
        203, 2.47361962090316325E-013
        204, 2.52769767044188343E-013
        205, 2.28250382624429280E-013
        206, 2.52982021613831458E-013
        207, 2.55703046734253838E-013
        208, 2.70855619197714651E-013
        209, 2.40150649104821257E-013
        210, 2.68427259895180163E-013
        211, 2.41571466099960239E-013
        212, 2.43693786153903564E-013
        213, 2.57602218580769370E-013
        214, 2.59455036684264156E-013
        215, 2.70050994410301381E-013
        216, 2.73001854448020972E-013
        217, 3.01288887110130083E-013
        218, 3.27297054595787607E-013
        219, 2.68597466340044313E-013
        220, 2.65456193808411488E-013
        221, 2.62508233694067282E-013
        222, 3.04953475177215434E-013
        223, 2.47637081914946911E-013
        224, 2.93393477243558392E-013
        225, 3.02042681774495290E-013
        226, 3.00489495750965932E-013
        227, 3.43215112829728643E-013
        228, 2.97154953318378644E-013
        229, 3.09844777124465426E-013
        230, 3.06665187879939942E-013
        231, 3.24572699659247170E-013
        232, 3.12263751164322515E-013
        233, 3.30360930068891755E-013
        234, 3.16734884365169351E-013
        235, 3.14705512535323716E-013
        236, 3.16274625167167394E-013
        237, 3.51153558573871546E-013
        238, 3.22685389729040739E-013
        239, 3.01643483145874846E-013
        240, 3.51348929776467910E-013
        241, 3.35109840664969506E-013
        242, 3.52751164320385069E-013
        243, 3.83246979106124892E-013
        244, 3.41319060610503263E-013
        245, 3.23379529145495773E-013
        246, 3.92560009294843503E-013
        247, 3.73284133388598191E-013
        248, 3.95623380188438758E-013
        249, 4.18394285085966530E-013
        250, 4.28477449330446923E-013
        251, 4.25002385166065545E-013
        252, 3.67784718647944039E-013
        253, 3.88646363988003597E-013
        254, 5.51277366148479659E-013
        255, 5.36044761307714799E-013
        256, 5.46455590573966990E-013
        257, 1.13802179880315807E-013
        258, 1.09451573107377983E-013
        259, 1.31817791708015752E-013
        260, 1.31130739352470592E-013
        261, 1.50526398818449142E-013
        262, 1.23262170214365060E-013
        263, 1.11994502349595065E-013
        264, 1.10998631381200631E-013
        265, 1.29422375898661256E-013
        266, 1.32339103750416304E-013
        267, 1.27373011075723211E-013
        268, 1.25786844963275956E-013
        269, 1.20422236732190407E-013
        270, 1.20985957839798461E-013
        271, 1.23593079734504591E-013
        272, 1.18854036210912955E-013
        273, 1.27810611707838640E-013
        274, 1.41858181674495644E-013
        275, 1.30407307787996246E-013
        276, 1.45368427497108944E-013
        277, 1.28791203593593791E-013
        278, 1.16995567142519426E-013
        279, 1.53858180718209121E-013
        280, 1.28375393203627991E-013
        281, 1.45939202200697535E-013
        282, 1.34136495989868852E-013
        283, 1.17225421342411431E-013
        284, 1.54896613471407827E-013
        285, 1.45142811098571445E-013
        286, 1.54412631286303404E-013
        287, 1.22781245149277479E-013
        288, 1.29952606118812135E-013
        289, 1.20002497027786930E-013
        290, 1.31881112854338497E-013
        291, 1.34001651488944922E-013
        292, 1.20439343614986509E-013
        293, 1.31017641311107905E-013
        294, 1.31119906410797188E-013
        295, 1.32532534919005615E-013
        296, 1.34885534331358337E-013
        297, 1.40134649970026303E-013
        298, 1.44164349885169999E-013
        299, 1.34856120279578550E-013
        300, 1.43359730041891283E-013
        301, 1.30405971708401355E-013
        302, 1.41066665369340296E-013
        303, 1.25944568947332082E-013
        304, 1.24018961955292017E-013
        305, 1.47793463527302203E-013
        306, 1.40801768377795459E-013
        307, 1.61967451204871445E-013
        308, 1.74550514318681271E-013
        309, 1.34498904078167309E-013
        310, 1.38669837170058773E-013
        311, 1.30293283400726385E-013
        312, 1.41010234031644498E-013
        313, 1.19348198857280995E-013
        314, 1.18852350179853432E-013
        315, 1.46041463740582135E-013
        316, 1.59707331450794087E-013
        317, 1.41296742654067656E-013
        318, 1.38320123843961736E-013
        319, 1.22960668502507193E-013
        320, 1.24901545854658944E-013
        321, 1.48534040517592697E-013
        322, 1.41476362657017287E-013
        323, 1.64029497053325121E-013
        324, 1.43108673164569045E-013
        325, 1.32227666260582049E-013
        326, 1.42793616945218585E-013
        327, 1.58794055492038200E-013
        328, 1.40069953531655400E-013
        329, 1.28844895705476735E-013
        330, 1.29031447772384471E-013
        331, 1.29387741672063940E-013
        332, 1.49294533190283649E-013
        333, 1.41902478446202727E-013
        334, 1.61770112339953946E-013
        335, 1.45522454463375452E-013
        336, 1.70586997951292629E-013
        337, 1.54556302817151625E-013
        338, 1.38935480524698189E-013
        339, 1.26831576823607080E-013
        340, 1.56836534282877237E-013
        341, 1.52528842507789413E-013
        342, 1.51896985036522311E-013
        343, 1.66152870764164944E-013
        344, 1.54880292464286083E-013
        345, 1.41389221623444901E-013
        346, 1.59086882623320981E-013
        347, 1.71472411961489573E-013
        348, 1.47588974367550264E-013
        349, 1.52593504667716442E-013
        350, 1.65101275214165792E-013
        351, 1.68063171292718927E-013
        352, 1.57187569492058981E-013
        353, 1.43226194601581871E-013
        354, 1.49733799978701646E-013
        355, 1.76648093033145657E-013
        356, 1.69169015355045878E-013
        357, 1.67365405054751199E-013
        358, 1.86956885521292834E-013
        359, 1.65375007399346553E-013
        360, 1.66775806001093053E-013
        361, 1.94591271941913715E-013
        362, 1.77511285868567898E-013
        363, 1.56844454431299801E-013
        364, 1.42905331252971065E-013
        365, 1.61334974829628410E-013
        366, 1.35388972707878212E-013
        367, 1.49903266967755477E-013
        368, 1.58852725184400599E-013
        369, 1.70165539681907141E-013
        370, 2.04896630100995051E-013
        371, 1.59346757734065914E-013
        372, 1.54590591334101553E-013
        373, 1.59583958033202759E-013
        374, 1.54833654443963313E-013
        375, 1.61398048906444419E-013
        376, 2.08131236528265234E-013
        377, 1.53114227498154144E-013
        378, 1.83808583897663010E-013
        379, 2.01845186194395662E-013
        380, 1.84111211066522053E-013
        381, 2.01647214437872140E-013
        382, 1.96064685188795299E-013
        383, 1.69933853970844649E-013
        384, 2.03859242570946221E-013
        385, 1.82891917349145362E-013
        386, 1.64538463803142573E-013
        387, 1.65712883137629470E-013
        388, 1.68634518830707405E-013
        389, 1.78998336835541974E-013
        390, 1.61893768166945796E-013
        391, 1.76615401383682327E-013
        392, 1.90257249518104328E-013
        393, 2.12247559717339515E-013
        394, 1.98928776525637140E-013
        395, 1.90852133177384200E-013
        396, 2.02594485108968088E-013
        397, 1.75130520043137579E-013
        398, 1.61599442137996486E-013
        399, 2.27596442407383505E-013
        400, 1.79562596178420047E-013
        401, 1.75802283184922065E-013
        402, 1.96163439675978835E-013
        403, 1.83644818142457669E-013
        404, 1.95756831330447030E-013
        405, 2.05500515708531436E-013
        406, 2.06953524316945695E-013
        407, 1.86882601116612966E-013
        408, 1.83621870694993862E-013
        409, 1.71752345139603087E-013
        410, 2.23603833383318153E-013
