         0, 2147483647,  1011, 2.35510597946278526E+304
         1,     130816,  1011, 3.11343101087101792E+304
         2,     130816,  1011, 3.11343101087101792E+304
         3,     130816,  1011, 3.11343101087101792E+304
         4,     130816,  1011, 3.11343101087101792E+304
         5,     130816,  1011, 3.11343101087101792E+304
         6,     130816,  1011, 3.11343101087101792E+304
         7,     130816,  1011, 3.11343101087101792E+304
         8,     130806,  1011, 3.11343101087101792E+304
         9,      77828,  1011, 3.11343101087101792E+304
        10,      16690,  1011, 3.11343101087101792E+304
        11,        961,  1011, 3.11343101087101792E+304
        12,         19,  1011, 3.11343101087101792E+304
        13,          4,  1011, 3.11343101087101792E+304
        14,          0,  1011, 3.11343101087101792E+304
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.18134245664803689E-013
          2, 1.22428707285799385E-013
          3, 1.25893166859178507E-013
          4, 1.26258985141332278E-013
          5, 1.35022666420607484E-013
          6, 1.22851248447168396E-013
          7, 1.46904715959428032E-013
          8, 1.29966310567186418E-013
          9, 1.25165822983483587E-013
         10, 1.17995453825167370E-013
         11, 1.31860596631678160E-013
         12, 1.44029617867584180E-013
         13, 1.09943288009194418E-013
         14, 1.29602485101414392E-013
         15, 1.13377532235010229E-013
         16, 1.15739258339687231E-013
         17, 1.24249262033847959E-013
         18, 1.27326563655625371E-013
         19, 1.33710422633304406E-013
         20, 1.53619848726885400E-013
         21, 1.34045238879472731E-013
         22, 1.27647212584539078E-013
         23, 1.13786191599263877E-013
         24, 1.29468856792655446E-013
         25, 1.45449510261983611E-013
         26, 1.21226823477569553E-013
         27, 1.25058598947506626E-013
         28, 1.42081658057031618E-013
         29, 1.50377460625664935E-013
         30, 1.37720754373848499E-013
         31, 1.35380982643890018E-013
         32, 1.27826206510328620E-013
         33, 1.37498649143709433E-013
         34, 1.26539508912358831E-013
         35, 1.27867824302489032E-013
         36, 1.50518577696291242E-013
         37, 1.31385946714975101E-013
         38, 1.42167212016024540E-013
         39, 1.41243273923321146E-013
         40, 1.34643363338131079E-013
         41, 1.30806518504791117E-013
         42, 1.32244345076315509E-013
         43, 1.29813160124306092E-013
         44, 1.25712818929476497E-013
         45, 1.33033611545692728E-013
         46, 1.44205417204606395E-013
         47, 1.54161860371139280E-013
         48, 1.43839540696421481E-013
         49, 1.38792028827859458E-013
         50, 1.44428879575556377E-013
         51, 1.51945078490639816E-013
         52, 1.56350399497377427E-013
         53, 1.65333651697941764E-013
         54, 1.28350031404595201E-013
         55, 1.38306278890249620E-013
         56, 1.52393636500055062E-013
         57, 1.39377683206945506E-013
         58, 1.54022627191315402E-013
         59, 1.63695340592845510E-013
         60, 1.68565480693500459E-013
         61, 1.48350346959033873E-013
         62, 1.62206419457294127E-013
         63, 1.39881535582916448E-013
         64, 1.42540339617524065E-013
         65, 1.50004906967643145E-013
         66, 1.50181499222900852E-013
         67, 1.71871160818330272E-013
         68, 1.32040278319633134E-013
         69, 1.52962675151635743E-013
         70, 1.60059904463138338E-013
         71, 1.52013569169721071E-013
         72, 1.39505179426027948E-013
         73, 1.41007986132977860E-013
         74, 1.56330945558546768E-013
         75, 1.59242707645831320E-013
         76, 1.55100622323667602E-013
         77, 1.62117854400348793E-013
         78, 1.55333549487004470E-013
         79, 1.52643085269103868E-013
         80, 1.74651741543475082E-013
         81, 1.66893379066515653E-013
         82, 1.50503977185547481E-013
         83, 1.83584744672979879E-013
         84, 1.82828095767079772E-013
         85, 1.54528011109689491E-013
         86, 1.65529207437169700E-013
         87, 1.73208418507968560E-013
         88, 1.45181322870754785E-013
         89, 1.42316050828354625E-013
         90, 1.57768086108964281E-013
         91, 1.58739638180205381E-013
         92, 1.76425196307018649E-013
         93, 1.62362892208248713E-013
         94, 1.76999641891489044E-013
         95, 1.32710222026311497E-013
         96, 1.73327661342245136E-013
         97, 1.50184158809044201E-013
         98, 1.44783311981123404E-013
         99, 1.83088827472590509E-013
        100, 1.48711233842211584E-013
        101, 1.56625394176354734E-013
        102, 1.66790643819233949E-013
        103, 1.48302999878819756E-013
        104, 1.93056371293536597E-013
        105, 1.53677457657290624E-013
        106, 1.58197592112035896E-013
        107, 2.06811954587360479E-013
        108, 2.05908353755036408E-013
        109, 1.68764604085595406E-013
        110, 1.78367053720082428E-013
        111, 1.51057246911449403E-013
        112, 1.56190286726895818E-013
        113, 1.76641542206622770E-013
        114, 1.90732045270309705E-013
        115, 1.59413268817942121E-013
        116, 1.65777784520695374E-013
        117, 1.80593114201967550E-013
        118, 1.76152577298430292E-013
        119, 1.96471583746419526E-013
        120, 2.09314961631547705E-013
        121, 1.91930559695019984E-013
        122, 2.22956316304634856E-013
        123, 1.76840658691850832E-013
        124, 1.89261426608777543E-013
        125, 1.85214299097138934E-013
        126, 1.99243356111708100E-013
        127, 1.90181309937292028E-013
        128, 1.94052709834741714E-013
        129, 1.91031162164923931E-013
        130, 1.76399330417437037E-013
        131, 1.82096434876118261E-013
        132, 1.74692870857297062E-013
        133, 2.00334776064935005E-013
        134, 2.10674069902256283E-013
        135, 1.72633398113691289E-013
        136, 1.90929479281808984E-013
        137, 1.77060668738475928E-013
        138, 1.63181273831342652E-013
        139, 1.89282950693962543E-013
        140, 1.72231248133346060E-013
        141, 1.86543673810886527E-013
        142, 2.04886887207853398E-013
        143, 1.58759664192119318E-013
        144, 1.80704147175898205E-013
        145, 1.87465225546380944E-013
        146, 1.70059703744534565E-013
        147, 1.93935799155862441E-013
        148, 2.12978373446164835E-013
        149, 1.77543424963761827E-013
        150, 1.76566411795311283E-013
        151, 1.95548439180754331E-013
        152, 2.25836231274227643E-013
        153, 2.02057730713969901E-013
        154, 1.67577148738613482E-013
        155, 1.78845796454589606E-013
        156, 2.13974932119862622E-013
        157, 2.17471748985244907E-013
        158, 1.88175280737024669E-013
        159, 2.10428557374724575E-013
        160, 1.88299670216648378E-013
        161, 1.98563094178363546E-013
        162, 2.18071783392080139E-013
        163, 1.82600077362267323E-013
        164, 2.11562410885114499E-013
        165, 2.04068256106945854E-013
        166, 2.00730955419793282E-013
        167, 1.69595594061742315E-013
        168, 2.06050156270227105E-013
        169, 1.89610323364543868E-013
        170, 2.13671773707098454E-013
        171, 2.05243066795493731E-013
        172, 2.05997430826715451E-013
        173, 2.47878821547542123E-013
        174, 2.23526541814122345E-013
        175, 2.20939775012814976E-013
        176, 2.01311618420620005E-013
        177, 2.14217065971264441E-013
        178, 2.30927470464872192E-013
        179, 2.17967843847701846E-013
        180, 2.04260452131361799E-013
        181, 2.46436016747894077E-013
        182, 2.44288511193766462E-013
        183, 2.00759590951534808E-013
        184, 2.18144276651871869E-013
        185, 2.04193746918811571E-013
        186, 2.29934355011216305E-013
        187, 2.42038703334607593E-013
        188, 2.30264771325261287E-013
        189, 2.11271356034415263E-013
        190, 2.33489459120059279E-013
        191, 2.33301107554897367E-013
        192, 2.16028133770403192E-013
        193, 2.22394793434611052E-013
        194, 2.25340555187212883E-013
        195, 2.11194057828222896E-013
        196, 2.30989302474886435E-013
        197, 2.42310494134244718E-013
        198, 2.24326775694641399E-013
        199, 2.54346803523072384E-013
        200, 2.41346377122472351E-013
        201, 2.42592348649635448E-013
        202, 1.96597667612548234E-013
        203, 2.43433702725470977E-013
        204, 2.32890446667586719E-013
        205, 2.48255790604642883E-013
        206, 2.32224519279285356E-013
        207, 2.76816098717648812E-013
        208, 2.24210157220009875E-013
        209, 2.69927666521292913E-013
        210, 2.44513982150585179E-013
        211, 2.60458983105518939E-013
        212, 2.59668729685199219E-013
        213, 2.68056349677900529E-013
        214, 2.43883353600211964E-013
        215, 2.52507908249303825E-013
        216, 2.66352360412682448E-013
        217, 3.09613248947574622E-013
        218, 3.34283016278517102E-013
        219, 2.70183239260341385E-013
        220, 2.49216061185921433E-013
        221, 2.73047207711028896E-013
        222, 2.71055117409913354E-013
        223, 3.12203361177358289E-013
        224, 2.70804761235725206E-013
        225, 2.96470774606531015E-013
        226, 3.07187592890732061E-013
        227, 3.09104232708222772E-013
        228, 2.70229135508485034E-013
        229, 2.87037690098243304E-013
        230, 2.80453166138520723E-013
        231, 3.46214686642571785E-013
        232, 3.14329091385505801E-013
        233, 2.94435751032042287E-013
        234, 2.96112532343917920E-013
        235, 3.14929356045260312E-013
        236, 2.88038641558407057E-013
        237, 3.27100429227158323E-013
        238, 3.20459918259339456E-013
        239, 2.93396323554323449E-013
        240, 4.14007151570111830E-013
        241, 3.45007171816308591E-013
        242, 3.65343038827424876E-013
        243, 3.75087338994462980E-013
        244, 3.81152229226148062E-013
        245, 4.09414349067068260E-013
        246, 4.26839064957621900E-013
        247, 4.21217610345774734E-013
        248, 3.96259041420767259E-013
        249, 4.17688628596134921E-013
        250, 4.52851735928285677E-013
        251, 4.49408665779104331E-013
        252, 4.25147820264571250E-013
        253, 4.10721487272079522E-013
        254, 5.22877034518613876E-013
        255, 5.11373149522957784E-013
        256, 6.83923516340585333E-013
        257, 1.37350670702114916E-013
        258, 1.34129786502927560E-013
        259, 1.26402597502844430E-013
        260, 1.21028913048712858E-013
        261, 1.26716480813798519E-013
        262, 1.39166394240846259E-013
        263, 1.12013992701566209E-013
