         0, 2147483647,  1015, 3.13325055648035459E+305
         1,       2068,  1014, 4.64258101075390894E-001
         2,       2051,  1014, 3.79452920374667269E-001
         3,       2029,  1014, 5.83709806286428490E-002
         4,       2016,  1014, 1.90960054127268988E-003
         5,       2016,  1014, 1.98706572362265166E-005
         6,       1961,  1014, 1.01277617038567444E-008
         7,        848,  1014, 1.58544007542504564E-014
         8,         48,  1014, 4.79148367940217620E-016
         9,          1,  1014, 4.46344050567411114E-016
        10,          0,  1014, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 8.27996920666882151E-015
          2, 8.12664331642462604E-015
          3, 8.58488850742793798E-015
          4, 7.72956249651063517E-015
          5, 7.81624207563402230E-015
          6, 1.16191600830868222E-014
          7, 1.03878834612120513E-014
          8, 1.07079133750990844E-014
          9, 9.07365329480608106E-015
         10, 6.53450827875595459E-015
         11, 9.76980689116141531E-015
         12, 1.06298453742815858E-014
         13, 7.45511949794638407E-015
         14, 1.39839157004070674E-014
         15, 1.13164642044793701E-014
         16, 1.32305050492980840E-014
         17, 1.04600787984255697E-014
         18, 1.12771449301702898E-014
         19, 9.58688573600177589E-015
         20, 1.17658086275691413E-014
         21, 1.48872211013248433E-014
         22, 9.14898889972787276E-015
         23, 1.56529119258681038E-014
         24, 1.15038860380540103E-014
         25, 1.31810960958356840E-014
         26, 1.46559811702887422E-014
         27, 1.27857402351833890E-014
         28, 1.31730229650278893E-014
         29, 1.12765885324221319E-014
         30, 1.75786240308256622E-014
         31, 2.58805366222600617E-014
         32, 2.00684149435674512E-014
         33, 7.81191497895225019E-015
         34, 6.14346242645829478E-015
         35, 8.08010947228893470E-015
         36, 6.30381896262416960E-015
         37, 6.98797266880886830E-015
         38, 1.02566744864314909E-014
         39, 8.86745160052220606E-015
         40, 8.40468887564349742E-015
         41, 9.71379528182666290E-015
         42, 7.52156508492931546E-015
         43, 9.54940241385686214E-015
         44, 8.45863130460273015E-015
         45, 9.51107365919916683E-015
         46, 8.61347046299963475E-015
         47, 1.06654778331996785E-014
         48, 1.46204742547081963E-014
         49, 1.18814055212047452E-014
         50, 8.18691359364058015E-015
         51, 1.08910301584444820E-014
         52, 1.22391509270408565E-014
         53, 1.18084743740416602E-014
         54, 1.19666297224892626E-014
         55, 1.32071660900904038E-014
         56, 1.25159517168405914E-014
         57, 1.48326007264914705E-014
         58, 1.40843785747486198E-014
         59, 1.48844306907258856E-014
         60, 1.46463979298296276E-014
         61, 1.53284347209722084E-014
         62, 2.08034284910332563E-014
         63, 1.80846757895541763E-014
         64, 1.98135817759865077E-014
        -31, 2.58805366222600617E-014
          0, 4.18169918035534263E-015
