         0, 2147483647,  1015, 3.13325055648035459E+305
         1,       2016,  1014, 4.64258101075390617E-001
         2,       2016,  1014, 5.29372274365449758E-001
         3,       2016,  1014, 1.45266592331076111E-001
         4,       2016,  1014, 1.93222531274505512E-002
         5,       2016,  1014, 2.45409363680720556E-004
         6,       2016,  1014, 2.54873445647675493E-007
         7,       1617,  1014, 8.10903388717582603E-012
         8,        137,  1014, 0.00000000000000000E+000
         9,          0,  1014, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 7.16784655744615486E-015
          2, 8.25996540938782425E-015
          3, 7.51630336577293347E-015
          4, 7.81578250737248784E-015
          5, 8.90641158309255643E-015
          6, 8.93230966295042207E-015
          7, 9.96976524706580697E-015
          8, 1.08507522690193097E-014
          9, 1.14731866755781486E-014
         10, 1.03047551485206428E-014
         11, 9.95577824345268064E-015
         12, 9.65524870210160147E-015
         13, 7.84517910406629829E-015
         14, 1.41854836147420587E-014
         15, 1.02723740532119499E-014
         16, 1.30566496855270156E-014
         17, 1.28969159250726869E-014
         18, 1.27065855361171017E-014
         19, 1.37004632688110694E-014
         20, 1.13196799758164231E-014
         21, 1.69545358885719870E-014
         22, 1.21723033340662455E-014
         23, 1.77742891971805075E-014
         24, 1.15406621318174563E-014
         25, 1.60533336684775862E-014
         26, 1.75104527556786167E-014
         27, 1.59792185601003688E-014
         28, 1.78619409692414613E-014
         29, 1.78234809182419963E-014
         30, 2.45845530363216601E-014
         31, 2.01868893616981669E-014
         32, 2.33253513665655481E-014
         33, 7.60720130701090427E-015
         34, 1.05191987055418943E-014
         35, 7.96872400763670438E-015
         36, 5.77941605434664909E-015
         37, 9.07705462352916747E-015
         38, 9.55168839178626498E-015
         39, 1.00948730844274796E-014
         40, 8.57411861385808837E-015
         41, 8.33531884240351180E-015
         42, 9.61795055064378694E-015
         43, 9.57872624734005336E-015
         44, 9.27682590529448223E-015
         45, 7.38011891664134729E-015
         46, 1.18919061834583215E-014
         47, 1.34418540020112653E-014
         48, 1.25983879248145376E-014
         49, 1.00655187479116301E-014
         50, 9.72697399142893677E-015
         51, 9.84558449647355679E-015
         52, 1.09661499213785709E-014
         53, 9.89233850651297724E-015
         54, 1.30769147181160231E-014
         55, 1.42954668837066887E-014
         56, 1.25444339326354370E-014
         57, 1.40956334546678367E-014
         58, 1.28197007783199593E-014
         59, 1.23022106237215080E-014
         60, 1.83662183182263417E-014
         61, 1.49342773845113841E-014
         62, 2.02846455603129817E-014
         63, 2.51160089974037549E-014
         64, 2.19078780720576933E-014
        -63, 2.51160089974037549E-014
          0, 4.28461413924979334E-015
