         0, 2147483647,  1015, 3.13325055648035459E+305
         1,       2068,  1015, 4.64258101075390450E-001
         2,       2051,  1015, 3.79452920374669045E-001
         3,       2029,  1015, 5.83709806286437025E-002
         4,       2016,  1015, 1.90960054127260466E-003
         5,       2016,  1015, 1.98706572362443178E-005
         6,       1961,  1015, 1.01277616981392455E-008
         7,        847,  1015, 1.58614645124075888E-014
         8,         49,  1015, 4.84060103475740872E-016
         9,          0,  1015, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 6.77077661462424165E-015
          2, 8.62126006786431922E-015
          3, 8.45928584638016047E-015
          4, 9.48462774166968965E-015
          5, 6.87637273852984140E-015
          6, 1.01942056971338163E-014
          7, 1.03275752538431613E-014
          8, 6.48653758039640608E-015
          9, 1.03700494715965865E-014
         10, 7.93626259971815541E-015
         11, 9.37244475198755441E-015
         12, 1.08266983126314768E-014
         13, 8.57448063937605474E-015
         14, 1.04809127197007689E-014
         15, 1.00601734486410014E-014
         16, 1.08976715395339307E-014
         17, 8.25828626108708367E-015
         18, 1.02768898402896647E-014
         19, 1.25747895594869953E-014
         20, 1.09875456130427036E-014
         21, 1.32019261060703890E-014
         22, 1.35435873745369877E-014
         23, 1.30053298120235129E-014
         24, 1.10924141771433461E-014
         25, 1.27966855107798601E-014
         26, 1.54013882534949002E-014
         27, 1.44733380723094414E-014
         28, 1.33200245949807169E-014
         29, 1.49454633862918803E-014
         30, 2.25372291371252754E-014
         31, 2.87938038004066352E-014
         32, 1.71675551753404188E-014
         33, 9.40346238458715628E-015
         34, 8.41790383632415813E-015
         35, 7.42376157240434339E-015
         36, 4.39074307793299931E-015
         37, 7.25537733300001087E-015
         38, 8.48730266779577747E-015
         39, 7.84891048563098527E-015
         40, 7.17478771072945060E-015
         41, 1.04271492232138603E-014
         42, 6.23851618603534774E-015
         43, 6.93374069226848590E-015
         44, 1.10038052628599443E-014
         45, 8.46855308982283698E-015
         46, 1.16252657300443486E-014
         47, 8.13082627599095554E-015
         48, 1.14992597695920617E-014
         49, 1.06494932892577927E-014
         50, 1.09138727088654171E-014
         51, 1.39065233229466625E-014
         52, 1.25732727376883658E-014
         53, 1.05051415979968627E-014
         54, 1.24269448032420131E-014
         55, 1.21935289374647337E-014
         56, 1.12236209328989500E-014
         57, 1.55327959535992357E-014
         58, 1.48195837525128827E-014
         59, 1.43673124397624841E-014
         60, 1.46608193501178621E-014
         61, 1.60298531871095081E-014
         62, 1.88807724587731640E-014
         63, 2.12340855665393614E-014
         64, 1.78957219393816799E-014
        -31, 2.87938038004066352E-014
          0, 3.65498597390241896E-015
