         0, 2147483647,  1015, 3.13325055648035459E+305
         1,       2016,  1015, 4.64258101075390450E-001
         2,       2016,  1015, 5.29372274365452866E-001
         3,       2016,  1015, 1.45266592331079358E-001
         4,       2016,  1015, 1.93222531274509640E-002
         5,       2016,  1015, 2.45409363680672418E-004
         6,       2016,  1015, 2.54873445611285846E-007
         7,       1616,  1015, 8.10897347831707455E-012
         8,        138,  1015, 4.63541392652152612E-016
         9,          0,  1015, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 7.45367469972209399E-015
          2, 7.52318990159183995E-015
          3, 6.80247247256114483E-015
          4, 9.44632697421388074E-015
          5, 7.15537218013894340E-015
          6, 9.14210576372447950E-015
          7, 9.36254717691382110E-015
          8, 8.48763347837267500E-015
          9, 9.07792085033574201E-015
         10, 6.50437275418774613E-015
         11, 1.00781002787386644E-014
         12, 1.15008234078250174E-014
         13, 8.76006975960911668E-015
         14, 2.02901659146214797E-014
         15, 8.87654353926613988E-015
         16, 1.12144069171359526E-014
         17, 1.12210432384971506E-014
         18, 1.28123887465090461E-014
         19, 1.03404799594788631E-014
         20, 9.66253733665191251E-015
         21, 1.24740988855339112E-014
         22, 9.91643623914403834E-015
         23, 1.19962107043544444E-014
         24, 1.22849508567098308E-014
         25, 1.52420839835180390E-014
         26, 1.64121175642382974E-014
         27, 1.29994936525207572E-014
         28, 1.47210750830211494E-014
         29, 1.73740044774921586E-014
         30, 1.90301360632019039E-014
         31, 3.12531205280177101E-014
         32, 2.03308979645429484E-014
         33, 7.76427135910531261E-015
         34, 8.23940617292050291E-015
         35, 7.62060141728904850E-015
         36, 6.35237119321643371E-015
         37, 8.34889402532788366E-015
         38, 1.17257005936826901E-014
         39, 9.89531638641708675E-015
         40, 9.37988872013831541E-015
         41, 9.71569547994376892E-015
         42, 9.64404572963886990E-015
         43, 8.16518100098948529E-015
         44, 8.28695818311098697E-015
         45, 8.93737907687886972E-015
         46, 7.45846007305139612E-015
         47, 1.24668923681515795E-014
         48, 1.22046153016691129E-014
         49, 1.11733800366519466E-014
         50, 9.91193488876105059E-015
         51, 9.65740595783633914E-015
         52, 1.41152146526897057E-014
         53, 1.66222743308999533E-014
         54, 1.44392922490350866E-014
         55, 1.51451775218010398E-014
         56, 1.27052391239857046E-014
         57, 1.70808412402692270E-014
         58, 1.60359697088889448E-014
         59, 1.52106256636239828E-014
         60, 1.70483921028183284E-014
         61, 1.75346426229515097E-014
         62, 1.99119399403506281E-014
         63, 2.67077642370009204E-014
         64, 2.13216583499543570E-014
        -31, 3.12531205280177101E-014
          0, 3.79127623750688423E-015
