         0, 2147483647,  1018, 2.05427344491921388E+306
         1,         28,  1018, 4.73855133892739366E-001
         2,         28,  1018, 9.83450480719689352E-002
         3,         28,  1018, 6.79480450009137607E-003
         4,         28,  1018, 1.03902768865620865E-005
         5,         10,  1018, 1.07753256365532820E-014
         6,          0,  1018, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 8.42712387626711872E-016
          2, 8.09831750699370520E-016
          3, 7.79791548417885036E-016
          4, 1.25138265370643412E-015
          5, 5.11254094989291536E-016
          6, 8.50471695510526997E-016
          7, 1.04225493155261890E-015
          8, 9.79997066483465441E-016
         -4, 1.25138265370643412E-015
          0, 8.51642761487039554E-016
