"TRANSF", "SWEEP", "off(A)"
          0,  0, 5.17966796883682843E+002
          1,  1, 5.17963511790732776E+002
        256,  1, 5.09245991963154248E+002
        512,  1, 4.87128985899849650E+002
        768,  1, 4.84201005325537123E+002
       1024,  1, 4.73900700069051811E+002
       1280,  1, 4.70997630330875643E+002
       1536,  1, 4.62635525790391034E+002
       1792,  1, 4.62511193836062173E+002
       2048,  1, 4.62369860336689109E+002
       2304,  1, 4.54990630645796046E+002
       2560,  1, 4.43005837989206119E+002
       2816,  1, 4.36291176701568563E+002
       3072,  1, 4.29723407691333376E+002
       3328,  1, 4.22870369059403792E+002
       3584,  1, 4.14787776930496058E+002
       3840,  1, 4.14718626864983487E+002
       4096,  1, 4.14197449246726096E+002
       4352,  1, 4.06652043619157447E+002
       4608,  1, 4.03298642400539218E+002
       4864,  1, 4.03262709202482433E+002
       5120,  1, 4.03162346301569693E+002
       5376,  1, 4.03109294682030643E+002
       5632,  1, 4.02238578322985919E+002
       5888,  1, 3.91970779911513545E+002
       6144,  1, 3.89605768833461456E+002
       6400,  1, 3.89533742745511355E+002
       6656,  1, 3.89448567624684378E+002
       6912,  1, 3.89399644642239764E+002
       7168,  1, 3.88232976674415848E+002
       7424,  1, 3.80311374311803658E+002
       7680,  1, 3.78516813489357453E+002
       7936,  1, 3.69847618911913856E+002
       8192,  1, 3.69046456200614035E+002
       8448,  1, 3.69009352899267770E+002
       8704,  1, 3.68889715001010948E+002
       8960,  1, 3.68829367989570285E+002
       9216,  1, 3.68715408119890083E+002
       9472,  1, 3.68662570491369001E+002
       9728,  1, 3.68551272259714641E+002
       9984,  1, 3.68515207893634286E+002
      10240,  1, 3.66336600117417128E+002
      10496,  1, 3.56064807485411923E+002
      10752,  1, 3.54388506810277032E+002
      11008,  1, 3.45536463130137518E+002
      11264,  1, 3.45439748886447404E+002
      11520,  1, 3.45334361516940778E+002
      11776,  1, 3.40966272677620537E+002
      12032,  1, 3.36169682537976767E+002
      12288,  1, 3.29494366885562369E+002
      12544,  1, 3.26337223248671306E+002
      12800,  1, 3.20061445370882909E+002
      13056,  1, 3.18038232196262786E+002
      13312,  1, 3.17985757240579857E+002
      13568,  1, 3.16850782503148399E+002
      13824,  1, 3.08385724921833910E+002
      14080,  1, 3.08030328745810522E+002
      14336,  1, 3.07956675294580982E+002
      14592,  1, 3.07862885622963216E+002
      14848,  1, 3.07809973359775727E+002
      15104,  1, 3.07746038568482339E+002
      15360,  1, 3.07700207138596701E+002
      15616,  1, 3.05447870048307491E+002
      15872,  1, 2.99220928813773393E+002
      16128,  1, 2.95761579447368733E+002
      16384,  1, 2.92232300286773237E+002
      16640,  1, 2.87769984623074047E+002
      16896,  1, 2.86520801111490654E+002
      17152,  1, 2.86478356524578724E+002
      17408,  1, 2.86401636139737433E+002
      17664,  1, 2.86340301969044735E+002
      17920,  1, 2.85591012235785283E+002
      18176,  1, 2.80451080631938277E+002
      18432,  1, 2.80323859140507819E+002
      18688,  1, 2.80259367168551365E+002
      18944,  1, 2.78009226222248872E+002
      19200,  1, 2.73835869377448171E+002
      19456,  1, 2.71799014891503085E+002
      19712,  1, 2.69555696629800331E+002
      19968,  1, 2.64807491293536480E+002
      20224,  1, 2.62989388956659331E+002
      20480,  1, 2.58420130361724089E+002
      20736,  1, 2.57777698826077816E+002
      20992,  1, 2.57716364120682065E+002
      21248,  1, 2.57645461374080621E+002
      21504,  1, 2.57618619302189796E+002
      21760,  1, 2.56405096281888590E+002
      22016,  1, 2.52287141837192595E+002
      22272,  1, 2.52211709632625236E+002
      22528,  1, 2.52124676411552345E+002
      22784,  1, 2.52061044221058908E+002
      23040,  1, 2.51742626969197321E+002
      23296,  1, 2.47659897086896306E+002
      23552,  1, 2.45975236381301435E+002
      23808,  1, 2.39534212437352610E+002
      24064,  1, 2.38573869592937160E+002
      24320,  1, 2.33096414861677137E+002
      24576,  1, 2.30398693643263551E+002
      24832,  1, 2.27004103252774231E+002
      25088,  1, 2.26949114409457676E+002
      25344,  1, 2.26609846588969169E+002
      25600,  1, 2.22784456459044133E+002
      25856,  1, 2.21830992450596334E+002
      26112,  1, 2.17669853793357448E+002
      26368,  1, 2.17146264376804983E+002
      26624,  1, 2.13841056744289025E+002
      26880,  1, 2.11298860694893694E+002
      27136,  1, 2.09251534386644927E+002
      27392,  1, 2.06149656792896152E+002
      27648,  1, 2.05152945200209140E+002
      27904,  1, 2.01064255089697593E+002
      28160,  1, 2.00796600326843119E+002
      28416,  1, 2.00760664950438816E+002
      28672,  1, 1.98493004129410014E+002
      28928,  1, 1.95774377747818580E+002
      29184,  1, 1.92835490847149810E+002
      29440,  1, 1.91385451727009871E+002
      29696,  1, 1.88334932302494551E+002
      29952,  1, 1.87926646041048899E+002
      30208,  1, 1.87896516900305893E+002
      30464,  1, 1.87818147861215074E+002
      30720,  1, 1.87769725640986795E+002
      30976,  1, 1.87701115636659191E+002
      31232,  1, 1.87649092585219868E+002
      31488,  1, 1.87595475898246604E+002
      31744,  1, 1.87531690599184619E+002
      32000,  1, 1.87474249138839226E+002
      32256,  1, 1.85404945589660173E+002
      32512,  1, 1.82330675486240180E+002
      32768,  1, 1.82272215591108856E+002
      33024,  1, 1.81852931661788060E+002
      33280,  1, 1.77960148010182259E+002
      33536,  1, 1.77116602312316090E+002
      33792,  1, 1.73833109409634264E+002
      34048,  1, 1.71924345329583188E+002
      34304,  1, 1.70218745057923065E+002
      34560,  1, 1.70154133450539648E+002
      34816,  1, 1.69815225626657958E+002
      35072,  1, 1.66968335725555236E+002
      35328,  1, 1.66923516902281050E+002
      35584,  1, 1.66819303214164633E+002
      35840,  1, 1.64459268757460460E+002
      36096,  1, 1.63105515894073161E+002
      36352,  1, 1.59176236420028058E+002
      36608,  1, 1.59031212803635580E+002
      36864,  1, 1.58986113981347113E+002
      37120,  1, 1.58911116774796887E+002
      37376,  1, 1.58747674182532639E+002
      37632,  1, 1.56345984329405010E+002
      37888,  1, 1.55681416740345541E+002
      38144,  1, 1.53316054189750235E+002
      38400,  1, 1.53265518225762264E+002
      38656,  1, 1.53079848568817664E+002
      38912,  1, 1.50096351579735402E+002
      39168,  1, 1.49370067211954122E+002
      39424,  1, 1.46534668513931308E+002
      39680,  1, 1.45196731195606738E+002
      39936,  1, 1.43674822457454163E+002
      40192,  1, 1.41757314971189195E+002
      40448,  1, 1.41242804037806883E+002
      40704,  1, 1.41181521127506576E+002
      40960,  1, 1.39970447443070711E+002
      41216,  1, 1.38911460628512423E+002
      41472,  1, 1.36393972557607496E+002
      41728,  1, 1.35635415128665398E+002
      41984,  1, 1.33324899709447448E+002
      42240,  1, 1.31944876228981740E+002
      42496,  1, 1.30669103684544673E+002
      42752,  1, 1.30614735000411302E+002
      43008,  1, 1.30562854903155515E+002
      43264,  1, 1.30492572282072613E+002
      43520,  1, 1.28510575251206877E+002
      43776,  1, 1.27606356489335741E+002
      44032,  1, 1.24373224660570125E+002
      44288,  1, 1.23459257010276648E+002
      44544,  1, 1.22033471921117603E+002
      44800,  1, 1.20222066326583690E+002
      45056,  1, 1.19675269472018704E+002
      45312,  1, 1.17823479229628370E+002
      45568,  1, 1.16646397699367853E+002
      45824,  1, 1.15854416198380429E+002
      46080,  1, 1.14465295084482322E+002
      46336,  1, 1.14323215601976664E+002
      46592,  1, 1.14273608481564927E+002
      46848,  1, 1.12707061680903042E+002
      47104,  1, 1.12005555847962806E+002
      47360,  1, 1.09995670958723569E+002
      47616,  1, 1.09990086741407193E+002
      47872,  1, 1.09862080419935189E+002
      48128,  1, 1.08323231666602323E+002
      48384,  1, 1.07667183915276198E+002
      48640,  1, 1.06251361144406875E+002
      48896,  1, 1.05180194492858423E+002
      49152,  1, 1.04799759046999401E+002
      49408,  1, 1.03579021961493456E+002
      49664,  1, 1.03527761410631333E+002
      49920,  1, 1.03389224023992078E+002
      50176,  1, 1.01958399004544104E+002
      50432,  1, 1.00679245295806511E+002
      50688,  1, 9.96007092259391176E+001
      50944,  1, 9.95586192706221910E+001
      51200,  1, 9.95127515875928364E+001
      51456,  1, 9.94554741716991877E+001
      51712,  1, 9.81333026206524368E+001
      51968,  1, 9.75662196048224957E+001
      52224,  1, 9.64671297289202189E+001
      52480,  1, 9.53408523082778087E+001
      52736,  1, 9.48911187145295974E+001
      52992,  1, 9.48321614486330916E+001
      53248,  1, 9.37162712388950724E+001
      53504,  1, 9.31389056211529194E+001
      53760,  1, 9.30964914643604478E+001
      54016,  1, 9.23381374266676586E+001
      54272,  1, 9.18112629045616498E+001
      54528,  1, 9.08771275981373215E+001
      54784,  1, 9.01215473871816129E+001
      55040,  1, 8.95489011073517471E+001
      55296,  1, 8.85901507262731534E+001
      55552,  1, 8.84846242039623057E+001
      55808,  1, 8.84480512823869619E+001
      56064,  1, 8.84077786237829575E+001
      56320,  1, 8.80064149144268411E+001
      56576,  1, 8.73319251890407640E+001
      56832,  1, 8.72819872909922616E+001
      57088,  1, 8.67805478086209471E+001
      57344,  1, 8.61680011488827610E+001
      57600,  1, 8.52072032359361779E+001
      57856,  1, 8.51216775586079277E+001
      58112,  1, 8.50328516907462900E+001
      58368,  1, 8.40347112204900455E+001
      58624,  1, 8.39265102973479734E+001
      58880,  1, 8.38819866848267976E+001
      59136,  1, 8.38297952145661398E+001
      59392,  1, 8.32672260764720842E+001
      59648,  1, 8.26656619100804203E+001
      59904,  1, 8.15450237438648161E+001
      60160,  1, 8.10548302158001156E+001
      60416,  1, 8.05681810507056011E+001
      60672,  1, 8.05186696620114618E+001
      60928,  1, 7.98688939267012756E+001
      61184,  1, 7.94660225859353143E+001
      61440,  1, 7.87141915038290351E+001
      61696,  1, 7.86654218765052319E+001
      61952,  1, 7.86268884602573336E+001
      62208,  1, 7.85830607659774860E+001
      62464,  1, 7.78506101091413538E+001
      62720,  1, 7.74150788873993963E+001
      62976,  1, 7.67818030735014962E+001
      63232,  1, 7.57805899474900887E+001
      63488,  1, 7.56847333211900790E+001
      63744,  1, 7.56184014484347744E+001
      64000,  1, 7.48811096435561967E+001
      64256,  1, 7.43365033636877418E+001
      64512,  1, 7.40517116472846518E+001
      64768,  1, 7.33588182448460201E+001
      65024,  1, 7.26823393612034506E+001
      65280,  1, 7.22595374110086563E+001
      65536,  1, 7.17309107027512331E+001
      65792,  1, 7.10671478596526632E+001
      66048,  1, 7.05735580025715334E+001
      66304,  1, 7.01369163807205131E+001
      66560,  1, 6.94588667928673517E+001
      66816,  1, 6.86785912032704551E+001
      67072,  1, 6.84831421179883369E+001
      67328,  1, 6.84351773072974784E+001
      67584,  1, 6.83885796086317053E+001
      67840,  1, 6.79011537029376357E+001
      68096,  1, 6.75530072420713500E+001
      68352,  1, 6.69454713224589923E+001
      68608,  1, 6.68855327993772907E+001
      68864,  1, 6.68498907087309906E+001
      69120,  1, 6.68240930239914841E+001
      69376,  1, 6.67685839835160108E+001
      69632,  1, 6.63509262026857922E+001
      69888,  1, 6.61415052617837926E+001
      70144,  1, 6.60886248913899508E+001
      70400,  1, 6.54763469684703758E+001
      70656,  1, 6.51104197719040792E+001
      70912,  1, 6.47395330937512828E+001
      71168,  1, 6.41678349803547418E+001
      71424,  1, 6.36955677488364582E+001
      71680,  1, 6.36116916780016520E+001
      71936,  1, 6.35671296956820843E+001
      72192,  1, 6.35179508290684447E+001
      72448,  1, 6.29977314893180895E+001
      72704,  1, 6.26588199506797981E+001
      72960,  1, 6.24603590766119327E+001
      73216,  1, 6.24169767054497646E+001
      73472,  1, 6.23742736188703363E+001
      73728,  1, 6.23369251897946164E+001
      73984,  1, 6.23028828346174779E+001
      74240,  1, 6.22551263040832015E+001
      74496,  1, 6.17976707317169309E+001
      74752,  1, 6.17415449036730752E+001
      75008,  1, 6.17075661786570216E+001
      75264,  1, 6.16669881597226429E+001
      75520,  1, 6.12452769139589683E+001
      75776,  1, 6.09044627693222020E+001
      76032,  1, 6.06239927094913547E+001
      76288,  1, 6.03997274123184548E+001
      76544,  1, 6.00104815997670732E+001
      76800,  1, 5.96980467888875142E+001
      77056,  1, 5.94081641360283217E+001
      77312,  1, 5.92011976479322013E+001
      77568,  1, 5.89505101492320580E+001
      77824,  1, 5.86889889369786281E+001
      78080,  1, 5.86384709837945855E+001
      78336,  1, 5.84936886804462119E+001
      78592,  1, 5.82710845908108614E+001
      78848,  1, 5.80462575697436660E+001
      79104,  1, 5.77325572268664901E+001
      79360,  1, 5.76669487376608432E+001
      79616,  1, 5.74625181144397772E+001
      79872,  1, 5.72278839519664688E+001
      80128,  1, 5.68513225703042769E+001
      80384,  1, 5.65954121079870686E+001
      80640,  1, 5.64059140896087137E+001
      80896,  1, 5.61773674609028955E+001
      81152,  1, 5.59747455842133803E+001
      81408,  1, 5.56999804473184487E+001
      81664,  1, 5.54972056221718471E+001
      81920,  1, 5.52808841161077402E+001
      82176,  1, 5.51058276913504021E+001
      82432,  1, 5.49348043067794500E+001
      82688,  1, 5.48278609680277512E+001
      82944,  1, 5.47862128957138909E+001
      83200,  1, 5.46051801140124621E+001
      83456,  1, 5.45699351838878405E+001
      83712,  1, 5.44396572372590852E+001
      83968,  1, 5.42582203778355682E+001
      84224,  1, 5.40381022096581808E+001
      84480,  1, 5.38303822544651134E+001
      84736,  1, 5.36820202872298234E+001
      84992,  1, 5.36352449218272957E+001
      85248,  1, 5.35046131604193231E+001
      85504,  1, 5.34306150521780198E+001
      85760,  1, 5.33467392266428099E+001
      86016,  1, 5.32133602853130245E+001
      86272,  1, 5.31800086057032997E+001
      86528,  1, 5.30067267750547742E+001
      86784,  1, 5.28103936030445275E+001
      87040,  1, 5.26746370840006662E+001
      87296,  1, 5.25695881493548459E+001
      87552,  1, 5.25017955154356284E+001
      87808,  1, 5.24569780924015666E+001
      88064,  1, 5.23593082175469159E+001
      88320,  1, 5.22176009264924161E+001
      88576,  1, 5.21079385128020728E+001
      88832,  1, 5.20179007554401082E+001
      89088,  1, 5.19078553671546536E+001
      89344,  1, 5.17981875624279119E+001
      89600,  1, 5.16768362652587335E+001
      89856,  1, 5.16164240236974789E+001
      90112,  1, 5.15113039626039244E+001
      90368,  1, 5.14167013859842037E+001
      90624,  1, 5.13384478448065413E+001
      90880,  1, 5.12368396027952669E+001
      91136,  1, 5.11470511631358239E+001
      91392,  1, 5.10829115648360605E+001
      91648,  1, 5.09954649274912246E+001
      91904,  1, 5.09212214309728282E+001
      92160,  1, 5.08822087914339373E+001
      92416,  1, 5.08279843567788904E+001
      92672,  1, 5.07920503862973127E+001
      92928,  1, 5.07558745081410688E+001
      93184,  1, 5.07184526978871510E+001
      93440,  1, 5.06894921807817022E+001
      93696,  1, 5.06256589170986097E+001
      93952,  1, 5.05455830027910931E+001
      94208,  1, 5.04786822613265232E+001
      94464,  1, 5.04410797485461831E+001
      94720,  1, 5.03876243132481897E+001
      94976,  1, 5.03130320727429858E+001
      95232,  1, 5.02827552674051734E+001
      95488,  1, 5.02336314347780667E+001
      95744,  1, 5.01944456752111580E+001
      96000,  1, 5.01473348420472773E+001
      96256,  1, 5.00849561987039647E+001
      96512,  1, 5.00708820583769568E+001
      96768,  1, 5.00638171635700385E+001
      97024,  1, 5.00609425270096319E+001
      97280,  1, 5.00572882748138843E+001
      97536,  1, 5.00554094919502825E+001
      97792,  1, 5.00546935856013130E+001
      98048,  1, 5.00542902150028157E+001
      98304,  1, 4.99015464150692268E+001
      98560,  1, 4.95679908246283405E+001
      98816,  1, 4.94268588474602618E+001
      99072,  1, 4.94092848882392195E+001
      99328,  1, 4.93992461100099344E+001
      99584,  1, 4.93871915372770438E+001
      99840,  1, 4.93695157436248065E+001
     100096,  1, 4.93590179679966414E+001
     100352,  1, 4.93471533349638398E+001
     100608,  1, 4.91101409106790843E+001
     100864,  1, 4.88992461918126271E+001
     101120,  1, 4.86892162695984663E+001
