"TRANSF", "SWEEP", "off(A)"
          0,  0, 5.17966796883682843E+002
          1,  1, 5.17966348821419314E+002
        256,  1, 5.17945350512019498E+002
        512,  1, 5.17928622759591782E+002
        768,  1, 5.17883655505655506E+002
       1024,  1, 5.17855960284582136E+002
       1280,  1, 5.17825016174895750E+002
       1536,  1, 5.17795588696203371E+002
       1792,  1, 5.17764622189443848E+002
       2048,  1, 5.17718098685173224E+002
       2304,  1, 5.17694783218331310E+002
       2560,  1, 5.17652601234282510E+002
       2816,  1, 5.17631862220308881E+002
       3072,  1, 5.17335164345074871E+002
       3328,  1, 5.13913873164749708E+002
       3584,  1, 4.96994481440553272E+002
       3840,  1, 4.96974599472090625E+002
       4096,  1, 4.96921076454535307E+002
       4352,  1, 4.96895268659614133E+002
       4608,  1, 4.96825944776632672E+002
       4864,  1, 4.96791014800890694E+002
       5120,  1, 4.96738664631649247E+002
       5376,  1, 4.96730283049722565E+002
       5632,  1, 4.96121157707188240E+002
       5888,  1, 4.91193333256295967E+002
       6144,  1, 4.84682218618763068E+002
       6400,  1, 4.73820878561191204E+002
       6656,  1, 4.66284040749451799E+002
       6912,  1, 4.59583112871664389E+002
       7168,  1, 4.57130835611865105E+002
       7424,  1, 4.57099988326435766E+002
       7680,  1, 4.56343541312325364E+002
       7936,  1, 4.50223181974511109E+002
       8192,  1, 4.47927109338109012E+002
       8448,  1, 4.39105388883090985E+002
       8704,  1, 4.38313554286785416E+002
       8960,  1, 4.38270966631683020E+002
       9216,  1, 4.38225152729844054E+002
       9472,  1, 4.38196148824265182E+002
       9728,  1, 4.36138825699775053E+002
       9984,  1, 4.25471437427464310E+002
      10240,  1, 4.25449014165375441E+002
      10496,  1, 4.25429477634997687E+002
      10752,  1, 4.23972750428543290E+002
      11008,  1, 4.15272668469805908E+002
      11264,  1, 4.15237322382141181E+002
      11520,  1, 4.15175691101595395E+002
      11776,  1, 4.15146166676932458E+002
      12032,  1, 4.14734409212498751E+002
      12288,  1, 4.09195961133443690E+002
      12544,  1, 4.01615603839688971E+002
      12800,  1, 4.01584496001900666E+002
      13056,  1, 4.01014855858170147E+002
      13312,  1, 3.96060872478447922E+002
      13568,  1, 3.95092637096481161E+002
      13824,  1, 3.95039252240090444E+002
      14080,  1, 3.93737086866905993E+002
      14336,  1, 3.84053800377992604E+002
      14592,  1, 3.82597803577499982E+002
      14848,  1, 3.74789248372039131E+002
      15104,  1, 3.74739320908019979E+002
      15360,  1, 3.74713294623793433E+002
      15616,  1, 3.73081272235276578E+002
      15872,  1, 3.65357461144063929E+002
      16128,  1, 3.62723752409918256E+002
      16384,  1, 3.53570266690999173E+002
      16640,  1, 3.53535140955776108E+002
      16896,  1, 3.53172537943886896E+002
      17152,  1, 3.48372628072544628E+002
      17408,  1, 3.45557450705414787E+002
      17664,  1, 3.45518272384127542E+002
      17920,  1, 3.44756227619287606E+002
      18176,  1, 3.39058461040561956E+002
      18432,  1, 3.37853654516913414E+002
      18688,  1, 3.30712325398283781E+002
