"TRANSF", "SWEEP", "off(A)"
          0,  0, 8.13954085875972795E+002
          1,  1, 8.13941981950504173E+002
        256,  1, 8.07044701636778438E+002
        512,  1, 7.79087592104273522E+002
        768,  1, 7.70305109090504373E+002
       1024,  1, 7.52709261692360508E+002
       1280,  1, 7.52508612656057507E+002
       1536,  1, 7.52428379450901184E+002
       1792,  1, 7.52241149380233660E+002
       2048,  1, 7.51957373565754715E+002
       2304,  1, 7.38061389468168545E+002
       2560,  1, 7.25029761059154082E+002
       2816,  1, 7.12479241178427367E+002
       3072,  1, 7.02042685354121762E+002
       3328,  1, 6.92300084738397227E+002
       3584,  1, 6.82207804757887250E+002
       3840,  1, 6.82067733709919281E+002
       4096,  1, 6.81917989430584978E+002
       4352,  1, 6.81811899471072160E+002
       4608,  1, 6.81167357991397170E+002
       4864,  1, 6.68129954285311805E+002
       5120,  1, 6.61055463805309333E+002
       5376,  1, 6.45964384216639019E+002
       5632,  1, 6.39876939597928043E+002
       5888,  1, 6.27473243040662008E+002
       6144,  1, 6.22802711834380077E+002
       6400,  1, 6.22709587243745158E+002
       6656,  1, 6.21475085900595213E+002
       6912,  1, 6.07741906111884679E+002
       7168,  1, 6.04114156958194618E+002
       7424,  1, 5.90642963461570807E+002
       7680,  1, 5.88957450179227061E+002
       7936,  1, 5.88880297509454006E+002
       8192,  1, 5.87133940317816476E+002
       8448,  1, 5.72466861372625530E+002
       8704,  1, 5.69144508460824276E+002
       8960,  1, 5.53260409719664031E+002
       9216,  1, 5.50741606423398984E+002
       9472,  1, 5.36326319300316616E+002
       9728,  1, 5.32864395198623716E+002
       9984,  1, 5.16079026994515936E+002
      10240,  1, 5.13248316813853004E+002
      10496,  1, 4.99441100942517307E+002
      10752,  1, 4.99309686241559197E+002
      11008,  1, 4.99247334157514398E+002
      11264,  1, 4.93721874604520776E+002
      11520,  1, 4.84092907529290061E+002
      11776,  1, 4.75772014221129919E+002
      12032,  1, 4.70383389096720441E+002
      12288,  1, 4.60591868860462193E+002
      12544,  1, 4.56017045313840708E+002
      12800,  1, 4.47137692247478620E+002
      13056,  1, 4.44164147570654668E+002
      13312,  1, 4.44097866491143491E+002
      13568,  1, 4.43131847243661994E+002
      13824,  1, 4.33663682221756696E+002
      14080,  1, 4.32143057422417105E+002
      14336,  1, 4.23688747632666323E+002
      14592,  1, 4.23370351862391215E+002
      14848,  1, 4.23309869177132153E+002
      15104,  1, 4.21866203887814515E+002
      15360,  1, 4.13974433835251534E+002
      15616,  1, 4.10680833651123496E+002
      15872,  1, 4.03065597008656447E+002
      16128,  1, 4.02964304792907380E+002
      16384,  1, 4.02890039554202856E+002
      16640,  1, 4.02812122144289246E+002
      16896,  1, 4.02731017948254228E+002
      17152,  1, 4.02673362026644894E+002
      17408,  1, 4.02576468671094802E+002
      17664,  1, 4.02506654137792373E+002
      17920,  1, 4.02402369404078775E+002
      18176,  1, 4.02353877660847013E+002
      18432,  1, 4.01110147092121714E+002
      18688,  1, 3.93199832209258992E+002
      18944,  1, 3.93182307646559747E+002
      19200,  1, 3.93129816636192406E+002
      19456,  1, 3.93030198946722942E+002
      19712,  1, 3.92773313133502223E+002
      19968,  1, 3.86033517417018018E+002
      20224,  1, 3.83692435604008148E+002
      20480,  1, 3.83587690630116584E+002
      20736,  1, 3.82633437702398655E+002
      20992,  1, 3.74720104037783478E+002
      21248,  1, 3.74408418226550464E+002
      21504,  1, 3.74362904545625645E+002
      21760,  1, 3.72051523214787058E+002
      22016,  1, 3.65243664906023910E+002
      22272,  1, 3.59417419398021244E+002
      22528,  1, 3.55495654025380693E+002
      22784,  1, 3.49681453849875168E+002
      23040,  1, 3.47890994486817820E+002
      23296,  1, 3.47817421604840491E+002
      23552,  1, 3.46978587590426899E+002
      23808,  1, 3.40471830335661126E+002
      24064,  1, 3.39422821966256625E+002
      24320,  1, 3.34090113048380947E+002
      24576,  1, 3.31155447603185994E+002
      24832,  1, 3.26423775527919827E+002
