"TRANSF", "SWEEP", "off(A)"
          0,  0, 8.13954085875972795E+002
          1,  1, 8.13952125819946630E+002
        256,  1, 8.09080290782198724E+002
        512,  1, 8.04524163388342728E+002
        768,  1, 8.00846564766263137E+002
       1024,  1, 7.97890927866695447E+002
       1280,  1, 7.94666031438761745E+002
       1536,  1, 7.91501324554046589E+002
       1792,  1, 7.88437136703119185E+002
       2048,  1, 7.85510159202731539E+002
       2304,  1, 7.82909947760517242E+002
       2560,  1, 7.80331569348960291E+002
       2816,  1, 7.78196233863871938E+002
       3072,  1, 7.76286193699058328E+002
       3328,  1, 7.74159885160256511E+002
       3584,  1, 7.72448385290692712E+002
       3840,  1, 7.71001445061236934E+002
       4096,  1, 7.68982662386879457E+002
       4352,  1, 7.67616221167766073E+002
       4608,  1, 7.66306796781071969E+002
       4864,  1, 7.64868301511558258E+002
       5120,  1, 7.63708703692375889E+002
       5376,  1, 7.62618632698795520E+002
       5632,  1, 7.61488047427528156E+002
       5888,  1, 7.60355446930100820E+002
       6144,  1, 7.59510525101867480E+002
       6400,  1, 7.58783115102815574E+002
       6656,  1, 7.58162554184233308E+002
       6912,  1, 7.57252036837967811E+002
       7168,  1, 7.56546039978168877E+002
       7424,  1, 7.55844007333759768E+002
       7680,  1, 7.55242619216886340E+002
       7936,  1, 7.54782831804750957E+002
       8192,  1, 7.54303548982636569E+002
       8448,  1, 7.53775093965049258E+002
       8704,  1, 7.53174264981897035E+002
       8960,  1, 7.52718525451173849E+002
       9216,  1, 7.52235963592053981E+002
       9472,  1, 7.51872827465394706E+002
       9728,  1, 7.51508492493961752E+002
       9984,  1, 7.51076209618820123E+002
      10240,  1, 7.50785212600839613E+002
      10496,  1, 7.50457453475755586E+002
      10752,  1, 7.50107475046969901E+002
      11008,  1, 7.49781698479805784E+002
      11264,  1, 7.49504844346124235E+002
      11520,  1, 7.49243631090160133E+002
      11776,  1, 7.49021889956149555E+002
      12032,  1, 7.48823102242956548E+002
      12288,  1, 7.48583210453508537E+002
      12544,  1, 7.48324845559550838E+002
      12800,  1, 7.48138368215685391E+002
      13056,  1, 7.47976223255737854E+002
      13312,  1, 7.47798855342496743E+002
      13568,  1, 7.47662631397435110E+002
      13824,  1, 7.47531126867767815E+002
      14080,  1, 7.47394983700303416E+002
      14336,  1, 7.47297647608106108E+002
      14592,  1, 7.47191304533277792E+002
      14848,  1, 7.47053282501360260E+002
      15104,  1, 7.46980665045439352E+002
      15360,  1, 7.46890456145960410E+002
      15616,  1, 7.46777880785927598E+002
      15872,  1, 7.46701426936070381E+002
      16128,  1, 7.46612470754019778E+002
      16384,  1, 7.46547270717681614E+002
      16640,  1, 7.46472814117269537E+002
      16896,  1, 7.46396606493359985E+002
      17152,  1, 7.46332640838961773E+002
      17408,  1, 7.46252877482587736E+002
      17664,  1, 7.46194266447434524E+002
      17920,  1, 7.46127637905819702E+002
      18176,  1, 7.46085098558249440E+002
      18432,  1, 7.46033809712945775E+002
      18688,  1, 7.45989444459589291E+002
      18944,  1, 7.45943577546394498E+002
      19200,  1, 7.45910225816500750E+002
      19456,  1, 7.45869583954934707E+002
      19712,  1, 7.45842098499199076E+002
      19968,  1, 7.45813509944708634E+002
      20224,  1, 7.45780053188424501E+002
      20480,  1, 7.45756073504075521E+002
      20736,  1, 7.45725756549113631E+002
      20992,  1, 7.45704658165791002E+002
      21248,  1, 7.45685874844131449E+002
      21504,  1, 7.45669962021543861E+002
      21760,  1, 7.45651744149122459E+002
      22016,  1, 7.45635528736704695E+002
      22272,  1, 7.45621404317072150E+002
      22528,  1, 7.45605545745745751E+002
      22784,  1, 7.45590292045890998E+002
      23040,  1, 7.45575959668767189E+002
      23296,  1, 7.45564517903647943E+002
      23552,  1, 7.45554291236680433E+002
      23808,  1, 7.45545533473307947E+002
      24064,  1, 7.45536563776539038E+002
      24320,  1, 7.45527755602182518E+002
      24576,  1, 7.45519697295965482E+002
      24832,  1, 7.45511063714503773E+002
      25088,  1, 7.45503295431483847E+002
      25344,  1, 7.45496100803244936E+002
      25600,  1, 7.45489544223067437E+002
      25856,  1, 7.45482145379961787E+002
      26112,  1, 7.45477409635516998E+002
      26368,  1, 7.45472456853360381E+002
      26624,  1, 7.45468227748044267E+002
      26880,  1, 7.45464340235545608E+002
      27136,  1, 7.45459678180853123E+002
      27392,  1, 7.45455905274521808E+002
      27648,  1, 7.45453208069764358E+002
      27904,  1, 7.45450171830761137E+002
      28160,  1, 7.45447192988295298E+002
      28416,  1, 7.45444776586116404E+002
      28672,  1, 7.45442618021413640E+002
      28928,  1, 7.45440713485959977E+002
      29184,  1, 7.45439008026733469E+002
      29440,  1, 7.45437694118976309E+002
      29696,  1, 7.45436112742929026E+002
      29952,  1, 7.45434598715384254E+002
      30208,  1, 7.45433655670969180E+002
      30464,  1, 7.45432541916370656E+002
      30720,  1, 7.45431780998696205E+002
      30976,  1, 7.45430941949467211E+002
      31232,  1, 7.45430343393257433E+002
      31488,  1, 7.45429740109492725E+002
      31744,  1, 7.45429140223409195E+002
      32000,  1, 7.45428658752889957E+002
      32256,  1, 7.45428298572311882E+002
      32512,  1, 7.45427954165895137E+002
      32768,  1, 7.25955043238568866E+002
      33024,  1, 7.06028918076396829E+002
      33280,  1, 6.86971160740499963E+002
      33536,  1, 6.65548840066792814E+002
      33792,  1, 6.44503268952059796E+002
      34048,  1, 6.28350327574808779E+002
      34304,  1, 6.11210911065825492E+002
      34560,  1, 5.91373228907214971E+002
      34816,  1, 5.73358123781587724E+002
      35072,  1, 5.56962032561113258E+002
      35328,  1, 5.41070163030360113E+002
      35584,  1, 5.28461114769728945E+002
      35840,  1, 5.13236569235164334E+002
      36096,  1, 5.00770198651519496E+002
      36352,  1, 4.88818562671831867E+002
      36608,  1, 4.77472189345198654E+002
      36864,  1, 4.63586968015757350E+002
      37120,  1, 4.52315147690919000E+002
      37376,  1, 4.41317404481712014E+002
      37632,  1, 4.30836538989778720E+002
      37888,  1, 4.19682152648726008E+002
      38144,  1, 4.09079280106023700E+002
      38400,  1, 3.99281787158629228E+002
      38656,  1, 3.88090980925838234E+002
      38912,  1, 3.79089695779600836E+002
      39168,  1, 3.70430572457933542E+002
      39424,  1, 3.64742511523890911E+002
      39680,  1, 3.57144533028313539E+002
