"TRANSF", "SWEEP", "off(A)"
          0,  0, 8.13954085875972795E+002
          1,  1, 8.13941981950504174E+002
        256,  1, 8.07225052298369949E+002
        512,  1, 8.02468115138209632E+002
        768,  1, 7.97394142337287436E+002
       1024,  1, 7.93523456205775595E+002
       1280,  1, 7.90199015848840851E+002
       1536,  1, 7.87698375242061435E+002
       1792,  1, 7.84450377150365736E+002
       2048,  1, 7.81956477247886852E+002
       2304,  1, 7.78970160858287574E+002
       2560,  1, 7.76221365242389911E+002
       2816,  1, 7.73795321620667351E+002
       3072,  1, 7.71284506656352152E+002
       3328,  1, 7.68989761689929381E+002
       3584,  1, 7.66931812812773824E+002
       3840,  1, 7.64972663401499730E+002
       4096,  1, 7.63325104155191324E+002
       4352,  1, 7.61673617909861712E+002
       4608,  1, 7.60414954318163634E+002
       4864,  1, 7.59209238466952444E+002
       5120,  1, 7.58348515032819073E+002
       5376,  1, 7.57210828842545680E+002
       5632,  1, 7.56211779576499447E+002
       5888,  1, 7.55205177028633515E+002
       6144,  1, 7.54363327089680689E+002
       6400,  1, 7.53565454059718399E+002
       6656,  1, 7.52756225202030467E+002
       6912,  1, 7.52170626234256978E+002
       7168,  1, 7.51479348670072094E+002
       7424,  1, 7.50853605725747763E+002
       7680,  1, 7.50322698799490114E+002
       7936,  1, 7.49854534830988961E+002
       8192,  1, 7.49316877848143317E+002
       8448,  1, 7.48719278369389661E+002
       8704,  1, 7.48049609502627037E+002
       8960,  1, 7.47498619145963672E+002
       9216,  1, 7.47082599096477871E+002
       9472,  1, 7.46750237560839060E+002
       9728,  1, 7.46349700540964070E+002
       9984,  1, 7.45999915552198761E+002
      10240,  1, 7.45685967579546186E+002
      10496,  1, 7.45416351500845669E+002
      10752,  1, 7.45151974421811722E+002
      11008,  1, 7.44840830556851213E+002
      11264,  1, 7.44522641893504409E+002
      11520,  1, 7.44274411587438022E+002
      11776,  1, 7.44012172287937944E+002
      12032,  1, 7.43778719243066889E+002
      12288,  1, 7.43565810333741756E+002
      12544,  1, 7.43397399569120424E+002
      12800,  1, 7.43220114198613248E+002
      13056,  1, 7.43054889480120858E+002
      13312,  1, 7.42904094505916536E+002
      13568,  1, 7.42798850716609815E+002
      13824,  1, 7.42637544948096363E+002
      14080,  1, 7.42494276285289641E+002
      14336,  1, 7.42392189084387210E+002
      14592,  1, 7.42263743777933711E+002
      14848,  1, 7.42137550453703154E+002
      15104,  1, 7.42055275015745404E+002
      15360,  1, 7.41971515456440691E+002
      15616,  1, 7.41884520148726521E+002
      15872,  1, 7.41815460364504176E+002
      16128,  1, 7.41740092357715198E+002
      16384,  1, 7.41672243416194361E+002
      16640,  1, 7.41586105985742027E+002
      16896,  1, 7.41498676448621159E+002
      17152,  1, 7.41438436867959813E+002
      17408,  1, 7.41374366518147757E+002
      17664,  1, 7.41324675327953487E+002
      17920,  1, 7.41276105637248977E+002
      18176,  1, 7.41237710359176683E+002
      18432,  1, 7.41193397359574225E+002
      18688,  1, 7.41155428696995757E+002
      18944,  1, 7.41116498737111104E+002
      19200,  1, 7.41086533627640645E+002
      19456,  1, 7.41054042641827704E+002
      19712,  1, 7.41012272023651558E+002
      19968,  1, 7.40982154284615286E+002
      20224,  1, 7.40953995464178489E+002
      20480,  1, 7.40928812794404013E+002
      20736,  1, 7.40904129648418490E+002
      20992,  1, 7.40882959451348149E+002
      21248,  1, 7.40863784446738627E+002
      21504,  1, 7.40847281571861901E+002
      21760,  1, 7.40828816689527944E+002
      22016,  1, 7.40812482879382674E+002
      22272,  1, 7.40802025561360196E+002
      22528,  1, 7.40787320587560909E+002
      22784,  1, 7.40774073135195000E+002
      23040,  1, 7.40761478738572451E+002
      23296,  1, 7.40751175493017930E+002
      23552,  1, 7.40741204875223252E+002
      23808,  1, 7.40731440396876006E+002
      24064,  1, 7.40722384677555466E+002
      24320,  1, 7.40714653706658039E+002
      24576,  1, 7.40705721094854717E+002
      24832,  1, 7.40696583924207556E+002
      25088,  1, 7.40689824655797844E+002
      25344,  1, 7.40683457148854815E+002
      25600,  1, 7.40677497633081430E+002
      25856,  1, 7.40671974339341995E+002
      26112,  1, 7.40667899587700851E+002
      26368,  1, 7.40662756842144373E+002
      26624,  1, 7.40658160946593184E+002
      26880,  1, 7.40654877244306375E+002
      27136,  1, 7.40650942560895431E+002
      27392,  1, 7.40647676249045291E+002
      27648,  1, 7.40645129641965560E+002
      27904,  1, 7.40642540305620235E+002
      28160,  1, 7.40640077351059381E+002
      28416,  1, 7.40637947255700826E+002
      28672,  1, 7.40635679351121151E+002
      28928,  1, 7.40633931098522846E+002
      29184,  1, 7.40632330748511571E+002
      29440,  1, 7.40630791786516068E+002
      29696,  1, 7.40629466395008965E+002
      29952,  1, 7.40628327832018831E+002
      30208,  1, 7.40627283757541735E+002
      30464,  1, 7.40626308233002052E+002
      30720,  1, 7.40625439304591864E+002
      30976,  1, 7.40624650885091360E+002
      31232,  1, 7.40623990178034855E+002
      31488,  1, 7.40623488252086015E+002
      31744,  1, 7.40622949842546174E+002
      32000,  1, 7.40622469783355157E+002
      32256,  1, 7.40622111442483027E+002
      32512,  1, 7.40621709845574084E+002
      32768,  1, 7.10840878657117388E+002
      33024,  1, 6.87602686075604558E+002
      33280,  1, 6.63122951540904134E+002
      33536,  1, 6.42739027358988162E+002
      33792,  1, 6.23324586289065289E+002
      34048,  1, 6.07159646141316870E+002
      34304,  1, 5.89195798540809085E+002
      34560,  1, 5.73223918228935351E+002
      34816,  1, 5.55480249095208725E+002
      35072,  1, 5.38670347182108036E+002
      35328,  1, 5.21807489190641472E+002
      35584,  1, 5.07261872191212313E+002
      35840,  1, 4.91010438236291750E+002
      36096,  1, 4.75388008975585495E+002
      36352,  1, 4.62950200060031654E+002
      36608,  1, 4.49174775271382889E+002
      36864,  1, 4.35681314984052738E+002
      37120,  1, 4.22930936393458624E+002
      37376,  1, 4.12398736165211934E+002
      37632,  1, 4.02026301939944381E+002
      37888,  1, 3.94478713995354546E+002
      38144,  1, 3.83712670335551147E+002
      38400,  1, 3.74619468784881859E+002
      38656,  1, 3.64280819293984631E+002
      38912,  1, 3.55018698345530728E+002
      39168,  1, 3.47466563187845329E+002
      39424,  1, 3.39340257291242275E+002
      39680,  1, 3.32268263774029625E+002
      39936,  1, 3.25361521869053065E+002
      40192,  1, 3.18136786466901969E+002
      40448,  1, 3.10055091376857931E+002
      40704,  1, 3.03731231648365439E+002
      40960,  1, 2.97711275193401369E+002
      41216,  1, 2.91210544615972475E+002
      41472,  1, 2.85327773616527266E+002
      41728,  1, 2.77713806508518193E+002
      41984,  1, 2.70397707152066621E+002
      42240,  1, 2.64668486104097147E+002
      42496,  1, 2.58128898038540483E+002
      42752,  1, 2.52933319736110526E+002
      43008,  1, 2.47575626302453233E+002
      43264,  1, 2.42613293869973010E+002
      43520,  1, 2.37725171970525081E+002
      43776,  1, 2.33254740304546430E+002
      44032,  1, 2.28572833728833482E+002
      44288,  1, 2.24568844647518694E+002
      44544,  1, 2.19829603479823013E+002
      44800,  1, 2.14937908756925051E+002
      45056,  1, 2.10886746455557339E+002
      45312,  1, 2.06897820650668870E+002
      45568,  1, 2.02161201982671078E+002
      45824,  1, 1.98246373431686155E+002
      46080,  1, 1.94401107628191812E+002
      46336,  1, 1.91123685922388757E+002
      46592,  1, 1.87722440976187636E+002
      46848,  1, 1.84488928348114067E+002
      47104,  1, 1.80914844230252686E+002
      47360,  1, 1.78097706513550100E+002
      47616,  1, 1.75187826957192728E+002
      47872,  1, 1.72839704920499133E+002
      48128,  1, 1.69955785997164305E+002
      48384,  1, 1.66824850351527385E+002
      48640,  1, 1.64114464745926760E+002
      48896,  1, 1.61569981635700049E+002
      49152,  1, 1.59015203872801943E+002
      49408,  1, 1.56411712497086246E+002
      49664,  1, 1.53971288309010382E+002
      49920,  1, 1.51791946061102227E+002
      50176,  1, 1.50076052096554664E+002
      50432,  1, 1.48011786420976119E+002
      50688,  1, 1.46137273519486820E+002
      50944,  1, 1.44149767980943045E+002
      51200,  1, 1.42604095328579393E+002
      51456,  1, 1.40969828623999433E+002
      51712,  1, 1.39181734582348246E+002
      51968,  1, 1.37188225033752139E+002
      52224,  1, 1.35467644776025127E+002
      52480,  1, 1.33554255354459378E+002
      52736,  1, 1.31522496995980539E+002
      52992,  1, 1.30044552444218417E+002
      53248,  1, 1.28599422531594656E+002
      53504,  1, 1.27032767656649729E+002
      53760,  1, 1.25648233496516971E+002
      54016,  1, 1.24436455409579562E+002
      54272,  1, 1.23274312627693398E+002
      54528,  1, 1.22053737944742353E+002
      54784,  1, 1.20984054416739566E+002
      55040,  1, 1.19891883158338944E+002
      55296,  1, 1.18629229081614701E+002
      55552,  1, 1.17750556613711719E+002
      55808,  1, 1.16618068846821247E+002
      56064,  1, 1.15699163728364052E+002
      56320,  1, 1.14735188151438238E+002
      56576,  1, 1.13610014610642910E+002
      56832,  1, 1.12471449010689690E+002
      57088,  1, 1.11542232268033210E+002
      57344,  1, 1.10682574850868740E+002
      57600,  1, 1.09776594658529041E+002
      57856,  1, 1.09059779524888782E+002
      58112,  1, 1.08217889279439107E+002
      58368,  1, 1.07480529742179626E+002
      58624,  1, 1.06783006880066617E+002
      58880,  1, 1.06151991297785771E+002
      59136,  1, 1.05472203911098816E+002
      59392,  1, 1.04846420260033891E+002
      59648,  1, 1.04203518355146329E+002
      59904,  1, 1.03722392554287536E+002
      60160,  1, 1.03107297246691823E+002
      60416,  1, 1.02532001259362482E+002
      60672,  1, 1.02005202285382036E+002
      60928,  1, 1.01594752313734428E+002
      61184,  1, 1.01109013943872094E+002
      61440,  1, 1.00643368330006137E+002
      61696,  1, 1.00120123582160390E+002
      61952,  1, 9.96549572048675173E+001
      62208,  1, 9.92310062953637269E+001
      62464,  1, 9.88069275762726044E+001
      62720,  1, 9.84138908496741889E+001
      62976,  1, 9.80210636078611360E+001
      63232,  1, 9.76230557192078920E+001
      63488,  1, 9.72414569930062259E+001
      63744,  1, 9.68492222924054395E+001
      64000,  1, 9.64793132041967492E+001
      64256,  1, 9.60976470561778594E+001
      64512,  1, 9.57718804085357159E+001
      64768,  1, 9.54606999641790533E+001
      65024,  1, 9.51282002076820098E+001
      65280,  1, 9.47895596930284188E+001
      65536,  1, 9.44650557515007171E+001
      65792,  1, 9.41704792700158818E+001
      66048,  1, 9.38531297117366484E+001
      66304,  1, 9.35419797500454615E+001
      66560,  1, 9.32878973452243761E+001
      66816,  1, 9.30119904484388892E+001
      67072,  1, 9.27412480640036848E+001
      67328,  1, 9.24621052582282137E+001
      67584,  1, 9.21953376099829886E+001
      67840,  1, 9.19618152785436706E+001
      68096,  1, 9.17137147601076428E+001
      68352,  1, 9.14924290235952514E+001
      68608,  1, 9.12967261542633351E+001
      68864,  1, 9.10958694428649860E+001
