"TRANSF", "SWEEP", "off(A)"
          0,  0, 6.56831926429320090E+004
          1,  1, 6.55355834643573053E+004
        256,  1, 2.48540806468677053E+004
        512,  1, 1.59174981133432992E+004
        768,  1, 1.19094809002100419E+004
       1024,  1, 1.03582178117620932E+004
       1280,  1, 8.72628574718576488E+003
       1536,  1, 8.03011166864184858E+003
       1792,  1, 7.55579178293715249E+003
       2048,  1, 7.31197456949410999E+003
       2304,  1, 6.74303957820647870E+003
       2560,  1, 6.49600852313281162E+003
       2816,  1, 6.32251127438410359E+003
       3072,  1, 6.22533095424292554E+003
       3328,  1, 6.09784064756119481E+003
       3584,  1, 6.03575268067405080E+003
       3840,  1, 5.99635429429258957E+003
       4096,  1, 5.95965141828442985E+003
       4352,  1, 5.70385776097524850E+003
       4608,  1, 5.58528344455490866E+003
       4864,  1, 5.52106794020167260E+003
       5120,  1, 5.48655555576922526E+003
       5376,  1, 5.42331784602848219E+003
       5632,  1, 5.39723273148371944E+003
       5888,  1, 5.37659215604116517E+003
       6144,  1, 5.36406402337977313E+003
       6400,  1, 5.32881927054661480E+003
       6656,  1, 5.30915542530547811E+003
       6912,  1, 5.29107834499389415E+003
       7168,  1, 5.28284052527169551E+003
       7424,  1, 5.26528862304731337E+003
       7680,  1, 5.25240650631012959E+003
       7936,  1, 5.24517924352418361E+003
       8192,  1, 5.24382165029124979E+003
       8448,  1, 5.15498405069408389E+003
       8704,  1, 5.11916159594158383E+003
       8960,  1, 5.09696474682286458E+003
       9216,  1, 5.08392625461066467E+003
       9472,  1, 5.06253882462596604E+003
       9728,  1, 5.05452774488267671E+003
       9984,  1, 5.04628904143297258E+003
      10240,  1, 5.04158595851448961E+003
      10496,  1, 5.02896049416917972E+003
      10752,  1, 5.02193044268470509E+003
      11008,  1, 5.01845429276656240E+003
      11264,  1, 5.01676924719173254E+003
      11520,  1, 5.00906741716209178E+003
      11776,  1, 5.00604079453754911E+003
      12032,  1, 5.00378030279876341E+003
      12288,  1, 5.00279926921110867E+003
      12544,  1, 4.99209189415163225E+003
      12800,  1, 4.98645724712641078E+003
      13056,  1, 4.98277313740998252E+003
      13312,  1, 4.98117631832599732E+003
      13568,  1, 4.97714579824818994E+003
      13824,  1, 4.97895906770005577E+003
      14080,  1, 4.97744832922989981E+003
      14336,  1, 4.97650749335316131E+003
