"TRANSF", "SWEEP", "off(A)"
          0,  0, 6.56831926429320090E+004
          1,  1, 6.55221817756792004E+004
        256,  1, 2.48003137868357701E+004
        512,  1, 1.58020867677610320E+004
        768,  1, 1.17003344512759694E+004
       1024,  1, 1.00958884742970475E+004
       1280,  1, 8.39438180748730520E+003
       1536,  1, 7.64720550841141402E+003
       1792,  1, 7.17100714052403000E+003
       2048,  1, 6.91036855476955665E+003
       2304,  1, 6.24728466486997171E+003
       2560,  1, 5.95459985382739910E+003
       2816,  1, 5.77135835407592069E+003
       3072,  1, 5.65991132906296353E+003
       3328,  1, 5.51213916001562050E+003
       3584,  1, 5.43739645085964687E+003
       3840,  1, 5.36938584109421936E+003
       4096,  1, 5.33119149353119632E+003
       4352,  1, 5.02464419367352419E+003
       4608,  1, 4.88820032133482487E+003
       4864,  1, 4.79779045285201478E+003
       5120,  1, 4.75433371660394801E+003
       5376,  1, 4.68410670212595769E+003
       5632,  1, 4.64538653062013323E+003
       5888,  1, 4.62133234796286625E+003
       6144,  1, 4.60722824811689474E+003
       6400,  1, 4.56629533924640459E+003
       6656,  1, 4.54539546376828522E+003
       6912,  1, 4.52922999201185795E+003
       7168,  1, 4.52052296368864043E+003
       7424,  1, 4.50548740820654272E+003
       7680,  1, 4.49759993127974984E+003
       7936,  1, 4.49222143637725366E+003
       8192,  1, 4.48852016410633586E+003
       8448,  1, 4.40099407449412777E+003
       8704,  1, 4.36448209405079771E+003
       8960,  1, 4.34359308642219178E+003
       9216,  1, 4.33539129246178811E+003
       9472,  1, 4.31817077015031064E+003
       9728,  1, 4.30891319172521222E+003
       9984,  1, 4.30264558181301980E+003
      10240,  1, 4.29861584904477081E+003
      10496,  1, 4.28652801138878909E+003
      10752,  1, 4.28124301256799165E+003
      11008,  1, 4.27668987113341262E+003
      11264,  1, 4.27404258316371546E+003
      11520,  1, 4.26863928568366026E+003
      11776,  1, 4.26664992001402290E+003
      12032,  1, 4.26468648802830095E+003
      12288,  1, 4.26537793272587926E+003
      12544,  1, 4.25690831939056751E+003
      12800,  1, 4.25372074948887649E+003
      13056,  1, 4.25030767773504801E+003
      13312,  1, 4.24990771895822346E+003
      13568,  1, 4.24786577693883097E+003
      13824,  1, 4.24827918662843243E+003
      14080,  1, 4.24860512649680098E+003
      14336,  1, 4.24900301153185956E+003
      14592,  1, 4.24599556290969128E+003
      14848,  1, 4.24586423280846664E+003
      15104,  1, 4.24586791225007637E+003
      15360,  1, 4.24708523645298960E+003
      15616,  1, 4.24690411070367944E+003
      15872,  1, 4.24769302425441360E+003
