"TRANSF", "SWEEP", "off(A)"
          0,  0, 6.56831926429320090E+004
          1,  1, 6.56829485245139155E+004
        256,  1, 5.67179843303303197E+004
        512,  1, 2.38289913788647195E+003
        768,  1, 2.38267853107135994E+003
       1024,  1, 2.38253724856735313E+003
       1280,  1, 2.38233205072244144E+003
       1536,  1, 2.38218115740397003E+003
       1792,  1, 2.38135384517785516E+003
       2048,  1, 2.37895629831362184E+003
       2304,  1, 2.37823101767563838E+003
       2560,  1, 2.37736453208180529E+003
       2816,  1, 2.37644578257002243E+003
       3072,  1, 2.37482125931562773E+003
       3328,  1, 2.37465107412513416E+003
       3584,  1, 2.37444454876908862E+003
       3840,  1, 2.37387717542320676E+003
       4096,  1, 2.37207446510440061E+003
       4352,  1, 2.37190505348563282E+003
       4608,  1, 2.37166490307926590E+003
       4864,  1, 2.37136019168015024E+003
       5120,  1, 2.37118532855322499E+003
       5376,  1, 2.37091702609527425E+003
       5632,  1, 2.37077582453493840E+003
       5888,  1, 2.37057053444320138E+003
       6144,  1, 2.37040990126831211E+003
       6400,  1, 2.37026247964679984E+003
       6656,  1, 2.37008540691327028E+003
       6912,  1, 2.36990796201537233E+003
       7168,  1, 2.36968423153077961E+003
       7424,  1, 2.36878158307412679E+003
       7680,  1, 2.36822404218720825E+003
       7936,  1, 2.36782164377534962E+003
       8192,  1, 2.36742528248830453E+003
       8448,  1, 2.36575498539378196E+003
       8704,  1, 2.36529829875830243E+003
       8960,  1, 2.36510679173535433E+003
       9216,  1, 2.36453962932966416E+003
       9472,  1, 2.36341182409021490E+003
       9728,  1, 2.36278520726783943E+003
       9984,  1, 2.36183527822788810E+003
      10240,  1, 2.36128642282945588E+003
      10496,  1, 2.36029952410002007E+003
      10752,  1, 2.35961282847533473E+003
      11008,  1, 2.35855821481056670E+003
      11264,  1, 2.35787435141059261E+003
      11520,  1, 2.35701255739951538E+003
      11776,  1, 2.35679518098178664E+003
      12032,  1, 2.35649740301487692E+003
      12288,  1, 2.35573057203775977E+003
      12544,  1, 2.35501645868709242E+003
      12800,  1, 2.35461888647641346E+003
      13056,  1, 2.35436079442429568E+003
      13312,  1, 2.35303664642093266E+003
      13568,  1, 2.35236721603546936E+003
      13824,  1, 2.35221050776419861E+003
      14080,  1, 2.35193962691290840E+003
      14336,  1, 2.35111813980207360E+003
      14592,  1, 2.35068243925953737E+003
      14848,  1, 2.34988436858114564E+003
      15104,  1, 2.34968064857671950E+003
      15360,  1, 2.34953791537149336E+003
      15616,  1, 2.34941810251782066E+003
      15872,  1, 2.34915147868089543E+003
      16128,  1, 2.34836681077666477E+003
      16384,  1, 2.34768392992405448E+003
      16640,  1, 2.34708807090999453E+003
      16896,  1, 2.34648476055101353E+003
      17152,  1, 2.34625926412404524E+003
      17408,  1, 2.34611713168281468E+003
      17664,  1, 2.34599242350946598E+003
      17920,  1, 2.34581671108820708E+003
      18176,  1, 2.34565732358077201E+003
      18432,  1, 2.34530548617737278E+003
      18688,  1, 2.34453106123907854E+003
      18944,  1, 2.34427746477398206E+003
      19200,  1, 2.34378298238699816E+003
      19456,  1, 2.34308400506471206E+003
      19712,  1, 2.34242807650790262E+003
      19968,  1, 2.34220081820724161E+003
      20224,  1, 2.34207489760486708E+003
      20480,  1, 2.34142265697667616E+003
      20736,  1, 2.34130118534643971E+003
      20992,  1, 2.34115355525766243E+003
      21248,  1, 2.34074488132350354E+003
      21504,  1, 2.33995394322681118E+003
      21760,  1, 2.33971425388196488E+003
      22016,  1, 2.33948628439020137E+003
      22272,  1, 2.33929809377136232E+003
      22528,  1, 2.33912450057933843E+003
      22784,  1, 2.33842580173077447E+003
      23040,  1, 2.33799299699846630E+003
      23296,  1, 2.33801785698927643E+003
      23552,  1, 2.33769629969212573E+003
      23808,  1, 2.33746405423731115E+003
      24064,  1, 2.33700646343277552E+003
      24320,  1, 2.33602985901103523E+003
      24576,  1, 2.33549528333976213E+003
      24832,  1, 2.33444448092477468E+003
      25088,  1, 2.33334113067514657E+003
      25344,  1, 2.33278491227587581E+003
      25600,  1, 2.33144422654662064E+003
      25856,  1, 2.33062461109002994E+003
      26112,  1, 2.32950347912447648E+003
      26368,  1, 2.32877814435139070E+003
      26624,  1, 2.32664861048055624E+003
      26880,  1, 2.32631388226386036E+003
      27136,  1, 2.32539254936808217E+003
      27392,  1, 2.32484642579267849E+003
      27648,  1, 2.32436974113784120E+003
      27904,  1, 2.32331178337902441E+003
      28160,  1, 2.32289465926283428E+003
      28416,  1, 2.32213308312207739E+003
      28672,  1, 2.32169913069497761E+003
      28928,  1, 2.32106375296265818E+003
      29184,  1, 2.32015057573520098E+003
      29440,  1, 2.31944379001382475E+003
      29696,  1, 2.31871700671037675E+003
      29952,  1, 2.31818849304625938E+003
      30208,  1, 2.31749937350301213E+003
      30464,  1, 2.31723878380163090E+003
      30720,  1, 2.31709762000246517E+003
