"TRANSF", "SWEEP", "off(A)"
          0,  0, 6.56831926429320090E+004
          1,  1, 6.56828805363337092E+004
        256,  1, 5.66751884732581001E+004
        512,  1, 2.40484768190361009E+003
        768,  1, 2.40463806392243190E+003
       1024,  1, 2.40449970034259912E+003
       1280,  1, 2.40386384480989636E+003
       1536,  1, 2.40236704959523590E+003
       1792,  1, 2.40170702888257584E+003
       2048,  1, 2.40075513005419715E+003
       2304,  1, 2.40002990917694649E+003
       2560,  1, 2.39918634566939901E+003
       2816,  1, 2.39893028743941692E+003
       3072,  1, 2.39876425891600313E+003
       3328,  1, 2.39805591349485363E+003
       3584,  1, 2.39731093865191895E+003
       3840,  1, 2.39654924855069062E+003
       4096,  1, 2.39554792985885856E+003
       4352,  1, 2.39466028285325538E+003
       4608,  1, 2.39409085043365194E+003
       4864,  1, 2.39389776783960105E+003
       5120,  1, 2.39379486470397788E+003
       5376,  1, 2.39359799381759721E+003
       5632,  1, 2.39351065553699902E+003
       5888,  1, 2.39329379408067951E+003
       6144,  1, 2.39302731106262731E+003
       6400,  1, 2.39136187310400555E+003
       6656,  1, 2.39025286906771700E+003
       6912,  1, 2.39008427636296801E+003
       7168,  1, 2.38994963814288962E+003
       7424,  1, 2.38979254807417173E+003
       7680,  1, 2.38966090135776324E+003
       7936,  1, 2.38950056146541601E+003
       8192,  1, 2.38917972789136646E+003
       8448,  1, 2.38829346346970242E+003
       8704,  1, 2.38772722886234591E+003
       8960,  1, 2.38679051096106017E+003
       9216,  1, 2.38618086072207029E+003
       9472,  1, 2.38497198513700869E+003
       9728,  1, 2.38442725321087036E+003
       9984,  1, 2.38379320073147312E+003
      10240,  1, 2.38323973730827658E+003
      10496,  1, 2.38309175994275497E+003
      10752,  1, 2.38250186745052669E+003
      11008,  1, 2.38180259039195309E+003
      11264,  1, 2.38158391938966904E+003
      11520,  1, 2.38141337709494284E+003
      11776,  1, 2.38082799374819017E+003
      12032,  1, 2.38005753071985166E+003
      12288,  1, 2.37886542658037055E+003
      12544,  1, 2.37709100184401955E+003
      12800,  1, 2.37692895943918498E+003
      13056,  1, 2.37680647286691100E+003
      13312,  1, 2.37646821406233424E+003
      13568,  1, 2.37633213560325133E+003
      13824,  1, 2.37617773671361188E+003
      14080,  1, 2.37584191152038741E+003
      14336,  1, 2.37508733074901198E+003
      14592,  1, 2.37484039714701786E+003
      14848,  1, 2.37467793672272480E+003
      15104,  1, 2.37419714418114994E+003
      15360,  1, 2.37337374736543562E+003
      15616,  1, 2.37315872636474414E+003
      15872,  1, 2.37303482744350420E+003
      16128,  1, 2.37284835564868657E+003
      16384,  1, 2.37269237567156737E+003
      16640,  1, 2.37200076582853310E+003
      16896,  1, 2.37131669505410477E+003
      17152,  1, 2.36972135670176139E+003
      17408,  1, 2.36844009361559789E+003
      17664,  1, 2.36772054776585452E+003
      17920,  1, 2.36740762213395326E+003
      18176,  1, 2.36708471108206904E+003
      18432,  1, 2.36693976449279079E+003
      18688,  1, 2.36660957541336515E+003
      18944,  1, 2.36618395168908903E+003
      19200,  1, 2.36546127248449335E+003
      19456,  1, 2.36527194030659360E+003
      19712,  1, 2.36516612067895372E+003
      19968,  1, 2.36498482355752869E+003
      20224,  1, 2.36484191927146592E+003
      20480,  1, 2.36466068482093211E+003
      20736,  1, 2.36445994442601390E+003
      20992,  1, 2.36331257192603358E+003
      21248,  1, 2.36280004351696576E+003
      21504,  1, 2.36221035740968819E+003
      21760,  1, 2.36173257938287006E+003
      22016,  1, 2.36096708703419349E+003
      22272,  1, 2.36073199773361829E+003
      22528,  1, 2.36042571014639596E+003
      22784,  1, 2.36002918082645290E+003
      23040,  1, 2.35982376869654098E+003
      23296,  1, 2.35961854788974599E+003
      23552,  1, 2.35930733122811914E+003
      23808,  1, 2.35856145057446910E+003
      24064,  1, 2.35813583035534787E+003
      24320,  1, 2.35641137139009213E+003
      24576,  1, 2.35617053661126994E+003
      24832,  1, 2.35596606414788593E+003
      25088,  1, 2.35508233150672832E+003
      25344,  1, 2.35465604388367760E+003
      25600,  1, 2.35371990366185244E+003
      25856,  1, 2.35329613578200291E+003
      26112,  1, 2.35132470104232278E+003
      26368,  1, 2.35079276270135989E+003
      26624,  1, 2.35001311219770286E+003
      26880,  1, 2.34940169052913029E+003
      27136,  1, 2.34895579877251353E+003
      27392,  1, 2.34870267013672606E+003
      27648,  1, 2.34849120048684150E+003
      27904,  1, 2.34772141764105975E+003
      28160,  1, 2.34721449501038562E+003
      28416,  1, 2.34602836647752466E+003
      28672,  1, 2.34584707668778522E+003
      28928,  1, 2.34568686289230398E+003
      29184,  1, 2.34506986693773082E+003
      29440,  1, 2.34455833737754577E+003
      29696,  1, 2.34324850764324966E+003
      29952,  1, 2.34285512139622037E+003
      30208,  1, 2.34198133495103381E+003
      30464,  1, 2.34154871787730793E+003
      30720,  1, 2.34092726610261750E+003
      30976,  1, 2.34075925658668605E+003
      31232,  1, 2.34064886168361661E+003
      31488,  1, 2.34048907189664442E+003
      31744,  1, 2.34013935922800640E+003
      32000,  1, 2.33949984998767001E+003
      32256,  1, 2.33934796462744990E+003
      32512,  1, 2.33916042480120543E+003
      32768,  1, 2.33889770455467869E+003
      33024,  1, 2.33876061764549462E+003
      33280,  1, 2.33861010969222788E+003
      33536,  1, 2.33826691900846036E+003
      33792,  1, 2.33734703849515150E+003
      34048,  1, 2.33669762061345069E+003
      34304,  1, 2.33617671667724566E+003
      34560,  1, 2.33556234644471556E+003
      34816,  1, 2.33523268251726835E+003
      35072,  1, 2.33504139179731523E+003
      35328,  1, 2.33491055585866421E+003
      35584,  1, 2.33474321453551500E+003
      35840,  1, 2.33362672353155242E+003
      36096,  1, 2.33290099599435416E+003
      36352,  1, 2.33199380529429844E+003
      36608,  1, 2.33174943568031083E+003
      36864,  1, 2.33161136389797269E+003
      37120,  1, 2.33149138188298635E+003
      37376,  1, 2.33133893896701017E+003
      37632,  1, 2.33103315259192120E+003
      37888,  1, 2.33071961886144678E+003
      38144,  1, 2.33024364460258466E+003
      38400,  1, 2.33005632296834350E+003
      38656,  1, 2.32991740696105945E+003
      38912,  1, 2.32969823941667187E+003
      39168,  1, 2.32941163411600101E+003
      39424,  1, 2.32828690048687362E+003
      39680,  1, 2.32743552570304372E+003
      39936,  1, 2.32573974732809056E+003
      40192,  1, 2.32578275609305259E+003
      40448,  1, 2.32539176358674586E+003
      40704,  1, 2.32470113620551459E+003
      40960,  1, 2.32441428994788743E+003
      41216,  1, 2.32429685319432314E+003
      41472,  1, 2.32416140359979727E+003
      41728,  1, 2.32400049695905011E+003
      41984,  1, 2.32387335052762956E+003
      42240,  1, 2.32362994838021139E+003
      42496,  1, 2.32351813021209303E+003
      42752,  1, 2.32332251377863607E+003
      43008,  1, 2.32307602912281412E+003
      43264,  1, 2.32223543116767241E+003
      43520,  1, 2.32202796714407014E+003
      43776,  1, 2.32141913250422918E+003
      44032,  1, 2.32121250154999164E+003
      44288,  1, 2.32086135426091684E+003
      44544,  1, 2.32025646621033957E+003
      44800,  1, 2.31967587802990742E+003
      45056,  1, 2.31931295847460100E+003
      45312,  1, 2.31915815627844750E+003
      45568,  1, 2.31832582019383301E+003
      45824,  1, 2.31795556921511421E+003
      46080,  1, 2.31713786441804520E+003
      46336,  1, 2.31688015122362142E+003
      46592,  1, 2.31666560049140261E+003
      46848,  1, 2.31563436227479361E+003
      47104,  1, 2.31515726369943219E+003
      47360,  1, 2.31500877163708654E+003
      47616,  1, 2.31431907519853973E+003
      47872,  1, 2.31353802811733945E+003
      48128,  1, 2.31210580681776103E+003
      48384,  1, 2.31173760849431927E+003
      48640,  1, 2.31121429009491530E+003
      48896,  1, 2.31033708728131715E+003
      49152,  1, 2.31006023003472117E+003
      49408,  1, 2.30991923375795029E+003
      49664,  1, 2.30957909809391277E+003
      49920,  1, 2.30938554007275326E+003
      50176,  1, 2.30860427292767127E+003
      50432,  1, 2.30819299905296911E+003
      50688,  1, 2.30785546403376643E+003
      50944,  1, 2.30710517646277331E+003
      51200,  1, 2.30647612365023514E+003
      51456,  1, 2.30620312657955225E+003
      51712,  1, 2.30510839312644973E+003
      51968,  1, 2.30481664936142324E+003
      52224,  1, 2.30461856428491506E+003
      52480,  1, 2.30441774124332716E+003
      52736,  1, 2.30418223834506842E+003
      52992,  1, 2.30355308304684589E+003
      53248,  1, 2.30309778240088897E+003
      53504,  1, 2.30280119560593873E+003
      53760,  1, 2.30211711162453243E+003
      54016,  1, 2.30189342927310340E+003
      54272,  1, 2.30175356724392188E+003
      54528,  1, 2.30161556667487260E+003
      54784,  1, 2.30122841161784495E+003
      55040,  1, 2.30077642621800309E+003
      55296,  1, 2.30062170833382221E+003
      55552,  1, 2.30034080249383794E+003
      55808,  1, 2.30020102226296051E+003
      56064,  1, 2.30002115546170567E+003
      56320,  1, 2.29984077040120617E+003
      56576,  1, 2.29974469877855638E+003
      56832,  1, 2.29812822873402979E+003
      57088,  1, 2.29765081406122549E+003
      57344,  1, 2.29722466671457458E+003
      57600,  1, 2.29657283594346746E+003
      57856,  1, 2.29621093909077375E+003
      58112,  1, 2.29572492431605198E+003
      58368,  1, 2.29496892340572555E+003
      58624,  1, 2.29494951669361541E+003
      58880,  1, 2.29481116254919223E+003
      59136,  1, 2.29419900607055130E+003
      59392,  1, 2.29405408565890783E+003
      59648,  1, 2.29394454459181744E+003
      59904,  1, 2.29373387495047324E+003
      60160,  1, 2.29312700081132231E+003
