"TH(θ)", "ρ(DET)/ε"
 7.996993065E-01, 1.641922951E+00
 7.996996045E-01, 2.331380606E+00
 7.996998429E-01, 3.016403198E+00
 7.997000217E-01, 3.675060272E-01
 7.997002006E-01, 1.711939573E+00
 7.997004390E-01, 3.974630833E-01
 7.997006178E-01, 2.251470327E+00
 7.997009158E-01, 8.970949650E-01
 7.997010946E-01, 1.781745911E+00
 7.997013330E-01, 4.672126770E-01
 7.997015119E-01, 3.146037340E+00
 7.997018099E-01, 8.274621964E-01
 7.997020483E-01, 2.142042160E+00
 7.997022271E-01, 5.367519855E-01
 7.997024059E-01, 1.881104469E+00
 7.997026443E-01, 1.900924683E+00
 7.997029424E-01, 2.072676420E+00
 7.997031212E-01, 6.060810089E-01
 7.997033596E-01, 7.085809708E-01
 7.997035384E-01, 6.357290745E-01
 7.997038364E-01, 3.337950706E+00
 7.997040153E-01, 6.592295170E-01
 7.997042537E-01, 6.395189762E-01
 7.997044325E-01, 7.047576904E-01
 7.997046113E-01, 3.383456469E+00
 7.997049093E-01, 5.903177261E-01
 7.997051477E-01, 1.905092239E+00
 7.997053266E-01, 7.735760212E-01
 7.997055650E-01, 5.412237644E-01
 7.997058034E-01, 5.216162205E-01
 7.997060418E-01, 1.836447477E+00
 7.997062206E-01, 4.922370911E-01
 7.997064590E-01, 4.726724625E-01
 7.997066379E-01, 2.205942869E+00
 7.997069359E-01, 1.768013000E+00
 7.997071147E-01, 4.238359928E-01
 7.997073531E-01, 4.043314457E-01
 7.997075319E-01, 9.398307800E-01
 7.997078300E-01, 3.628139496E+00
 7.997080088E-01, 3.556451797E-01
 7.997082472E-01, 1.670614243E+00
 7.997084260E-01, 1.007928133E+00
 7.997086644E-01, 3.070662022E-01
 7.997089028E-01, 2.876646519E-01
 7.997091413E-01, 1.602690458E+00
 7.997093201E-01, 1.075815201E+00
 7.997095585E-01, 2.392358780E-01
 7.997098565E-01, 1.114513397E+00
 7.997100353E-01, 1.534976959E+00
 7.997102141E-01, 1.143491983E+00
 7.997104526E-01, 1.716158390E-01
 7.997106314E-01, 1.172431946E+00
 7.997109294E-01, 3.860511780E+00
 7.997111082E-01, 1.234445572E-01
 7.997113466E-01, 1.438608170E+00
 7.997115254E-01, 1.239808321E+00
 7.997118235E-01, 2.734580994E+00
 7.997120619E-01, 2.612614393E+00
 7.997122407E-01, 1.371405363E+00
 7.997124195E-01, 1.306974411E+00
 7.997126579E-01, 8.271217346E-03
 7.997129560E-01, 1.345260620E+00
 7.997131348E-01, 1.304412842E+00
 7.997133732E-01, 2.619705200E+00
 7.997135520E-01, 5.862784386E-02
 7.997138500E-01, 1.412096262E+00
 7.997140288E-01, 2.572022676E+00
 7.997142673E-01, 2.552979708E+00
 7.997144461E-01, 1.253166199E-01
 7.997146249E-01, 1.469216585E+00
 7.997148633E-01, 1.538331509E-01
 7.997151613E-01, 2.841599226E+00
 7.997153401E-01, 1.142592192E+00
 7.997155786E-01, 2.458022356E+00
 7.997157574E-01, 2.202215195E-01
 7.997160554E-01, 1.573535919E+00
 7.997162342E-01, 1.076320648E+00
 7.997164726E-01, 2.391807556E+00
 7.997166514E-01, 2.863996029E-01
 7.997168899E-01, 1.029112577E+00
 7.997171283E-01, 1.010259390E+00
 7.997173667E-01, 2.325803041E+00
 7.997175455E-01, 3.523674011E-01
 7.997177839E-01, 9.632015228E-01
 7.997180223E-01, 9.444084167E-01
 7.997182608E-01, 3.068112135E+00
 7.997184396E-01, 9.162509441E-01
 7.997186780E-01, 8.975007534E-01
 7.997188568E-01, 4.462423325E-01
 7.997191548E-01, 3.528797865E+00
 7.997193336E-01, 8.507003784E-01
 7.997195721E-01, 8.320102692E-01
 7.997197509E-01, 5.116994381E-01
 7.997200489E-01, 1.864732981E+00
 7.997202277E-01, 7.853600979E-01
 7.997204661E-01, 2.101098299E+00
 7.997206450E-01, 7.574214935E-01
 7.997208834E-01, 7.388172150E-01
 7.997211218E-01, 2.054595947E+00
 7.997213602E-01, 2.036025047E+00
 7.997215390E-01, 6.923816204E-01
 7.997217774E-01, 6.738374233E-01
 7.997220755E-01, 6.790521145E-01
 7.997222543E-01, 3.357032776E+00
 7.997224331E-01, 6.275520325E-01
 7.997226715E-01, 1.943428040E+00
 7.997228503E-01, 7.345273495E-01
 7.997231483E-01, 3.240867615E+00
 7.997233868E-01, 7.714250088E-01
 7.997235656E-01, 1.878865480E+00
 7.997237444E-01, 7.990531921E-01
 7.997240424E-01, 2.151805878E+00
 7.997242808E-01, 8.358306885E-01
 7.997244596E-01, 1.814513206E+00
 7.997246981E-01, 3.130517960E+00
 7.997248769E-01, 4.526460171E-01
 7.997251749E-01, 9.000260830E-01
 7.997253537E-01, 1.750371218E+00
 7.997255921E-01, 2.261823654E+00
 7.997257710E-01, 1.722946167E+00
 7.997260690E-01, 9.640111923E-01
 7.997262478E-01, 3.020786285E+00
 7.997264862E-01, 2.325715303E+00
 7.997266650E-01, 1.659104586E+00
 7.997269034E-01, 1.640902758E+00
 7.997271419E-01, 2.371223450E+00
 7.997273803E-01, 2.389396667E+00
 7.997275591E-01, 1.595473289E+00
 7.997277975E-01, 2.911672592E+00
 7.997280359E-01, 2.434754610E+00
 7.997282743E-01, 1.118528128E+00
 7.997284532E-01, 2.866390944E+00
 7.997286916E-01, 2.848308325E+00
 7.997288704E-01, 1.705989838E-01
 7.997291088E-01, 1.486880302E+00
 7.997293472E-01, 2.803176880E+00
 7.997295856E-01, 2.543175936E+00
 7.997297645E-01, 1.074817181E-01
 7.997300029E-01, 1.423819780E+00
 7.997302413E-01, 2.740173101E+00
 7.997304797E-01, 1.271804810E+00
 7.997306585E-01, 1.378905296E+00
 7.997308969E-01, 1.360969543E+00
 7.997310758E-01, 1.767897606E-02
 7.997313738E-01, 1.334558249E+00
 7.997315526E-01, 1.316205263E+00
 7.997317910E-01, 2.632655859E+00
 7.997319698E-01, 4.492759705E-02
 7.997322679E-01, 1.397101402E+00
 7.997324467E-01, 1.253715515E+00
 7.997326851E-01, 2.758164644E+00
 7.997328639E-01, 1.226998568E+00
 7.997331023E-01, 1.209208727E+00
 7.997334003E-01, 1.428844929E-01
 7.997335792E-01, 2.820404053E+00
 7.997337580E-01, 1.164809227E+00
 7.997339964E-01, 1.147079468E+00
 7.997342944E-01, 2.049503326E-01
 7.997344732E-01, 1.548116446E+00
 7.997347116E-01, 1.565801382E+00
 7.997348905E-01, 2.419475317E+00
 7.997350693E-01, 2.579822540E-01
 7.997353673E-01, 1.609938622E+00
 7.997356057E-01, 2.932510376E-01
 7.997357845E-01, 2.357763290E+00
