"RUN", "THge08", "N", "REDET_ε", "RECH_ε", "RESH_ε"
 1,   -3845478, 1073741824, 4.482482910E+00, 1.443973413E+01, 2.225024242E+01
 2,   -3851678, 1073741824, 4.482482910E+00, 1.434289493E+01, 2.227849780E+01
 3,   -3847700, 1073741824, 4.482482910E+00, 1.486887474E+01, 2.267338101E+01
 4,   -3844520, 1073741824, 4.482482910E+00, 1.466826577E+01, 2.347126471E+01
 5,   -3846875, 1073741824, 4.482482910E+00, 1.516130984E+01, 2.287236270E+01
 6,   -3847588, 1073741824, 4.482482910E+00, 1.461626448E+01, 2.217572461E+01
 7,   -3846126, 1073741824, 4.482482910E+00, 1.437533012E+01, 2.246107225E+01
 8,   -3844761, 1073741824, 4.482482910E+00, 1.477389460E+01, 2.181140591E+01
 9,   -3849838, 1073741824, 4.482482910E+00, 1.453637777E+01, 2.197082424E+01
10,   -3849436, 1073741824, 4.482482910E+00, 1.423137818E+01, 2.253276437E+01
11,   -3844297, 1073741824, 4.482482910E+00, 1.459154809E+01, 2.277485149E+01
12,   -3849813, 1073741824, 4.482482910E+00, 1.426254587E+01, 2.251980392E+01
13,   -3846039, 1073741824, 4.482482910E+00, 1.459544245E+01, 2.263647102E+01
14,   -3847071, 1073741824, 4.482482910E+00, 1.452887469E+01, 2.205612359E+01
15,   -3847681, 1073741824, 4.482482910E+00, 1.428603770E+01, 2.262948118E+01
16,   -3846121, 1073741824, 4.482482910E+00, 1.439088378E+01, 2.183525390E+01
17,   -3844855, 1073741824, 4.482482910E+00, 1.437258064E+01, 2.284150799E+01
18,   -3845667, 1073741824, 4.482482910E+00, 1.437331957E+01, 2.205690573E+01
19,   -3847019, 1073741824, 4.482482910E+00, 1.478705640E+01, 2.224425107E+01
20,   -3845847, 1073741824, 4.482482910E+00, 1.437216883E+01, 2.252516734E+01
21,   -3849026, 1073741824, 4.482482910E+00, 1.468648533E+01, 2.321385358E+01
22,   -3848705, 1073741824, 4.482482910E+00, 1.467364149E+01, 2.221888711E+01
23,   -3846371, 1073741824, 4.482482910E+00, 1.446983914E+01, 2.266191665E+01
24,   -3845259, 1073741824, 4.482482910E+00, 1.456820295E+01, 2.253303133E+01
25,   -3851691, 1073741824, 4.482482910E+00, 1.447441906E+01, 2.192366515E+01
26,   -3849415, 1073741824, 4.482482910E+00, 1.452690386E+01, 2.279438899E+01
27,   -3849171, 1073741824, 4.482482910E+00, 1.405947594E+01, 2.183024823E+01
28,   -3844739, 1073741824, 4.482482910E+00, 1.473987058E+01, 2.200486307E+01
29,   -3845063, 1073741824, 4.482482910E+00, 1.415351205E+01, 2.247285724E+01
30,   -3850674, 1073741824, 4.482482910E+00, 1.437070188E+01, 2.201822260E+01
31,   -3848692, 1073741824, 4.482482910E+00, 1.442732178E+01, 2.191637826E+01
